"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P15","Ninguno",0.123,0.192,0.169,0.248,0.464
"P17","Frente de Todos y el peronismo",0.349,0.277,0.318,0.275,0.386
"P17","Cambiemos",0.285,0.393,0.217,0.237,0.182
"P17","Liberales Libertarios",0.172,0.22,0.224,0.19,0.206
"P17","Izquierda",0.041,0.025,0.058,0.085,0.032
"P17","No sabe",0.153,0.085,0.183,0.213,0.194
"P19","A Alberto Fernández",0.387,0.377,0.176,0.599,0.236
"P19","A Sergio Massa",0.201,0.177,0.462,0.073,0.309
"P19","A algún candidato del peronismo",0.279,0.192,0.082,0.08,0.148
"P19","A algún candidato del kirchnerismo",0.133,0.254,0.28,0.248,0.307
"P20","Seguro la votaria",0.57,0.52,0.528,0.645,0.844
"P20","Quizás la votaría",0.148,0.124,0.263,0.299,0.146
"P20","Nunca la votaría",0.282,0.356,0.209,0.056,0.01
"P21","A Horacio Rodriguez Larreta",0.452,0.482,0.263,0.327,0.553
"P21","A Mauricio Macri",0.224,0.28,0.546,0.136,0.103
"P21","A Patricia Bullrich",0.195,0.171,0.144,0.401,0.313
"P21","A Facundo Manes",0.113,0.062,0.034,0.029,0.031
"P21","A Martín Lousteau",0.016,0.005,0.013,0.107,0
"P22","Seguro lo votaria",0.367,0.085,0.49,0.052,0.354
"P22","Quizás lo votaría",0.322,0.256,0.315,0.285,0.095
"P22","Nunca lo votaría",0.311,0.659,0.195,0.663,0.551
"P23","Muy buena",0.143,0.104,0.137,0.109,0.255
"P23","Buena",0.117,0.125,0.193,0.159,0.121
"P23","Ni buena ni mala",0.217,0.14,0.184,0.256,0.19
"P23","Mala",0.143,0.113,0.176,0.149,0.078
"P23","Muy mala",0.356,0.509,0.31,0.306,0.349
"P23","No sabe",0.024,0.009,0,0.021,0.007
"P24","Muy buena",0.104,0.198,0.098,0.069,0.17
"P24","Buena",0.157,0.144,0.191,0.099,0.151
"P24","Ni buena ni mala",0.148,0.232,0.135,0.232,0.041
"P24","Mala",0.264,0.075,0.237,0.269,0.236
"P24","Muy mala",0.322,0.346,0.328,0.331,0.395
"P24","No sabe",0.005,0.005,0.011,0,0.007
"P25","Muy buena",0.219,0.155,0.245,0.205,0.354
"P25","Buena",0.095,0.06,0.126,0.099,0.1
"P25","Ni buena ni mala",0.1,0.092,0.109,0.119,0.117
"P25","Mala",0.106,0.065,0.12,0.185,0.071
"P25","Muy mala",0.456,0.622,0.393,0.389,0.356
"P25","No sabe",0.024,0.006,0.007,0.003,0.002
"P26","Muy buena",0.172,0.214,0.185,0.097,0.151
"P26","Buena",0.189,0.25,0.206,0.256,0.106
"P26","Ni buena ni mala",0.19,0.245,0.222,0.223,0.129
"P26","Mala",0.155,0.09,0.133,0.101,0.155
"P26","Muy mala",0.268,0.192,0.247,0.299,0.376
"P26","No sabe",0.026,0.009,0.007,0.024,0.083
"P27","Muy buena",0.128,0.099,0.129,0.11,0.254
"P27","Buena",0.187,0.114,0.207,0.179,0.167
"P27","Ni buena ni mala",0.155,0.194,0.224,0.163,0.178
"P27","Mala",0.184,0.103,0.108,0.21,0.064
"P27","Muy mala",0.338,0.486,0.325,0.338,0.311
"P27","No sabe",0.008,0.004,0.007,0,0.026
"P28","Muy buena",0.25,0.275,0.179,0.176,0.179
"P28","Buena",0.137,0.23,0.137,0.168,0.109
"P28","Ni buena ni mala",0.149,0.179,0.13,0.217,0.122
"P28","Mala",0.141,0.029,0.171,0.097,0.12
"P28","Muy mala",0.294,0.285,0.383,0.301,0.448
"P28","No sabe",0.029,0.002,0,0.041,0.022
"P29","Muy buena",0.185,0.179,0.084,0.152,0.193
"P29","Buena",0.121,0.156,0.113,0.118,0.11
"P29","Ni buena ni mala",0.266,0.265,0.291,0.188,0.156
"P29","Mala",0.135,0.064,0.167,0.159,0.079
"P29","Muy mala",0.274,0.311,0.318,0.324,0.383
"P29","No sabe",0.019,0.025,0.027,0.059,0.079
