"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P22","No sabe",0.055,0.046,0.183,0.057,0,0.063,0.055,0,0,0
"P23","Si",0.672,0.375,0.424,0.592,0.48,0.581,0.912,1,1,0.199
"P23","No",0.251,0.499,0.328,0.377,0.391,0.311,0.088,0,0,0.312
"P23","No sabe",0.077,0.126,0.248,0.031,0.129,0.108,0,0,0,0.489
"P24","Excesiva",0.132,0.1,0.034,0.025,0.294,0.228,0,1,0,0
"P24","Adecuada",0.459,0.386,0.359,0.395,0.367,0.213,0.542,0,0.13,0.108
"P24","Insuficiente",0.258,0.357,0.267,0.34,0.19,0.279,0.27,0,0.87,0.091
"P24","Inaceptable",0.114,0.079,0.069,0.12,0.134,0.153,0,0,0,0
"P24","No sabe",0.037,0.078,0.271,0.12,0.015,0.127,0.188,0,0,0.801
"P26","Si",0.777,0.528,0.499,0.733,0.52,0.702,1,1,1,0.415
"P26","No",0.135,0.377,0.193,0.188,0.366,0.136,0,0,0,0.096
"P26","No sabe",0.088,0.095,0.308,0.079,0.114,0.162,0,0,0,0.489
"P27","Correcta",0.295,0.323,0.171,0.356,0.261,0.36,0.27,0,0.595,0
"P27","Incorrecta",0.592,0.511,0.292,0.47,0.424,0.572,0.433,1,0.13,0.415
"P27","No sabe",0.113,0.166,0.537,0.174,0.315,0.068,0.297,0,0.275,0.585
"P28","Si",0.781,0.335,0.336,0.493,0.505,0.659,0.944,1,1,0.199
"P28","No",0.188,0.611,0.186,0.407,0.467,0.341,0,0,0,0
"P28","No sabe",0.031,0.054,0.478,0.1,0.028,0,0.056,0,0,0.801
"P29","Correcta",0.665,0.263,0.218,0.45,0.713,0.398,0.374,1,0.725,0.108
"P29","Incorrecta",0.243,0.555,0.128,0.252,0.221,0.441,0.329,0,0.275,0.091
"P29","No sabe",0.092,0.182,0.654,0.298,0.066,0.161,0.297,0,0,0.801
"P30","Si",0.857,0.42,0.474,0.658,0.884,0.84,0.857,1,0.725,0.904
"P30","No",0.104,0.512,0.212,0.184,0.101,0.122,0.143,0,0,0.096
"P30","No sabe",0.039,0.068,0.314,0.158,0.015,0.038,0,0,0.275,0
"P31","Adecuada",0.181,0.258,0.154,0.367,0.413,0.255,0,0,0.87,0
"P31","Insuficiente",0.086,0.157,0.086,0.038,0.139,0.058,0.233,0,0,0.091
"P31","Excesiva",0.241,0.264,0.257,0.238,0.07,0.211,0.451,0,0,0.203
"P31","Inaceptable",0.457,0.286,0.34,0.269,0.322,0.434,0.075,1,0.13,0.489
"P31","No sabe",0.035,0.035,0.163,0.088,0.056,0.042,0.241,0,0,0.217
"P33","Si",0.432,0.472,0.357,0.634,0.636,0.482,0.578,0,0.87,0.72
"P33","No",0.463,0.421,0.291,0.226,0.325,0.371,0.181,1,0.13,0.064
"P33","No sabe",0.105,0.107,0.352,0.14,0.039,0.147,0.241,0,0,0.216
"P34","Si",0.598,0.437,0.358,0.457,0.629,0.553,0.231,1,0.725,0.688
"P34","No",0.298,0.443,0.334,0.452,0.356,0.424,0.528,0,0.275,0
"P34","No sabe",0.104,0.12,0.308,0.091,0.015,0.023,0.241,0,0,0.312
"P39","Muy buena",0.131,0.067,0,0,0,0,0,0,0,0
"P39","Buena",0.254,0.374,0.263,0.35,0.478,0.08,0.139,1,0.129,0.082
"P39","Ni buena ni mala",0.314,0.342,0.552,0.49,0.445,0.379,0.41,0,0.871,0.196
"P39","Mala",0.218,0.18,0.11,0.132,0.035,0.354,0.378,0,0,0.493
"P39","Muy mala",0.065,0.036,0.017,0.028,0.042,0.135,0.073,0,0,0
"P39","No sabe",0.018,0.001,0.058,0,0,0.052,0,0,0,0.229
"P40","Peor",0.334,0.324,0.307,0.455,0.226,0.417,0.557,0,0.251,0.515
"P40","Igual",0.447,0.453,0.397,0.43,0.469,0.477,0.387,1,0.749,0.443
"P40","Mejor",0.133,0.113,0.209,0.092,0.283,0.098,0.056,0,0,0
"P40","No sabe",0.086,0.11,0.087,0.023,0.022,0.008,0,0,0,0.042
"P41","Peor",0.314,0.378,0.216,0.375,0.02,0.32,0.616,0,0,0
"P41","Igual",0.276,0.384,0.296,0.304,0.273,0.395,0.243,0,0,0.272
"P41","Mejor",0.286,0.154,0.334,0.217,0.651,0.18,0.141,0,0.131,0
"P41","No sabe",0.124,0.084,0.154,0.104,0.056,0.105,0,1,0.869,0.728
"P42","El gobierno de Javier Milei",0.347,0.302,0.282,0.556,0.403,0.083,0.874,0,0.869,0.262
"P42","El gobierno de Alberto Fernández",0.521,0.505,0.463,0.373,0.594,0.767,0.053,1,0.131,0.125
"P42","Ambos",0.12,0.174,0.187,0.031,0.003,0.117,0.073,0,0,0.613
"P42","No sabe",0.012,0.019,0.068,0.04,0,0.033,0,0,0,0
"P43","Javier Milei",0.494,0.394,0.37,0.144,0.742,0.673,0,0,0.747,0.126
"P43","Los gobernadores",0.439,0.515,0.385,0.804,0.187,0.228,0.947,1,0.253,0.262
"P43","No sabe",0.067,0.091,0.245,0.052,0.071,0.099,0.053,0,0,0.612
"P44","Muy buena",0.226,0.15,0.184,0.147,0.513,0.039,0.173,0,0,0
"P44","Buena",0.264,0.386,0.207,0.316,0.221,0.16,0.527,0,0.13,0.096
"P44","Ni buena ni mala",0.298,0.32,0.404,0.344,0.225,0.396,0.3,1,0.87,0.85
"P44","Mala",0.142,0.114,0.053,0.057,0.041,0.299,0,0,0,0.054
"P44","Muy mala",0.067,0.03,0.033,0.095,0,0.09,0,0,0,0
"P44","No sabe",0.003,0,0.119,0.041,0,0.016,0,0,0,0
"P45","Muy buena",0.113,0.113,0.116,0.179,0.232,0.049,0.205,0,0,0
"P45","Buena",0.184,0.29,0.192,0.189,0.452,0.088,0.386,0,0.253,0
"P45","Ni buena ni mala",0.332,0.341,0.421,0.369,0.233,0.23,0.356,1,0.747,0.871
"P45","Mala",0.224,0.125,0.079,0.14,0.04,0.43,0.053,0,0,0.076
"P45","Muy mala",0.129,0.094,0.048,0.082,0.02,0.179,0,0,0,0.053
"P45","No sabe",0.018,0.037,0.144,0.041,0.023,0.024,0,0,0,0
"P46","Muy buena",0.092,0.059,0.141,0.026,0,0.013,0,0,0,0
"P46","Buena",0.111,0.237,0.142,0.204,0.604,0.008,0.139,0,0,0
"P46","Ni buena ni mala",0.243,0.226,0.248,0.188,0.175,0.249,0.108,1,0,0.639
"P46","Mala",0.337,0.363,0.233,0.318,0.138,0.307,0.68,0,1,0.308
"P46","Muy mala",0.212,0.113,0.157,0.132,0.083,0.414,0.073,0,0,0.053
"P46","No sabe",0.005,0.002,0.079,0.132,0,0.009,0,0,0,0
"P47","Muy buena",0.11,0.033,0.092,0.042,0,0,0,0,0,0
"P47","Buena",0.089,0.205,0.155,0.154,0.31,0.06,0,0,0,0
"P47","Ni buena ni mala",0.402,0.453,0.359,0.366,0.415,0.414,0.76,1,1,0.924
"P47","Mala",0.178,0.201,0.21,0.127,0.255,0.108,0.24,0,0,0.076
"P47","Muy mala",0.163,0.085,0.06,0.221,0.02,0.401,0,0,0,0
"P47","No sabe",0.058,0.023,0.124,0.09,0,0.017,0,0,0,0
"P48","Muy buena",0.174,0.116,0.08,0.21,0,0.018,0.363,0,0.62,0
"P48","Buena",0.135,0.281,0.2,0.135,0.178,0.054,0.219,0,0,0
"P48","Ni buena ni mala",0.287,0.348,0.345,0.307,0.599,0.292,0.178,0,0.248,0.772
"P48","Mala",0.213,0.163,0.198,0.136,0.223,0.307,0.24,1,0.132,0.174
"P48","Muy mala",0.166,0.084,0.062,0.172,0,0.303,0,0,0,0.054
"P48","No sabe",0.025,0.008,0.115,0.04,0,0.026,0,0,0,0
"P49","Muy buena",0.23,0.226,0.159,0.452,0.391,0.086,0.883,0,0.62,0
"P49","Buena",0.088,0.18,0.162,0.074,0.03,0.017,0.06,0,0.248,0.229
"P49","Ni buena ni mala",0.077,0.175,0.142,0.044,0.072,0.058,0,0,0,0
"P49","Mala",0.249,0.179,0.268,0.21,0.392,0.157,0,0,0,0.098
"P49","Muy mala",0.346,0.24,0.255,0.18,0.115,0.673,0.057,1,0.132,0.673
"P49","No sabe",0.01,0,0.014,0.04,0,0.009,0,0,0,0
"P50","Muy buena",0.133,0.062,0.112,0.066,0.386,0.177,0,1,0.132,0
"P50","Buena",0.149,0.287,0.127,0.05,0.091,0.114,0,0,0,0.672
"P50","Ni buena ni mala",0.21,0.215,0.202,0.171,0.109,0.379,0,0,0,0.098
"P50","Mala",0.241,0.195,0.337,0.246,0.374,0.046,0.363,0,0.868,0.23
"P50","Muy mala",0.249,0.237,0.18,0.427,0.04,0.284,0.637,0,0,0
"P50","No sabe",0.018,0.004,0.042,0.04,0,0,0,0,0,0
"P51","Muy buena",0.147,0.076,0.112,0.2,0.281,0.018,0.273,0,0.618,0
"P51","Buena",0.119,0.239,0.206,0.201,0.17,0.102,0.553,0,0.25,0.229
"P51","Ni buena ni mala",0.1,0.255,0.155,0.163,0.093,0.031,0.06,0,0,0.641
"P51","Mala",0.235,0.176,0.256,0.194,0.392,0.289,0,0,0,0
"P51","Muy mala",0.395,0.25,0.26,0.202,0.064,0.534,0.114,1,0.132,0.13
"P51","No sabe",0.004,0.004,0.011,0.04,0,0.026,0,0,0,0
"P52","Muy buena",0.37,0.271,0.241,0.254,0.392,0.603,0,0,0,0.13
"P52","Buena",0.147,0.174,0.168,0.062,0.187,0.083,0.057,1,0.133,0.543
"P52","Ni buena ni mala",0.079,0.145,0.216,0.023,0.003,0.126,0,0,0,0.098
"P52","Mala",0.144,0.14,0.197,0.1,0.308,0.016,0,0,0.867,0
"P52","Muy mala",0.26,0.27,0.168,0.521,0.11,0.172,0.943,0,0,0.229
"P52","No sabe",0,0,0.01,0.04,0,0,0,0,0,0
"P53","Muy buena",0.317,0.226,0.231,0.096,0.39,0.475,0,0,0.13,0
"P53","Buena",0.216,0.194,0.103,0.183,0.125,0.195,0.057,0,0,0.13
"P53","Ni buena ni mala",0.093,0.177,0.264,0.05,0.07,0.08,0,1,0,0.098
"P53","Mala",0.158,0.127,0.195,0.106,0.109,0.061,0,0,0.251,0.54
"P53","Muy mala",0.215,0.273,0.197,0.524,0.306,0.189,0.943,0,0.619,0.232
"P53","No sabe",0.001,0.003,0.01,0.041,0,0,0,0,0,0
"P54","Muy buena",0.184,0.137,0.17,0.111,0.358,0.273,0,0,0,0
"P54","Buena",0.147,0.197,0.114,0.051,0.085,0.183,0,0,0,0.076
"P54","Ni buena ni mala",0.28,0.255,0.295,0.168,0.172,0.308,0.277,1,0.13,0.054
"P54","Mala",0.15,0.129,0.186,0.149,0.003,0.047,0.147,0,0.252,0.541
"P54","Muy mala",0.219,0.266,0.199,0.48,0.382,0.173,0.452,0,0.618,0.232
"P54","No sabe",0.02,0.016,0.036,0.041,0,0.016,0.124,0,0,0.097
"P55","Muy buena",0.377,0.261,0.329,0.08,0.444,0.549,0,0,0.13,0.054
"P55","Buena",0.138,0.219,0.082,0.184,0.07,0.103,0.057,1,0,0.076
"P55","Ni buena ni mala",0.122,0.196,0.254,0.063,0.102,0.155,0,0,0,0.638
"P55","Mala",0.146,0.079,0.082,0.176,0.003,0.011,0.3,0,0.252,0
"P55","Muy mala",0.213,0.233,0.149,0.456,0.381,0.157,0.643,0,0.618,0.232
"P55","No sabe",0.004,0.012,0.104,0.041,0,0.025,0,0,0,0
"P56","Muy buena",0.124,0.087,0.058,0.014,0.314,0.095,0,0,0,0
"P56","Buena",0.166,0.268,0.155,0.09,0.003,0.311,0.093,0,0.381,0.054
"P56","Ni buena ni mala",0.395,0.375,0.453,0.432,0.256,0.268,0.428,0,0,0.715
"P56","Mala",0.165,0.137,0.146,0.183,0.258,0.192,0.355,1,0.619,0.231
"P56","Muy mala",0.132,0.121,0.059,0.24,0.169,0.086,0.124,0,0,0
"P56","No sabe",0.018,0.012,0.129,0.041,0,0.048,0,0,0,0
"P57","Muy buena",0.185,0.083,0.095,0.039,0.402,0.213,0,0,0,0.055
"P57","Buena",0.193,0.231,0.182,0.154,0.115,0.243,0,1,0.129,0.076
"P57","Ni buena ni mala",0.207,0.261,0.316,0.092,0.071,0.252,0.057,0,0,0.636
"P57","Mala",0.143,0.137,0.137,0.182,0.03,0.069,0,0,0.25,0
"P57","Muy mala",0.246,0.28,0.144,0.493,0.382,0.223,0.943,0,0.621,0.233
"P57","No sabe",0.026,0.008,0.126,0.04,0,0,0,0,0,0
"P58","Muy buena",0.141,0.118,0.088,0.129,0.317,0.297,0,0,0.129,0.131
"P58","Buena",0.179,0.199,0.124,0.087,0.053,0.168,0,0,0,0
"P58","Ni buena ni mala",0.315,0.344,0.339,0.185,0.136,0.292,0.057,1,0.621,0.538
"P58","Mala",0.146,0.113,0.087,0.124,0.112,0.103,0.218,0,0.25,0
"P58","Muy mala",0.156,0.171,0.152,0.406,0.313,0.132,0.725,0,0,0
"P58","No sabe",0.063,0.055,0.21,0.069,0.069,0.008,0,0,0,0.331
