"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P10","Unión por la Patria",0.709,0.732,0.12,0.165,0.163,0.426,0.123,0.288,0.198,0.094
"P10","Juntos por el Cambio",0.12,0.146,0.602,0.613,0.277,0.129,0.399,0.161,0.132,0.219
"P10","Liberales",0.039,0.018,0.192,0.063,0.429,0.047,0.074,0.146,0.167,0.069
"P10","Izquierda",0.017,0.034,0.003,0.02,0.025,0.247,0,0.068,0.07,0.005
"P10","Otro",0.053,0.046,0.027,0.034,0.02,0.103,0.311,0.219,0.045,0.024
"P10","No sabe",0.062,0.024,0.056,0.105,0.086,0.048,0.093,0.118,0.388,0.589
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.65,0.665,0.046,0.088,0.146,0.35,0.139,0.168,0.281,0.072
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.167,0.194,0.037,0.024,0.043,0.308,0.028,0.141,0.029,0.014
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.03,0.019,0.472,0.478,0.242,0.008,0.171,0.017,0.05,0.1
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.049,0.039,0.175,0.277,0.097,0.125,0.23,0.063,0.055,0.104
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.055,0.029,0.229,0.077,0.427,0.023,0.032,0.113,0.158,0.032
"P19","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.009,0.028,0.002,0.004,0.01,0.147,0.022,0.074,0.058,0.023
"P19","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.004,0.01,0.008,0.01,0.015,0.004,0.15,0.003,0.055,0.009
"P19","Otros",0.011,0.01,0.018,0.003,0.013,0.029,0.127,0.326,0.022,0.01
"P19","En blanco",0.005,0.002,0.001,0.022,0.001,0.006,0,0.072,0.066,0.014
"P19","No sabe",0.02,0.004,0.012,0.017,0.006,0,0.101,0.023,0.226,0.622
"P22","Totalmente seguro",0.639,0.691,0.706,0.482,0.685,0.592,0.414,0.519,0.396,0.233
"P22","Bastante seguro",0.2,0.184,0.127,0.262,0.11,0.204,0.277,0.19,0.125,0.032
"P22","Algo seguro",0.086,0.094,0.09,0.147,0.168,0.108,0.141,0.112,0.131,0.115
"P22","Para nada seguro",0.075,0.031,0.077,0.109,0.037,0.096,0.168,0.179,0.348,0.62
"P34","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.817,0.758,0.05,0.116,0.11,0.457,0.218,0.288,0.26,0.161
"P34","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.049,0.047,0.668,0.64,0.28,0.032,0.226,0.063,0.108,0.209
"P34","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.048,0.027,0.211,0.09,0.508,0.031,0,0.143,0.191,0.058
"P34","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.029,0.045,0.011,0.028,0.022,0.391,0,0.047,0.067,0
"P34","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.007,0.046,0.015,0.019,0.015,0,0.349,0.035,0.016,0
"P34","Otros",0.017,0.052,0.019,0.056,0.025,0.069,0.064,0.179,0.105,0.004
"P34","En blanco",0.013,0.015,0.001,0.016,0.023,0.014,0.035,0.02,0.12,0.074
"P34","No sabe",0.02,0.01,0.025,0.035,0.017,0.006,0.108,0.225,0.133,0.494
"P35","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.816,0.777,0.06,0.091,0.147,0.277,0.151,0.304,0.236,0.143
"P35","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.048,0.043,0.541,0.717,0.193,0.02,0.241,0.054,0.178,0.155
"P35","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.051,0.028,0.266,0.089,0.595,0.033,0.074,0.131,0.148,0.032
"P35","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.023,0.052,0.008,0.009,0.008,0.372,0,0.022,0.088,0.005
"P35","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.013,0.034,0.016,0.009,0.01,0,0.407,0.042,0,0.005
"P35","Otros",0.018,0.034,0.039,0.029,0.023,0.196,0.127,0.155,0.062,0.018
"P35","En blanco",0.007,0.015,0.024,0.01,0.012,0.039,0,0.052,0.263,0.126
"P35","No sabe",0.024,0.017,0.046,0.046,0.012,0.063,0,0.24,0.025,0.516
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.878,0.845,0.074,0.147,0.198,0.636,0.155,0.394,0.334,0.184
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.062,0.05,0.833,0.688,0.493,0.042,0.444,0.169,0.133,0.351
"P36","En blanco",0.034,0.068,0.053,0.07,0.207,0.283,0.219,0.184,0.445,0.008
"P36","No sabe",0.026,0.037,0.04,0.095,0.102,0.039,0.182,0.253,0.088,0.457
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.126,0.117,0.677,0.676,0.32,0.184,0.381,0.035,0.145,0.272
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.063,0.089,0.24,0.118,0.515,0.018,0.107,0.298,0.22,0.174
"P37","En blanco",0.532,0.651,0.048,0.118,0.093,0.596,0.303,0.485,0.556,0.186
"P37","No sabe",0.279,0.143,0.035,0.088,0.072,0.202,0.209,0.182,0.079,0.368
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.848,0.81,0.095,0.128,0.195,0.648,0.201,0.397,0.413,0.187
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.052,0.054,0.663,0.797,0.403,0.023,0.331,0.042,0.088,0.205
"P38","En blanco",0.053,0.078,0.147,0.032,0.266,0.275,0.258,0.247,0.401,0.18
"P38","No sabe",0.047,0.058,0.095,0.043,0.136,0.054,0.21,0.314,0.098,0.428
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.188,0.176,0.501,0.763,0.207,0.233,0.329,0.068,0.244,0.241
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.072,0.054,0.335,0.111,0.625,0.061,0.238,0.222,0.226,0.167
"P39","En blanco",0.488,0.601,0.088,0.057,0.084,0.508,0.291,0.436,0.418,0.124
"P39","No sabe",0.252,0.169,0.076,0.069,0.084,0.198,0.142,0.274,0.112,0.468
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.861,0.853,0.1,0.142,0.173,0.683,0.291,0.393,0.319,0.198
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.041,0.475,0.313,0.703,0.061,0.135,0.301,0.221,0.209
"P40","En blanco",0.028,0.076,0.219,0.3,0.074,0.229,0.195,0.109,0.391,0.197
"P40","No sabe",0.041,0.03,0.206,0.245,0.05,0.027,0.379,0.197,0.069,0.396
"P50","Lo votaría",0.805,0.806,0.091,0.118,0.131,0.517,0.201,0.38,0.264,0.096
"P50","Puede que lo vote",0.072,0.067,0.07,0.073,0.158,0.115,0.219,0.194,0.248,0.053
"P50","Nunca lo votaría",0.084,0.09,0.809,0.752,0.681,0.345,0.58,0.343,0.387,0.598
"P50","No sabe",0.039,0.037,0.03,0.057,0.03,0.023,0,0.083,0.101,0.253
"P51","Lo votaría",0.526,0.725,0.038,0.039,0.093,0.461,0.08,0.17,0.165,0.069
"P51","Puede que lo vote",0.234,0.198,0.041,0.04,0.12,0.308,0.185,0.26,0.154,0.02
"P51","Nunca lo votaría",0.176,0.051,0.908,0.902,0.759,0.231,0.687,0.448,0.549,0.771
"P51","No sabe",0.064,0.026,0.013,0.019,0.028,0,0.048,0.122,0.132,0.14
"P52","Lo votaría",0.09,0.057,0.651,0.613,0.305,0.019,0.236,0.101,0.084,0.231
"P52","Puede que lo vote",0.094,0.068,0.168,0.128,0.227,0.16,0.264,0.107,0.084,0.164
"P52","Nunca lo votaría",0.777,0.849,0.164,0.237,0.437,0.793,0.46,0.715,0.718,0.317
"P52","No sabe",0.039,0.026,0.017,0.022,0.031,0.028,0.04,0.077,0.114,0.288
"P53","Lo votaría",0.059,0.043,0.471,0.607,0.225,0.027,0.257,0.037,0.061,0.126
"P53","Puede que lo vote",0.113,0.068,0.255,0.293,0.202,0.045,0.281,0.048,0.122,0.212
"P53","Nunca lo votaría",0.783,0.848,0.232,0.067,0.556,0.88,0.436,0.804,0.703,0.351
"P53","No sabe",0.045,0.041,0.042,0.033,0.017,0.048,0.026,0.111,0.114,0.311
"P54","Lo votaría",0.044,0.043,0.289,0.131,0.605,0.042,0,0.136,0.26,0.109
"P54","Puede que lo vote",0.07,0.043,0.213,0.321,0.185,0.01,0.061,0.056,0,0.173
"P54","Nunca lo votaría",0.859,0.88,0.467,0.502,0.185,0.929,0.843,0.647,0.637,0.374
"P54","No sabe",0.027,0.034,0.031,0.046,0.025,0.019,0.096,0.161,0.103,0.344
"P55","Lo votaría",0.069,0.096,0.045,0.009,0.124,0.629,0,0.04,0.169,0.019
"P55","Puede que lo vote",0.328,0.365,0.05,0.078,0.043,0.295,0.167,0.255,0.128,0.074
"P55","Nunca lo votaría",0.545,0.472,0.883,0.87,0.804,0.064,0.686,0.542,0.609,0.737
"P55","No sabe",0.058,0.067,0.022,0.043,0.029,0.012,0.147,0.163,0.094,0.17
"P56","Lo votaría",0.02,0.034,0.027,0.027,0.075,0.187,0.455,0.035,0.026,0.008
"P56","Puede que lo vote",0.223,0.198,0.141,0.203,0.17,0.275,0.446,0.182,0.123,0.258
"P56","Nunca lo votaría",0.687,0.689,0.781,0.684,0.703,0.518,0.099,0.588,0.719,0.538
"P56","No sabe",0.07,0.079,0.051,0.086,0.052,0.02,0,0.195,0.132,0.196
"P60","Si",0.538,0.487,0.513,0.539,0.609,0.548,0.32,0.538,0.617,0.218
"P60","No",0.462,0.513,0.487,0.461,0.391,0.452,0.68,0.462,0.383,0.782
