"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P50","Lo votaría",0.829,0.031,0.156,0.076
"P50","Puede que lo vote",0.086,0.095,0.07,0.116
"P50","Nunca lo votaría",0.056,0.847,0.732,0.55
"P50","No sabe",0.029,0.027,0.042,0.258
"P51","Lo votaría",0.561,0.013,0.171,0.079
"P51","Puede que lo vote",0.248,0.037,0.083,0.05
"P51","Nunca lo votaría",0.144,0.939,0.724,0.699
"P51","No sabe",0.047,0.011,0.022,0.172
"P52","Lo votaría",0.091,0.664,0.072,0.163
"P52","Puede que lo vote",0.078,0.188,0.172,0.152
"P52","Nunca lo votaría",0.799,0.134,0.717,0.483
"P52","No sabe",0.032,0.014,0.039,0.202
"P53","Lo votaría",0.078,0.484,0.121,0.284
"P53","Puede que lo vote",0.109,0.277,0.097,0.166
"P53","Nunca lo votaría",0.779,0.201,0.754,0.356
"P53","No sabe",0.034,0.038,0.028,0.194
"P54","Lo votaría",0.055,0.291,0.469,0.365
"P54","Puede que lo vote",0.062,0.273,0.07,0.095
"P54","Nunca lo votaría",0.855,0.396,0.445,0.353
"P54","No sabe",0.028,0.04,0.016,0.187
"P55","Lo votaría",0.115,0.033,0.096,0.053
"P55","Puede que lo vote",0.337,0.031,0.138,0.064
"P55","Nunca lo votaría",0.49,0.915,0.75,0.665
"P55","No sabe",0.058,0.021,0.016,0.218
"P56","Lo votaría",0.049,0.027,0.045,0.037
"P56","Puede que lo vote",0.223,0.179,0.123,0.099
"P56","Nunca lo votaría",0.651,0.754,0.763,0.609
"P56","No sabe",0.077,0.04,0.069,0.255
"P60","Si",0.537,0.515,0.545,0.422
"P60","No",0.463,0.485,0.455,0.578
