"var","categoria","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero","No sabe"
"P24","Nunca lo votaría",0.826,0.834,0.599,0.305,0.153,0.422,0.605,0.854,0.711,0.448
"P24","No sabe",0.078,0.099,0.274,0.179,0.173,0.308,0.147,0.055,0,0.459
"P25","Lo votaría",0.023,0.007,0.024,0.063,0.029,0.285,0.049,0.048,0,0
"P25","Puede que lo vote",0.042,0.038,0.025,0.152,0.144,0.017,0.134,0.138,0.166,0.064
"P25","Nunca lo votaría",0.84,0.851,0.617,0.46,0.513,0.416,0.556,0.802,0.777,0.458
"P25","No sabe",0.095,0.104,0.334,0.325,0.314,0.282,0.261,0.012,0.057,0.478
"P26","Lo votaría",0.023,0.013,0.008,0.02,0.033,0.093,0.185,0.034,0,0
"P26","Puede que lo vote",0.031,0.021,0.041,0.215,0.144,0.052,0.052,0.011,0.163,0.065
"P26","Nunca lo votaría",0.852,0.854,0.657,0.449,0.504,0.536,0.589,0.713,0.778,0.448
"P26","No sabe",0.094,0.112,0.294,0.316,0.319,0.319,0.174,0.242,0.059,0.487
"P27","Lo votaría",0.043,0.007,0.004,0.023,0.013,0.009,0.046,0.692,0,0
"P27","Puede que lo vote",0.018,0.031,0.014,0.139,0.066,0.11,0.114,0.024,0.64,0.079
"P27","Nunca lo votaría",0.821,0.824,0.676,0.484,0.607,0.525,0.621,0.21,0.36,0.476
"P27","No sabe",0.118,0.138,0.306,0.354,0.314,0.356,0.219,0.074,0,0.445
"P28","Lo votaría",0.017,0.016,0.007,0.01,0,0.075,0.025,0.172,0.077,0
"P28","Puede que lo vote",0.044,0.017,0.058,0.055,0.022,0.125,0.074,0.235,0.637,0.082
"P28","Nunca lo votaría",0.831,0.822,0.636,0.533,0.697,0.569,0.674,0.371,0.286,0.455
"P28","No sabe",0.108,0.145,0.299,0.402,0.281,0.231,0.227,0.222,0,0.463
"P29","La votaría",0.259,0.07,0.071,0.043,0.045,0.024,0.2,0.352,0,0.007
"P29","Puede que la vote",0.133,0.172,0.063,0.08,0.021,0.181,0.104,0,0.303,0.053
"P29","Nunca la votaría",0.44,0.535,0.585,0.487,0.57,0.472,0.524,0.381,0.697,0.503
"P29","No sabe",0.168,0.223,0.281,0.39,0.364,0.323,0.172,0.267,0,0.437
"P30","La votaría",0.081,0.158,0.053,0.045,0.045,0.043,0.07,0.019,0,0.008
"P30","Puede que la vote",0.155,0.128,0.068,0.102,0.084,0.062,0.084,0.032,0.174,0.072
"P30","Nunca la votaría",0.533,0.466,0.559,0.524,0.554,0.587,0.605,0.576,0.826,0.448
"P30","No sabe",0.231,0.248,0.32,0.329,0.317,0.308,0.241,0.373,0,0.472
"P31","Lo votaría",0.026,0.05,0.235,0.075,0.017,0.03,0.05,0,0,0.059
"P31","Puede que lo vote",0.155,0.159,0.162,0.146,0.161,0.135,0.125,0,0.199,0.1
"P31","Nunca lo votaría",0.662,0.61,0.323,0.592,0.629,0.568,0.666,0.524,0.736,0.42
"P31","No sabe",0.157,0.181,0.28,0.187,0.193,0.267,0.159,0.476,0.065,0.421
"P32","Lo votaría",0.005,0.036,0.025,0.392,0.13,0.061,0.042,0,0,0
"P32","Puede que lo vote",0.038,0.024,0.057,0.09,0.315,0.17,0.184,0.036,0.707,0.091
"P32","Nunca lo votaría",0.796,0.782,0.567,0.332,0.323,0.661,0.62,0.585,0.293,0.507
"P32","No sabe",0.161,0.158,0.351,0.186,0.232,0.108,0.154,0.379,0,0.402
"P33","La votaría",0.002,0.018,0.01,0.069,0.374,0.065,0.067,0.019,0,0
"P33","Puede que la vote",0.021,0.036,0.068,0.154,0.135,0.09,0.122,0,0.196,0.081
"P33","Nunca la votaría",0.772,0.674,0.539,0.461,0.269,0.674,0.585,0.567,0.804,0.442
"P33","No sabe",0.205,0.272,0.383,0.316,0.222,0.171,0.226,0.414,0,0.477
"P34","La votaría",0.019,0.011,0.046,0.025,0.062,0.291,0.046,0.081,0,0
"P34","Puede que la vote",0.014,0.044,0.04,0.106,0.068,0.028,0.112,0.016,0.167,0.066
"P34","Nunca la votaría",0.739,0.66,0.579,0.489,0.372,0.406,0.56,0.475,0.771,0.444
"P34","No sabe",0.228,0.285,0.335,0.38,0.498,0.275,0.282,0.428,0.062,0.49
"P35","La votaría",0.004,0.011,0.006,0.011,0.008,0.204,0.131,0.02,0,0.022
"P35","Puede que la vote",0.019,0.037,0.058,0.089,0.115,0.014,0.163,0.118,0.168,0.078
"P35","Nunca la votaría",0.724,0.67,0.583,0.473,0.395,0.582,0.472,0.807,0.832,0.399
"P35","No sabe",0.253,0.282,0.353,0.427,0.482,0.2,0.234,0.055,0,0.501
"P36","La votaría",0.028,0.043,0.021,0.045,0.053,0.157,0.089,0.496,0,0.012
"P36","Puede que la vote",0.026,0.067,0.03,0.219,0.162,0.031,0.161,0.155,0.169,0.059
"P36","Nunca la votaría",0.831,0.784,0.727,0.541,0.583,0.772,0.648,0.349,0.831,0.509
"P36","No sabe",0.115,0.106,0.222,0.195,0.202,0.04,0.102,0,0,0.42
"P37","La votaría",0,0.014,0.006,0.011,0,0.014,0.016,0.267,0.08,0.012
"P37","Puede que la vote",0.005,0.056,0.024,0.077,0.014,0.014,0.083,0.044,0.726,0.063
"P37","Nunca la votaría",0.773,0.728,0.666,0.531,0.496,0.715,0.625,0.516,0.194,0.42
"P37","No sabe",0.222,0.202,0.304,0.381,0.49,0.257,0.276,0.173,0,0.505
"P38","Muy buena",0.574,0.213,0.072,0.056,0.054,0.267,0.357,0.258,0,0.026
"P38","Buena",0.195,0.235,0.173,0.088,0.03,0.122,0.259,0,0.193,0.074
"P38","Ni buena ni mala",0.167,0.208,0.293,0.115,0.106,0.174,0.106,0.054,0.169,0.275
"P38","Mala",0.052,0.232,0.218,0.211,0.176,0.064,0.071,0.223,0,0.34
"P38","Muy mala",0.009,0.112,0.212,0.495,0.572,0.373,0.207,0.465,0.638,0.167
"P38","No sabe",0.003,0,0.032,0.035,0.062,0,0,0,0,0.118
"P39","Muy buena",0.308,0.492,0.095,0.019,0.081,0.178,0.165,0.149,0,0.038
"P39","Buena",0.3,0.269,0.173,0.141,0.053,0.035,0.223,0,0.198,0.073
"P39","Ni buena ni mala",0.281,0.142,0.385,0.319,0.377,0.365,0.232,0.222,0.171,0.261
"P39","Mala",0.056,0.036,0.145,0.168,0.124,0.03,0.104,0.062,0.084,0.275
"P39","Muy mala",0.017,0.034,0.07,0.291,0.308,0.37,0.205,0.529,0.547,0.071
"P39","No sabe",0.038,0.027,0.132,0.062,0.057,0.022,0.071,0.038,0,0.282
"P40","Muy buena",0.09,0.079,0.326,0.04,0.043,0.195,0.031,0.058,0,0.03
"P40","Buena",0.203,0.191,0.262,0.104,0.049,0.165,0.202,0.03,0,0.067
"P40","Ni buena ni mala",0.347,0.355,0.23,0.344,0.378,0.302,0.266,0.232,0.371,0.236
"P40","Mala",0.206,0.149,0.072,0.175,0.167,0.105,0.255,0.221,0.084,0.249
"P40","Muy mala",0.128,0.16,0.046,0.31,0.294,0.233,0.211,0.459,0.545,0.146
"P40","No sabe",0.026,0.066,0.064,0.027,0.069,0,0.035,0,0,0.272
"P41","Muy buena",0.008,0.021,0.034,0.311,0.076,0.023,0.009,0,0.547,0.004
"P41","Buena",0.052,0.066,0.054,0.266,0.173,0.166,0.09,0.027,0,0.056
"P41","Ni buena ni mala",0.361,0.369,0.342,0.199,0.353,0.554,0.381,0.412,0.453,0.208
"P41","Mala",0.242,0.201,0.205,0.071,0.09,0.124,0.358,0.032,0,0.219
"P41","Muy mala",0.214,0.183,0.173,0.115,0.135,0.118,0.105,0.529,0,0.186
"P41","No sabe",0.123,0.16,0.192,0.038,0.173,0.015,0.057,0,0,0.327
"P42","Muy buena",0,0.019,0.011,0.176,0.491,0.125,0.099,0.026,0,0
"P42","Buena",0.03,0.043,0.06,0.301,0.223,0.292,0.142,0,0,0.109
"P42","Ni buena ni mala",0.313,0.273,0.273,0.229,0.063,0.417,0.199,0.382,0.37,0.186
"P42","Mala",0.343,0.271,0.207,0.158,0.03,0.04,0.319,0.063,0.079,0.123
"P42","Muy mala",0.241,0.296,0.225,0.093,0.074,0.126,0.203,0.529,0.551,0.206
"P42","No sabe",0.073,0.098,0.224,0.043,0.119,0,0.038,0,0,0.376
"P43","Muy buena",0,0.027,0.007,0.083,0.009,0.347,0.024,0,0,0
"P43","Buena",0.014,0.028,0.014,0.107,0.077,0.072,0.083,0.126,0,0.068
"P43","Ni buena ni mala",0.3,0.385,0.324,0.407,0.366,0.438,0.359,0.16,0.309,0.266
"P43","Mala",0.239,0.163,0.172,0.13,0.093,0.038,0.193,0.188,0.549,0.104
"P43","Muy mala",0.181,0.139,0.169,0.107,0.158,0.09,0.087,0.499,0,0.174
"P43","No sabe",0.266,0.258,0.314,0.166,0.297,0.015,0.254,0.027,0.142,0.388
"P44","Muy buena",0.006,0.003,0.003,0.052,0.054,0.127,0.249,0,0,0
"P44","Buena",0.014,0.015,0.014,0.159,0.111,0.069,0.023,0.023,0,0.067
"P44","Ni buena ni mala",0.298,0.337,0.252,0.347,0.257,0.501,0.285,0.234,0.178,0.178
"P44","Mala",0.198,0.174,0.176,0.145,0.176,0.122,0.228,0,0,0.114
"P44","Muy mala",0.238,0.204,0.205,0.091,0.173,0.165,0.08,0.527,0.679,0.208
"P44","No sabe",0.246,0.267,0.35,0.206,0.229,0.016,0.135,0.216,0.143,0.433
"P45","Muy buena",0.003,0.007,0.003,0.041,0.022,0.142,0.158,0.344,0,0
"P45","Buena",0.013,0.033,0.02,0.099,0.04,0.05,0.061,0.081,0,0.058
"P45","Ni buena ni mala",0.294,0.381,0.283,0.39,0.265,0.662,0.287,0.184,0,0.215
"P45","Mala",0.21,0.126,0.157,0.148,0.181,0.023,0.197,0,0.543,0.13
"P45","Muy mala",0.215,0.151,0.21,0.123,0.21,0.091,0.086,0.236,0.137,0.147
"P45","No sabe",0.265,0.302,0.327,0.199,0.282,0.032,0.211,0.155,0.32,0.45
"P46","Muy buena",0,0.003,0.011,0.036,0.006,0.112,0.049,0.279,0.076,0
"P46","Buena",0.011,0.05,0.012,0.035,0,0.034,0.027,0.055,0,0.082
"P46","Ni buena ni mala",0.307,0.318,0.288,0.339,0.256,0.601,0.418,0.166,0,0.272
"P46","Mala",0.152,0.119,0.136,0.193,0.11,0.06,0.172,0,0.549,0.123
"P46","Muy mala",0.19,0.124,0.199,0.088,0.254,0.089,0.068,0.271,0.136,0.131
"P46","No sabe",0.34,0.386,0.354,0.309,0.374,0.104,0.266,0.229,0.239,0.392
"P47","Muy buena",0.166,0.052,0.008,0.038,0.049,0,0.06,0,0,0.009
"P47","Buena",0.127,0.081,0.071,0.093,0.031,0.021,0.142,0,0,0.065
"P47","Ni buena ni mala",0.296,0.404,0.302,0.268,0.158,0.393,0.305,0.263,0,0.269
"P47","Mala",0.115,0.063,0.134,0.151,0.161,0.022,0.126,0,0,0.089
"P47","Muy mala",0.09,0.083,0.198,0.256,0.328,0.476,0.208,0.657,0.684,0.174
"P47","No sabe",0.206,0.317,0.287,0.194,0.273,0.088,0.159,0.08,0.316,0.394
"P48","Muy buena",0.04,0.11,0.005,0.014,0.005,0,0.015,0,0,0
"P48","Buena",0.101,0.083,0.015,0.064,0.003,0,0.083,0,0,0.004
"P48","Ni buena ni mala",0.379,0.467,0.279,0.369,0.281,0.446,0.436,0.412,0,0.315
"P48","Mala",0.116,0.042,0.122,0.203,0.118,0.066,0.188,0.054,0,0.124
"P48","Muy mala",0.1,0.068,0.185,0.116,0.238,0.393,0.057,0.453,0.676,0.151
"P48","No sabe",0.264,0.23,0.394,0.234,0.355,0.095,0.221,0.081,0.324,0.406
"P49","Muy buena",0.031,0.02,0.231,0.022,0,0.021,0.034,0,0,0.02
"P49","Buena",0.111,0.087,0.147,0.075,0.054,0,0.207,0.13,0,0.01
"P49","Ni buena ni mala",0.288,0.398,0.23,0.354,0.287,0.519,0.268,0.281,0.14,0.328
"P49","Mala",0.153,0.153,0.151,0.18,0.071,0.118,0.264,0.022,0,0.148
"P49","Muy mala",0.249,0.14,0.057,0.265,0.283,0.325,0.148,0.535,0.674,0.158
"P49","No sabe",0.168,0.202,0.184,0.104,0.305,0.017,0.079,0.032,0.186,0.336
"P50","Muy buena",0.008,0.019,0.042,0.43,0.043,0.029,0.075,0,0,0
"P50","Buena",0.034,0.032,0.018,0.121,0.209,0.119,0.115,0.182,0,0.01
"P50","Ni buena ni mala",0.23,0.311,0.239,0.164,0.265,0.508,0.188,0.278,0.139,0.295
"P50","Mala",0.191,0.209,0.162,0.148,0.114,0.023,0.289,0,0,0.126
"P50","Muy mala",0.343,0.252,0.213,0.058,0.144,0.304,0.216,0.508,0.674,0.199
"P50","No sabe",0.194,0.177,0.326,0.079,0.225,0.017,0.117,0.032,0.187,0.37
"P51","Muy buena",0,0.006,0.003,0.069,0.242,0.254,0.031,0,0,0
"P51","Buena",0.036,0.025,0.015,0.09,0.235,0.136,0.177,0,0,0.018
"P51","Ni buena ni mala",0.342,0.365,0.314,0.326,0.193,0.451,0.246,0.437,0,0.254
"P51","Mala",0.12,0.155,0.142,0.197,0.012,0.024,0.194,0,0,0.115
"P51","Muy mala",0.191,0.139,0.181,0.089,0.059,0.1,0.147,0.507,0.671,0.225
"P51","No sabe",0.311,0.31,0.345,0.229,0.259,0.035,0.205,0.056,0.329,0.388
"P52","Muy buena",0.024,0.014,0.031,0.096,0.01,0.361,0.027,0.1,0,0
"P52","Buena",0.012,0.027,0.003,0.037,0.03,0.017,0.038,0,0,0
"P52","Ni buena ni mala",0.303,0.37,0.289,0.32,0.379,0.486,0.297,0.294,0,0.307
"P52","Mala",0.125,0.12,0.144,0.162,0.041,0,0.179,0,0,0.11
"P52","Muy mala",0.164,0.129,0.156,0.062,0.171,0.101,0.091,0.5,0.673,0.164
"P52","No sabe",0.372,0.34,0.377,0.323,0.369,0.035,0.368,0.106,0.327,0.419
"P53","Muy buena",0,0.025,0,0.014,0.026,0.022,0.097,0,0,0
"P53","Buena",0.03,0.008,0.032,0.092,0.051,0.098,0.055,0,0,0
"P53","Ni buena ni mala",0.324,0.349,0.269,0.38,0.358,0.424,0.289,0.42,0,0.31
"P53","Mala",0.121,0.126,0.138,0.114,0.018,0.127,0.145,0,0,0.114
"P53","Muy mala",0.163,0.111,0.16,0.13,0.222,0.286,0.075,0.499,0.679,0.135
"P53","No sabe",0.362,0.381,0.401,0.27,0.325,0.043,0.339,0.081,0.321,0.441
"P54","Muy buena",0.008,0.022,0.017,0.06,0.011,0.241,0.106,0.361,0,0.023
"P54","Buena",0.022,0.122,0.051,0.113,0.208,0.05,0.166,0.239,0,0.033
"P54","Ni buena ni mala",0.224,0.226,0.175,0.334,0.354,0.328,0.156,0.157,0.25,0.27
"P54","Mala",0.253,0.233,0.205,0.153,0.141,0.061,0.296,0,0.547,0.175
"P54","Muy mala",0.377,0.22,0.311,0.206,0.171,0.298,0.201,0.243,0.143,0.188
"P54","No sabe",0.116,0.177,0.241,0.134,0.115,0.022,0.075,0,0.06,0.311
"P55","Muy buena",0.007,0.009,0,0.013,0,0,0.067,0.073,0.079,0
"P55","Buena",0.006,0.076,0.012,0.037,0.061,0,0.029,0.054,0,0.015
"P55","Ni buena ni mala",0.286,0.254,0.283,0.378,0.339,0.548,0.362,0.316,0,0.304
"P55","Mala",0.125,0.117,0.168,0.124,0.083,0.1,0.174,0,0.579,0.107
"P55","Muy mala",0.2,0.138,0.161,0.124,0.193,0.286,0.084,0.443,0.153,0.16
"P55","No sabe",0.376,0.406,0.376,0.324,0.324,0.066,0.284,0.114,0.189,0.414
"P56","Si",0.545,0.483,0.513,0.481,0.554,0.694,0.55,0.503,0.398,0.433
"P56","No",0.455,0.517,0.487,0.519,0.446,0.306,0.45,0.497,0.602,0.567
