"var","categoria","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero"
"P14_imputadas","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.261,0.681,0.251,0.078,0.051,0.055,0.155,0.015,0.221
"P14_imputadas","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.097,0.12,0.344,0.216,0.188,0.125,0.095,0.048,0.114
"P14_imputadas","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.049,0.026,0.109,0.375,0.178,0.104,0.044,0.01,0.312
"P14_imputadas","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.016,0.025,0.023,0.174,0.444,0.049,0.022,0.012,0.045
"P14_imputadas","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.021,0.01,0.044,0.048,0.011,0.132,0.009,0.08,0
"P14_imputadas","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.011,0.006,0.019,0.025,0.011,0,0.128,0.009,0
"P14_imputadas","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0,0.002,0.013,0.001,0.003,0.188,0.021,0.657,0
"P14_imputadas","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0.003,0.009,0.023,0,0.003,0.058,0.043,0.067,0.221
"P20","Lo votaría",0.795,0.257,0.175,0.123,0.028,0.096,0.456,0,0.089
"P20","Puede que lo vote",0.119,0.315,0.15,0.114,0.044,0.115,0.106,0.039,0.12
"P20","Nunca lo votaría",0.053,0.291,0.5,0.643,0.799,0.73,0.302,0.893,0.573
"P20","No sabe",0.033,0.137,0.175,0.12,0.129,0.059,0.136,0.068,0.218
"P21","Lo votaría",0.254,0.627,0.099,0.085,0.027,0.043,0.138,0.059,0
"P21","Puede que lo vote",0.292,0.251,0.223,0.078,0.203,0.111,0.237,0.012,0.087
"P21","Nunca lo votaría",0.346,0.061,0.447,0.614,0.583,0.482,0.415,0.847,0.521
"P21","No sabe",0.108,0.061,0.231,0.223,0.187,0.364,0.21,0.082,0.392
"P22","Lo votaría",0.066,0.085,0.418,0.103,0.048,0.122,0.074,0.076,0
"P22","Puede que lo vote",0.208,0.238,0.202,0.118,0.291,0.072,0.18,0,0.198
"P22","Nunca lo votaría",0.631,0.519,0.183,0.602,0.485,0.747,0.554,0.879,0.492
"P22","No sabe",0.095,0.158,0.197,0.177,0.176,0.059,0.192,0.045,0.31
"P23","Lo votaría",0.017,0.033,0.06,0.464,0.109,0.037,0.015,0,0.258
"P23","Puede que lo vote",0.066,0.113,0.108,0.089,0.329,0.189,0.155,0.013,0.115
"P23","Nunca lo votaría",0.807,0.676,0.566,0.232,0.364,0.523,0.571,0.818,0.383
"P23","No sabe",0.11,0.178,0.266,0.215,0.198,0.251,0.259,0.169,0.244
"P24","Lo votaría",0.026,0.017,0.05,0.185,0.478,0.172,0.035,0.062,0
"P24","Puede que lo vote",0.067,0.081,0.068,0.293,0.165,0.098,0.191,0.029,0.18
"P24","Nunca lo votaría",0.816,0.791,0.582,0.308,0.166,0.422,0.583,0.854,0.577
"P24","No sabe",0.091,0.111,0.3,0.214,0.191,0.308,0.191,0.055,0.243
"P25","Lo votaría",0.022,0.006,0.022,0.057,0.027,0.285,0.044,0.048,0
"P25","Puede que lo vote",0.039,0.069,0.024,0.144,0.137,0.017,0.12,0.138,0.107
"P25","Nunca lo votaría",0.832,0.808,0.596,0.451,0.511,0.416,0.538,0.802,0.63
"P25","No sabe",0.107,0.117,0.358,0.348,0.325,0.282,0.298,0.012,0.263
"P26","Lo votaría",0.022,0.012,0.007,0.018,0.032,0.093,0.167,0.034,0
"P26","Puede que lo vote",0.029,0.054,0.038,0.198,0.136,0.052,0.054,0.011,0.106
"P26","Nunca lo votaría",0.844,0.81,0.632,0.443,0.502,0.536,0.553,0.713,0.628
"P26","No sabe",0.105,0.124,0.323,0.341,0.33,0.319,0.226,0.242,0.266
"P27","Lo votaría",0.04,0.006,0.003,0.022,0.013,0.009,0.042,0.692,0
"P27","Puede que lo vote",0.018,0.063,0.016,0.134,0.063,0.11,0.11,0.024,0.416
"P27","Nunca lo votaría",0.814,0.784,0.649,0.482,0.617,0.525,0.582,0.21,0.361
"P27","No sabe",0.128,0.147,0.332,0.362,0.307,0.356,0.266,0.074,0.223
"P28","Lo votaría",0.016,0.014,0.006,0.009,0,0.075,0.022,0.172,0.05
"P28","Puede que lo vote",0.048,0.05,0.055,0.054,0.021,0.125,0.066,0.235,0.411
"P28","Nunca lo votaría",0.822,0.771,0.611,0.531,0.676,0.569,0.649,0.371,0.311
"P28","No sabe",0.114,0.165,0.328,0.406,0.303,0.231,0.263,0.222,0.228
"P29","La votaría",0.247,0.067,0.062,0.04,0.044,0.024,0.179,0.352,0
"P29","Puede que la vote",0.126,0.188,0.055,0.074,0.02,0.181,0.093,0,0.254
"P29","Nunca la votaría",0.451,0.522,0.569,0.489,0.585,0.472,0.521,0.381,0.55
"P29","No sabe",0.176,0.223,0.314,0.397,0.351,0.323,0.207,0.267,0.196
"P30","La votaría",0.077,0.139,0.049,0.042,0.043,0.043,0.062,0.019,0
"P30","Puede que la vote",0.148,0.15,0.062,0.095,0.081,0.062,0.078,0.032,0.116
"P30","Nunca la votaría",0.535,0.453,0.54,0.518,0.57,0.587,0.582,0.576,0.684
"P30","No sabe",0.24,0.258,0.349,0.345,0.306,0.308,0.278,0.373,0.2
"P31","Lo votaría",0.029,0.06,0.209,0.075,0.016,0.03,0.044,0,0
"P31","Puede que lo vote",0.148,0.18,0.143,0.136,0.182,0.135,0.118,0,0.129
"P31","Nunca lo votaría",0.658,0.57,0.338,0.579,0.615,0.568,0.638,0.524,0.623
"P31","No sabe",0.165,0.19,0.31,0.21,0.187,0.267,0.2,0.476,0.248
"P32","Lo votaría",0.005,0.032,0.022,0.36,0.125,0.061,0.036,0,0
"P32","Puede que lo vote",0.038,0.06,0.053,0.087,0.303,0.17,0.181,0.036,0.46
"P32","Nunca lo votaría",0.793,0.741,0.559,0.343,0.348,0.661,0.574,0.585,0.333
"P32","No sabe",0.164,0.167,0.366,0.21,0.224,0.108,0.209,0.379,0.207
"P33","La votaría",0.001,0.016,0.009,0.064,0.36,0.065,0.059,0.019,0
"P33","Puede que la vote",0.02,0.07,0.065,0.146,0.13,0.09,0.106,0,0.184
"P33","Nunca la votaría",0.767,0.638,0.526,0.461,0.267,0.674,0.553,0.567,0.611
"P33","No sabe",0.212,0.276,0.4,0.329,0.243,0.171,0.282,0.414,0.205
"P34","La votaría",0.018,0.01,0.039,0.023,0.059,0.291,0.04,0.081,0
"P34","Puede que la vote",0.014,0.075,0.038,0.1,0.066,0.028,0.097,0.016,0.157
"P34","Nunca la votaría",0.735,0.625,0.562,0.489,0.367,0.406,0.527,0.475,0.573
"P34","No sabe",0.233,0.29,0.361,0.388,0.508,0.275,0.336,0.428,0.27
"P35","La votaría",0.004,0.026,0.006,0.01,0.008,0.204,0.115,0.02,0
"P35","Puede que la vote",0.018,0.069,0.053,0.082,0.111,0.014,0.159,0.118,0.158
"P35","Nunca la votaría",0.718,0.619,0.563,0.474,0.388,0.582,0.441,0.807,0.611
"P35","No sabe",0.26,0.286,0.378,0.434,0.493,0.2,0.285,0.055,0.231
"P36","La votaría",0.027,0.039,0.022,0.042,0.051,0.157,0.077,0.496,0
"P36","Puede que la vote",0.024,0.097,0.026,0.203,0.156,0.031,0.15,0.155,0.108
"P36","Nunca la votaría",0.819,0.744,0.703,0.537,0.594,0.772,0.606,0.349,0.659
"P36","No sabe",0.13,0.12,0.249,0.218,0.199,0.04,0.167,0,0.233
"P37","La votaría",0.004,0.013,0.005,0.01,0,0.014,0.014,0.267,0.051
"P37","Puede que la vote",0.005,0.087,0.021,0.071,0.014,0.014,0.082,0.044,0.461
"P37","Nunca la votaría",0.763,0.687,0.636,0.527,0.486,0.715,0.582,0.516,0.253
"P37","No sabe",0.228,0.213,0.338,0.392,0.5,0.257,0.322,0.173,0.235
"P38","Muy buena",0.547,0.192,0.064,0.051,0.052,0.267,0.32,0.258,0
"P38","Buena",0.186,0.256,0.151,0.085,0.029,0.122,0.224,0,0.123
"P38","Ni buena ni mala",0.166,0.212,0.298,0.125,0.102,0.174,0.125,0.054,0.421
"P38","Mala",0.074,0.24,0.239,0.23,0.174,0.064,0.071,0.223,0.05
"P38","Muy mala",0.014,0.1,0.211,0.475,0.583,0.373,0.196,0.465,0.406
"P38","No sabe",0.013,0,0.037,0.034,0.06,0,0.064,0,0
"P39","Muy buena",0.296,0.443,0.092,0.017,0.078,0.178,0.144,0.149,0
"P39","Buena",0.284,0.279,0.157,0.13,0.051,0.035,0.198,0,0.127
"P39","Ni buena ni mala",0.291,0.164,0.356,0.313,0.362,0.365,0.22,0.222,0.468
"P39","Mala",0.059,0.055,0.169,0.204,0.119,0.03,0.101,0.062,0.054
"P39","Muy mala",0.018,0.031,0.075,0.277,0.3,0.37,0.188,0.529,0.351
"P39","No sabe",0.052,0.028,0.151,0.059,0.09,0.022,0.149,0.038,0
"P40","Muy buena",0.095,0.071,0.286,0.037,0.042,0.195,0.027,0.058,0
"P40","Buena",0.192,0.207,0.232,0.099,0.047,0.165,0.18,0.03,0
"P40","Ni buena ni mala",0.329,0.353,0.224,0.33,0.399,0.302,0.27,0.232,0.543
"P40","Mala",0.218,0.156,0.093,0.187,0.16,0.105,0.232,0.221,0.054
"P40","Muy mala",0.129,0.15,0.07,0.293,0.286,0.233,0.197,0.459,0.349
"P40","No sabe",0.037,0.063,0.095,0.054,0.066,0,0.094,0,0.054
"P41","Muy buena",0.009,0.019,0.03,0.287,0.073,0.023,0.008,0,0.371
"P41","Buena",0.049,0.095,0.047,0.246,0.166,0.166,0.083,0.027,0
"P41","Ni buena ni mala",0.351,0.36,0.329,0.197,0.339,0.554,0.336,0.412,0.629
"P41","Mala",0.252,0.206,0.203,0.083,0.091,0.124,0.322,0.032,0
"P41","Muy mala",0.209,0.169,0.186,0.123,0.135,0.118,0.115,0.529,0
"P41","No sabe",0.13,0.151,0.205,0.064,0.196,0.015,0.136,0,0
"P42","Muy buena",0,0.017,0.009,0.165,0.472,0.125,0.085,0.026,0
"P42","Buena",0.03,0.082,0.064,0.281,0.219,0.292,0.123,0,0
"P42","Ni buena ni mala",0.322,0.267,0.248,0.225,0.061,0.417,0.176,0.382,0.579
"P42","Mala",0.326,0.25,0.213,0.15,0.029,0.04,0.285,0.063,0.053
"P42","Muy mala",0.24,0.279,0.23,0.106,0.075,0.126,0.192,0.529,0.368
"P42","No sabe",0.082,0.105,0.236,0.073,0.144,0,0.139,0,0
"P43","Muy buena",0,0.024,0.006,0.078,0.009,0.347,0.021,0,0
"P43","Buena",0.013,0.063,0.015,0.101,0.074,0.072,0.071,0.126,0
"P43","Ni buena ni mala",0.309,0.373,0.312,0.386,0.382,0.438,0.309,0.16,0.54
"P43","Mala",0.228,0.151,0.171,0.132,0.089,0.038,0.179,0.188,0.365
"P43","Muy mala",0.183,0.133,0.177,0.114,0.156,0.09,0.084,0.499,0
"P43","No sabe",0.267,0.256,0.319,0.189,0.29,0.015,0.336,0.027,0.095
"P44","Muy buena",0.006,0.003,0.003,0.049,0.051,0.127,0.214,0,0
"P44","Buena",0.014,0.052,0.012,0.149,0.107,0.069,0.029,0.023,0
"P44","Ni buena ni mala",0.286,0.329,0.237,0.333,0.277,0.501,0.249,0.234,0.454
"P44","Mala",0.19,0.163,0.175,0.146,0.174,0.122,0.209,0,0
"P44","Muy mala",0.252,0.19,0.21,0.096,0.17,0.165,0.069,0.527,0.451
"P44","No sabe",0.252,0.263,0.363,0.227,0.221,0.016,0.23,0.216,0.095
"P45","Muy buena",0.003,0.006,0.003,0.039,0.021,0.142,0.136,0.344,0
"P45","Buena",0.012,0.068,0.017,0.093,0.038,0.05,0.053,0.081,0
"P45","Ni buena ni mala",0.304,0.37,0.261,0.374,0.255,0.662,0.267,0.184,0.334
"P45","Mala",0.205,0.113,0.166,0.148,0.174,0.023,0.177,0,0.362
"P45","Muy mala",0.209,0.142,0.215,0.127,0.206,0.091,0.073,0.236,0.091
"P45","No sabe",0.267,0.301,0.338,0.219,0.306,0.032,0.294,0.155,0.213
"P46","Muy buena",0,0.002,0.01,0.034,0.006,0.112,0.042,0.279,0.05
"P46","Buena",0.017,0.086,0.01,0.032,0,0.034,0.023,0.055,0
"P46","Ni buena ni mala",0.318,0.311,0.283,0.325,0.246,0.601,0.376,0.166,0.345
"P46","Mala",0.149,0.113,0.145,0.19,0.106,0.06,0.151,0,0.36
"P46","Muy mala",0.182,0.112,0.207,0.094,0.249,0.089,0.057,0.271,0.089
"P46","No sabe",0.334,0.376,0.345,0.325,0.393,0.104,0.351,0.229,0.156
"P47","Muy buena",0.159,0.052,0.007,0.035,0.049,0,0.051,0,0
"P47","Buena",0.121,0.114,0.061,0.087,0.031,0.021,0.121,0,0
"P47","Ni buena ni mala",0.309,0.389,0.294,0.257,0.156,0.393,0.268,0.263,0.347
"P47","Mala",0.112,0.057,0.139,0.149,0.159,0.022,0.112,0,0
"P47","Muy mala",0.088,0.08,0.212,0.255,0.33,0.476,0.176,0.657,0.446
"P47","No sabe",0.211,0.308,0.287,0.217,0.275,0.088,0.272,0.08,0.207
"P48","Muy buena",0.038,0.103,0.004,0.013,0.005,0,0.013,0,0
"P48","Buena",0.096,0.078,0.014,0.06,0.003,0,0.071,0,0
"P48","Ni buena ni mala",0.392,0.465,0.278,0.353,0.278,0.446,0.384,0.412,0.343
"P48","Mala",0.111,0.046,0.133,0.2,0.118,0.066,0.163,0.054,0
"P48","Muy mala",0.098,0.063,0.196,0.119,0.24,0.393,0.048,0.453,0.444
"P48","No sabe",0.265,0.245,0.375,0.255,0.356,0.095,0.321,0.081,0.213
"P49","Muy buena",0.036,0.019,0.2,0.02,0,0.021,0.029,0,0
"P49","Buena",0.107,0.082,0.127,0.073,0.054,0,0.179,0.13,0
"P49","Ni buena ni mala",0.297,0.406,0.238,0.339,0.284,0.519,0.26,0.281,0.435
"P49","Mala",0.148,0.155,0.16,0.173,0.07,0.118,0.242,0.022,0
"P49","Muy mala",0.24,0.131,0.084,0.262,0.289,0.325,0.126,0.535,0.443
"P49","No sabe",0.172,0.207,0.191,0.133,0.303,0.017,0.164,0.032,0.122
"P50","Muy buena",0.008,0.017,0.036,0.403,0.042,0.029,0.063,0,0
"P50","Buena",0.032,0.03,0.016,0.118,0.207,0.119,0.097,0.182,0
"P50","Ni buena ni mala",0.25,0.32,0.239,0.158,0.267,0.508,0.169,0.278,0.434
"P50","Mala",0.183,0.204,0.169,0.141,0.113,0.023,0.253,0,0
"P50","Muy mala",0.33,0.245,0.225,0.069,0.148,0.304,0.193,0.508,0.443
"P50","No sabe",0.197,0.184,0.315,0.111,0.223,0.017,0.225,0.032,0.123
"P51","Muy buena",0,0.006,0.003,0.065,0.24,0.254,0.026,0,0
"P51","Buena",0.035,0.023,0.019,0.084,0.233,0.136,0.15,0,0
"P51","Ni buena ni mala",0.355,0.368,0.291,0.311,0.192,0.451,0.229,0.437,0.345
"P51","Mala",0.114,0.154,0.145,0.195,0.011,0.024,0.173,0,0
"P51","Muy mala",0.185,0.132,0.213,0.094,0.063,0.1,0.124,0.507,0.439
"P51","No sabe",0.311,0.317,0.329,0.251,0.261,0.035,0.298,0.056,0.216
"P52","Muy buena",0.023,0.013,0.026,0.09,0.01,0.361,0.023,0.1,0
"P52","Buena",0.012,0.025,0.003,0.034,0.03,0.017,0.032,0,0
"P52","Ni buena ni mala",0.317,0.373,0.285,0.306,0.375,0.486,0.273,0.294,0.338
"P52","Mala",0.119,0.121,0.146,0.16,0.041,0,0.161,0,0
"P52","Muy mala",0.159,0.126,0.17,0.073,0.174,0.101,0.077,0.5,0.446
"P52","No sabe",0.37,0.342,0.37,0.337,0.37,0.035,0.434,0.106,0.216
"P53","Muy buena",0,0.023,0,0.012,0.026,0.022,0.082,0,0
"P53","Buena",0.028,0.007,0.028,0.086,0.05,0.098,0.046,0,0
"P53","Ni buena ni mala",0.338,0.353,0.269,0.36,0.354,0.424,0.266,0.42,0.337
"P53","Mala",0.115,0.127,0.141,0.117,0.018,0.127,0.133,0,0
"P53","Muy mala",0.158,0.106,0.174,0.125,0.226,0.286,0.064,0.499,0.45
"P53","No sabe",0.361,0.384,0.388,0.3,0.326,0.043,0.409,0.081,0.213
"P54","Muy buena",0.01,0.02,0.02,0.056,0.011,0.241,0.09,0.361,0
"P54","Buena",0.026,0.114,0.044,0.108,0.206,0.05,0.152,0.239,0
"P54","Ni buena ni mala",0.238,0.239,0.181,0.316,0.355,0.328,0.143,0.157,0.494
"P54","Mala",0.243,0.229,0.213,0.15,0.14,0.061,0.278,0,0.369
"P54","Muy mala",0.364,0.205,0.31,0.21,0.174,0.298,0.179,0.243,0.096
"P54","No sabe",0.119,0.193,0.232,0.16,0.114,0.022,0.158,0,0.041
"P55","Muy buena",0.007,0.009,0,0.012,0,0,0.057,0.073,0.052
"P55","Buena",0.005,0.071,0.011,0.037,0.061,0,0.035,0.054,0
"P55","Ni buena ni mala",0.302,0.265,0.282,0.358,0.335,0.548,0.318,0.316,0.34
"P55","Mala",0.12,0.12,0.167,0.122,0.082,0.1,0.152,0,0.382
"P55","Muy mala",0.194,0.128,0.175,0.133,0.191,0.286,0.076,0.443,0.101
"P55","No sabe",0.372,0.407,0.365,0.338,0.331,0.066,0.362,0.114,0.125
"P56","Si",0.531,0.483,0.517,0.469,0.554,0.694,0.512,0.503,0.554
"P56","No",0.469,0.517,0.483,0.531,0.446,0.306,0.488,0.497,0.446
