"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P24","Puede que lo vote",0.346,0.236,0.225,0.335
"P24","Nunca lo votaría",0.201,0.195,0.284,0.228
"P24","No sabe",0.064,0.199,0.148,0.15
"P25","Lo votaría",0.042,0.101,0.107,0.07
"P25","Puede que lo vote",0.3,0.244,0.105,0.169
"P25","Nunca lo votaría",0.404,0.444,0.441,0.447
"P25","No sabe",0.254,0.211,0.347,0.314
"P26","Lo votaría",0.12,0.071,0.095,0.104
"P26","Puede que lo vote",0.204,0.13,0.126,0.185
"P26","Nunca lo votaría",0.477,0.395,0.356,0.387
"P26","No sabe",0.199,0.404,0.423,0.324
"P27","Lo votaría",0.018,0.071,0.038,0.032
"P27","Puede que lo vote",0.242,0.09,0.082,0.12
"P27","Nunca lo votaría",0.562,0.519,0.421,0.498
"P27","No sabe",0.178,0.32,0.459,0.35
"P28","Lo votaría",0.014,0.066,0.029,0.021
"P28","Puede que lo vote",0.082,0.061,0.044,0.068
"P28","Nunca lo votaría",0.636,0.52,0.465,0.569
"P28","No sabe",0.268,0.353,0.462,0.342
"P29","La votaría",0,0.065,0,0.006
"P29","Puede que la vote",0.082,0.049,0.04,0.068
"P29","Nunca la votaría",0.715,0.39,0.573,0.575
"P29","No sabe",0.203,0.496,0.387,0.351
"P30","La votaría",0.004,0.083,0.017,0.009
"P30","Puede que la vote",0.123,0.019,0.074,0.052
"P30","Nunca la votaría",0.634,0.657,0.559,0.577
"P30","No sabe",0.239,0.241,0.35,0.362
"P31","Lo votaría",0.086,0.096,0.057,0.031
"P31","Puede que lo vote",0.203,0.15,0.238,0.133
"P31","Nunca lo votaría",0.548,0.581,0.552,0.627
"P31","No sabe",0.163,0.173,0.153,0.209
"P32","Lo votaría",0.204,0.372,0.263,0.351
"P32","Puede que lo vote",0.337,0.35,0.167,0.16
"P32","Nunca lo votaría",0.243,0.198,0.368,0.289
"P32","No sabe",0.216,0.08,0.202,0.2
"P33","La votaría",0.173,0.366,0.275,0.144
"P33","Puede que la vote",0.263,0.264,0.075,0.12
"P33","Nunca la votaría",0.348,0.187,0.332,0.434
"P33","No sabe",0.216,0.183,0.318,0.302
"P34","La votaría",0.065,0.097,0.064,0.062
"P34","Puede que la vote",0.134,0.062,0.059,0.087
"P34","Nunca la votaría",0.429,0.274,0.466,0.445
"P34","No sabe",0.372,0.567,0.411,0.406
"P35","La votaría",0.082,0.084,0.055,0.045
"P35","Puede que la vote",0.175,0.052,0.085,0.078
"P35","Nunca la votaría",0.426,0.317,0.479,0.46
"P35","No sabe",0.317,0.547,0.381,0.417
"P36","La votaría",0.151,0.164,0.072,0.061
"P36","Puede que la vote",0.242,0.117,0.229,0.215
"P36","Nunca la votaría",0.429,0.613,0.512,0.524
"P36","No sabe",0.178,0.106,0.187,0.2
"P37","La votaría",0.013,0.068,0.031,0.007
"P37","Puede que la vote",0.1,0.035,0.05,0.037
"P37","Nunca la votaría",0.484,0.563,0.537,0.52
"P37","No sabe",0.403,0.334,0.382,0.436
"P38","Muy buena",0,0.071,0,0.008
"P38","Buena",0.003,0.032,0,0.039
"P38","Ni buena ni mala",0.136,0.149,0.206,0.059
"P38","Mala",0.489,0.049,0.193,0.152
"P38","Muy mala",0.372,0.699,0.601,0.706
"P38","No sabe",0,0,0,0.036
"P39","Muy buena",0.043,0.115,0.01,0.047
"P39","Buena",0.072,0.232,0.055,0.052
"P39","Ni buena ni mala",0.39,0.136,0.505,0.251
"P39","Mala",0.159,0.182,0.127,0.098
"P39","Muy mala",0.306,0.32,0.268,0.44
"P39","No sabe",0.03,0.015,0.035,0.112
"P40","Muy buena",0.085,0.116,0.047,0.014
"P40","Buena",0.077,0.092,0.094,0.069
"P40","Ni buena ni mala",0.469,0.272,0.508,0.269
"P40","Mala",0.218,0.176,0.162,0.117
"P40","Muy mala",0.146,0.344,0.189,0.454
"P40","No sabe",0.005,0,0,0.077
"P41","Muy buena",0.157,0.297,0.136,0.26
"P41","Buena",0.15,0.145,0.143,0.292
"P41","Ni buena ni mala",0.426,0.409,0.388,0.15
"P41","Mala",0.142,0.068,0.104,0.039
"P41","Muy mala",0.066,0.081,0.045,0.167
"P41","No sabe",0.059,0,0.184,0.092
"P42","Muy buena",0.329,0.446,0.202,0.227
"P42","Buena",0.285,0.211,0.32,0.347
"P42","Ni buena ni mala",0.268,0.108,0.296,0.172
"P42","Mala",0.06,0.048,0.048,0.116
"P42","Muy mala",0.049,0.172,0,0.047
"P42","No sabe",0.009,0.015,0.134,0.091
"P43","Muy buena",0.026,0.118,0.063,0.082
"P43","Buena",0.035,0.311,0.065,0.101
"P43","Ni buena ni mala",0.566,0.307,0.364,0.356
"P43","Mala",0.124,0.064,0.083,0.082
"P43","Muy mala",0.022,0.037,0.117,0.129
"P43","No sabe",0.227,0.163,0.308,0.25
"P44","Muy buena",0.139,0.091,0.086,0.16
"P44","Buena",0.032,0.266,0.102,0.174
"P44","Ni buena ni mala",0.468,0.219,0.232,0.27
"P44","Mala",0.176,0.228,0.151,0.025
"P44","Muy mala",0.028,0.05,0.123,0.098
"P44","No sabe",0.157,0.146,0.306,0.273
"P45","Muy buena",0.113,0.091,0.044,0.089
"P45","Buena",0.06,0.115,0.041,0.127
"P45","Ni buena ni mala",0.44,0.292,0.341,0.28
"P45","Mala",0.167,0.159,0.043,0.076
"P45","Muy mala",0.018,0.098,0.24,0.127
"P45","No sabe",0.202,0.245,0.291,0.301
"P46","Muy buena",0.025,0.092,0.032,0.023
"P46","Buena",0.019,0.116,0.015,0.059
"P46","Ni buena ni mala",0.505,0.117,0.306,0.314
"P46","Mala",0.093,0.268,0.064,0.09
"P46","Muy mala",0.08,0.13,0.169,0.101
"P46","No sabe",0.278,0.277,0.414,0.413
"P47","Muy buena",0,0.092,0,0
"P47","Buena",0.06,0.042,0.007,0.055
"P47","Ni buena ni mala",0.395,0.141,0.205,0.182
"P47","Mala",0.146,0.176,0.13,0.095
"P47","Muy mala",0.274,0.287,0.397,0.389
"P47","No sabe",0.125,0.262,0.261,0.279
"P48","Muy buena",0.024,0.095,0,0
"P48","Buena",0.014,0.108,0.017,0.04
"P48","Ni buena ni mala",0.417,0.268,0.442,0.313
"P48","Mala",0.164,0.076,0.106,0.129
"P48","Muy mala",0.097,0.161,0.182,0.192
"P48","No sabe",0.284,0.292,0.253,0.326
"P49","Muy buena",0.076,0.123,0.013,0.009
"P49","Buena",0.03,0.121,0.098,0.078
"P49","Ni buena ni mala",0.475,0.185,0.322,0.231
"P49","Mala",0.128,0.138,0.193,0.137
"P49","Muy mala",0.126,0.155,0.212,0.356
"P49","No sabe",0.165,0.278,0.162,0.189
"P50","Muy buena",0.12,0.353,0.173,0.385
"P50","Buena",0.214,0.141,0.164,0.162
"P50","Ni buena ni mala",0.357,0.137,0.35,0.137
"P50","Mala",0.107,0.293,0.095,0.053
"P50","Muy mala",0.03,0.054,0.083,0.09
"P50","No sabe",0.172,0.022,0.135,0.173
"P51","Muy buena",0.16,0.175,0.145,0.106
"P51","Buena",0.194,0.148,0.169,0.163
"P51","Ni buena ni mala",0.373,0.154,0.315,0.276
"P51","Mala",0.052,0.181,0.095,0.106
"P51","Muy mala",0.018,0.081,0.023,0.097
"P51","No sabe",0.203,0.261,0.253,0.252
"P52","Muy buena",0.017,0.121,0.069,0.094
"P52","Buena",0.027,0.133,0.019,0.074
"P52","Ni buena ni mala",0.474,0.136,0.375,0.278
"P52","Mala",0.08,0.186,0.149,0.086
"P52","Muy mala",0.004,0.093,0.047,0.067
"P52","No sabe",0.398,0.331,0.341,0.401
"P53","Muy buena",0.093,0.092,0.097,0.031
"P53","Buena",0.029,0.26,0.034,0.099
"P53","Ni buena ni mala",0.476,0.185,0.362,0.291
"P53","Mala",0.053,0.011,0.084,0.04
"P53","Muy mala",0.025,0.238,0.101,0.161
"P53","No sabe",0.324,0.214,0.322,0.378
"P54","Muy buena",0.065,0.139,0.091,0.103
"P54","Buena",0.22,0.388,0.194,0.186
"P54","Ni buena ni mala",0.423,0.038,0.398,0.267
"P54","Mala",0.079,0.054,0.075,0.119
"P54","Muy mala",0.087,0.274,0.075,0.138
"P54","No sabe",0.126,0.107,0.167,0.187
"P55","Muy buena",0.023,0.092,0.031,0.013
"P55","Buena",0.049,0.211,0.084,0.037
"P55","Ni buena ni mala",0.52,0.117,0.347,0.296
"P55","Mala",0.051,0.23,0.091,0.085
"P55","Muy mala",0.032,0.214,0.046,0.13
"P55","No sabe",0.325,0.136,0.401,0.439
"P56","Si",0.573,0.527,0.473,0.651
"P56","No",0.427,0.473,0.527,0.349
