"var","categoria","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda","No sabe"
"P40","Mala",0.191,0.193,0.092,0.096,0.25,0.109,0.316,0.383,0.17,0.17
"P40","Muy mala",0.1,0.105,0.082,0.401,0.344,0.176,0.271,0.433,0.453,0.187
"P40","No sabe",0.066,0.029,0.007,0.092,0.029,0,0.019,0,0,0.276
"P41","Muy buena",0.023,0.009,0.113,0.259,0.102,0.025,0.035,0,0,0
"P41","Buena",0.045,0.072,0.129,0.195,0.134,0.261,0.153,0.062,0.078,0.049
"P41","Ni buena ni mala",0.339,0.342,0.39,0.179,0.394,0.218,0.488,0.441,0.474,0.232
"P41","Mala",0.244,0.255,0.177,0.063,0.169,0.272,0.258,0.057,0,0.116
"P41","Muy mala",0.157,0.184,0.133,0.212,0.146,0.21,0.066,0.392,0.367,0.203
"P41","No sabe",0.192,0.138,0.058,0.092,0.055,0.014,0,0.048,0.081,0.4
"P42","Muy buena",0.013,0.021,0.102,0.124,0.468,0.043,0.186,0.06,0.037,0.003
"P42","Buena",0.039,0.027,0.163,0.181,0.303,0.398,0.385,0,0,0.06
"P42","Ni buena ni mala",0.256,0.264,0.36,0.238,0.043,0.289,0.112,0.477,0.454,0.143
"P42","Mala",0.298,0.32,0.157,0.177,0.043,0.07,0.211,0.11,0.155,0.165
"P42","Muy mala",0.223,0.267,0.145,0.189,0.127,0.19,0.106,0.353,0.354,0.217
"P42","No sabe",0.171,0.101,0.073,0.091,0.016,0.01,0,0,0,0.412
"P43","Muy buena",0.007,0.024,0.033,0.063,0.017,0.076,0.029,0,0,0.002
"P43","Buena",0.023,0.002,0.05,0.061,0.05,0.354,0.208,0.039,0,0.056
"P43","Ni buena ni mala",0.312,0.353,0.431,0.316,0.44,0.29,0.379,0.239,0.526,0.139
"P43","Mala",0.199,0.212,0.154,0.132,0.144,0.06,0.189,0.372,0,0.128
"P43","Muy mala",0.119,0.152,0.14,0.211,0.146,0.16,0.065,0.35,0.436,0.196
"P43","No sabe",0.34,0.257,0.192,0.217,0.203,0.06,0.13,0,0.038,0.479
"P44","Muy buena",0.002,0,0.061,0.074,0.039,0,0.505,0,0,0.005
"P44","Buena",0.027,0.021,0.051,0.114,0.085,0.012,0.131,0.04,0,0.061
"P44","Ni buena ni mala",0.335,0.269,0.361,0.229,0.321,0.372,0.107,0.185,0.425,0.124
"P44","Mala",0.169,0.208,0.166,0.087,0.252,0.273,0.192,0.045,0.081,0.127
"P44","Muy mala",0.151,0.231,0.154,0.214,0.154,0.223,0.026,0.356,0.456,0.238
"P44","No sabe",0.316,0.271,0.207,0.282,0.149,0.12,0.039,0.374,0.038,0.445
"P45","Muy buena",0.002,0,0.033,0.06,0.052,0.028,0.285,0.236,0.247,0
"P45","Buena",0.022,0.005,0.056,0.055,0.123,0,0.147,0,0,0.059
"P45","Ni buena ni mala",0.306,0.343,0.386,0.251,0.276,0.514,0.237,0.1,0.417,0.14
"P45","Mala",0.167,0.208,0.13,0.118,0.241,0.253,0.197,0.046,0.037,0.115
"P45","Muy mala",0.151,0.181,0.166,0.26,0.142,0.164,0.044,0.348,0.179,0.187
"P45","No sabe",0.352,0.263,0.229,0.256,0.166,0.041,0.09,0.27,0.12,0.499
"P46","Muy buena",0,0.016,0.029,0.035,0.007,0,0,0.125,0.368,0
"P46","Buena",0.014,0.019,0.02,0.02,0.017,0.059,0.089,0,0,0.079
"P46","Ni buena ni mala",0.316,0.301,0.432,0.266,0.191,0.488,0.585,0.098,0.459,0.115
"P46","Mala",0.141,0.145,0.125,0.157,0.235,0.257,0.156,0,0.097,0.101
"P46","Muy mala",0.122,0.171,0.137,0.187,0.229,0.13,0.042,0.466,0.076,0.204
"P46","No sabe",0.407,0.348,0.257,0.335,0.321,0.066,0.128,0.311,0,0.501
"P47","Muy buena",0.145,0.068,0.032,0.053,0,0.028,0.026,0,0,0
"P47","Buena",0.118,0.093,0.048,0.033,0.077,0.436,0.136,0,0,0.055
"P47","Ni buena ni mala",0.288,0.378,0.312,0.319,0.12,0.184,0.313,0.133,0.455,0.182
"P47","Mala",0.12,0.091,0.134,0.087,0.277,0.087,0.089,0,0,0.101
"P47","Muy mala",0.064,0.112,0.244,0.356,0.296,0.213,0.296,0.769,0.502,0.187
"P47","No sabe",0.265,0.258,0.23,0.152,0.23,0.052,0.14,0.098,0.043,0.475
"P48","Muy buena",0.038,0.062,0.012,0.019,0,0,0,0,0,0
"P48","Buena",0.095,0.079,0.04,0.029,0.013,0.013,0.031,0,0,0.003
"P48","Ni buena ni mala",0.37,0.389,0.367,0.321,0.263,0.695,0.416,0.46,0.494,0.191
"P48","Mala",0.126,0.099,0.142,0.133,0.187,0.071,0.206,0,0.095,0.112
"P48","Muy mala",0.053,0.118,0.144,0.232,0.246,0.142,0.138,0.443,0.367,0.181
"P48","No sabe",0.318,0.253,0.295,0.266,0.291,0.079,0.209,0.097,0.044,0.513
"P49","Muy buena",0.065,0.053,0.162,0.083,0.005,0.012,0.038,0,0,0.004
"P49","Buena",0.132,0.089,0.154,0.102,0.054,0.054,0.187,0.052,0.041,0.004
"P49","Ni buena ni mala",0.316,0.335,0.275,0.23,0.347,0.616,0.147,0.408,0.495,0.221
"P49","Mala",0.183,0.164,0.169,0.107,0.086,0.095,0.337,0.04,0.096,0.127
"P49","Muy mala",0.17,0.152,0.084,0.343,0.395,0.171,0.158,0.443,0.368,0.193
"P49","No sabe",0.134,0.207,0.156,0.135,0.113,0.052,0.133,0.057,0,0.451
"P50","Muy buena",0.011,0.011,0.159,0.347,0.131,0.012,0.089,0,0,0.018
"P50","Buena",0.042,0.045,0.064,0.07,0.188,0.028,0.285,0.279,0,0.014
"P50","Ni buena ni mala",0.254,0.267,0.284,0.162,0.192,0.438,0.246,0.222,0.492,0.112
"P50","Mala",0.222,0.197,0.152,0.053,0.213,0.284,0.128,0.059,0.096,0.107
"P50","Muy mala",0.265,0.274,0.164,0.192,0.174,0.225,0.131,0.383,0.412,0.215
"P50","No sabe",0.206,0.206,0.177,0.176,0.102,0.013,0.121,0.057,0,0.534
"P51","Muy buena",0.003,0,0.037,0.077,0.247,0.041,0.084,0.058,0,0.004
"P51","Buena",0.053,0.036,0.047,0.048,0.272,0.067,0.318,0,0,0.005
"P51","Ni buena ni mala",0.295,0.32,0.422,0.316,0.114,0.573,0.338,0.507,0.446,0.129
"P51","Mala",0.126,0.155,0.104,0.201,0.128,0.107,0.132,0,0.096,0.103
"P51","Muy mala",0.144,0.186,0.149,0.195,0.049,0.144,0.054,0.383,0.372,0.197
"P51","No sabe",0.379,0.303,0.241,0.163,0.19,0.068,0.074,0.052,0.086,0.562
"P52","Muy buena",0.012,0.023,0.019,0.069,0.012,0.608,0.017,0,0,0
"P52","Buena",0.014,0.015,0.024,0.027,0.009,0,0.1,0,0,0
"P52","Ni buena ni mala",0.333,0.33,0.384,0.304,0.312,0.102,0.412,0.531,0.44,0.138
"P52","Mala",0.143,0.113,0.112,0.165,0.135,0.068,0.134,0,0.095,0.128
"P52","Muy mala",0.095,0.182,0.119,0.169,0.179,0.078,0,0.376,0.377,0.185
"P52","No sabe",0.403,0.337,0.342,0.266,0.353,0.144,0.337,0.093,0.088,0.549
"P53","Muy buena",0,0,0.029,0.027,0.023,0,0.161,0,0,0
"P53","Buena",0.02,0.029,0.02,0.032,0.121,0.24,0.185,0.061,0,0
"P53","Ni buena ni mala",0.337,0.343,0.387,0.317,0.307,0.165,0.34,0.47,0.151,0.152
"P53","Mala",0.151,0.1,0.101,0.11,0.038,0.348,0.073,0,0.145,0.111
"P53","Muy mala",0.086,0.177,0.139,0.255,0.155,0.155,0.015,0.375,0.571,0.185
"P53","No sabe",0.406,0.351,0.324,0.259,0.356,0.092,0.226,0.094,0.133,0.552
"P54","Muy buena",0.025,0.003,0.041,0.074,0.035,0.029,0.171,0.3,0.437,0.004
"P54","Buena",0.043,0.024,0.151,0.134,0.143,0.073,0.285,0.28,0,0.014
"P54","Ni buena ni mala",0.244,0.231,0.321,0.178,0.283,0.147,0.214,0.042,0.219,0.146
"P54","Mala",0.251,0.261,0.192,0.163,0.116,0.308,0.134,0,0,0.151
"P54","Muy mala",0.311,0.338,0.156,0.304,0.25,0.409,0.184,0.378,0.2,0.202
"P54","No sabe",0.126,0.143,0.139,0.147,0.173,0.034,0.012,0,0.144,0.483
"P55","Muy buena",0.004,0.002,0.017,0.025,0,0.029,0.053,0.131,0.07,0
"P55","Buena",0.038,0.001,0.051,0.021,0.015,0,0.128,0.058,0.065,0.011
"P55","Ni buena ni mala",0.274,0.305,0.392,0.341,0.297,0.491,0.359,0.28,0.149,0.136
"P55","Mala",0.134,0.139,0.136,0.128,0.079,0.31,0.121,0,0.144,0.112
"P55","Muy mala",0.134,0.203,0.109,0.181,0.236,0.099,0.068,0.378,0.572,0.191
"P55","No sabe",0.416,0.35,0.295,0.304,0.373,0.071,0.271,0.153,0,0.55
"P56","Si",0.592,0.514,0.54,0.521,0.444,0.349,0.42,0.375,0.813,0.342
"P56","No",0.408,0.486,0.46,0.479,0.556,0.651,0.58,0.625,0.187,0.658
