"var","categoria","Alfredo Cornejo por Cambia Mendoza","Luis Petri por Cambia Mendoza","Omar De Marchi por La Unión Mendocina","Omar Parisi por Elegí Mendoza","Guillermo Carmona por Elegí Mendoza","Nicolás Guillén por Elegí Mendoza","Alfredo Guevara por Elegí Mendoza","Lautaro Giménez por el Frente de Izquierda","Victor da Vila por el Frente de Izquierda"
"P14_imputadas","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.097,0.112,0.481,0.196,0.136,0.073,0.12,0.068,0.15
"P14_imputadas","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.067,0.062,0.084,0.467,0.082,0.219,0.157,0.009,0.235
"P14_imputadas","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.01,0.035,0.03,0.115,0.468,0.035,0.072,0.006,0.09
"P14_imputadas","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.021,0.022,0.044,0.038,0.018,0.178,0,0,0.083
"P14_imputadas","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.015,0.004,0.02,0.014,0.008,0,0.368,0,0
"P14_imputadas","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.006,0.009,0.01,0,0,0.036,0.019,0.713,0.021
"P14_imputadas","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0.001,0.018,0.001,0.03,0.011,0.131,0,0.053,0.421
"P17_imputadas","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.55,0.182,0.066,0.06,0.045,0.152,0.096,0.06,0.178
"P17_imputadas","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.053,0.437,0.027,0.021,0.097,0.062,0.033,0.024,0.148
"P17_imputadas","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.165,0.226,0.684,0.082,0.095,0.386,0.123,0.184,0
"P17_imputadas","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.057,0.067,0.106,0.675,0.258,0.041,0.258,0.075,0.162
"P17_imputadas","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0.038,0.014,0.027,0.064,0.453,0.017,0.061,0,0.065
"P17_imputadas","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0.004,0.006,0.029,0.003,0.023,0.221,0,0.133,0.092
"P17_imputadas","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo",0.125,0.047,0.049,0.095,0.023,0.084,0.414,0,0
"P17_imputadas","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores",0.003,0.014,0.006,0,0.002,0.037,0.015,0.524,0.145
"P17_imputadas","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero",0.005,0.007,0.006,0,0.004,0,0,0,0.21
"P20","Lo votaría",0.701,0.243,0.094,0.193,0.128,0.261,0.034,0.191,0.141
"P20","Puede que lo vote",0.103,0.249,0.195,0.071,0.091,0,0.156,0.021,0.086
"P20","Nunca lo votaría",0.094,0.347,0.564,0.665,0.736,0.57,0.648,0.733,0.616
"P20","No sabe",0.102,0.161,0.147,0.071,0.045,0.169,0.162,0.055,0.157
"P21","Lo votaría",0.166,0.583,0.073,0.094,0.081,0.191,0,0,0
"P21","Puede que lo vote",0.305,0.169,0.219,0.101,0.207,0.11,0.078,0,0.174
"P21","Nunca lo votaría",0.325,0.134,0.49,0.662,0.612,0.489,0.72,0.861,0.509
"P21","No sabe",0.204,0.114,0.218,0.143,0.1,0.21,0.202,0.139,0.317
"P22","Lo votaría",0.057,0.097,0.5,0.14,0.059,0.246,0.028,0,0
"P22","Puede que lo vote",0.201,0.26,0.177,0.11,0.256,0.091,0.16,0,0.188
"P22","Nunca lo votaría",0.587,0.468,0.185,0.575,0.575,0.365,0.599,1,0.407
"P22","No sabe",0.155,0.175,0.138,0.175,0.11,0.298,0.213,0,0.405
"P23","Lo votaría",0.015,0.019,0.061,0.631,0.123,0.045,0.078,0.028,0.117
"P23","Puede que lo vote",0.063,0.094,0.13,0.074,0.347,0.082,0.316,0.02,0.029
"P23","Nunca lo votaría",0.72,0.667,0.584,0.159,0.363,0.657,0.388,0.794,0.408
"P23","No sabe",0.202,0.22,0.225,0.136,0.167,0.216,0.218,0.158,0.446
"P24","Lo votaría",0.02,0.005,0.058,0.255,0.467,0.095,0.069,0.052,0
"P24","Puede que lo vote",0.04,0.083,0.085,0.321,0.237,0.183,0.48,0.033,0.029
"P24","Nunca lo votaría",0.763,0.766,0.585,0.342,0.09,0.364,0.233,0.782,0.523
"P24","No sabe",0.177,0.146,0.272,0.082,0.206,0.358,0.218,0.133,0.448
"P25","Lo votaría",0.019,0,0.023,0.098,0.039,0.266,0.057,0.071,0
"P25","Puede que lo vote",0.019,0.022,0.053,0.165,0.208,0.009,0.319,0.125,0
"P25","Nunca lo votaría",0.738,0.826,0.607,0.491,0.414,0.395,0.253,0.74,0.574
"P25","No sabe",0.224,0.152,0.317,0.246,0.339,0.33,0.371,0.064,0.426
"P26","Lo votaría",0.02,0.001,0.021,0.024,0.033,0.01,0.427,0.036,0
"P26","Puede que lo vote",0.014,0.024,0.053,0.233,0.222,0.085,0.148,0.008,0
"P26","Nunca lo votaría",0.771,0.816,0.644,0.48,0.42,0.52,0.153,0.651,0.572
"P26","No sabe",0.195,0.159,0.282,0.263,0.325,0.385,0.272,0.305,0.428
"P27","Lo votaría",0.029,0,0.018,0.013,0.013,0.034,0.072,0.523,0.132
"P27","Puede que lo vote",0.012,0.012,0.03,0.164,0.13,0.025,0.32,0.008,0.267
"P27","Nunca lo votaría",0.755,0.813,0.646,0.557,0.513,0.505,0.207,0.396,0.17
"P27","No sabe",0.204,0.175,0.306,0.266,0.344,0.436,0.401,0.073,0.431
"P28","Lo votaría",0.015,0,0.012,0.01,0.019,0.012,0.026,0.062,0.205
"P28","Puede que lo vote",0.039,0.013,0.049,0.076,0.077,0.07,0.196,0.245,0.248
"P28","Nunca lo votaría",0.74,0.804,0.684,0.613,0.538,0.463,0.281,0.422,0.239
"P28","No sabe",0.206,0.183,0.255,0.301,0.366,0.455,0.497,0.271,0.308
"P29","La votaría",0.254,0.061,0.046,0.05,0.009,0.009,0.034,0.199,0.161
"P29","Puede que la vote",0.122,0.121,0.072,0.079,0.072,0.072,0.035,0.01,0.04
"P29","Nunca la votaría",0.423,0.526,0.62,0.594,0.512,0.481,0.551,0.541,0.228
"P29","No sabe",0.201,0.292,0.262,0.277,0.407,0.438,0.38,0.25,0.571
"P30","La votaría",0.069,0.129,0.046,0.03,0.076,0,0.009,0,0
"P30","Puede que la vote",0.141,0.111,0.051,0.122,0.106,0.048,0.018,0.012,0
"P30","Nunca la votaría",0.529,0.474,0.567,0.602,0.503,0.549,0.554,0.626,0.361
"P30","No sabe",0.261,0.286,0.336,0.246,0.315,0.403,0.419,0.362,0.639
"P31","Lo votaría",0.038,0.042,0.26,0.021,0.079,0.234,0,0,0
"P31","Puede que lo vote",0.143,0.14,0.158,0.154,0.182,0.072,0.116,0.014,0.205
"P31","Nunca lo votaría",0.588,0.618,0.319,0.69,0.569,0.309,0.616,0.656,0.355
"P31","No sabe",0.231,0.2,0.263,0.135,0.17,0.385,0.268,0.33,0.44
"P32","Lo votaría",0.008,0.008,0.049,0.435,0.121,0.049,0.147,0,0.034
"P32","Puede que lo vote",0.029,0.044,0.068,0.099,0.339,0.127,0.302,0.044,0.161
"P32","Nunca lo votaría",0.72,0.723,0.593,0.356,0.355,0.47,0.254,0.644,0.388
"P32","No sabe",0.243,0.225,0.29,0.11,0.185,0.354,0.297,0.312,0.417
"P33","La votaría",0.002,0.005,0.018,0.104,0.259,0.077,0.144,0.013,0.123
"P33","Puede que la vote",0.022,0.067,0.048,0.172,0.218,0.043,0.173,0,0
"P33","Nunca la votaría",0.686,0.644,0.604,0.459,0.272,0.47,0.281,0.668,0.543
"P33","No sabe",0.29,0.284,0.33,0.265,0.251,0.41,0.402,0.319,0.334
"P34","La votaría",0.029,0.001,0.047,0.005,0.061,0.21,0.08,0,0.031
"P34","Puede que la vote",0.015,0.02,0.063,0.145,0.086,0.034,0.177,0.04,0
"P34","Nunca la votaría",0.654,0.646,0.614,0.551,0.368,0.329,0.247,0.479,0.581
"P34","No sabe",0.302,0.333,0.276,0.299,0.485,0.427,0.496,0.481,0.388
"P35","La votaría",0.007,0,0.015,0,0.011,0.089,0.257,0,0.202
"P35","Puede que la vote",0.03,0.049,0.038,0.138,0.117,0.01,0.266,0.144,0
"P35","Nunca la votaría",0.648,0.631,0.63,0.539,0.333,0.455,0.16,0.832,0.407
"P35","No sabe",0.315,0.32,0.317,0.323,0.539,0.446,0.317,0.024,0.391
"P36","La votaría",0.005,0.013,0.05,0.077,0.072,0.035,0.15,0.428,0.193
"P36","Puede que la vote",0.039,0.027,0.044,0.207,0.187,0.01,0.352,0.191,0.159
"P36","Nunca la votaría",0.812,0.769,0.686,0.593,0.562,0.533,0.179,0.357,0.47
"P36","No sabe",0.144,0.191,0.22,0.123,0.179,0.422,0.319,0.024,0.178
"P37","La votaría",0.004,0,0.015,0,0.009,0,0.03,0.35,0.057
"P37","Puede que la vote",0.019,0.009,0.031,0.095,0.057,0.01,0.186,0.059,0.177
"P37","Nunca la votaría",0.717,0.731,0.638,0.608,0.483,0.453,0.275,0.382,0.38
"P37","No sabe",0.26,0.26,0.316,0.297,0.451,0.537,0.509,0.209,0.386
"P38","Muy buena",0.514,0.165,0.058,0.016,0.09,0.045,0.007,0.281,0.212
"P38","Buena",0.212,0.234,0.13,0.082,0.075,0.053,0.009,0,0.041
"P38","Ni buena ni mala",0.145,0.312,0.222,0.122,0.116,0.311,0.274,0.2,0
"P38","Mala",0.088,0.179,0.316,0.15,0.234,0.009,0.13,0.17,0.138
"P38","Muy mala",0.022,0.095,0.239,0.537,0.481,0.582,0.58,0.349,0.488
"P38","No sabe",0.019,0.015,0.035,0.093,0.004,0,0,0,0.121
"P39","Muy buena",0.226,0.445,0.086,0.008,0.066,0.063,0,0.195,0.032
"P39","Buena",0.285,0.202,0.165,0.083,0.184,0.013,0.018,0,0.04
"P39","Ni buena ni mala",0.315,0.156,0.359,0.42,0.236,0.356,0.265,0.332,0.265
"P39","Mala",0.09,0.054,0.194,0.107,0.185,0.213,0.063,0.074,0.079
"P39","Muy mala",0.023,0.04,0.083,0.308,0.293,0.15,0.463,0.399,0.462
"P39","No sabe",0.061,0.103,0.113,0.074,0.036,0.205,0.191,0,0.122
"P40","Muy buena",0.067,0.067,0.388,0.02,0.014,0.189,0.11,0,0.032
"P40","Buena",0.191,0.181,0.277,0.067,0.12,0.096,0.042,0,0
"P40","Ni buena ni mala",0.315,0.343,0.202,0.364,0.378,0.364,0.2,0.278,0.305
"P40","Mala",0.244,0.166,0.059,0.161,0.169,0.051,0.158,0.274,0.026
"P40","Muy mala",0.122,0.139,0.044,0.343,0.294,0.11,0.327,0.448,0.515
"P40","No sabe",0.061,0.104,0.03,0.045,0.025,0.19,0.163,0,0.122
"P41","Muy buena",0.008,0.008,0.045,0.376,0.05,0,0.095,0,0.202
"P41","Buena",0.038,0.04,0.076,0.264,0.198,0.154,0.261,0.035,0.085
"P41","Ni buena ni mala",0.32,0.411,0.367,0.129,0.383,0.105,0.309,0.53,0.248
"P41","Mala",0.275,0.18,0.234,0.045,0.124,0.153,0.093,0.041,0
"P41","Muy mala",0.217,0.15,0.179,0.082,0.148,0.2,0.045,0.36,0.292
"P41","No sabe",0.142,0.211,0.099,0.104,0.097,0.388,0.197,0.034,0.173
"P42","Muy buena",0.002,0.006,0.026,0.142,0.463,0.021,0.198,0,0.03
"P42","Buena",0.029,0.032,0.096,0.354,0.238,0.18,0.211,0.028,0.087
"P42","Ni buena ni mala",0.279,0.25,0.313,0.224,0.07,0.121,0.275,0.579,0.234
"P42","Mala",0.312,0.286,0.219,0.142,0.042,0.073,0.065,0.039,0.076
"P42","Muy mala",0.265,0.244,0.223,0.031,0.117,0.202,0.059,0.354,0.452
"P42","No sabe",0.113,0.182,0.123,0.107,0.07,0.403,0.192,0,0.121
"P43","Muy buena",0.005,0.003,0.018,0.046,0.075,0.171,0.048,0,0.03
"P43","Buena",0.022,0.005,0.015,0.132,0.13,0.052,0.14,0.057,0
"P43","Ni buena ni mala",0.312,0.347,0.383,0.389,0.349,0.096,0.306,0.313,0.232
"P43","Mala",0.228,0.17,0.195,0.098,0.099,0,0.008,0.227,0.258
"P43","Muy mala",0.178,0.139,0.192,0.077,0.1,0.201,0.058,0.369,0.333
"P43","No sabe",0.255,0.336,0.197,0.258,0.247,0.48,0.44,0.034,0.147
"P44","Muy buena",0.001,0.001,0.014,0.049,0.05,0.012,0.539,0,0
"P44","Buena",0.018,0.002,0.011,0.122,0.21,0.082,0.111,0.029,0
"P44","Ni buena ni mala",0.288,0.297,0.311,0.388,0.211,0.253,0.034,0.283,0.191
"P44","Mala",0.207,0.16,0.195,0.107,0.198,0.012,0.032,0.034,0.139
"P44","Muy mala",0.228,0.21,0.209,0.062,0.114,0.306,0,0.419,0.522
"P44","No sabe",0.258,0.33,0.26,0.272,0.217,0.335,0.284,0.235,0.148
"P45","Muy buena",0,0,0.015,0.03,0.06,0.04,0.309,0.091,0.158
"P45","Buena",0.022,0.002,0.019,0.133,0.092,0.038,0.081,0.104,0
"P45","Ni buena ni mala",0.278,0.341,0.355,0.353,0.292,0.266,0.182,0.316,0.184
"P45","Mala",0.218,0.118,0.157,0.134,0.165,0.088,0.089,0.034,0.258
"P45","Muy mala",0.195,0.161,0.24,0.097,0.131,0.247,0.01,0.256,0.199
"P45","No sabe",0.287,0.378,0.214,0.253,0.26,0.321,0.329,0.199,0.201
"P46","Muy buena",0,0.02,0.022,0,0.027,0.038,0.093,0,0.179
"P46","Buena",0.013,0.02,0.007,0.053,0.068,0.025,0.04,0.122,0.119
"P46","Ni buena ni mala",0.312,0.281,0.32,0.383,0.251,0.234,0.406,0.35,0.196
"P46","Mala",0.177,0.112,0.144,0.137,0.15,0.046,0.06,0,0.311
"P46","Muy mala",0.168,0.123,0.228,0.062,0.193,0.256,0.02,0.262,0.195
"P46","No sabe",0.33,0.444,0.279,0.365,0.311,0.401,0.381,0.266,0
"P47","Muy buena",0.151,0.049,0.016,0,0.013,0,0,0,0
"P47","Buena",0.147,0.063,0.039,0.088,0.098,0,0.038,0,0
"P47","Ni buena ni mala",0.285,0.403,0.267,0.31,0.17,0.388,0.173,0.361,0.219
"P47","Mala",0.135,0.062,0.146,0.068,0.189,0.074,0.109,0,0.103
"P47","Muy mala",0.065,0.071,0.292,0.285,0.33,0.159,0.366,0.608,0.651
"P47","No sabe",0.217,0.352,0.24,0.249,0.2,0.379,0.314,0.031,0.027
"P48","Muy buena",0.031,0.07,0.011,0.009,0.014,0,0,0,0
"P48","Buena",0.096,0.047,0.022,0.022,0.074,0,0.008,0,0
"P48","Ni buena ni mala",0.335,0.398,0.325,0.489,0.28,0.221,0.309,0.585,0.245
"P48","Mala",0.156,0.076,0.13,0.129,0.129,0.07,0.127,0.071,0.066
"P48","Muy mala",0.08,0.064,0.234,0.08,0.251,0.373,0.133,0.28,0.659
"P48","No sabe",0.302,0.345,0.278,0.271,0.252,0.336,0.423,0.064,0.03
"P49","Muy buena",0.024,0.023,0.223,0.019,0.03,0.26,0.061,0,0
"P49","Buena",0.116,0.107,0.117,0.057,0.1,0.077,0.089,0.038,0.036
"P49","Ni buena ni mala",0.28,0.404,0.25,0.342,0.299,0.178,0.183,0.547,0.274
"P49","Mala",0.2,0.117,0.149,0.159,0.105,0.106,0.179,0.029,0.066
"P49","Muy mala",0.19,0.138,0.121,0.276,0.294,0.094,0.144,0.386,0.624
"P49","No sabe",0.19,0.211,0.14,0.147,0.172,0.285,0.344,0,0
"P50","Muy buena",0.003,0.006,0.052,0.511,0.079,0.029,0.219,0,0
"P50","Buena",0.036,0.026,0.032,0.075,0.215,0.081,0.219,0.238,0
"P50","Ni buena ni mala",0.224,0.298,0.26,0.175,0.286,0.185,0.091,0.365,0.272
"P50","Mala",0.237,0.146,0.177,0.078,0.168,0.029,0.104,0,0.102
"P50","Muy mala",0.284,0.232,0.259,0.025,0.163,0.363,0.04,0.397,0.626
"P50","No sabe",0.216,0.292,0.22,0.136,0.089,0.313,0.327,0,0
"P51","Muy buena",0,0,0.015,0.074,0.224,0.098,0.067,0,0.037
"P51","Buena",0.037,0.014,0.025,0.083,0.255,0.082,0.238,0,0
"P51","Ni buena ni mala",0.311,0.324,0.343,0.397,0.179,0.111,0.199,0.579,0.239
"P51","Mala",0.157,0.129,0.116,0.136,0.092,0.329,0.086,0,0.067
"P51","Muy mala",0.16,0.193,0.235,0.032,0.051,0,0.166,0.348,0.627
"P51","No sabe",0.335,0.34,0.266,0.278,0.199,0.38,0.244,0.073,0.03
"P52","Muy buena",0.021,0,0.051,0.096,0.029,0.229,0.05,0,0.037
"P52","Buena",0.025,0,0.013,0.024,0.01,0.012,0.081,0,0
"P52","Ni buena ni mala",0.281,0.372,0.318,0.355,0.361,0.146,0.255,0.361,0.234
"P52","Mala",0.155,0.1,0.126,0.1,0.13,0.25,0.052,0,0.065
"P52","Muy mala",0.137,0.152,0.201,0.044,0.13,0,0.03,0.49,0.633
"P52","No sabe",0.381,0.376,0.291,0.381,0.34,0.363,0.532,0.149,0.031
"P53","Muy buena",0.004,0,0.013,0,0.028,0.012,0.178,0,0.047
"P53","Buena",0.031,0.005,0.028,0.062,0.095,0.128,0.082,0,0
"P53","Ni buena ni mala",0.291,0.358,0.338,0.405,0.343,0.208,0.173,0.361,0
"P53","Mala",0.166,0.076,0.112,0.092,0.048,0.319,0.046,0,0.085
"P53","Muy mala",0.134,0.132,0.212,0.118,0.194,0,0.029,0.49,0.828
"P53","No sabe",0.374,0.429,0.297,0.323,0.292,0.333,0.492,0.149,0.04
"P54","Muy buena",0.015,0.007,0.037,0.025,0.053,0.071,0.21,0.185,0.297
"P54","Buena",0.031,0.056,0.072,0.121,0.184,0.027,0.341,0.444,0
"P54","Ni buena ni mala",0.203,0.228,0.232,0.356,0.365,0.127,0.11,0.043,0.154
"P54","Mala",0.303,0.24,0.177,0.105,0.089,0.134,0.07,0,0.295
"P54","Muy mala",0.31,0.256,0.312,0.197,0.215,0.365,0.071,0.328,0.172
"P54","No sabe",0.138,0.213,0.17,0.196,0.094,0.276,0.198,0,0.082
"P55","Muy buena",0.003,0.002,0.011,0.007,0,0.04,0.123,0,0.087
"P55","Buena",0.033,0.002,0.023,0.053,0.03,0,0.052,0.161,0
"P55","Ni buena ni mala",0.258,0.292,0.323,0.394,0.376,0.47,0.31,0.36,0
"P55","Mala",0.147,0.136,0.166,0.088,0.079,0.086,0.06,0,0.375
"P55","Muy mala",0.176,0.156,0.191,0.063,0.229,0.039,0.041,0.328,0.538
"P55","No sabe",0.383,0.412,0.286,0.395,0.286,0.365,0.414,0.151,0
"P56","Si",0.545,0.527,0.475,0.502,0.426,0.526,0.565,0.437,0.558
"P56","No",0.455,0.473,0.525,0.498,0.574,0.474,0.435,0.563,0.442
