"var","categoria","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P16","Nunca lo votaría",0.785,0.219,0.291,0.251,0.402,0.338,0.601,0.744,0.616
"P16","No sabe",0.062,0.071,0.06,0.107,0.124,0.167,0.087,0.088,0.206
"P17","Lo votaría",0.028,0.321,0.187,0.29,0.115,0.071,0.074,0.038,0.022
"P17","Puede que lo vote",0.077,0.387,0.307,0.332,0.235,0.356,0.201,0.14,0.116
"P17","Nunca lo votaría",0.827,0.215,0.368,0.219,0.496,0.382,0.592,0.703,0.607
"P17","No sabe",0.068,0.077,0.138,0.159,0.154,0.191,0.133,0.119,0.255
"P18","Lo votaría",0.299,0.044,0.071,0.055,0.062,0.027,0.052,0.033,0.052
"P18","Puede que lo vote",0.446,0.059,0.1,0.127,0.124,0.113,0.048,0.13,0.249
"P18","Nunca lo votaría",0.199,0.874,0.774,0.739,0.758,0.857,0.862,0.76,0.493
"P18","No sabe",0.056,0.023,0.055,0.079,0.056,0.003,0.038,0.077,0.206
"P19","Lo votaría",0.071,0.063,0.071,0.071,0.095,0.048,0.102,0.094,0.093
"P19","Puede que lo vote",0.115,0.135,0.166,0.22,0.142,0.275,0.215,0.224,0.096
"P19","Nunca lo votaría",0.767,0.756,0.674,0.636,0.702,0.631,0.618,0.629,0.646
"P19","No sabe",0.047,0.046,0.089,0.073,0.061,0.046,0.065,0.053,0.165
"P20","Lo votaría",0.018,0.231,0.108,0.162,0.121,0.626,0.454,0.279,0.032
"P20","Puede que lo vote",0.071,0.402,0.236,0.334,0.209,0.16,0.244,0.2,0.106
"P20","Nunca lo votaría",0.861,0.295,0.533,0.411,0.536,0.183,0.234,0.475,0.652
"P20","No sabe",0.05,0.072,0.123,0.093,0.134,0.031,0.068,0.046,0.21
"P21","Lo votaría",0.014,0.06,0.037,0.043,0.175,0.131,0.05,0.041,0.004
"P21","Puede que lo vote",0.048,0.17,0.119,0.163,0.153,0.081,0.108,0.078,0.052
"P21","Nunca lo votaría",0.769,0.513,0.557,0.543,0.444,0.412,0.553,0.624,0.584
"P21","No sabe",0.169,0.257,0.287,0.251,0.228,0.376,0.289,0.257,0.36
"P22","Lo votaría",0.201,0.018,0.024,0.055,0.035,0.019,0.021,0.046,0.053
"P22","Puede que lo vote",0.404,0.037,0.091,0.067,0.1,0.095,0.048,0.103,0.184
"P22","Nunca lo votaría",0.312,0.897,0.784,0.753,0.775,0.848,0.878,0.728,0.531
"P22","No sabe",0.083,0.048,0.101,0.125,0.09,0.038,0.053,0.123,0.232
"P23","Lo votaría",0.042,0.104,0.043,0.075,0.046,0.021,0.034,0.018,0.01
"P23","Puede que lo vote",0.096,0.21,0.098,0.195,0.153,0.208,0.079,0.11,0.052
"P23","Nunca lo votaría",0.662,0.483,0.593,0.511,0.552,0.5,0.667,0.66,0.542
"P23","No sabe",0.2,0.203,0.266,0.219,0.249,0.271,0.22,0.212,0.396
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.299,0.008,0.06,0.025,0.059,0.006,0.011,0.025,0.107
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.488,0.051,0.077,0.02,0.044,0.071,0.03,0.132,0.238
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.073,0.773,0.223,0.184,0.053,0.12,0.115,0.095,0.043
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.037,0.051,0.521,0.298,0.247,0.111,0.049,0.082,0.054
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.01,0.017,0.032,0.344,0.096,0.035,0.01,0.011,0.005
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.023,0.038,0.038,0.033,0.39,0.087,0.008,0.024,0.032
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.007,0.003,0.014,0.006,0.388,0.033,0.012,0.007
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.009,0.033,0.008,0.049,0.03,0.115,0.723,0.49,0.03
"P24","A los candidatos del Frente de Izquierda",0.005,0.001,0.003,0,0,0.004,0.001,0.099,0.076
"P24","No sabe",0.054,0.021,0.035,0.033,0.075,0.063,0.02,0.03,0.408
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.238,0.012,0.02,0.093,0.043,0.006,0.026,0.021,0.125
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.547,0.055,0.167,0.035,0.071,0.025,0.012,0.118,0.227
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.049,0.786,0.2,0.14,0.023,0.089,0.063,0.001,0.035
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.017,0.033,0.521,0.347,0.252,0.077,0.018,0,0.01
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.007,0.015,0.008,0.271,0.111,0.083,0.019,0.009,0.01
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.054,0.02,0.029,0.03,0.432,0.148,0.02,0.012,0.013
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.008,0.005,0.019,0.006,0.514,0.036,0.023,0.007
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.01,0.056,0.013,0.039,0.009,0.032,0.789,0.674,0.022
"P25","A los candidatos del Frente de Izquierda",0.006,0,0.002,0,0.006,0,0.001,0.119,0.119
"P25","No sabe",0.071,0.015,0.035,0.026,0.047,0.026,0.016,0.023,0.432
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.744,0.086,0.183,0.045,0.049,0.015,0.03,0.08,0.248
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.045,0.804,0.164,0.241,0.032,0.073,0.038,0.032,0.045
