"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.031,0.017,0.024,0.065
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.005,0.028,0.011,0.014
"P26","A los candidatos del Frente de Izquierda",0,0.012,0.023,0.048
"P26","No sabe",0.032,0.014,0.046,0.044
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.07,0.039,0.239,0.088
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.247,0.749,0.104,0.248
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.541,0.099,0.204,0.222
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.059,0.037,0.299,0.159
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.036,0.018,0.032,0.081
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.005,0.024,0.045,0.004
"P27","A los candidatos del Frente de Izquierda",0,0.006,0.003,0.006
"P27","No sabe",0.042,0.028,0.074,0.192
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.028,0.025,0.247,0.138
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.245,0.78,0.052,0.251
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.572,0.098,0.127,0.217
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.073,0.021,0.371,0.173
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.049,0.015,0.035,0.084
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.004,0.031,0.064,0.016
"P28","A los candidatos del Frente de Izquierda",0.003,0.006,0.006,0.005
"P28","No sabe",0.026,0.024,0.098,0.116
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.062,0.047,0.273,0.139
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.241,0.76,0.059,0.321
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.565,0.092,0.123,0.157
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.071,0.016,0.352,0.184
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.038,0.016,0.019,0.012
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.003,0.038,0.07,0.091
"P29","A los candidatos del Frente de Izquierda",0,0.012,0.032,0
"P29","No sabe",0.02,0.019,0.072,0.096
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.288,0.188,0.367,0.142
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.581,0.426,0.258,0.407
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.025,0.165,0.154,0.037
"P30","A los candidatos del Frente de Izquierda",0.003,0.012,0.02,0.102
"P30","No sabe",0.103,0.209,0.201,0.312
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.199,0.308,0.415,0.256
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.467,0.575,0.297,0.453
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.063,0.066,0.081,0.025
"P31","A los candidatos del Frente de Izquierda",0.018,0.004,0.044,0.036
"P31","No sabe",0.253,0.047,0.163,0.23
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.302,0.204,0.397,0.209
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.596,0.416,0.296,0.425
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.021,0.18,0.08,0.026
"P32","A los candidatos del Frente de Izquierda",0.001,0.004,0.041,0.058
"P32","No sabe",0.08,0.196,0.186,0.282
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.223,0.298,0.387,0.303
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.463,0.565,0.294,0.451
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.072,0.088,0.085,0.048
"P33","A los candidatos del Frente de Izquierda",0.017,0.005,0.024,0.013
"P33","No sabe",0.225,0.044,0.21,0.185
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.304,0.224,0.394,0.205
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.576,0.433,0.316,0.454
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.033,0.173,0.08,0.074
"P34","A los candidatos del Frente de Izquierda",0,0.002,0.037,0.044
"P34","No sabe",0.087,0.168,0.173,0.223
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.113,0.04,0.392,0.114
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.641,0.836,0.388,0.672
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.054,0.082,0.094,0.009
"P35","A los candidatos del Frente de Izquierda",0.017,0.003,0.013,0.048
"P35","No sabe",0.175,0.039,0.113,0.157
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.026,0.016,0.307,0.076
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.834,0.642,0.436,0.664
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.032,0.197,0.081,0.016
"P36","A los candidatos del Frente de Izquierda",0.007,0.004,0.035,0
"P36","No sabe",0.101,0.141,0.141,0.244
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.027,0.006,0.417,0.111
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.701,0.879,0.394,0.579
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.058,0.087,0.098,0.017
"P37","A los candidatos del Frente de Izquierda",0.011,0.003,0.009,0.015
"P37","No sabe",0.203,0.025,0.082,0.278
"P38","Muy buena",0.108,0.06,0.285,0.022
"P38","Buena",0.038,0.05,0.139,0.056
"P38","Ni buena ni mala",0.038,0.02,0.062,0.08
"P38","Mala",0.15,0.098,0.158,0.123
"P38","Muy mala",0.658,0.763,0.351,0.719
"P38","No sabe",0.008,0.009,0.005,0
"P39","Muy buena",0.051,0.01,0.235,0.009
"P39","Buena",0.044,0.01,0.167,0.035
"P39","Ni buena ni mala",0.058,0.019,0.032,0.065
"P39","Mala",0.109,0.091,0.154,0.136
"P39","Muy mala",0.729,0.86,0.408,0.706
"P39","No sabe",0.009,0.01,0.004,0.049
"P40","Muy buena",0.034,0.014,0.119,0.009
"P40","Buena",0.028,0.012,0.197,0.021
"P40","Ni buena ni mala",0.222,0.129,0.264,0.212
"P40","Mala",0.135,0.178,0.117,0.164
"P40","Muy mala",0.387,0.511,0.134,0.477
"P40","No sabe",0.194,0.156,0.169,0.117
"P41","Muy buena",0.322,0.244,0.147,0.132
"P41","Buena",0.274,0.334,0.378,0.42
"P41","Ni buena ni mala",0.168,0.235,0.212,0.352
"P41","Mala",0.079,0.075,0.065,0.062
"P41","Muy mala",0.105,0.076,0.161,0.015
"P41","No sabe",0.052,0.036,0.037,0.019
"P42","Muy buena",0.294,0.326,0.096,0.134
"P42","Buena",0.287,0.368,0.137,0.368
"P42","Ni buena ni mala",0.201,0.214,0.241,0.325
"P42","Mala",0.084,0.023,0.157,0.097
"P42","Muy mala",0.06,0.039,0.271,0.058
"P42","No sabe",0.074,0.03,0.098,0.018
"P43","Muy buena",0.151,0.203,0.044,0.13
"P43","Buena",0.188,0.316,0.123,0.247
"P43","Ni buena ni mala",0.36,0.307,0.246,0.262
"P43","Mala",0.062,0.015,0.198,0.064
"P43","Muy mala",0.082,0.032,0.175,0.027
"P43","No sabe",0.157,0.127,0.214,0.27
"P44","Muy buena",0.069,0.071,0.028,0.06
"P44","Buena",0.134,0.223,0.125,0.13
"P44","Ni buena ni mala",0.423,0.456,0.201,0.339
"P44","Mala",0.154,0.093,0.198,0.15
"P44","Muy mala",0.116,0.083,0.258,0.078
"P44","No sabe",0.104,0.074,0.19,0.243
"P45","Muy buena",0.141,0.237,0.123,0.121
"P45","Buena",0.279,0.337,0.115,0.269
"P45","Ni buena ni mala",0.344,0.297,0.19,0.33
"P45","Mala",0.121,0.061,0.067,0.211
"P45","Muy mala",0.068,0.031,0.44,0.009
"P45","No sabe",0.047,0.037,0.065,0.06
"P46","Muy buena",0.101,0.053,0.036,0.007
"P46","Buena",0.183,0.103,0.166,0.161
"P46","Ni buena ni mala",0.331,0.334,0.299,0.249
"P46","Mala",0.122,0.2,0.235,0.293
"P46","Muy mala",0.224,0.264,0.237,0.245
"P46","No sabe",0.039,0.046,0.027,0.045
"P47","Muy buena",0.031,0.005,0.071,0
"P47","Buena",0.037,0.014,0.13,0.069
"P47","Ni buena ni mala",0.143,0.067,0.138,0.141
"P47","Mala",0.152,0.157,0.234,0.152
"P47","Muy mala",0.612,0.731,0.344,0.578
"P47","No sabe",0.025,0.026,0.083,0.06
"P48","Muy buena",0.02,0.004,0.052,0.013
"P48","Buena",0.009,0.004,0.094,0.091
"P48","Ni buena ni mala",0.075,0.019,0.145,0.061
"P48","Mala",0.102,0.073,0.225,0.119
"P48","Muy mala",0.79,0.895,0.484,0.708
"P48","No sabe",0.004,0.005,0,0.008
"P49","Muy buena",0.019,0.005,0.012,0.013
"P49","Buena",0.015,0.003,0.139,0
"P49","Ni buena ni mala",0.048,0.024,0.156,0.052
"P49","Mala",0.111,0.062,0.282,0.223
"P49","Muy mala",0.8,0.903,0.411,0.712
"P49","No sabe",0.007,0.003,0,0
"P50","Muy buena",0.036,0.009,0.256,0.013
"P50","Buena",0.007,0.003,0.08,0.052
"P50","Ni buena ni mala",0.035,0.009,0.007,0.061
"P50","Mala",0.083,0.039,0.131,0.079
"P50","Muy mala",0.839,0.938,0.521,0.795
"P50","No sabe",0,0.002,0.005,0
"P51","Muy buena",0.32,0.436,0.288,0.255
"P51","Buena",0.192,0.263,0.221,0.252
"P51","Ni buena ni mala",0.143,0.116,0.13,0.222
"P51","Mala",0.123,0.039,0.129,0.188
"P51","Muy mala",0.211,0.142,0.232,0.083
"P51","No sabe",0.011,0.004,0,0
"P52","Muy buena",0.451,0.174,0.139,0.181
"P52","Buena",0.316,0.423,0.285,0.302
"P52","Ni buena ni mala",0.158,0.278,0.126,0.232
"P52","Mala",0.033,0.06,0.2,0.099
"P52","Muy mala",0.042,0.063,0.244,0.186
"P52","No sabe",0,0.002,0.006,0
"P53","Muy buena",0.115,0.028,0,0.021
"P53","Buena",0.111,0.069,0.121,0.052
"P53","Ni buena ni mala",0.087,0.06,0.182,0.152
"P53","Mala",0.13,0.092,0.173,0.142
"P53","Muy mala",0.55,0.75,0.511,0.633
"P53","No sabe",0.007,0.001,0.013,0
"P54","Muy buena",0.359,0.678,0.083,0.209
"P54","Buena",0.268,0.197,0.277,0.373
"P54","Ni buena ni mala",0.186,0.018,0.205,0.322
"P54","Mala",0.052,0.013,0.056,0.042
"P54","Muy mala",0.132,0.094,0.326,0.054
"P54","No sabe",0.003,0,0.053,0
"P55","Muy buena",0.183,0.177,0.026,0.062
"P55","Buena",0.121,0.224,0.134,0.028
"P55","Ni buena ni mala",0.327,0.316,0.219,0.335
"P55","Mala",0.125,0.131,0.128,0.245
"P55","Muy mala",0.222,0.124,0.493,0.298
"P55","No sabe",0.022,0.028,0,0.032
"P56","Muy buena",0.338,0.307,0.141,0.22
"P56","Buena",0.301,0.385,0.215,0.42
"P56","Ni buena ni mala",0.211,0.199,0.142,0.238
"P56","Mala",0.069,0.05,0.11,0.075
"P56","Muy mala",0.075,0.056,0.392,0.047
"P56","No sabe",0.006,0.003,0,0
"P57","Muy buena",0.09,0.059,0.006,0.028
"P57","Buena",0.092,0.05,0.158,0.067
"P57","Ni buena ni mala",0.156,0.104,0.185,0.124
"P57","Mala",0.152,0.148,0.272,0.242
"P57","Muy mala",0.507,0.632,0.379,0.529
"P57","No sabe",0.003,0.007,0,0.01
"P58","Muy buena",0.072,0.056,0.354,0.164
"P58","Buena",0.25,0.18,0.296,0.286
"P58","Ni buena ni mala",0.364,0.385,0.252,0.28
"P58","Mala",0.143,0.163,0.039,0.082
"P58","Muy mala",0.133,0.195,0.051,0.188
"P58","No sabe",0.038,0.021,0.008,0
"P59","Siempre",0.306,0.341,0.43,0.298
"P59","Casi siempre",0.395,0.411,0.377,0.305
"P59","Casi nunca",0.224,0.177,0.16,0.151
"P59","Nunca, pero esta es una excepción",0.075,0.071,0.033,0.246
"P60","Si",0.649,0.611,0.547,0.326
"P60","No",0.351,0.389,0.453,0.674
