"var","categoria","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P10","No sabe",0.047,0.059,0.064,0.126,0.295
"P11","A Alberto Fernández",0.136,0.142,0.245,0.107,0.203
"P11","A Sergio Massa",0.18,0.182,0.206,0.285,0.336
"P11","A algún candidato del peronismo",0.12,0.354,0.42,0.151,0.142
"P11","A algún candidato del kirchnerismo",0.564,0.322,0.129,0.457,0.319
"P12","A Alberto Fernández",0.056,0.081,0.177,0.107,0.142
"P12","A Sergio Massa",0.112,0.154,0.206,0.255,0.228
"P12","A algún candidato del peronismo",0.07,0.344,0.452,0.152,0.177
"P12","A Cristina Fernández de Kirchner",0.762,0.421,0.165,0.486,0.453
"P13","A Horacio Rodriguez Larreta",0.148,0.298,0.054,0.242,0.181
"P13","A Patricia Bullrich",0.26,0.624,0.901,0.367,0.686
"P13","A Facundo Manes",0.536,0.047,0.041,0.391,0.076
"P13","A Gerardo Morales",0.056,0.031,0.004,0,0.057
"P14","Lo votaría",0.788,0.048,0.013,0.206,0.173
"P14","Puede que lo vote",0.091,0.055,0.036,0.257,0.107
"P14","Nunca lo votaría",0.054,0.871,0.936,0.335,0.6
"P14","No sabe",0.067,0.026,0.015,0.202,0.12
"P15","Lo votaría",0.244,0.02,0.016,0.048,0.066
"P15","Puede que lo vote",0.474,0.047,0.043,0.199,0.121
"P15","Nunca lo votaría",0.165,0.89,0.884,0.622,0.63
"P15","No sabe",0.117,0.043,0.057,0.131,0.183
"P16","Lo votaría",0.036,0.454,0.086,0.055,0.067
"P16","Puede que lo vote",0.099,0.359,0.27,0.065,0.257
"P16","Nunca lo votaría",0.815,0.142,0.57,0.733,0.476
"P16","No sabe",0.05,0.045,0.074,0.147,0.2
"P17","Lo votaría",0.018,0.363,0.109,0.046,0.103
"P17","Puede que lo vote",0.044,0.412,0.274,0.053,0.236
"P17","Nunca lo votaría",0.881,0.138,0.5,0.807,0.426
"P17","No sabe",0.057,0.087,0.117,0.094,0.235
"P18","Lo votaría",0.226,0.058,0.038,0.056,0.143
"P18","Puede que lo vote",0.444,0.062,0.083,0.248,0.135
"P18","Nunca lo votaría",0.264,0.856,0.849,0.612,0.581
"P18","No sabe",0.066,0.024,0.03,0.084,0.141
"P19","Lo votaría",0.066,0.044,0.072,0.049,0.066
"P19","Puede que lo vote",0.107,0.147,0.251,0.086,0.124
"P19","Nunca lo votaría",0.775,0.75,0.607,0.804,0.667
"P19","No sabe",0.052,0.059,0.07,0.061,0.143
"P20","Lo votaría",0.019,0.197,0.415,0.032,0.081
"P20","Puede que lo vote",0.041,0.4,0.291,0.059,0.219
"P20","Nunca lo votaría",0.898,0.332,0.228,0.829,0.5
"P20","No sabe",0.042,0.071,0.066,0.08,0.2
"P21","Lo votaría",0.012,0.078,0.064,0.017,0.023
"P21","Puede que lo vote",0.044,0.202,0.137,0.042,0.093
"P21","Nunca lo votaría",0.765,0.474,0.492,0.618,0.534
"P21","No sabe",0.179,0.246,0.307,0.323,0.35
"P22","Lo votaría",0.186,0.019,0.018,0.069,0.033
"P22","Puede que lo vote",0.425,0.052,0.04,0.142,0.121
"P22","Nunca lo votaría",0.293,0.875,0.855,0.615,0.684
"P22","No sabe",0.096,0.054,0.087,0.174,0.162
"P23","Lo votaría",0.026,0.087,0.048,0.02,0.043
"P23","Puede que lo vote",0.096,0.213,0.155,0.149,0.09
"P23","Nunca lo votaría",0.663,0.504,0.571,0.505,0.536
"P23","No sabe",0.215,0.196,0.226,0.326,0.331
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.25,0.031,0.011,0.069,0.099
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.528,0.025,0.048,0.096,0.091
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.081,0.529,0.264,0.028,0.29
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.06,0.254,0.054,0.101,0.05
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.012,0.061,0.02,0.053,0.072
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.033,0.052,0.028,0.042,0.082
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.011,0.032,0.004,0.021
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.002,0.011,0.531,0.025,0.022
"P24","A los candidatos del Frente de Izquierda",0.005,0,0,0.472,0.006
"P24","No sabe",0.028,0.026,0.012,0.11,0.267
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.194,0.022,0.008,0.135,0.115
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.675,0.019,0.007,0.071,0.099
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.012,0.545,0.229,0.025,0.281
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.023,0.269,0.017,0.027,0.034
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.014,0.044,0.017,0,0.069
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.045,0.054,0.025,0.044,0.059
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.02,0.044,0.004,0.019
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.006,0.009,0.629,0.028,0.048
"P25","A los candidatos del Frente de Izquierda",0.004,0,0.003,0.59,0.024
"P25","No sabe",0.026,0.018,0.021,0.076,0.252
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.702,0.047,0.027,0.153,0.178
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.05,0.501,0.222,0.03,0.272
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.061,0.226,0.022,0.015,0.049
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.026,0.122,0.017,0.041,0.107
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.008,0.051,0.025,0.026,0.074
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.003,0.02,0.025,0.008,0.021
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.013,0.015,0.459,0.004,0.031
"P26","A los candidatos del Frente de Izquierda",0.041,0.006,0.183,0.414,0.027
"P26","No sabe",0.096,0.012,0.02,0.309,0.241
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.788,0.047,0.026,0.128,0.151
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.025,0.55,0.237,0.031,0.305
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.035,0.277,0.021,0.027,0.054
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.04,0.059,0.013,0.077,0.077
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.009,0.022,0.036,0.008,0.028
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.004,0.01,0.529,0.011,0.02
"P27","A los candidatos del Frente de Izquierda",0.026,0.007,0.058,0.619,0.014
"P27","No sabe",0.073,0.028,0.08,0.099,0.351
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.732,0.025,0.009,0.115,0.178
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.025,0.56,0.234,0.024,0.295
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.015,0.28,0.028,0.009,0.038
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.028,0.065,0.047,0.091,0.066
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.02,0.04,0.004,0.038
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.02,0.57,0.005,0.032
"P28","A los candidatos del Frente de Izquierda",0.053,0.002,0.012,0.677,0.026
"P28","No sabe",0.131,0.028,0.06,0.075,0.327
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.762,0.06,0.017,0.125,0.176
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.025,0.534,0.256,0.032,0.307
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.021,0.289,0.005,0.026,0.018
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.008,0.062,0.033,0.055,0.073
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.022,0.03,0.011,0.022
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.027,0.014,0.603,0.007,0.045
"P29","A los candidatos del Frente de Izquierda",0.05,0.001,0.007,0.687,0.031
"P29","No sabe",0.106,0.018,0.049,0.057,0.328
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.628,0.289,0.019,0.097,0.132
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.259,0.568,0.033,0.069,0.102
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.01,0.048,0.889,0.024,0.043
"P30","A los candidatos del Frente de Izquierda",0.038,0.005,0.015,0.701,0.019
"P30","No sabe",0.065,0.09,0.044,0.109,0.704
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.638,0.298,0.082,0.091,0.281
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.261,0.552,0.123,0.085,0.197
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.007,0.038,0.767,0.024,0.036
"P31","A los candidatos del Frente de Izquierda",0.039,0.013,0.004,0.705,0.013
"P31","No sabe",0.055,0.099,0.024,0.095,0.473
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.575,0.301,0.009,0.073,0.13
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.227,0.579,0.034,0.068,0.131
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.007,0.044,0.918,0.032,0.026
"P32","A los candidatos del Frente de Izquierda",0.061,0.009,0.006,0.74,0.017
"P32","No sabe",0.13,0.067,0.033,0.087,0.696
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.572,0.306,0.068,0.091,0.241
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.248,0.547,0.12,0.084,0.214
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.01,0.054,0.786,0.011,0.009
"P33","A los candidatos del Frente de Izquierda",0.054,0.01,0.002,0.762,0.021
"P33","No sabe",0.116,0.083,0.024,0.052,0.515
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.604,0.326,0.03,0.071,0.187
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.259,0.584,0.031,0.085,0.078
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.007,0.028,0.91,0.006,0.015
"P34","A los candidatos del Frente de Izquierda",0.047,0.012,0.002,0.814,0.012
"P34","No sabe",0.083,0.05,0.027,0.024,0.708
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.814,0.07,0.025,0.117,0.18
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.059,0.821,0.171,0.044,0.283
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.004,0.029,0.79,0,0.007
"P35","A los candidatos del Frente de Izquierda",0.044,0.008,0.003,0.802,0.004
"P35","No sabe",0.079,0.072,0.011,0.037,0.526
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.953,0.026,0.001,0.138,0.027
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.018,0.871,0.161,0.029,0.283
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.008,0.036,0.831,0,0.01
"P37","A los candidatos del Frente de Izquierda",0.002,0.005,0.002,0.809,0.013
"P37","No sabe",0.019,0.062,0.005,0.024,0.667
"P38","Muy buena",0.618,0.069,0.013,0.077,0.103
"P38","Buena",0.264,0.061,0.018,0.203,0.11
"P38","Ni buena ni mala",0.068,0.043,0.146,0.164,0.139
"P38","Mala",0.031,0.13,0.089,0.383,0.145
"P38","Muy mala",0.016,0.687,0.725,0.169,0.476
"P38","No sabe",0.003,0.01,0.009,0.004,0.027
"P39","Muy buena",0.728,0.027,0.009,0.131,0.135
"P39","Buena",0.174,0.026,0.006,0.209,0.099
"P39","Ni buena ni mala",0.054,0.042,0.069,0.274,0.139
"P39","Mala",0.017,0.107,0.098,0.166,0.133
"P39","Muy mala",0.02,0.788,0.806,0.211,0.473
"P39","No sabe",0.007,0.01,0.012,0.009,0.021
"P40","Muy buena",0.308,0.02,0.013,0.054,0.047
"P40","Buena",0.292,0.024,0.007,0.169,0.064
"P40","Ni buena ni mala",0.234,0.186,0.138,0.32,0.221
"P40","Mala",0.033,0.176,0.124,0.161,0.145
"P40","Muy mala",0.022,0.412,0.527,0.125,0.288
"P40","No sabe",0.111,0.182,0.191,0.171,0.235
"P41","Muy buena",0.043,0.312,0.043,0.005,0.047
"P41","Buena",0.059,0.353,0.156,0.08,0.112
"P41","Ni buena ni mala",0.19,0.155,0.332,0.102,0.384
"P41","Mala",0.275,0.062,0.17,0.36,0.164
"P41","Muy mala",0.39,0.077,0.231,0.395,0.154
"P41","No sabe",0.043,0.041,0.068,0.058,0.139
"P42","Muy buena",0.007,0.33,0.072,0.007,0.086
"P42","Buena",0.029,0.332,0.199,0.028,0.178
"P42","Ni buena ni mala",0.132,0.214,0.319,0.098,0.279
"P42","Mala",0.237,0.045,0.15,0.277,0.11
"P42","Muy mala",0.548,0.044,0.182,0.542,0.183
"P42","No sabe",0.047,0.035,0.078,0.048,0.164
"P43","Muy buena",0.015,0.192,0.064,0.003,0.063
"P43","Buena",0.021,0.279,0.136,0.022,0.124
"P43","Ni buena ni mala",0.179,0.296,0.368,0.152,0.294
"P43","Mala",0.197,0.033,0.082,0.236,0.082
"P43","Muy mala",0.435,0.042,0.168,0.432,0.155
"P43","No sabe",0.153,0.158,0.182,0.155,0.282
"P44","Muy buena",0.004,0.083,0.094,0.007,0.028
"P44","Buena",0.016,0.199,0.163,0.023,0.08
"P44","Ni buena ni mala",0.103,0.419,0.391,0.172,0.31
"P44","Mala",0.196,0.119,0.082,0.136,0.131
"P44","Muy mala",0.597,0.086,0.158,0.6,0.23
"P44","No sabe",0.084,0.094,0.112,0.062,0.221
"P45","Muy buena",0.007,0.199,0.29,0.03,0.069
"P45","Buena",0.014,0.311,0.276,0.012,0.152
"P45","Ni buena ni mala",0.077,0.32,0.253,0.069,0.233
"P45","Mala",0.19,0.072,0.07,0.265,0.13
"P45","Muy mala",0.67,0.059,0.063,0.584,0.234
"P45","No sabe",0.042,0.039,0.048,0.04,0.182
"P46","Muy buena",0.031,0.064,0.092,0.039,0.082
"P46","Buena",0.066,0.16,0.201,0.042,0.07
"P46","Ni buena ni mala",0.23,0.358,0.304,0.152,0.281
"P46","Mala",0.221,0.176,0.167,0.231,0.152
"P46","Muy mala",0.423,0.197,0.184,0.531,0.311
"P46","No sabe",0.029,0.045,0.052,0.005,0.104
"P47","Muy buena",0.196,0.034,0.016,0.008,0.03
"P47","Buena",0.315,0.027,0.037,0.111,0.078
"P47","Ni buena ni mala",0.277,0.1,0.106,0.145,0.208
"P47","Mala",0.109,0.159,0.102,0.233,0.119
"P47","Muy mala",0.087,0.638,0.699,0.446,0.431
"P47","No sabe",0.016,0.042,0.04,0.057,0.134
"P48","Muy buena",0.107,0.02,0.004,0.022,0.047
"P48","Buena",0.392,0.019,0.008,0.114,0.059
"P48","Ni buena ni mala",0.311,0.033,0.029,0.331,0.218
"P48","Mala",0.152,0.097,0.081,0.302,0.132
"P48","Muy mala",0.033,0.818,0.866,0.211,0.503
"P48","No sabe",0.005,0.013,0.012,0.02,0.041
"P49","Muy buena",0.125,0.019,0.009,0.107,0.057
"P49","Buena",0.329,0.013,0.006,0.082,0.068
"P49","Ni buena ni mala",0.299,0.041,0.024,0.238,0.208
"P49","Mala",0.169,0.1,0.074,0.369,0.139
"P49","Muy mala",0.075,0.82,0.878,0.204,0.506
"P49","No sabe",0.003,0.007,0.009,0,0.022
"P50","Muy buena",0.749,0.027,0.01,0.181,0.191
"P50","Buena",0.113,0.013,0.012,0.136,0.058
"P50","Ni buena ni mala",0.067,0.024,0.034,0.165,0.112
"P50","Mala",0.028,0.059,0.045,0.269,0.078
"P50","Muy mala",0.042,0.874,0.892,0.19,0.516
"P50","No sabe",0.001,0.003,0.007,0.059,0.045
"P51","Muy buena",0.097,0.362,0.184,0.053,0.206
"P51","Buena",0.018,0.271,0.173,0.039,0.082
"P51","Ni buena ni mala",0.015,0.142,0.208,0.047,0.153
"P51","Mala",0.127,0.067,0.14,0.157,0.19
"P51","Muy mala",0.735,0.154,0.291,0.704,0.34
"P51","No sabe",0.008,0.004,0.004,0,0.029
"P52","Muy buena",0.016,0.309,0.058,0.012,0.032
"P52","Buena",0.022,0.449,0.157,0.034,0.099
"P52","Ni buena ni mala",0.069,0.192,0.257,0.035,0.376
"P52","Mala",0.215,0.025,0.17,0.344,0.181
"P52","Muy mala",0.67,0.022,0.347,0.565,0.282
"P52","No sabe",0.008,0.003,0.011,0.01,0.03
"P53","Muy buena",0.13,0.062,0.009,0.029,0.062
"P53","Buena",0.352,0.107,0.052,0.087,0.103
"P53","Ni buena ni mala",0.28,0.08,0.089,0.253,0.231
"P53","Mala",0.11,0.113,0.124,0.242,0.123
"P53","Muy mala",0.114,0.629,0.717,0.389,0.441
"P53","No sabe",0.014,0.009,0.009,0,0.04
"P54","Muy buena",0.032,0.507,0.326,0.02,0.22
"P54","Buena",0.057,0.245,0.21,0.053,0.144
"P54","Ni buena ni mala",0.055,0.087,0.152,0.055,0.161
"P54","Mala",0.101,0.045,0.088,0.116,0.16
"P54","Muy mala",0.743,0.106,0.218,0.751,0.279
"P54","No sabe",0.012,0.01,0.006,0.005,0.036
"P55","Muy buena",0.013,0.149,0.619,0.025,0.053
"P55","Buena",0.022,0.168,0.232,0,0.072
"P55","Ni buena ni mala",0.043,0.35,0.092,0.063,0.279
"P55","Mala",0.111,0.153,0.022,0.088,0.131
"P55","Muy mala",0.798,0.153,0.022,0.819,0.384
"P55","No sabe",0.013,0.027,0.013,0.005,0.081
"P56","Muy buena",0.013,0.326,0.156,0.01,0.087
"P56","Buena",0.023,0.36,0.224,0.013,0.218
"P56","Ni buena ni mala",0.023,0.185,0.235,0.053,0.212
"P56","Mala",0.148,0.061,0.155,0.146,0.156
"P56","Muy mala",0.787,0.066,0.221,0.778,0.274
"P56","No sabe",0.006,0.002,0.009,0,0.053
"P57","Muy buena",0.165,0.087,0.018,0.07,0.032
"P57","Buena",0.434,0.084,0.047,0.043,0.119
"P57","Ni buena ni mala",0.207,0.131,0.113,0.246,0.26
"P57","Mala",0.069,0.157,0.16,0.227,0.134
"P57","Muy mala",0.123,0.534,0.647,0.414,0.436
"P57","No sabe",0.002,0.007,0.015,0,0.019
"P58","Muy buena",0.035,0.119,0.069,0.057,0.065
"P58","Buena",0.139,0.221,0.118,0.129,0.124
"P58","Ni buena ni mala",0.376,0.373,0.259,0.328,0.369
"P58","Mala",0.215,0.141,0.156,0.166,0.133
"P58","Muy mala",0.182,0.133,0.324,0.275,0.204
"P58","No sabe",0.053,0.013,0.074,0.045,0.105
"P59","Siempre",0.312,0.349,0.266,0.287,0.247
"P59","Casi siempre",0.414,0.393,0.351,0.348,0.416
"P59","Casi nunca",0.197,0.193,0.267,0.227,0.223
"P59","Nunca, pero esta es una excepción",0.077,0.065,0.116,0.138,0.114
"P60","Si",0.625,0.607,0.563,0.577,0.465
"P60","No",0.375,0.393,0.437,0.423,0.535
