"var","categoria","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.017,0.032,0.049,0.01,0.119,0.023,0.003,0.054
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.035,0.019,0.045,0.407,0.028,0.023,0.029,0.013
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.013,0.005,0.004,0.361,0.027,0.039,0.014
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.01,0.025,0.026,0.159,0.173,0.808,0.092,0.178
"P25","A los candidatos del Frente de Izquierda",0.009,0,0.003,0.004,0.003,0.004,0.382,0.018
"P25","No sabe",0.022,0.017,0.022,0.024,0.046,0.015,0.082,0.36
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.729,0.049,0.05,0.18,0.127,0.022,0.155,0.22
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.052,0.759,0.103,0.115,0.059,0.049,0.035,0.043
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.063,0.07,0.52,0.081,0.046,0.015,0.03,0.04
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.013,0.064,0.222,0.054,0.111,0.025,0.005,0.047
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.015,0.009,0.074,0.397,0.061,0.01,0.002,0.022
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.007,0.008,0.013,0.36,0.019,0.004,0.003
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.018,0.008,0.137,0.203,0.666,0.123,0.022
