"var","categoria","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.016,0.016,0.021,0.097,0.029,0.384,0.072,0.026,0.015,0.026
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.002,0.013,0.018,0.078,0.004,0.385,0.017,0,0.035
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.038,0.033,0.076,0.073,0.074,0.075,0.232,0.726,0.009,0.041
"P29","A los candidatos del Frente de Izquierda",0.029,0.058,0.004,0.019,0.037,0.019,0.117,0.02,0.797,0.046
"P29","No sabe",0.075,0.153,0.021,0.056,0.118,0.036,0.086,0.119,0.046,0.546
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.588,0.575,0.19,0.337,0.294,0.162,0.037,0.019,0.052,0.118
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.306,0.212,0.377,0.426,0.294,0.342,0.097,0.025,0.115,0.096
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.047,0.04,0.237,0.12,0.138,0.127,0.503,0.91,0.032,0.054
"P30","A los candidatos del Frente de Izquierda",0.013,0.062,0.01,0.017,0.029,0.054,0,0.006,0.777,0.059
"P30","No sabe",0.046,0.111,0.186,0.1,0.245,0.315,0.363,0.04,0.024,0.673
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.601,0.582,0.306,0.309,0.328,0.213,0.083,0.024,0.061,0.127
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.325,0.239,0.514,0.299,0.298,0.388,0.234,0.019,0.068,0.104
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.032,0.032,0.118,0.16,0.169,0.134,0.47,0.911,0.01,0.055
"P31","A los candidatos del Frente de Izquierda",0.009,0.053,0.005,0.034,0.039,0.04,0.01,0.009,0.826,0.057
"P31","No sabe",0.033,0.094,0.057,0.198,0.166,0.225,0.203,0.037,0.035,0.657
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.496,0.524,0.195,0.369,0.263,0.159,0.05,0.016,0.043,0.135
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.293,0.201,0.373,0.392,0.277,0.395,0.118,0.022,0.131,0.142
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.037,0.056,0.247,0.134,0.165,0.149,0.556,0.93,0.011,0.067
"P32","A los candidatos del Frente de Izquierda",0.052,0.067,0.009,0.037,0.031,0.051,0.01,0.004,0.768,0.042
"P32","No sabe",0.122,0.152,0.176,0.068,0.264,0.246,0.266,0.028,0.047,0.614
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.496,0.538,0.298,0.294,0.315,0.217,0.074,0.024,0.053,0.179
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.295,0.209,0.506,0.278,0.346,0.346,0.271,0.017,0.123,0.169
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.024,0.057,0.134,0.184,0.097,0.144,0.472,0.92,0.019,0.049
"P33","A los candidatos del Frente de Izquierda",0.034,0.065,0.004,0.055,0.038,0.048,0.01,0.007,0.781,0.036
"P33","No sabe",0.151,0.131,0.058,0.189,0.204,0.245,0.173,0.032,0.024,0.567
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.537,0.542,0.222,0.377,0.281,0.249,0.093,0.026,0.027,0.237
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.328,0.208,0.381,0.384,0.329,0.413,0.113,0.01,0.074,0.138
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.013,0.05,0.244,0.132,0.141,0.124,0.573,0.907,0.079,0.05
"P34","A los candidatos del Frente de Izquierda",0.036,0.066,0.005,0.04,0.044,0.028,0.01,0.021,0.79,0.038
"P34","No sabe",0.086,0.134,0.148,0.067,0.205,0.186,0.211,0.036,0.03,0.537
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.78,0.698,0.108,0.208,0.052,0.259,0.045,0.024,0.122,0.246
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.083,0.062,0.727,0.435,0.546,0.395,0.329,0.026,0.079,0.129
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.014,0.053,0.122,0.149,0.088,0.142,0.525,0.925,0.012,0.048
"P35","A los candidatos del Frente de Izquierda",0.039,0.062,0.003,0.034,0.043,0.036,0.011,0.007,0.776,0.028
"P35","No sabe",0.084,0.125,0.04,0.174,0.271,0.168,0.09,0.018,0.011,0.549
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.748,0.828,0.09,0.165,0.103,0.232,0.018,0.005,0.106,0.155
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.083,0.035,0.523,0.625,0.46,0.333,0.203,0.021,0,0.128
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.03,0.066,0.253,0.13,0.147,0.17,0.588,0.952,0,0.058
"P36","A los candidatos del Frente de Izquierda",0.017,0.012,0.002,0.023,0.037,0.024,0.008,0.004,0.843,0.05
"P36","No sabe",0.122,0.059,0.132,0.057,0.253,0.241,0.183,0.018,0.051,0.609
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.76,0.835,0.086,0.173,0.07,0.212,0.037,0.002,0.176,0.15
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.051,0.039,0.742,0.476,0.496,0.4,0.367,0.023,0,0.167
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.034,0.068,0.133,0.161,0.146,0.157,0.496,0.946,0.012,0.045
"P37","A los candidatos del Frente de Izquierda",0.015,0.008,0.001,0.029,0.043,0.053,0.023,0.004,0.774,0.037
"P37","No sabe",0.14,0.05,0.038,0.161,0.245,0.178,0.077,0.025,0.038,0.601
"P38","Muy buena",0.479,0.58,0.108,0.162,0.104,0.157,0.065,0.005,0.051,0.084
"P38","Buena",0.319,0.236,0.059,0.063,0.059,0.116,0.026,0.006,0.161,0.162
"P38","Ni buena ni mala",0.089,0.074,0.04,0.085,0.065,0.131,0.02,0.175,0.157,0.221
"P38","Mala",0.059,0.031,0.089,0.165,0.164,0.119,0.214,0.084,0.373,0.17
"P38","Muy mala",0.039,0.077,0.695,0.516,0.59,0.466,0.675,0.722,0.251,0.334
"P38","No sabe",0.015,0.002,0.009,0.009,0.018,0.011,0,0.008,0.007,0.029
"P39","Muy buena",0.653,0.676,0.076,0.142,0.029,0.176,0.034,0.007,0.098,0.122
"P39","Buena",0.204,0.156,0.027,0.055,0.005,0.072,0.015,0.006,0.172,0.144
"P39","Ni buena ni mala",0.048,0.061,0.026,0.102,0.107,0.095,0.005,0.08,0.227,0.226
"P39","Mala",0.038,0.018,0.091,0.124,0.118,0.129,0.141,0.08,0.167,0.157
"P39","Muy mala",0.049,0.084,0.767,0.573,0.732,0.5,0.751,0.82,0.336,0.324
"P39","No sabe",0.008,0.005,0.013,0.004,0.009,0.028,0.054,0.007,0,0.027
"P40","Muy buena",0.282,0.275,0.041,0.083,0.003,0.07,0.03,0.01,0.053,0.036
"P40","Buena",0.242,0.274,0.052,0.059,0.015,0.109,0,0.006,0.078,0.072
"P40","Ni buena ni mala",0.272,0.245,0.133,0.249,0.125,0.238,0.122,0.143,0.454,0.2
"P40","Mala",0.034,0.028,0.169,0.11,0.209,0.147,0.113,0.122,0.045,0.199
"P40","Muy mala",0.06,0.077,0.445,0.3,0.43,0.222,0.5,0.508,0.213,0.188
"P40","No sabe",0.11,0.101,0.16,0.199,0.218,0.214,0.235,0.211,0.157,0.305
"P41","Muy buena",0.051,0.037,0.19,0.307,0.124,0.149,0.033,0.027,0.032,0.031
"P41","Buena",0.05,0.033,0.3,0.252,0.282,0.159,0.325,0.14,0.062,0.11
"P41","Ni buena ni mala",0.236,0.165,0.254,0.187,0.34,0.294,0.368,0.285,0.068,0.332
"P41","Mala",0.286,0.289,0.094,0.076,0.121,0.131,0.094,0.189,0.306,0.214
"P41","Muy mala",0.3,0.443,0.11,0.128,0.101,0.168,0.111,0.28,0.48,0.163
"P41","No sabe",0.077,0.033,0.052,0.05,0.032,0.099,0.069,0.079,0.052,0.15
"P42","Muy buena",0.021,0.033,0.266,0.154,0.301,0.141,0.071,0.025,0.035,0.013
"P42","Buena",0.027,0.014,0.333,0.211,0.284,0.226,0.402,0.148,0.017,0.125
"P42","Ni buena ni mala",0.204,0.126,0.22,0.303,0.131,0.275,0.242,0.309,0.074,0.268
"P42","Mala",0.253,0.245,0.046,0.11,0.101,0.133,0.04,0.169,0.105,0.185
"P42","Muy mala",0.418,0.545,0.097,0.169,0.052,0.155,0.185,0.252,0.715,0.212
"P42","No sabe",0.077,0.037,0.038,0.053,0.131,0.07,0.06,0.097,0.054,0.197
"P43","Muy buena",0.017,0.019,0.191,0.059,0.137,0.136,0.043,0.032,0.013,0.019
"P43","Buena",0.044,0.019,0.302,0.104,0.13,0.171,0.314,0.087,0.039,0.029
"P43","Ni buena ni mala",0.239,0.196,0.261,0.382,0.319,0.311,0.364,0.327,0.084,0.317
"P43","Mala",0.214,0.183,0.028,0.102,0.045,0.058,0.055,0.115,0.127,0.121
"P43","Muy mala",0.303,0.438,0.102,0.158,0.077,0.124,0.006,0.218,0.528,0.18
"P43","No sabe",0.183,0.145,0.116,0.195,0.292,0.2,0.218,0.221,0.209,0.334
"P44","Muy buena",0.027,0.009,0.076,0.05,0.038,0.077,0.068,0.104,0,0.015
"P44","Buena",0.027,0.011,0.226,0.12,0.08,0.081,0.11,0.141,0.071,0.052
"P44","Ni buena ni mala",0.146,0.145,0.398,0.321,0.487,0.365,0.408,0.32,0.048,0.316
"P44","Mala",0.263,0.169,0.097,0.14,0.08,0.174,0.104,0.082,0.082,0.125
"P44","Muy mala",0.432,0.59,0.135,0.226,0.094,0.187,0.237,0.203,0.758,0.252
"P44","No sabe",0.105,0.076,0.068,0.143,0.221,0.116,0.073,0.15,0.041,0.24
"P45","Muy buena",0.042,0.025,0.228,0.111,0.103,0.156,0.768,0.247,0,0.03
"P45","Buena",0.025,0.027,0.308,0.23,0.228,0.162,0.129,0.281,0.054,0.082
"P45","Ni buena ni mala",0.112,0.098,0.251,0.296,0.39,0.261,0.052,0.246,0.074,0.237
"P45","Mala",0.211,0.17,0.069,0.09,0.166,0.139,0,0.085,0.195,0.14
"P45","Muy mala",0.541,0.643,0.107,0.197,0.057,0.236,0.033,0.073,0.663,0.285
"P45","No sabe",0.069,0.037,0.037,0.076,0.056,0.046,0.018,0.068,0.014,0.226
"P46","Muy buena",0.046,0.036,0.066,0.082,0.046,0.121,0.025,0.073,0.009,0.102
"P46","Buena",0.073,0.056,0.128,0.169,0.175,0.171,0.131,0.213,0,0.15
"P46","Ni buena ni mala",0.287,0.225,0.305,0.336,0.367,0.213,0.32,0.333,0.21,0.256
"P46","Mala",0.205,0.237,0.195,0.136,0.156,0.166,0.275,0.144,0.21,0.144
"P46","Muy mala",0.343,0.417,0.264,0.226,0.194,0.278,0.215,0.178,0.551,0.235
"P46","No sabe",0.046,0.029,0.042,0.051,0.062,0.051,0.034,0.059,0.02,0.113
"P47","Muy buena",0.244,0.178,0.017,0.043,0.005,0.091,0,0.017,0.027,0.034
"P47","Buena",0.259,0.293,0.057,0.059,0.033,0.181,0.039,0.022,0.041,0.13
"P47","Ni buena ni mala",0.25,0.271,0.115,0.193,0.128,0.145,0.053,0.083,0.101,0.228
"P47","Mala",0.07,0.127,0.138,0.155,0.221,0.137,0.278,0.078,0.132,0.111
"P47","Muy mala",0.13,0.117,0.652,0.455,0.583,0.41,0.506,0.748,0.665,0.347
"P47","No sabe",0.047,0.014,0.021,0.095,0.03,0.036,0.124,0.052,0.034,0.15
