"var","categoria","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P14","No sabe",0.052,0.03,0.018,0.161,0.141
"P15","Lo votaría",0.166,0.068,0.028,0.1,0.093
"P15","Puede que lo vote",0.286,0.172,0.068,0.275,0.225
"P15","Nunca lo votaría",0.446,0.706,0.843,0.472,0.525
"P15","No sabe",0.102,0.054,0.061,0.153,0.157
"P16","Lo votaría",0.151,0.284,0.113,0.044,0.108
"P16","Puede que lo vote",0.23,0.296,0.218,0.059,0.203
"P16","Nunca lo votaría",0.546,0.354,0.601,0.787,0.569
"P16","No sabe",0.073,0.066,0.068,0.11,0.12
"P17","Lo votaría",0.137,0.258,0.084,0.029,0.078
"P17","Puede que lo vote",0.189,0.313,0.241,0.051,0.167
"P17","Nunca lo votaría",0.592,0.334,0.554,0.817,0.602
"P17","No sabe",0.082,0.095,0.121,0.103,0.153
"P18","Lo votaría",0.182,0.097,0.058,0.088,0.101
"P18","Puede que lo vote",0.278,0.183,0.082,0.236,0.218
"P18","Nunca lo votaría",0.484,0.686,0.831,0.566,0.545
"P18","No sabe",0.056,0.034,0.029,0.11,0.136
"P19","Lo votaría",0.057,0.064,0.088,0.035,0.062
"P19","Puede que lo vote",0.134,0.122,0.252,0.105,0.134
"P19","Nunca lo votaría",0.741,0.765,0.594,0.788,0.687
"P19","No sabe",0.068,0.049,0.066,0.072,0.117
"P20","Lo votaría",0.08,0.196,0.402,0.029,0.066
"P20","Puede que lo vote",0.205,0.277,0.273,0.053,0.128
"P20","Nunca lo votaría",0.658,0.441,0.271,0.82,0.67
"P20","No sabe",0.057,0.086,0.054,0.098,0.136
"P21","Lo votaría",0.022,0.063,0.058,0.011,0.039
"P21","Puede que lo vote",0.094,0.162,0.127,0.062,0.061
"P21","Nunca lo votaría",0.665,0.536,0.514,0.636,0.614
"P21","No sabe",0.219,0.239,0.301,0.291,0.286
"P22","Lo votaría",0.146,0.057,0.028,0.025,0.04
"P22","Puede que lo vote",0.274,0.15,0.039,0.26,0.181
"P22","Nunca lo votaría",0.504,0.718,0.841,0.545,0.643
"P22","No sabe",0.076,0.075,0.092,0.17,0.136
"P23","Lo votaría",0.052,0.084,0.025,0.044,0.017
"P23","Puede que lo vote",0.145,0.182,0.114,0.084,0.09
"P23","Nunca lo votaría",0.578,0.523,0.634,0.555,0.622
"P23","No sabe",0.225,0.211,0.227,0.317,0.271
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.161,0.102,0.011,0.082,0.11
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.339,0.14,0.049,0.309,0.185
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.269,0.487,0.162,0.03,0.118
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.111,0.112,0.093,0.158,0.16
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.037,0.043,0.015,0.034,0.053
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.031,0.053,0.028,0.052,0.079
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.014,0.03,0.004,0.019
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.009,0.599,0.024,0.035
"P24","A los candidatos del Frente de Izquierda",0.002,0.006,0.001,0.256,0.002
"P24","No sabe",0.034,0.034,0.012,0.051,0.239
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.175,0.076,0.003,0.065,0.037
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.385,0.19,0.011,0.355,0.268
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.238,0.485,0.103,0.017,0.091
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.089,0.107,0.06,0.058,0.136
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.016,0.044,0.022,0.002,0.052
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.056,0.032,0.031,0.053,0.065
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.02,0.046,0.004,0.022
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.013,0.016,0.703,0.022,0.057
"P25","A los candidatos del Frente de Izquierda",0.002,0.006,0.002,0.355,0.011
"P25","No sabe",0.022,0.024,0.019,0.069,0.261
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.509,0.215,0.025,0.185,0.206
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.244,0.473,0.115,0.002,0.083
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.084,0.118,0.047,0.064,0.167
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.071,0.059,0.029,0.039,0.077
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.02,0.038,0.022,0.036,0.084
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.011,0.016,0.025,0.002,0.021
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.005,0.027,0.518,0.048,0.027
"P26","A los candidatos del Frente de Izquierda",0.008,0.016,0.203,0.396,0.03
"P26","No sabe",0.048,0.038,0.016,0.228,0.305
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.525,0.233,0.028,0.304,0.226
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.263,0.496,0.105,0.019,0.085
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.097,0.124,0.064,0.053,0.153
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.037,0.057,0.018,0.046,0.083
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.018,0.022,0.034,0,0.046
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.004,0.02,0.595,0.014,0.032
"P27","A los candidatos del Frente de Izquierda",0.009,0.013,0.064,0.447,0.005
"P27","No sabe",0.047,0.035,0.092,0.117,0.37
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.537,0.241,0.022,0.138,0.091
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.268,0.502,0.095,0,0.085
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.078,0.124,0.064,0.049,0.139
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.032,0.049,0.049,0.047,0.094
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.013,0.02,0.046,0.004,0.043
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.02,0.016,0.64,0.01,0.037
"P28","A los candidatos del Frente de Izquierda",0.009,0.014,0.013,0.601,0.026
"P28","No sabe",0.043,0.034,0.071,0.151,0.485
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.557,0.219,0.036,0.177,0.225
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.245,0.511,0.113,0.015,0.083
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.094,0.117,0.041,0.078,0.132
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.023,0.043,0.033,0.035,0.086
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.007,0.023,0.028,0.01,0.031
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.017,0.026,0.687,0.016,0.032
"P29","A los candidatos del Frente de Izquierda",0.015,0.017,0.009,0.598,0.014
"P29","No sabe",0.042,0.044,0.053,0.071,0.397
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.781,0.025,0.027,0.162,0.248
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.022,0.73,0.062,0.121,0.177
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.057,0.111,0.863,0.027,0.042
"P30","A los candidatos del Frente de Izquierda",0.026,0.009,0.012,0.554,0.003
"P30","No sabe",0.114,0.125,0.036,0.136,0.53
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.912,0.023,0.041,0.193,0.204
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.012,0.897,0.057,0.098,0.116
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.021,0.024,0.866,0.032,0.047
"P31","A los candidatos del Frente de Izquierda",0.021,0.008,0.007,0.597,0.007
"P31","No sabe",0.034,0.048,0.029,0.08,0.626
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.822,0.014,0.019,0.08,0.094
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.021,0.791,0.041,0.032,0.1
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.063,0.093,0.923,0.024,0.037
"P32","A los candidatos del Frente de Izquierda",0.008,0.012,0.002,0.809,0.021
"P32","No sabe",0.086,0.09,0.015,0.055,0.748
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.842,0.019,0.035,0.16,0.202
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.011,0.78,0.042,0.073,0.168
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.046,0.093,0.898,0.006,0.033
"P34","A los candidatos del Frente de Izquierda",0.014,0.011,0.007,0.742,0.009
"P34","No sabe",0.087,0.097,0.018,0.019,0.588
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.618,0.218,0.029,0.201,0.248
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.306,0.709,0.063,0.035,0.086
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.018,0.897,0.002,0.027
"P35","A los candidatos del Frente de Izquierda",0.011,0.005,0.001,0.736,0.007
"P35","No sabe",0.049,0.05,0.01,0.026,0.632
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.565,0.264,0.013,0.394,0.271
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.271,0.522,0.064,0.064,0.174
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.058,0.112,0.917,0.015,0.048
"P36","A los candidatos del Frente de Izquierda",0.008,0.008,0.001,0.462,0.01
"P36","No sabe",0.098,0.094,0.005,0.065,0.497
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.562,0.267,0.008,0.459,0.273
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.346,0.658,0.069,0.01,0.108
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.03,0.029,0.915,0.012,0.047
"P37","A los candidatos del Frente de Izquierda",0.01,0.002,0.001,0.46,0.006
"P37","No sabe",0.052,0.044,0.007,0.059,0.566
"P38","Muy buena",0.378,0.242,0.011,0.213,0.233
"P38","Buena",0.185,0.115,0.022,0.229,0.13
"P38","Ni buena ni mala",0.063,0.033,0.162,0.196,0.139
"P38","Mala",0.055,0.095,0.106,0.22,0.142
"P38","Muy mala",0.306,0.511,0.692,0.14,0.337
"P38","No sabe",0.013,0.004,0.007,0.002,0.019
"P39","Muy buena",0.455,0.226,0.011,0.288,0.26
"P39","Buena",0.112,0.067,0.011,0.212,0.111
"P39","Ni buena ni mala",0.042,0.036,0.072,0.237,0.16
"P39","Mala",0.05,0.072,0.102,0.117,0.126
"P39","Muy mala",0.328,0.593,0.79,0.144,0.33
"P39","No sabe",0.013,0.006,0.014,0.002,0.013
"P40","Muy buena",0.205,0.093,0.01,0.112,0.107
"P40","Buena",0.181,0.111,0.009,0.123,0.12
"P40","Ni buena ni mala",0.203,0.158,0.151,0.409,0.266
"P40","Mala",0.081,0.128,0.124,0.152,0.129
"P40","Muy mala",0.183,0.363,0.495,0.081,0.17
"P40","No sabe",0.147,0.147,0.211,0.123,0.208
"P41","Muy buena",0.123,0.189,0.053,0.017,0.092
"P41","Buena",0.178,0.238,0.132,0.047,0.132
"P41","Ni buena ni mala",0.214,0.214,0.311,0.144,0.266
"P41","Mala",0.193,0.135,0.184,0.318,0.168
"P41","Muy mala",0.245,0.176,0.232,0.421,0.261
"P41","No sabe",0.047,0.048,0.088,0.053,0.081
"P42","Muy buena",0.125,0.225,0.058,0,0.052
"P42","Buena",0.155,0.262,0.162,0.023,0.119
"P42","Ni buena ni mala",0.176,0.194,0.332,0.092,0.242
"P42","Mala",0.173,0.08,0.158,0.249,0.169
"P42","Muy mala",0.323,0.19,0.198,0.574,0.313
"P42","No sabe",0.048,0.049,0.092,0.062,0.105
"P43","Muy buena",0.073,0.171,0.033,0,0.031
"P43","Buena",0.137,0.221,0.093,0.008,0.064
"P43","Ni buena ni mala",0.24,0.245,0.388,0.157,0.265
"P43","Mala",0.123,0.076,0.091,0.189,0.143
"P43","Muy mala",0.272,0.137,0.185,0.457,0.266
"P43","No sabe",0.155,0.15,0.21,0.189,0.231
"P44","Muy buena",0.029,0.074,0.09,0,0.02
"P44","Buena",0.083,0.18,0.134,0.006,0.043
"P44","Ni buena ni mala",0.249,0.317,0.388,0.143,0.243
"P44","Mala",0.169,0.12,0.085,0.168,0.161
"P44","Muy mala",0.379,0.218,0.163,0.587,0.381
"P44","No sabe",0.091,0.091,0.14,0.096,0.152
"P45","Muy buena",0.076,0.192,0.271,0.011,0.022
"P45","Buena",0.139,0.242,0.258,0.005,0.088
"P45","Ni buena ni mala",0.175,0.225,0.266,0.1,0.204
"P45","Mala",0.153,0.082,0.079,0.182,0.171
"P45","Muy mala",0.409,0.218,0.064,0.67,0.379
"P45","No sabe",0.048,0.041,0.062,0.032,0.136
"P46","Muy buena",0.047,0.075,0.083,0.045,0.043
"P46","Buena",0.103,0.111,0.22,0.041,0.091
"P46","Ni buena ni mala",0.262,0.31,0.312,0.156,0.318
"P46","Mala",0.212,0.193,0.166,0.168,0.151
"P46","Muy mala",0.334,0.256,0.161,0.583,0.352
"P46","No sabe",0.042,0.055,0.058,0.007,0.045
"P47","Muy buena",0.144,0.079,0.015,0.015,0.05
"P47","Buena",0.195,0.123,0.037,0.156,0.12
"P47","Ni buena ni mala",0.196,0.13,0.101,0.29,0.28
"P47","Mala",0.111,0.13,0.108,0.223,0.145
"P47","Muy mala",0.312,0.51,0.686,0.286,0.322
"P47","No sabe",0.042,0.028,0.053,0.03,0.083
"P48","Muy buena",0.068,0.071,0.005,0.005,0.025
"P48","Buena",0.279,0.12,0.01,0.133,0.071
"P48","Ni buena ni mala",0.211,0.086,0.036,0.315,0.271
"P48","Mala",0.091,0.098,0.092,0.373,0.195
"P48","Muy mala",0.343,0.618,0.84,0.156,0.403
"P48","No sabe",0.008,0.007,0.017,0.018,0.035
"P49","Muy buena",0.101,0.064,0.011,0.033,0.017
"P49","Buena",0.233,0.117,0.005,0.062,0.052
"P49","Ni buena ni mala",0.203,0.093,0.031,0.3,0.239
"P49","Mala",0.107,0.09,0.088,0.336,0.246
"P49","Muy mala",0.352,0.632,0.852,0.269,0.424
"P49","No sabe",0.004,0.004,0.013,0,0.022
"P50","Muy buena",0.46,0.226,0.016,0.357,0.325
"P50","Buena",0.081,0.037,0.012,0.099,0.074
"P50","Ni buena ni mala",0.042,0.04,0.044,0.137,0.103
"P50","Mala",0.041,0.035,0.053,0.162,0.085
"P50","Muy mala",0.375,0.656,0.867,0.212,0.379
"P50","No sabe",0.001,0.006,0.008,0.033,0.034
"P51","Muy buena",0.215,0.332,0.132,0.023,0.099
"P51","Buena",0.128,0.17,0.178,0.018,0.063
"P51","Ni buena ni mala",0.078,0.095,0.216,0.099,0.109
"P51","Mala",0.112,0.075,0.167,0.124,0.169
"P51","Muy mala",0.459,0.325,0.301,0.736,0.535
"P51","No sabe",0.008,0.003,0.006,0,0.025
"P52","Muy buena",0.091,0.19,0.072,0.018,0.083
"P52","Buena",0.17,0.275,0.162,0.028,0.13
"P52","Ni buena ni mala",0.142,0.213,0.23,0.099,0.214
"P52","Mala",0.163,0.112,0.171,0.247,0.126
"P52","Muy mala",0.43,0.202,0.352,0.608,0.42
"P52","No sabe",0.004,0.008,0.013,0,0.027
"P53","Muy buena",0.091,0.097,0.01,0.04,0.058
"P53","Buena",0.252,0.168,0.063,0.096,0.167
"P53","Ni buena ni mala",0.207,0.114,0.103,0.254,0.267
"P53","Mala",0.1,0.097,0.127,0.256,0.156
"P53","Muy mala",0.339,0.506,0.688,0.353,0.324
"P53","No sabe",0.011,0.018,0.009,0.001,0.028
"P54","Muy buena",0.23,0.452,0.246,0,0.069
"P54","Buena",0.126,0.174,0.236,0.047,0.12
"P54","Ni buena ni mala",0.062,0.054,0.179,0.1,0.171
"P54","Mala",0.076,0.061,0.105,0.122,0.145
"P54","Muy mala",0.491,0.253,0.226,0.731,0.461
"P54","No sabe",0.015,0.006,0.008,0,0.034
"P55","Muy buena",0.064,0.145,0.649,0.026,0.051
"P55","Buena",0.088,0.151,0.2,0.029,0.057
"P55","Ni buena ni mala",0.161,0.242,0.085,0.072,0.224
"P55","Mala",0.118,0.137,0.024,0.072,0.127
"P55","Muy mala",0.543,0.299,0.031,0.801,0.489
"P55","No sabe",0.026,0.026,0.011,0,0.052
"P56","Muy buena",0.123,0.223,0.157,0.003,0.074
"P56","Buena",0.171,0.266,0.191,0.055,0.146
"P56","Ni buena ni mala",0.096,0.158,0.229,0.071,0.139
"P56","Mala",0.103,0.099,0.174,0.084,0.175
"P56","Muy mala",0.502,0.243,0.237,0.784,0.439
"P56","No sabe",0.005,0.011,0.012,0.003,0.027
"P57","Muy buena",0.111,0.123,0.021,0.066,0.06
"P57","Buena",0.29,0.171,0.06,0.12,0.203
"P57","Ni buena ni mala",0.183,0.138,0.123,0.293,0.233
"P57","Mala",0.092,0.129,0.156,0.173,0.163
"P57","Muy mala",0.316,0.436,0.623,0.348,0.325
"P57","No sabe",0.008,0.003,0.017,0,0.016
"P58","Muy buena",0.074,0.069,0.072,0.029,0.088
"P58","Buena",0.167,0.172,0.124,0.153,0.138
"P58","Ni buena ni mala",0.366,0.378,0.257,0.345,0.352
"P58","Mala",0.179,0.16,0.152,0.186,0.178
"P58","Muy mala",0.173,0.182,0.313,0.216,0.186
"P58","No sabe",0.041,0.039,0.082,0.071,0.058
"P59","Siempre",0.317,0.339,0.26,0.247,0.274
"P59","Casi siempre",0.405,0.41,0.353,0.397,0.372
"P59","Casi nunca",0.192,0.191,0.267,0.265,0.242
"P59","Nunca, pero esta es una excepción",0.086,0.06,0.12,0.091,0.112
"P60","Si",0.598,0.606,0.584,0.603,0.485
"P60","No",0.402,0.394,0.416,0.397,0.515
