"var","categoria","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P26","No sabe",0.155,0.123,0.016,0.01,0.033,0.03,0.037,0.014,0.529,0.595
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.686,0.765,0.033,0.054,0.086,0.139,0.016,0.03,0.114,0.143
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.047,0.022,0.82,0.107,0.201,0.106,0.183,0.035,0,0.088
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.043,0.027,0.062,0.683,0.12,0.157,0.023,0.019,0.006,0.048
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.021,0.048,0.02,0.087,0.104,0.398,0.009,0.01,0.02,0.037
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.041,0.003,0.009,0.016,0.101,0.048,0.475,0.006,0,0.011
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.02,0.001,0.027,0.031,0.132,0.076,0.137,0.661,0.037,0.03
"P27","A los candidatos del Frente de Izquierda",0.019,0.033,0.011,0.001,0.024,0.04,0.092,0.066,0.625,0.019
"P27","No sabe",0.123,0.101,0.018,0.021,0.232,0.036,0.065,0.173,0.198,0.624
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.836,0.686,0.011,0.037,0.136,0.183,0.014,0.015,0.116,0.082
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.014,0.019,0.851,0.115,0.248,0.101,0.146,0.037,0,0.063
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.03,0.015,0.047,0.717,0.16,0.1,0.024,0.016,0.016,0.034
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.04,0.027,0.019,0.077,0.017,0.471,0.009,0.051,0.01,0.02
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.012,0.014,0.008,0.014,0.103,0.016,0.467,0.028,0.004,0.019
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.022,0.007,0.036,0.023,0.107,0.071,0.183,0.694,0.03,0.033
"P28","A los candidatos del Frente de Izquierda",0.014,0.054,0.002,0.006,0.004,0.022,0.068,0.02,0.709,0.045
"P28","No sabe",0.032,0.178,0.026,0.011,0.225,0.036,0.089,0.139,0.115,0.704
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.719,0.737,0.054,0.044,0.088,0.203,0.017,0.017,0.116,0.221
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.019,0.009,0.83,0.125,0.262,0.155,0.127,0.073,0.007,0.07
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.066,0.027,0.045,0.67,0.178,0.071,0.028,0.013,0.007,0.047
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.021,0.009,0.01,0.114,0.039,0.428,0.004,0.035,0.024,0.028
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.003,0.01,0.009,0.099,0.009,0.421,0.018,0,0.025
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.029,0.025,0.032,0.026,0.138,0.067,0.22,0.725,0.01,0.03
"P29","A los candidatos del Frente de Izquierda",0.026,0.061,0.001,0.001,0.002,0.027,0.167,0.01,0.714,0.038
"P29","No sabe",0.119,0.129,0.018,0.011,0.194,0.04,0.016,0.109,0.122,0.541
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.62,0.587,0.157,0.358,0.113,0.324,0.039,0.02,0.099,0.16
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.186,0.262,0.399,0.539,0.43,0.248,0.212,0.019,0.035,0.119
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.024,0.012,0.226,0.048,0.122,0.128,0.49,0.9,0.036,0.068
"P30","A los candidatos del Frente de Izquierda",0.015,0.05,0.008,0.011,0.026,0.048,0,0.016,0.666,0.044
"P30","No sabe",0.155,0.089,0.21,0.044,0.309,0.252,0.259,0.045,0.164,0.609
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.63,0.59,0.297,0.279,0.197,0.355,0.111,0.031,0.133,0.166
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.211,0.27,0.565,0.381,0.415,0.254,0.24,0.033,0.023,0.145
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.043,0.011,0.077,0.105,0.158,0.134,0.459,0.9,0.022,0.051
"P31","A los candidatos del Frente de Izquierda",0.014,0.046,0.005,0.03,0.003,0.062,0.007,0.006,0.682,0.053
"P31","No sabe",0.102,0.083,0.056,0.205,0.227,0.195,0.183,0.03,0.14,0.585
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.656,0.499,0.174,0.387,0.112,0.307,0.043,0.01,0.056,0.126
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.222,0.243,0.401,0.499,0.397,0.275,0.194,0.022,0.065,0.102
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.042,0.011,0.225,0.064,0.17,0.166,0.573,0.928,0.03,0.086
"P32","A los candidatos del Frente de Izquierda",0.045,0.064,0.007,0.01,0.016,0.046,0.007,0.006,0.751,0.051
"P32","No sabe",0.035,0.183,0.193,0.04,0.305,0.206,0.183,0.034,0.098,0.635
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.641,0.522,0.293,0.294,0.163,0.384,0.058,0.023,0.028,0.119
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.26,0.241,0.559,0.332,0.426,0.21,0.274,0.026,0.091,0.124
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.008,0.011,0.095,0.147,0.168,0.158,0.513,0.902,0.03,0.076
"P33","A los candidatos del Frente de Izquierda",0.031,0.064,0.003,0.026,0.003,0.048,0.007,0.005,0.774,0.049
"P33","No sabe",0.06,0.162,0.05,0.201,0.24,0.2,0.148,0.044,0.077,0.632
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.595,0.541,0.201,0.403,0.114,0.433,0.06,0.027,0.102,0.241
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.213,0.266,0.413,0.46,0.453,0.251,0.166,0.023,0.017,0.161
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.01,0.012,0.216,0.078,0.143,0.114,0.599,0.896,0.019,0.091
"P34","A los candidatos del Frente de Izquierda",0.033,0.06,0.006,0.012,0.004,0.07,0.007,0.012,0.759,0.04
"P34","No sabe",0.149,0.121,0.164,0.047,0.286,0.132,0.168,0.042,0.103,0.467
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.729,0.765,0.047,0.151,0.087,0.29,0.02,0.027,0.124,0.311
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.089,0.054,0.816,0.543,0.532,0.328,0.416,0.043,0.008,0.119
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.011,0.008,0.094,0.096,0.142,0.158,0.458,0.898,0.011,0.06
"P35","A los candidatos del Frente de Izquierda",0.024,0.054,0.002,0.02,0,0.074,0.008,0.007,0.709,0.035
"P35","No sabe",0.147,0.119,0.041,0.19,0.239,0.15,0.098,0.025,0.148,0.475
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.695,0.905,0.015,0.077,0.143,0.317,0.021,0.01,0.066,0.152
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.07,0.023,0.597,0.817,0.408,0.335,0.278,0.014,0,0.095
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.025,0.009,0.243,0.05,0.154,0.153,0.576,0.938,0.033,0.107
"P36","A los candidatos del Frente de Izquierda",0.04,0.008,0.003,0.008,0,0.025,0.006,0.004,0.747,0.037
"P36","No sabe",0.17,0.055,0.142,0.048,0.295,0.17,0.119,0.034,0.154,0.609
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.7,0.908,0.007,0.086,0.148,0.306,0.022,0.007,0.117,0.14
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.044,0.019,0.844,0.62,0.435,0.361,0.406,0.049,0.008,0.079
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.046,0.013,0.111,0.109,0.147,0.164,0.481,0.914,0.025,0.093
"P37","A los candidatos del Frente de Izquierda",0.019,0.005,0.001,0.015,0,0.05,0.005,0.005,0.744,0.034
"P37","No sabe",0.191,0.055,0.037,0.17,0.27,0.119,0.086,0.025,0.106,0.654
"P38","Muy buena",0.439,0.648,0.066,0.076,0.091,0.098,0.02,0.008,0.127,0.122
"P38","Buena",0.27,0.259,0.056,0.046,0.055,0.209,0.008,0.015,0.089,0.112
"P38","Ni buena ni mala",0.128,0.046,0.026,0.101,0.082,0.131,0.056,0.177,0.132,0.245
"P38","Mala",0.095,0.023,0.104,0.196,0.06,0.096,0.072,0.085,0.475,0.146
"P38","Muy mala",0.047,0.023,0.737,0.579,0.694,0.462,0.833,0.711,0.147,0.327
"P38","No sabe",0.021,0.001,0.011,0.002,0.018,0.004,0.011,0.004,0.03,0.048
"P39","Muy buena",0.556,0.756,0.022,0.046,0.116,0.179,0.031,0.01,0.083,0.148
"P39","Buena",0.206,0.177,0.009,0.041,0.023,0.099,0,0.007,0.111,0.14
"P39","Ni buena ni mala",0.115,0.034,0.022,0.101,0.055,0.13,0.031,0.083,0.287,0.205
"P39","Mala",0.061,0.013,0.099,0.155,0.041,0.091,0.07,0.086,0.279,0.137
"P39","Muy mala",0.057,0.02,0.834,0.657,0.752,0.49,0.821,0.806,0.215,0.314
"P39","No sabe",0.005,0,0.014,0,0.013,0.011,0.047,0.008,0.025,0.056
"P40","Muy buena",0.265,0.296,0.018,0.018,0.058,0.121,0.007,0.011,0.023,0.089
"P40","Buena",0.17,0.327,0.016,0.033,0.033,0.087,0,0.014,0.129,0.072
"P40","Ni buena ni mala",0.264,0.236,0.137,0.294,0.136,0.171,0.094,0.14,0.411,0.218
"P40","Mala",0.071,0.032,0.176,0.15,0.074,0.102,0.053,0.132,0.154,0.166
"P40","Muy mala",0.06,0.024,0.486,0.265,0.466,0.314,0.609,0.507,0.165,0.188
"P40","No sabe",0.17,0.085,0.167,0.24,0.233,0.205,0.237,0.196,0.118,0.267
"P41","Muy buena",0.05,0.027,0.221,0.348,0.143,0.106,0.11,0.038,0.011,0.029
"P41","Buena",0.047,0.059,0.321,0.303,0.237,0.139,0.31,0.113,0.075,0.128
"P41","Ni buena ni mala",0.308,0.158,0.252,0.185,0.305,0.25,0.244,0.302,0.033,0.368
"P41","Mala",0.269,0.272,0.064,0.079,0.158,0.135,0.188,0.198,0.396,0.189
"P41","Muy mala",0.206,0.443,0.085,0.049,0.092,0.314,0.058,0.278,0.433,0.199
"P41","No sabe",0.12,0.041,0.057,0.036,0.065,0.056,0.09,0.071,0.052,0.087
"P42","Muy buena",0.021,0.006,0.325,0.208,0.257,0.069,0.072,0.039,0.011,0.006
"P42","Buena",0.038,0.02,0.358,0.293,0.255,0.195,0.26,0.153,0.011,0.07
"P42","Ni buena ni mala",0.287,0.094,0.227,0.273,0.248,0.199,0.28,0.327,0.032,0.279
"P42","Mala",0.23,0.235,0.022,0.104,0.075,0.203,0.199,0.156,0.225,0.192
"P42","Muy mala",0.3,0.605,0.037,0.052,0.088,0.265,0.163,0.23,0.629,0.293
"P42","No sabe",0.124,0.04,0.031,0.07,0.077,0.069,0.026,0.095,0.092,0.16
"P43","Muy buena",0.031,0.008,0.23,0.078,0.065,0.047,0.051,0.039,0,0.028
"P43","Buena",0.03,0.016,0.327,0.144,0.103,0.197,0.364,0.08,0.011,0.014
"P43","Ni buena ni mala",0.346,0.146,0.288,0.425,0.267,0.233,0.303,0.357,0.048,0.261
"P43","Mala",0.127,0.205,0.017,0.087,0.088,0.138,0.06,0.095,0.19,0.133
"P43","Muy mala",0.265,0.478,0.033,0.048,0.169,0.196,0.088,0.208,0.508,0.238
"P43","No sabe",0.201,0.147,0.105,0.218,0.308,0.189,0.134,0.221,0.243,0.326
"P44","Muy buena",0.015,0.001,0.088,0.064,0.037,0.036,0.134,0.096,0,0.026
"P44","Buena",0.014,0.009,0.252,0.143,0.087,0.07,0.146,0.129,0.012,0.055
"P44","Ni buena ni mala",0.218,0.091,0.441,0.398,0.461,0.268,0.426,0.338,0.106,0.249
"P44","Mala",0.224,0.183,0.078,0.144,0.148,0.206,0.055,0.091,0.116,0.159
"P44","Muy mala",0.356,0.647,0.074,0.103,0.124,0.292,0.213,0.2,0.62,0.303
"P44","No sabe",0.173,0.069,0.067,0.148,0.143,0.128,0.026,0.146,0.146,0.208
"P45","Muy buena",0.03,0.003,0.255,0.102,0.091,0.087,0.742,0.256,0,0.021
"P45","Buena",0.003,0.016,0.354,0.261,0.214,0.181,0.156,0.253,0,0.094
"P45","Ni buena ni mala",0.194,0.046,0.275,0.377,0.318,0.21,0.08,0.26,0.047,0.261
"P45","Mala",0.215,0.182,0.043,0.121,0.14,0.149,0,0.08,0.211,0.162
"P45","Muy mala",0.428,0.718,0.036,0.083,0.139,0.325,0.022,0.087,0.644,0.299
"P45","No sabe",0.13,0.035,0.037,0.056,0.098,0.048,0,0.064,0.098,0.163
"P46","Muy buena",0.069,0.026,0.077,0.097,0.082,0.052,0.054,0.078,0.02,0.061
"P46","Buena",0.111,0.061,0.124,0.177,0.132,0.139,0.103,0.229,0.008,0.101
"P46","Ni buena ni mala",0.252,0.211,0.315,0.375,0.413,0.26,0.365,0.321,0.134,0.313
"P46","Mala",0.223,0.213,0.194,0.159,0.184,0.163,0.086,0.151,0.189,0.189
"P46","Muy mala",0.269,0.459,0.237,0.15,0.167,0.364,0.311,0.173,0.564,0.255
"P46","No sabe",0.076,0.03,0.053,0.042,0.022,0.022,0.081,0.048,0.085,0.081
"P47","Muy buena",0.239,0.174,0.017,0.069,0.024,0.044,0.069,0.006,0,0.03
"P47","Buena",0.203,0.33,0.028,0.027,0.064,0.147,0.058,0.03,0.035,0.148
"P47","Ni buena ni mala",0.26,0.271,0.098,0.138,0.131,0.146,0.059,0.111,0.139,0.285
"P47","Mala",0.083,0.111,0.148,0.159,0.133,0.198,0.119,0.09,0.218,0.112
"P47","Muy mala",0.125,0.091,0.682,0.53,0.583,0.444,0.652,0.716,0.503,0.338
"P47","No sabe",0.09,0.023,0.027,0.077,0.065,0.021,0.043,0.047,0.105,0.087
