"var","categoria","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P24","No sabe",0.027,0.028,0.011,0.081,0.307
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.195,0.012,0.017,0.066,0.152
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.681,0.014,0.013,0.046,0.118
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.006,0.65,0.118,0.008,0.086
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.025,0.17,0.041,0.056,0.14
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.014,0.04,0.019,0,0.075
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.044,0.049,0.031,0.088,0.048
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.026,0.042,0.004,0.016
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.004,0.027,0.698,0.036,0.043
"P25","A los candidatos del Frente de Izquierda",0.008,0,0.002,0.627,0.021
"P25","No sabe",0.022,0.012,0.019,0.069,0.301
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.706,0.044,0.023,0.091,0.199
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.043,0.591,0.132,0.003,0.097
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.066,0.148,0.041,0.042,0.132
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.019,0.105,0.021,0.037,0.152
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.005,0.045,0.031,0.041,0.069
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.003,0.021,0.027,0.051,0.014
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.024,0.508,0.024,0.028
"P26","A los candidatos del Frente de Izquierda",0.043,0.01,0.199,0.414,0.038
"P26","No sabe",0.099,0.012,0.018,0.297,0.271
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.792,0.032,0.035,0.113,0.191
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.018,0.668,0.119,0.014,0.092
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.037,0.175,0.043,0.053,0.184
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.04,0.053,0.014,0.136,0.062
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.023,0.038,0.008,0.033
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.003,0.02,0.587,0.018,0.024
"P27","A los candidatos del Frente de Izquierda",0.033,0.007,0.065,0.587,0.014
"P27","No sabe",0.072,0.022,0.099,0.071,0.4
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.739,0.011,0.016,0.137,0.199
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.019,0.683,0.103,0.008,0.092
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.012,0.18,0.052,0.041,0.164
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.025,0.059,0.053,0.093,0.072
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.019,0.043,0.004,0.046
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.009,0.024,0.647,0.004,0.032
"P28","A los candidatos del Frente de Izquierda",0.061,0.005,0.013,0.652,0.018
"P28","No sabe",0.131,0.019,0.073,0.061,0.377
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.759,0.053,0.022,0.099,0.216
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.016,0.652,0.134,0.054,0.101
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.023,0.181,0.028,0.06,0.141
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.01,0.054,0.035,0.056,0.076
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.024,0.028,0.004,0.028
