"var","categoria","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P12","A Alberto Fernández",0.078,0.041,0.214,0.053,0.081
"P12","A Sergio Massa",0.15,0.144,0.016,0.027,0.039
"P12","A algún candidato del peronismo",0.074,0.092,0.596,0.156,0.131
"P12","A Cristina Fernández de Kirchner",0.698,0.723,0.174,0.764,0.749
"P13","A Horacio Rodriguez Larreta",0.294,0.309,0.063,0,0.144
"P13","A Patricia Bullrich",0.57,0.61,0.874,0.214,0.726
"P13","A Facundo Manes",0.111,0.05,0.045,0.515,0.083
"P13","A Gerardo Morales",0.025,0.031,0.018,0.271,0.047
"P14","Lo votaría",0.515,0.302,0.01,0.352,0.198
"P14","Puede que lo vote",0.098,0.052,0.034,0.238,0.084
"P14","Nunca lo votaría",0.326,0.619,0.944,0.263,0.583
"P14","No sabe",0.061,0.027,0.012,0.147,0.135
"P15","Lo votaría",0.176,0.084,0.017,0.1,0.077
"P15","Puede que lo vote",0.31,0.206,0.046,0.236,0.159
"P15","Nunca lo votaría",0.4,0.652,0.883,0.518,0.619
"P15","No sabe",0.114,0.058,0.054,0.146,0.145
"P16","Lo votaría",0.161,0.318,0.091,0.036,0.099
"P16","Puede que lo vote",0.207,0.264,0.265,0.057,0.227
"P16","Nunca lo votaría",0.566,0.366,0.572,0.813,0.503
"P16","No sabe",0.066,0.052,0.072,0.094,0.171
"P17","Lo votaría",0.118,0.244,0.113,0.033,0.119
"P17","Puede que lo vote",0.185,0.285,0.26,0.052,0.22
"P17","Nunca lo votaría",0.623,0.378,0.513,0.821,0.474
"P17","No sabe",0.074,0.093,0.114,0.094,0.187
"P18","Lo votaría",0.212,0.118,0.036,0.055,0.043
"P18","Puede que lo vote",0.317,0.205,0.071,0.177,0.153
"P18","Nunca lo votaría",0.423,0.65,0.86,0.678,0.646
"P18","No sabe",0.048,0.027,0.033,0.09,0.158
"P19","Lo votaría",0.075,0.058,0.071,0.027,0.052
"P19","Puede que lo vote",0.137,0.136,0.239,0.114,0.12
"P19","Nunca lo votaría",0.723,0.76,0.624,0.799,0.688
"P19","No sabe",0.065,0.046,0.066,0.06,0.14
"P20","Lo votaría",0.079,0.147,0.422,0.035,0.098
"P20","Puede que lo vote",0.19,0.259,0.271,0.068,0.19
"P20","Nunca lo votaría",0.679,0.516,0.243,0.836,0.544
"P20","No sabe",0.052,0.078,0.064,0.061,0.168
"P21","Lo votaría",0.022,0.066,0.06,0.005,0.03
"P21","Puede que lo vote",0.104,0.153,0.121,0.064,0.079
"P21","Nunca lo votaría",0.661,0.55,0.511,0.654,0.594
"P21","No sabe",0.213,0.231,0.308,0.277,0.297
"P22","Lo votaría",0.148,0.07,0.015,0.034,0.028
"P22","Puede que lo vote",0.301,0.165,0.04,0.221,0.119
"P22","Nunca lo votaría",0.479,0.685,0.858,0.576,0.702
"P22","No sabe",0.072,0.08,0.087,0.169,0.151
"P23","Lo votaría",0.047,0.07,0.041,0.053,0.034
"P23","Puede que lo vote",0.142,0.162,0.138,0.088,0.112
"P23","Nunca lo votaría",0.597,0.559,0.599,0.593,0.536
"P23","No sabe",0.214,0.209,0.222,0.266,0.318
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.178,0.125,0.005,0.089,0.063
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.345,0.152,0.038,0.313,0.189
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.201,0.397,0.267,0.031,0.296
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.144,0.168,0.061,0.111,0.056
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.034,0.046,0.021,0.039,0.054
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.036,0.068,0.021,0.03,0.059
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.006,0.035,0.004,0.023
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.013,0.005,0.537,0.074,0.039
"P24","A los candidatos del Frente de Izquierda",0.001,0.004,0.004,0.259,0.003
"P24","No sabe",0.043,0.029,0.011,0.05,0.218
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.168,0.069,0.003,0.068,0.093
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.402,0.228,0.011,0.328,0.199
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.164,0.387,0.214,0.034,0.296
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.124,0.163,0.029,0.027,0.032
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.011,0.05,0.017,0.002,0.06
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.061,0.041,0.019,0.073,0.041
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.013,0.05,0.004,0.026
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.015,0.636,0.053,0.055
"P25","A los candidatos del Frente de Izquierda",0.007,0.001,0.002,0.359,0.015
"P25","No sabe",0.043,0.033,0.019,0.052,0.183
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.547,0.26,0.017,0.085,0.119
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.172,0.38,0.21,0.02,0.293
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.116,0.181,0.022,0.025,0.051
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.075,0.067,0.026,0.034,0.079
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.021,0.049,0.016,0.02,0.066
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.009,0.016,0.03,0,0.018
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.007,0.012,0.48,0.07,0.039
"P26","A los candidatos del Frente de Izquierda",0.007,0.008,0.183,0.48,0.03
"P26","No sabe",0.046,0.027,0.016,0.266,0.305
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.563,0.274,0.024,0.239,0.157
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.192,0.386,0.223,0.03,0.303
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.119,0.197,0.032,0,0.05
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.036,0.071,0.014,0.038,0.058
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.014,0.021,0.033,0.002,0.05
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.016,0.533,0.042,0.037
"P27","A los candidatos del Frente de Izquierda",0.009,0.006,0.06,0.507,0.009
"P27","No sabe",0.055,0.029,0.081,0.142,0.336
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.533,0.249,0.013,0.135,0.15
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.191,0.394,0.218,0.029,0.306
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.111,0.185,0.032,0,0.039
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.042,0.06,0.039,0.042,0.06
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.01,0.023,0.044,0.014,0.041
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.028,0.011,0.582,0.044,0.033
"P28","A los candidatos del Frente de Izquierda",0.015,0.013,0.012,0.591,0.031
"P28","No sabe",0.07,0.065,0.06,0.145,0.34
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.618,0.273,0.011,0.063,0.099
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.166,0.409,0.233,0.032,0.3
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.122,0.18,0.013,0.031,0.042
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.027,0.049,0.029,0.043,0.058
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.02,0.037,0.023,0.023
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.022,0.025,0.617,0.046,0.051
"P29","A los candidatos del Frente de Izquierda",0.009,0.007,0.01,0.667,0.026
"P29","No sabe",0.031,0.037,0.05,0.095,0.401
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.839,0.027,0.01,0.159,0.161
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.03,0.855,0.043,0.09,0.096
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.032,0.042,0.898,0.042,0.056
"P30","A los candidatos del Frente de Izquierda",0.018,0.006,0.012,0.586,0.018
"P30","No sabe",0.081,0.07,0.037,0.123,0.669
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.867,0.025,0.067,0.212,0.261
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.019,0.858,0.121,0.108,0.21
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.021,0.03,0.782,0.044,0.047
"P31","A los candidatos del Frente de Izquierda",0.021,0.01,0.007,0.569,0.012
"P31","No sabe",0.072,0.077,0.023,0.067,0.47
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.828,0.014,0.013,0.111,0.093
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.025,0.874,0.026,0.036,0.093
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.035,0.027,0.944,0.053,0.053
"P32","A los candidatos del Frente de Izquierda",0.02,0.015,0,0.732,0.021
"P32","No sabe",0.092,0.07,0.017,0.068,0.74
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.846,0.012,0.057,0.103,0.194
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.018,0.856,0.107,0.082,0.204
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.026,0.036,0.818,0.038,0.031
"P33","A los candidatos del Frente de Izquierda",0.022,0.012,0.001,0.748,0.006
"P33","No sabe",0.088,0.084,0.017,0.029,0.565
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.709,0.27,0.005,0.069,0.063
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.231,0.655,0.168,0.073,0.282
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.022,0.813,0.006,0.021
"P35","A los candidatos del Frente de Izquierda",0.007,0.006,0.001,0.801,0.007
"P35","No sabe",0.041,0.047,0.013,0.051,0.627
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.601,0.306,0.008,0.356,0.186
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.29,0.616,0.03,0.079,0.101
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.026,0.032,0.954,0.012,0.053
"P36","A los candidatos del Frente de Izquierda",0.006,0.008,0.001,0.514,0.004
"P36","No sabe",0.077,0.038,0.007,0.039,0.656
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.591,0.306,0.007,0.462,0.185
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.279,0.595,0.163,0.047,0.302
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.035,0.033,0.822,0.013,0.039
"P37","A los candidatos del Frente de Izquierda",0.01,0.006,0.002,0.463,0.002
"P37","No sabe",0.085,0.06,0.006,0.015,0.472
"P38","Muy buena",0.391,0.28,0.011,0.172,0.187
"P38","Buena",0.205,0.123,0.016,0.252,0.093
"P38","Ni buena ni mala",0.065,0.045,0.149,0.204,0.107
"P38","Mala",0.069,0.092,0.095,0.27,0.12
"P38","Muy mala",0.264,0.454,0.723,0.097,0.461
"P38","No sabe",0.006,0.006,0.006,0.005,0.032
"P39","Muy buena",0.477,0.269,0.009,0.214,0.195
"P39","Buena",0.129,0.076,0.005,0.202,0.079
"P39","Ni buena ni mala",0.045,0.036,0.068,0.317,0.131
"P39","Mala",0.062,0.069,0.102,0.109,0.103
"P39","Muy mala",0.281,0.544,0.804,0.158,0.461
"P39","No sabe",0.006,0.006,0.012,0,0.031
"P40","Muy buena",0.217,0.109,0.009,0.065,0.084
"P40","Buena",0.194,0.125,0.008,0.113,0.088
"P40","Ni buena ni mala",0.219,0.177,0.14,0.417,0.213
"P40","Mala",0.087,0.135,0.125,0.118,0.113
"P40","Muy mala",0.139,0.304,0.517,0.107,0.305
"P40","No sabe",0.144,0.15,0.201,0.18,0.197
"P41","Muy buena",0.133,0.205,0.04,0.043,0.08
"P41","Buena",0.171,0.235,0.152,0.044,0.138
"P41","Ni buena ni mala",0.201,0.182,0.336,0.134,0.292
"P41","Mala",0.206,0.142,0.168,0.276,0.16
"P41","Muy mala",0.255,0.193,0.224,0.434,0.208
"P41","No sabe",0.034,0.043,0.08,0.069,0.122
"P42","Muy buena",0.112,0.226,0.07,0,0.092
"P42","Buena",0.134,0.241,0.194,0.027,0.165
"P42","Ni buena ni mala",0.171,0.179,0.328,0.093,0.259
"P42","Mala",0.203,0.092,0.141,0.218,0.104
"P42","Muy mala",0.34,0.219,0.183,0.589,0.242
"P42","No sabe",0.04,0.043,0.084,0.073,0.138
"P43","Muy buena",0.065,0.155,0.054,0.003,0.066
"P43","Buena",0.116,0.193,0.123,0.032,0.127
"P43","Ni buena ni mala",0.239,0.233,0.385,0.107,0.281
"P43","Mala",0.135,0.094,0.084,0.192,0.09
"P43","Muy mala",0.293,0.166,0.168,0.457,0.186
"P43","No sabe",0.152,0.159,0.186,0.209,0.25
"P44","Muy buena",0.02,0.076,0.086,0.011,0.036
"P44","Buena",0.072,0.149,0.17,0.009,0.069
"P44","Ni buena ni mala",0.237,0.297,0.397,0.139,0.278
"P44","Mala",0.178,0.143,0.08,0.126,0.128
"P44","Muy mala",0.402,0.251,0.151,0.614,0.29
"P44","No sabe",0.091,0.084,0.116,0.101,0.199
"P45","Muy buena",0.058,0.154,0.297,0.028,0.067
"P45","Buena",0.122,0.217,0.268,0.009,0.151
"P45","Ni buena ni mala",0.176,0.227,0.255,0.077,0.215
"P45","Mala",0.157,0.11,0.066,0.202,0.129
"P45","Muy mala",0.437,0.258,0.063,0.66,0.275
"P45","No sabe",0.05,0.034,0.051,0.024,0.163
"P46","Muy buena",0.06,0.064,0.081,0.022,0.045
"P46","Buena",0.11,0.125,0.196,0.048,0.072
"P46","Ni buena ni mala",0.27,0.314,0.315,0.152,0.282
"P46","Mala",0.202,0.208,0.176,0.167,0.129
"P46","Muy mala",0.327,0.252,0.179,0.608,0.357
"P46","No sabe",0.031,0.037,0.053,0.003,0.115
"P47","Muy buena",0.151,0.086,0.013,0.01,0.04
"P47","Buena",0.214,0.141,0.031,0.131,0.078
"P47","Ni buena ni mala",0.227,0.163,0.098,0.246,0.166
"P47","Mala",0.112,0.136,0.099,0.241,0.15
"P47","Muy mala",0.266,0.451,0.714,0.334,0.439
"P47","No sabe",0.03,0.023,0.045,0.038,0.127
"P48","Muy buena",0.076,0.063,0.001,0.006,0.039
"P48","Buena",0.275,0.135,0.008,0.141,0.076
"P48","Ni buena ni mala",0.224,0.112,0.033,0.326,0.203
"P48","Mala",0.113,0.116,0.083,0.295,0.152
"P48","Muy mala",0.304,0.56,0.862,0.214,0.5
"P48","No sabe",0.008,0.014,0.013,0.018,0.03
"P49","Muy buena",0.104,0.053,0.007,0.05,0.045
"P49","Buena",0.238,0.123,0.004,0.057,0.056
"P49","Ni buena ni mala",0.2,0.119,0.029,0.264,0.224
"P49","Mala",0.129,0.122,0.079,0.341,0.146
"P49","Muy mala",0.322,0.58,0.871,0.288,0.508
"P49","No sabe",0.007,0.003,0.01,0,0.021
"P50","Muy buena",0.497,0.263,0.008,0.277,0.248
"P50","Buena",0.079,0.045,0.013,0.13,0.055
"P50","Ni buena ni mala",0.052,0.041,0.035,0.171,0.085
"P50","Mala",0.037,0.045,0.047,0.164,0.083
"P50","Muy mala",0.329,0.604,0.888,0.224,0.501
"P50","No sabe",0.006,0.002,0.009,0.034,0.028
"P51","Muy buena",0.191,0.28,0.171,0.051,0.213
"P51","Buena",0.115,0.171,0.176,0.062,0.077
"P51","Ni buena ni mala",0.059,0.087,0.22,0.061,0.15
"P51","Mala",0.125,0.079,0.148,0.084,0.161
"P51","Muy mala",0.498,0.38,0.281,0.742,0.379
"P51","No sabe",0.012,0.003,0.004,0,0.02
"P52","Muy buena",0.109,0.214,0.055,0.026,0.048
"P52","Buena",0.162,0.295,0.165,0.021,0.126
"P52","Ni buena ni mala",0.121,0.171,0.253,0.107,0.292
"P52","Mala",0.167,0.089,0.173,0.246,0.149
"P52","Muy mala",0.438,0.222,0.343,0.594,0.356
"P52","No sabe",0.003,0.009,0.011,0.006,0.029
"P53","Muy buena",0.113,0.109,0.007,0.003,0.022
"P53","Buena",0.286,0.208,0.048,0.029,0.078
"P53","Ni buena ni mala",0.215,0.133,0.09,0.262,0.236
"P53","Mala",0.089,0.092,0.129,0.318,0.161
"P53","Muy mala",0.288,0.444,0.718,0.388,0.459
"P53","No sabe",0.009,0.014,0.008,0,0.044
"P54","Muy buena",0.188,0.371,0.317,0.035,0.218
"P54","Buena",0.117,0.19,0.211,0.029,0.151
"P54","Ni buena ni mala",0.074,0.054,0.161,0.106,0.151
"P54","Mala",0.087,0.075,0.088,0.087,0.127
"P54","Muy mala",0.521,0.303,0.218,0.739,0.315
"P54","No sabe",0.013,0.007,0.005,0.004,0.038
"P55","Muy buena",0.062,0.122,0.621,0.037,0.048
"P55","Buena",0.067,0.12,0.244,0,0.079
"P55","Ni buena ni mala",0.168,0.236,0.082,0.098,0.246
"P55","Mala",0.122,0.149,0.019,0.068,0.128
"P55","Muy mala",0.557,0.353,0.027,0.797,0.419
"P55","No sabe",0.024,0.02,0.007,0,0.08
"P56","Muy buena",0.116,0.227,0.151,0.036,0.094
"P56","Buena",0.145,0.253,0.227,0.009,0.193
"P56","Ni buena ni mala",0.087,0.12,0.239,0.061,0.201
"P56","Mala",0.122,0.105,0.154,0.105,0.134
"P56","Muy mala",0.523,0.29,0.218,0.785,0.339
"P56","No sabe",0.007,0.005,0.011,0.004,0.039
"P57","Muy buena",0.118,0.142,0.019,0.085,0.026
"P57","Buena",0.312,0.198,0.053,0.072,0.147
"P57","Ni buena ni mala",0.179,0.15,0.118,0.262,0.243
"P57","Mala",0.11,0.113,0.152,0.241,0.131
"P57","Muy mala",0.277,0.395,0.644,0.336,0.426
"P57","No sabe",0.004,0.002,0.014,0.004,0.027
"P58","Muy buena",0.087,0.073,0.064,0.031,0.063
"P58","Buena",0.174,0.185,0.123,0.101,0.126
"P58","Ni buena ni mala",0.358,0.403,0.256,0.34,0.35
"P58","Mala",0.179,0.163,0.159,0.203,0.15
"P58","Muy mala",0.159,0.145,0.326,0.262,0.224
"P58","No sabe",0.043,0.031,0.072,0.063,0.087
"P59","Siempre",0.32,0.338,0.256,0.302,0.273
"P59","Casi siempre",0.412,0.399,0.359,0.335,0.399
"P59","Casi nunca",0.19,0.194,0.267,0.271,0.225
"P59","Nunca, pero esta es una excepción",0.078,0.069,0.118,0.092,0.103
"P60","Si",0.593,0.624,0.562,0.642,0.501
"P60","No",0.407,0.376,0.438,0.358,0.499
