"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Otros","En blanco","No sabe"
"P14","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0,0.051,0,0.04,0,0,0,0
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.238,0.051,0.095,0,0,0,0,0
"P14","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.3,0.102,0.032,0.023,0,0,1,0
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.048,0.553,0.262,0,0,0,0,0
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0,0,0,0,0
"P14","En blanco",0.279,0,0.306,0.089,0,0.778,0,0
"P14","No sabe",0,0.084,0.057,0.803,0,0,0,0
"P17","Sí",0.468,0.564,0.586,0.613,0.86,0.738,0.756,0.66
"P17","No",0.532,0.436,0.414,0.387,0.14,0.262,0.244,0.34
"P18","Martín Soria a Diputado Nacional por Unión por la Patria",0.299,0.186,0.23,0.081,0.097,0.288,0.084,0.027
"P18","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.127,0.251,0.174,0.171,0,0.165,0.236,0.164
"P18","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.027,0.215,0.11,0.149,0.061,0.041,0.04,0.05
"P18","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.281,0.175,0.29,0.208,0.072,0.167,0.407,0.352
"P18","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.192,0.104,0.17,0.313,0.047,0.113,0,0.031
"P18","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.035,0,0.026,0.031,0.598,0.103,0.022,0.038
"P18","En blanco",0.018,0.049,0,0.013,0.099,0.099,0.135,0.111
"P18","No sabe",0.021,0.02,0,0.034,0.026,0.024,0.076,0.227
"P22","Totalmente seguro",0.688,0.684,0.574,0.654,0.595,0.564,0.393,0.176
"P22","Bastante seguro",0.195,0.186,0.16,0.242,0.207,0.168,0.019,0.104
"P22","Algo seguro",0.071,0.063,0.126,0.06,0.057,0.063,0.181,0.116
"P22","Para nada seguro",0.046,0.067,0.14,0.044,0.141,0.205,0.407,0.604
"P23","Tiene Decidido que va a ir a votar",0.946,0.911,0.907,0.914,0.844,0.934,0.546,0.712
"P23","Tiene dudas sobre si va a ir a  votar",0.041,0.06,0.082,0.038,0.156,0.066,0.073,0.174
"P23","Tiene Decidido que no va a ir a votar",0.013,0.029,0.011,0.048,0,0,0.381,0.114
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.811,0.055,0.235,0.051,0.027,0.132,0,0.043
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.028,0.409,0.167,0.037,0.023,0.282,0.048,0.105
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.046,0.125,0.483,0.063,0,0.036,0,0
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.081,0.13,0.052,0.809,0,0.017,0,0.052
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.003,0.006,0,0.01,0.777,0.082,0,0.063
"P28","Otros",0.015,0.142,0.044,0.015,0.148,0.44,0.034,0.048
"P28","En blanco",0,0.031,0,0,0,0,0.714,0.02
"P28","No sabe",0.016,0.102,0.019,0.015,0.025,0.011,0.204,0.669
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.913,0.065,0.458,0.055,0.524,0.204,0.254,0.154
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.031,0.919,0.281,0.419,0.054,0.2,0.033,0.083
"P32","En blanco",0.016,0.005,0.089,0.259,0.204,0.272,0.553,0.061
"P32","No sabe",0.04,0.011,0.172,0.267,0.218,0.324,0.16,0.702
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.167,0.843,0.33,0.104,0.027,0.121,0.034,0.113
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.074,0.131,0.175,0.834,0.028,0.143,0,0.106
"P33","En blanco",0.488,0.007,0.225,0.034,0.855,0.424,0.948,0.13
"P33","No sabe",0.271,0.019,0.27,0.028,0.09,0.312,0.018,0.651
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.883,0.072,0.44,0.037,0.543,0.231,0.291,0.145
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.028,0.689,0.318,0.429,0.029,0.431,0.114,0.142
"P34","En blanco",0.042,0.12,0.102,0.294,0.374,0.137,0.425,0.142
"P34","No sabe",0.047,0.119,0.14,0.24,0.054,0.201,0.17,0.571
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.201,0.593,0.432,0.053,0.152,0.417,0.334,0.131
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.05,0.247,0.099,0.851,0,0.065,0,0.16
"P35","En blanco",0.459,0.089,0.258,0.043,0.776,0.287,0.666,0.18
"P35","No sabe",0.29,0.071,0.211,0.053,0.072,0.231,0,0.529
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.896,0.059,0.392,0.062,0.518,0.268,0.267,0.157
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.006,0.495,0.258,0.857,0,0.073,0.036,0.171
"P36","En blanco",0.038,0.266,0.126,0.009,0.422,0.3,0.545,0.08
"P36","No sabe",0.06,0.18,0.224,0.072,0.06,0.359,0.152,0.592
"P37","Lo votaría",0.9,0.026,0.298,0.051,0.223,0.172,0.223,0.096
"P37","Puede que lo vote",0.061,0.09,0.144,0.067,0.054,0.074,0.044,0.15
"P37","Nunca lo votaría",0.025,0.825,0.424,0.767,0.617,0.619,0.569,0.263
"P37","No sabe",0.014,0.059,0.134,0.115,0.106,0.135,0.164,0.491
"P38","Lo votaría",0.469,0.04,0.198,0.047,0.457,0.201,0,0.022
"P38","Puede que lo vote",0.22,0.01,0.113,0.039,0.195,0.105,0.011,0.156
"P38","Nunca lo votaría",0.178,0.909,0.597,0.84,0.071,0.633,0.796,0.28
"P38","No sabe",0.133,0.041,0.092,0.074,0.277,0.061,0.193,0.542
"P39","Lo votaría",0.084,0.8,0.194,0.256,0.132,0.036,0.037,0.035
"P39","Puede que lo vote",0.021,0.048,0.087,0.274,0.025,0.255,0.013,0.068
"P39","Nunca lo votaría",0.853,0.108,0.529,0.362,0.686,0.633,0.814,0.387
"P39","No sabe",0.042,0.044,0.19,0.108,0.157,0.076,0.136,0.51
"P40","Lo votaría",0.034,0.488,0.204,0.165,0.117,0.322,0.092,0.069
"P40","Puede que lo vote",0.088,0.28,0.25,0.224,0.083,0.2,0.031,0.132
"P40","Nunca lo votaría",0.851,0.164,0.435,0.505,0.608,0.405,0.741,0.375
"P40","No sabe",0.027,0.068,0.111,0.106,0.192,0.073,0.136,0.424
"P41","Lo votaría",0.057,0.21,0.344,0.059,0.105,0.068,0,0
"P41","Puede que lo vote",0.137,0.161,0.214,0.137,0.061,0.222,0,0.114
"P41","Nunca lo votaría",0.597,0.432,0.253,0.662,0.466,0.539,0.755,0.305
"P41","No sabe",0.209,0.197,0.189,0.142,0.368,0.171,0.245,0.581
"P42","Lo votaría",0.026,0.178,0.123,0.809,0.105,0.04,0,0.097
"P42","Puede que lo vote",0.06,0.377,0.154,0.085,0,0.096,0,0.13
"P42","Nunca lo votaría",0.847,0.345,0.578,0.061,0.86,0.811,0.655,0.451
"P42","No sabe",0.067,0.1,0.145,0.045,0.035,0.053,0.345,0.322
"P43","Lo votaría",0.084,0.082,0.15,0.123,0.691,0.154,0,0.005
"P43","Puede que lo vote",0.264,0.031,0.184,0.059,0.182,0.101,0.061,0.061
"P43","Nunca lo votaría",0.536,0.809,0.472,0.742,0.127,0.648,0.729,0.36
"P43","No sabe",0.116,0.078,0.194,0.076,0,0.097,0.21,0.574
"P44","Sí",0.424,0.501,0.46,0.393,0.342,0.371,0.319,0.152
"P44","No",0.576,0.499,0.54,0.607,0.658,0.629,0.681,0.848
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.726,0.029,0.255,0.025,0.035,0.04,0.024,0.004
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.171,0.037,0.062,0.017,0.397,0.313,0.03,0.02
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.036,0.743,0.107,0.043,0.031,0.042,0.03,0.01
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.013,0.092,0.15,0.034,0.034,0.275,0.051,0.112
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.014,0.075,0.174,0.79,0,0.014,0,0.084
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.002,0.006,0.003,0.48,0,0.017,0.027
"PRESIDENTE","En blanco",0.022,0.001,0.196,0.005,0,0.152,0.7,0.021
"PRESIDENTE","No sabe",0.014,0.021,0.05,0.083,0.023,0.164,0.148,0.722
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.613,0.12,0.275,0.037,0.148,0.289,0.042,0.034
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.073,0.472,0.038,0.128,0,0.127,0.176,0.132
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.013,0.147,0.05,0.097,0.052,0.16,0.058,0.117
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.162,0.118,0.544,0.187,0.063,0.178,0.344,0.315
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.092,0.104,0.083,0.517,0.043,0.085,0,0.073
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.022,0,0,0.006,0.587,0.082,0.016,0.031
"DIPUTADOS","En blanco",0.016,0.027,0.01,0.009,0.083,0.06,0.311,0.11
"DIPUTADOS","No sabe",0.009,0.012,0,0.019,0.024,0.019,0.053,0.188
