"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Eduardo “Lalo” Creus a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Josefina Mendoza a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P13","Alguno de los candidatos a intendente de la Izquierda",0.01,0.011,0.098,0.109,0.007,0.055,0.012,0.641,0.08,0.023
"P13","No sabe",0.107,0.139,0.087,0.078,0.081,0.189,0.157,0.098,0.441,0.673
"P16","Lo votaría",0.643,0.11,0.397,0.084,0.128,0.057,0.039,0,0.119,0.089
"P16","Puede que lo vote",0.128,0.195,0.181,0.208,0.036,0.037,0.096,0.149,0.026,0.114
"P16","Nunca lo votaría",0.132,0.513,0.311,0.588,0.778,0.733,0.76,0.826,0.522,0.453
"P16","No sabe",0.097,0.182,0.111,0.12,0.058,0.173,0.105,0.025,0.333,0.344
"P17","Lo votaría",0.078,0.281,0.094,0.343,0.091,0.099,0.073,0,0.123,0.023
"P17","Puede que lo vote",0.127,0.249,0.291,0.303,0.082,0.088,0.095,0.195,0.079,0.112
"P17","Nunca lo votaría",0.546,0.317,0.37,0.28,0.689,0.557,0.586,0.757,0.487,0.446
"P17","No sabe",0.249,0.153,0.245,0.074,0.138,0.256,0.246,0.048,0.311,0.419
"P18","Lo votaría",0.028,0.04,0.007,0.005,0.105,0.079,0.08,0.017,0.118,0.062
"P18","Puede que lo vote",0.098,0.12,0.046,0.164,0.075,0.117,0.146,0.048,0.043,0.037
"P18","Nunca lo votaría",0.593,0.497,0.705,0.517,0.614,0.519,0.552,0.677,0.511,0.437
"P18","No sabe",0.281,0.343,0.242,0.314,0.206,0.285,0.222,0.258,0.328,0.464
"P19","Lo votaría",0.04,0.025,0.032,0.038,0.441,0.165,0.104,0,0.184,0.014
"P19","Puede que lo vote",0.079,0.133,0.016,0.127,0.154,0.182,0.188,0.106,0.064,0.077
"P19","Nunca lo votaría",0.67,0.556,0.792,0.622,0.241,0.352,0.487,0.514,0.39,0.409
"P19","No sabe",0.211,0.286,0.16,0.213,0.164,0.301,0.221,0.38,0.362,0.5
"P20","Lo votaría",0.06,0.055,0.016,0.039,0.105,0.114,0.043,0.02,0.084,0.024
"P20","Puede que lo vote",0.048,0.111,0.204,0.066,0.105,0.221,0.081,0.226,0.04,0.075
"P20","Nunca lo votaría",0.605,0.533,0.526,0.577,0.596,0.346,0.633,0.555,0.562,0.385
"P20","No sabe",0.287,0.301,0.254,0.318,0.194,0.319,0.243,0.199,0.314,0.516
"P21","Lo votaría",0.045,0.039,0.012,0.051,0.427,0.333,0.101,0.052,0.122,0.03
"P21","Puede que lo vote",0.056,0.117,0.092,0.038,0.234,0.181,0.171,0.079,0.074,0.127
"P21","Nunca lo votaría",0.695,0.572,0.762,0.776,0.23,0.326,0.523,0.803,0.427,0.434
"P21","No sabe",0.204,0.272,0.134,0.135,0.109,0.16,0.205,0.066,0.377,0.409
"P22","Lo votaría",0.062,0.023,0.098,0.011,0.172,0.128,0.447,0.149,0.161,0.013
"P22","Puede que lo vote",0.045,0.109,0.081,0.089,0.145,0.121,0.126,0.089,0.046,0.052
"P22","Nunca lo votaría",0.695,0.671,0.723,0.755,0.5,0.557,0.293,0.704,0.472,0.519
"P22","No sabe",0.198,0.197,0.098,0.145,0.183,0.194,0.134,0.058,0.321,0.416
"P23","Lo votaría",0.075,0.074,0.035,0.014,0.069,0.1,0.047,0,0.228,0.093
"P23","Puede que lo vote",0.096,0.147,0.1,0.111,0.048,0.043,0.027,0.174,0.044,0.036
"P23","Nunca lo votaría",0.623,0.594,0.698,0.757,0.801,0.755,0.758,0.754,0.476,0.556
"P23","No sabe",0.206,0.185,0.167,0.118,0.082,0.102,0.168,0.072,0.252,0.315
"P24","Si",0.475,0.368,0.442,0.501,0.449,0.291,0.411,0.289,0.209,0.219
"P24","No",0.525,0.632,0.558,0.499,0.551,0.709,0.589,0.711,0.791,0.781
