"var","categoria","Javier Milei por la Libertad Avanza","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P12","Al candidato del Frente de Izquierda",0.007,0.005,0.086,0.041
"P12","En blanco",0.011,0.005,0.088,0.024
"P12","No sabe",0.018,0.028,0.102,0.333
"P16","Daniel Scioli  por el Frente de Todos",0.12,0.081,0.492,0.32
"P16","Patricia Bullrich por Juntos por el Cambio",0.094,0.473,0.09,0.093
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.086,0.155,0.059,0.085
"P16","Facundo Manes por Juntos por el Cambio",0.035,0.082,0.044,0.081
"P16","Gerardo Morales",0.029,0.048,0.024,0.039
"P16","Javier Milei por la Libertad Avanza",0.603,0.13,0.026,0.027
"P16","Al candidato del Frente de Izquierda",0.008,0.004,0.087,0.046
"P16","En blanco",0.007,0.006,0.09,0.021
"P16","No sabe",0.018,0.021,0.088,0.288
"P17","Axel Kicillof por el Frente de Todos",0.069,0.038,0.714,0.474
"P17","Patricia Bullrich por Juntos por el Cambio",0.108,0.558,0.024,0.052
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.093,0.15,0.052,0.07
"P17","Javier Milei por la Libertad Avanza",0.685,0.203,0.014,0.023
"P17","Al candidato del Frente de Izquierda",0.008,0.009,0.056,0.029
"P17","En blanco",0.017,0.016,0.071,0.026
"P17","No sabe",0.02,0.026,0.069,0.326
"P18","Sergio Massa  por el Frente de Todos",0.081,0.046,0.662,0.46
"P18","Patricia Bullrich por Juntos por el Cambio",0.151,0.669,0.029,0.077
"P18","Javier Milei por la Libertad Avanza",0.712,0.221,0.02,0.024
"P18","Al candidato del Frente de Izquierda",0.016,0.01,0.086,0.048
"P18","En blanco",0.008,0.013,0.115,0.027
"P18","No sabe",0.032,0.041,0.088,0.364
"P21","Daniel Scioli  por el Frente de Todos",0.132,0.094,0.572,0.403
"P21","Patricia Bullrich por Juntos por el Cambio",0.138,0.655,0.072,0.081
"P21","Javier Milei por la Libertad Avanza",0.672,0.188,0.058,0.071
"P21","Al candidato del Frente de Izquierda",0.016,0.008,0.09,0.047
"P21","En blanco",0.012,0.016,0.115,0.029
"P21","No sabe",0.03,0.039,0.093,0.369
"P22","Sergio Massa  por el Frente de Todos",0.084,0.069,0.642,0.433
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.174,0.395,0.061,0.088
"P22","Javier Milei por la Libertad Avanza",0.686,0.348,0.031,0.055
"P22","Al candidato del Frente de Izquierda",0.017,0.01,0.085,0.037
"P22","En blanco",0.012,0.063,0.105,0.024
"P22","No sabe",0.027,0.115,0.076,0.363
"P25","Agustín Rossi  por el Frente de Todos",0.102,0.062,0.606,0.368
"P25","Patricia Bullrich por Juntos por el Cambio",0.155,0.685,0.032,0.066
"P25","Javier Milei por la Libertad Avanza",0.674,0.183,0.044,0.06
"P25","Al candidato del Frente de Izquierda",0.015,0.011,0.088,0.032
"P25","En blanco",0.017,0.018,0.142,0.039
"P25","No sabe",0.037,0.041,0.088,0.435
"P26","Axel Kicillof por el Frente de Todos",0.091,0.073,0.68,0.457
"P26","Patricia Bullrich por Juntos por el Cambio",0.16,0.663,0.046,0.086
"P26","Javier Milei por la Libertad Avanza",0.691,0.208,0.033,0.041
"P26","Al candidato del Frente de Izquierda",0.014,0.009,0.067,0.04
"P26","En blanco",0.016,0.015,0.117,0.024
"P26","No sabe",0.028,0.032,0.057,0.352
"P29","Sergio Massa por el Frente de Todos",0.114,0.05,0.727,0.489
"P29","Patricia Bullrich por Juntos por el Cambio",0.51,0.853,0.032,0.079
"P29","En blanco",0.209,0.046,0.184,0.039
"P29","No sabe",0.167,0.051,0.057,0.393
"P30","Sergio Massa por el Frente de Todos",0.091,0.071,0.743,0.495
"P30","Javier Milei por la Libertad Avanza",0.834,0.555,0.029,0.074
"P30","En blanco",0.041,0.19,0.184,0.037
"P30","No sabe",0.034,0.184,0.044,0.394
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.245,0.424,0.182,0.148
"P31","Javier Milei por la Libertad Avanza",0.729,0.447,0.01,0.023
"P31","En blanco",0.013,0.064,0.735,0.043
"P31","No sabe",0.013,0.065,0.073,0.786
"P33","Sergio Massa por el Frente de Todos",0.199,0.064,0.667,0.451
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.357,0.667,0.049,0.085
"P33","En blanco",0.296,0.167,0.262,0.026
"P33","No sabe",0.148,0.102,0.022,0.438
"P34","Agustín Rossi por el Frente de Todos",0.09,0.045,0.711,0.435
"P34","Patricia Bullrich por Juntos por el Cambio",0.569,0.828,0.019,0.059
"P34","En blanco",0.208,0.074,0.242,0.034
"P34","No sabe",0.133,0.053,0.028,0.472
"P35","Daniel Scioli por el Frente de Todos",0.103,0.048,0.736,0.495
"P35","Patricia Bullrich por Juntos por el Cambio",0.586,0.883,0.029,0.093
"P35","En blanco",0.202,0.037,0.211,0.033
"P35","No sabe",0.109,0.032,0.024,0.379
"P36","Lo votaría",0.131,0.125,0.448,0.342
"P36","Puede que lo vote",0.13,0.105,0.3,0.217
"P36","Nunca lo votaría",0.683,0.728,0.193,0.198
"P36","No sabe",0.056,0.042,0.059,0.243
"P37","Lo votaría",0.248,0.638,0.071,0.114
"P37","Puede que lo vote",0.358,0.195,0.045,0.096
"P37","Nunca lo votaría",0.327,0.141,0.858,0.627
"P37","No sabe",0.067,0.026,0.026,0.163
"P38","Lo votaría",0.746,0.248,0.023,0.063
"P38","Puede que lo vote",0.122,0.379,0.024,0.049
"P38","Nunca lo votaría",0.108,0.313,0.931,0.74
"P38","No sabe",0.024,0.06,0.022,0.148
"P39","Lo votaría",0.202,0.347,0.037,0.071
"P39","Puede que lo vote",0.25,0.328,0.089,0.127
"P39","Nunca lo votaría",0.495,0.276,0.832,0.634
"P39","No sabe",0.053,0.049,0.042,0.168
"P40","Lo votaría",0.105,0.061,0.4,0.288
"P40","Puede que lo vote",0.104,0.085,0.261,0.208
"P40","Nunca lo votaría",0.75,0.815,0.296,0.342
"P40","No sabe",0.041,0.039,0.043,0.162
"P41","Lo votaría",0.047,0.032,0.433,0.275
"P41","Puede que lo vote",0.055,0.044,0.289,0.209
"P41","Nunca lo votaría",0.832,0.891,0.228,0.325
"P41","No sabe",0.066,0.033,0.05,0.191
"P42","Lo votaría",0.084,0.118,0.102,0.113
"P42","Puede que lo vote",0.2,0.279,0.223,0.189
"P42","Nunca lo votaría",0.621,0.532,0.585,0.456
"P42","No sabe",0.095,0.071,0.09,0.242
"P43","Lo votaría",0.07,0.042,0.634,0.429
"P43","Puede que lo vote",0.061,0.051,0.126,0.131
"P43","Nunca lo votaría",0.827,0.884,0.207,0.305
"P43","No sabe",0.042,0.023,0.033,0.135
"P44","Si",0.571,0.562,0.623,0.571
"P44","No",0.429,0.438,0.377,0.429
