"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P33","En blanco",0.077,0.18,0.665,0.17
"P33","No sabe",0.037,0.098,0.07,0.557
"P34","Agustín Rossi por el Frente de Todos",0.815,0.019,0.104,0.101
"P34","Patricia Bullrich por Juntos por el Cambio",0.038,0.899,0.158,0.135
"P34","En blanco",0.084,0.049,0.673,0.151
"P34","No sabe",0.063,0.033,0.065,0.613
"P35","Daniel Scioli por el Frente de Todos",0.848,0.016,0.148,0.138
"P35","Patricia Bullrich por Juntos por el Cambio",0.039,0.959,0.155,0.154
"P35","En blanco",0.071,0.014,0.649,0.153
"P35","No sabe",0.042,0.011,0.048,0.555
"P36","Lo votaría",0.549,0.132,0.053,0.05
"P36","Puede que lo vote",0.345,0.108,0.079,0.119
"P36","Nunca lo votaría",0.048,0.735,0.794,0.54
"P36","No sabe",0.058,0.025,0.074,0.291
"P37","Lo votaría",0.088,0.617,0.055,0.063
"P37","Puede que lo vote",0.067,0.264,0.206,0.196
"P37","Nunca lo votaría",0.807,0.103,0.672,0.526
"P37","No sabe",0.038,0.016,0.067,0.215
"P38","Lo votaría",0.049,0.407,0.476,0.388
"P38","Puede que lo vote",0.039,0.327,0.076,0.062
"P38","Nunca lo votaría",0.88,0.221,0.418,0.417
"P38","No sabe",0.032,0.045,0.03,0.133
"P39","Lo votaría",0.047,0.329,0.124,0.125
"P39","Puede que lo vote",0.104,0.341,0.139,0.14
"P39","Nunca lo votaría",0.796,0.289,0.672,0.576
"P39","No sabe",0.053,0.041,0.065,0.159
"P40","Lo votaría",0.458,0.069,0.082,0.081
"P40","Puede que lo vote",0.277,0.083,0.109,0.136
"P40","Nunca lo votaría",0.229,0.819,0.749,0.592
"P40","No sabe",0.036,0.029,0.06,0.191
"P41","Lo votaría",0.49,0.016,0.063,0.068
"P41","Puede que lo vote",0.306,0.029,0.099,0.112
"P41","Nunca lo votaría",0.146,0.919,0.781,0.627
"P41","No sabe",0.058,0.036,0.057,0.193
"P42","Lo votaría",0.133,0.099,0.07,0.09
"P42","Puede que lo vote",0.249,0.265,0.148,0.159
"P42","Nunca lo votaría",0.518,0.562,0.697,0.525
"P42","No sabe",0.1,0.074,0.085,0.226
"P43","Lo votaría",0.681,0.027,0.122,0.154
"P43","Puede que lo vote",0.139,0.044,0.091,0.083
"P43","Nunca lo votaría",0.142,0.907,0.746,0.62
"P43","No sabe",0.038,0.022,0.041,0.143
"P44","Si",0.641,0.584,0.499,0.513
"P44","No",0.359,0.416,0.501,0.487
