"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P17","Patricia Bullrich por Juntos por el Cambio",0.031,0.037,0.171,0.009
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.037,0.041,0.007
"P17","Javier Milei por la Libertad Avanza",0.043,0.052,0.144,0.017
"P17","Al candidato del Frente de Izquierda",0.014,0.029,0.025,0.012
"P17","En blanco",0.045,0.055,0.038,0.012
"P17","No sabe",0.1,0.126,0.216,0.095
"P18","Sergio Massa  por el Frente de Todos",0.805,0.698,0.366,0.75
"P18","Patricia Bullrich por Juntos por el Cambio",0.034,0.055,0.196,0.013
"P18","Javier Milei por la Libertad Avanza",0.056,0.108,0.145,0.016
"P18","Al candidato del Frente de Izquierda",0.025,0.008,0.017,0.032
"P18","En blanco",0.041,0.037,0.034,0.047
"P18","No sabe",0.039,0.094,0.242,0.142
"P21","Daniel Scioli  por el Frente de Todos",0.587,0.755,0.428,0.674
"P21","Patricia Bullrich por Juntos por el Cambio",0.113,0.05,0.201,0.038
"P21","Javier Milei por la Libertad Avanza",0.101,0.104,0.147,0.045
"P21","Al candidato del Frente de Izquierda",0.034,0.014,0.008,0.038
"P21","En blanco",0.064,0.015,0.026,0.045
"P21","No sabe",0.101,0.062,0.19,0.16
"P22","Sergio Massa  por el Frente de Todos",0.727,0.719,0.345,0.693
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.078,0.194,0.035
"P22","Javier Milei por la Libertad Avanza",0.085,0.063,0.199,0.043
"P22","Al candidato del Frente de Izquierda",0.028,0.022,0.02,0.034
"P22","En blanco",0.055,0.046,0.046,0.055
"P22","No sabe",0.059,0.072,0.196,0.14
"P25","Agustín Rossi  por el Frente de Todos",0.6,0.682,0.332,0.748
"P25","Patricia Bullrich por Juntos por el Cambio",0.095,0.05,0.217,0.026
"P25","Javier Milei por la Libertad Avanza",0.086,0.096,0.179,0.021
"P25","Al candidato del Frente de Izquierda",0.037,0.009,0.026,0.033
"P25","En blanco",0.082,0.053,0.069,0.038
"P25","No sabe",0.1,0.11,0.177,0.134
"P26","Axel Kicillof por el Frente de Todos",0.677,0.625,0.344,0.797
"P26","Patricia Bullrich por Juntos por el Cambio",0.076,0.089,0.297,0.029
"P26","Javier Milei por la Libertad Avanza",0.063,0.097,0.107,0.041
"P26","Al candidato del Frente de Izquierda",0.019,0.018,0.016,0.012
"P26","En blanco",0.077,0.097,0.044,0.017
"P26","No sabe",0.088,0.074,0.192,0.104
"P29","Sergio Massa por el Frente de Todos",0.823,0.743,0.406,0.809
"P29","Patricia Bullrich por Juntos por el Cambio",0.044,0.086,0.416,0.025
"P29","En blanco",0.083,0.073,0.028,0.05
"P29","No sabe",0.05,0.098,0.15,0.116
"P30","Sergio Massa por el Frente de Todos",0.801,0.747,0.397,0.812
"P30","Javier Milei por la Libertad Avanza",0.051,0.124,0.312,0.024
"P30","En blanco",0.097,0.038,0.096,0.06
"P30","No sabe",0.051,0.091,0.195,0.104
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.251,0.196,0.248,0.18
"P31","Javier Milei por la Libertad Avanza",0.078,0.107,0.181,0.027
"P31","En blanco",0.454,0.436,0.348,0.525
"P31","No sabe",0.217,0.261,0.223,0.268
"P32","Javier Milei por la Libertad Avanza",0.146,0.13,0.15,0.038
"P32","Patricia Bullrich por Juntos por el Cambio",0.087,0.096,0.288,0.033
"P32","En blanco",0.561,0.516,0.36,0.713
"P32","No sabe",0.206,0.258,0.202,0.216
"P33","Sergio Massa por el Frente de Todos",0.758,0.683,0.47,0.751
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.02,0.096,0.285,0.018
"P33","En blanco",0.148,0.117,0.117,0.123
"P33","No sabe",0.074,0.104,0.128,0.108
"P34","Agustín Rossi por el Frente de Todos",0.757,0.67,0.328,0.818
"P34","Patricia Bullrich por Juntos por el Cambio",0.034,0.105,0.369,0.021
"P34","En blanco",0.139,0.114,0.158,0.071
"P34","No sabe",0.07,0.111,0.145,0.09
"P35","Daniel Scioli por el Frente de Todos",0.802,0.79,0.392,0.844
"P35","Patricia Bullrich por Juntos por el Cambio",0.045,0.112,0.411,0.02
"P35","En blanco",0.104,0.031,0.078,0.076
"P35","No sabe",0.049,0.067,0.119,0.06
"P36","Lo votaría",0.753,0.536,0.277,0.503
"P36","Puede que lo vote",0.101,0.246,0.3,0.31
"P36","Nunca lo votaría",0.12,0.136,0.328,0.085
"P36","No sabe",0.026,0.082,0.095,0.102
"P37","Lo votaría",0.174,0.132,0.274,0.035
"P37","Puede que lo vote",0.055,0.1,0.124,0.047
"P37","Nunca lo votaría",0.749,0.686,0.565,0.894
"P37","No sabe",0.022,0.082,0.037,0.024
"P38","Lo votaría",0.078,0.138,0.159,0.005
"P38","Puede que lo vote",0.066,0.111,0.18,0.024
"P38","Nunca lo votaría",0.842,0.673,0.62,0.939
"P38","No sabe",0.014,0.078,0.041,0.032
"P39","Lo votaría",0.052,0.127,0.163,0.003
"P39","Puede que lo vote",0.099,0.095,0.191,0.048
"P39","Nunca lo votaría",0.799,0.697,0.597,0.898
"P39","No sabe",0.05,0.081,0.049,0.051
"P40","Lo votaría",0.453,0.722,0.218,0.452
"P40","Puede que lo vote",0.239,0.083,0.243,0.359
"P40","Nunca lo votaría",0.27,0.145,0.459,0.13
"P40","No sabe",0.038,0.05,0.08,0.059
"P41","Lo votaría",0.476,0.496,0.183,0.52
"P41","Puede que lo vote",0.279,0.269,0.211,0.316
"P41","Nunca lo votaría",0.196,0.191,0.514,0.072
"P41","No sabe",0.049,0.044,0.092,0.092
"P42","Lo votaría",0.158,0.134,0.06,0.057
"P42","Puede que lo vote",0.199,0.187,0.198,0.163
"P42","Nunca lo votaría",0.53,0.508,0.575,0.659
"P42","No sabe",0.113,0.171,0.167,0.121
"P43","Lo votaría",0.606,0.652,0.277,0.822
"P43","Puede que lo vote",0.215,0.118,0.134,0.07
"P43","Nunca lo votaría",0.142,0.183,0.521,0.06
"P43","No sabe",0.037,0.047,0.068,0.048
"P44","Si",0.628,0.571,0.626,0.642
"P44","No",0.372,0.429,0.374,0.358
