"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por la Libertad Avanza","En blanco","No sabe"
"P11","Gerardo Morales por Juntos por el Cambio",0.012,0.012,0.052,0.042
"P11","Al candidato del Frente de Izquierda",0.051,0.01,0.085,0.067
"P11","En blanco",0.012,0.003,0.096,0.021
"P11","No sabe",0.053,0.012,0.045,0.203
"P12","Agustín Rossi  por el Frente de Todos",0.608,0.033,0.076,0.072
"P12","Patricia Bullrich por Juntos por el Cambio",0.035,0.31,0.282,0.301
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.105,0.17,0.143
"P12","Facundo Manes por Juntos por el Cambio",0.038,0.024,0.043,0.067
"P12","Gerardo Morales",0.017,0.021,0.061,0.041
"P12","Javier Milei por la Libertad Avanza",0.053,0.48,0.131,0.089
"P12","Al candidato del Frente de Izquierda",0.044,0.004,0.073,0.034
"P12","En blanco",0.032,0.008,0.11,0.017
"P12","No sabe",0.117,0.015,0.054,0.236
"P16","Daniel Scioli  por el Frente de Todos",0.547,0.086,0.086,0.09
"P16","Patricia Bullrich por Juntos por el Cambio",0.113,0.264,0.288,0.296
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.065,0.099,0.17,0.144
"P16","Facundo Manes por Juntos por el Cambio",0.051,0.055,0.06,0.09
"P16","Gerardo Morales",0.021,0.027,0.068,0.067
"P16","Javier Milei por la Libertad Avanza",0.032,0.443,0.093,0.048
"P16","Al candidato del Frente de Izquierda",0.045,0.005,0.078,0.035
"P16","En blanco",0.03,0.006,0.111,0.021
"P16","No sabe",0.096,0.015,0.046,0.209
"P17","Axel Kicillof por el Frente de Todos",0.781,0.015,0.103,0.117
"P17","Patricia Bullrich por Juntos por el Cambio",0.023,0.331,0.325,0.334
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.094,0.187,0.153
"P17","Javier Milei por la Libertad Avanza",0.025,0.528,0.125,0.096
"P17","Al candidato del Frente de Izquierda",0.028,0.005,0.063,0.03
"P17","En blanco",0.021,0.014,0.121,0.021
"P17","No sabe",0.071,0.013,0.076,0.249
"P18","Sergio Massa  por el Frente de Todos",0.818,0.018,0.045,0.038
"P18","Patricia Bullrich por Juntos por el Cambio",0.035,0.397,0.429,0.411
"P18","Javier Milei por la Libertad Avanza",0.024,0.551,0.142,0.111
"P18","Al candidato del Frente de Izquierda",0.045,0.007,0.088,0.048
"P18","En blanco",0.017,0.007,0.201,0.027
"P18","No sabe",0.061,0.02,0.095,0.365
"P21","Daniel Scioli  por el Frente de Todos",0.647,0.09,0.105,0.116
"P21","Patricia Bullrich por Juntos por el Cambio",0.108,0.355,0.432,0.407
"P21","Javier Milei por la Libertad Avanza",0.076,0.52,0.106,0.084
"P21","Al candidato del Frente de Izquierda",0.051,0.007,0.084,0.045
"P21","En blanco",0.028,0.01,0.192,0.021
"P21","No sabe",0.09,0.018,0.081,0.327
"P22","Sergio Massa  por el Frente de Todos",0.771,0.038,0.055,0.06
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.243,0.353,0.319
"P22","Javier Milei por la Libertad Avanza",0.048,0.631,0.154,0.108
"P22","Al candidato del Frente de Izquierda",0.044,0.009,0.086,0.039
"P22","En blanco",0.014,0.03,0.243,0.042
"P22","No sabe",0.056,0.049,0.109,0.432
"P25","Agustín Rossi  por el Frente de Todos",0.673,0.052,0.09,0.092
"P25","Patricia Bullrich por Juntos por el Cambio",0.06,0.39,0.429,0.427
"P25","Javier Milei por la Libertad Avanza",0.071,0.509,0.117,0.081
"P25","Al candidato del Frente de Izquierda",0.044,0.008,0.084,0.041
"P25","En blanco",0.047,0.013,0.206,0.026
"P25","No sabe",0.105,0.028,0.074,0.333
"P26","Axel Kicillof por el Frente de Todos",0.751,0.047,0.111,0.124
"P26","Patricia Bullrich por Juntos por el Cambio",0.066,0.386,0.432,0.414
"P26","Javier Milei por la Libertad Avanza",0.05,0.531,0.122,0.104
"P26","Al candidato del Frente de Izquierda",0.028,0.006,0.09,0.043
"P26","En blanco",0.037,0.01,0.183,0.021
"P26","No sabe",0.068,0.02,0.062,0.294
"P29","Sergio Massa por el Frente de Todos",0.929,0.023,0.014,0.022
"P29","Patricia Bullrich por Juntos por el Cambio",0.034,0.745,0.47,0.445
"P29","En blanco",0.018,0.127,0.461,0.029
"P29","No sabe",0.019,0.105,0.055,0.504
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.277,0.23,0.39,0.369
"P31","Javier Milei por la Libertad Avanza",0.049,0.722,0.143,0.105
"P31","En blanco",0.471,0.021,0.427,0.066
"P31","No sabe",0.203,0.027,0.04,0.46
"P32","Javier Milei por la Libertad Avanza",0.089,0.523,0.091,0.073
"P32","Patricia Bullrich por Juntos por el Cambio",0.09,0.443,0.533,0.503
"P32","En blanco",0.622,0.015,0.343,0.081
"P32","No sabe",0.199,0.019,0.033,0.343
"P33","Sergio Massa por el Frente de Todos",0.829,0.084,0.057,0.067
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.058,0.516,0.456,0.413
"P33","En blanco",0.076,0.268,0.436,0.085
"P33","No sabe",0.037,0.132,0.051,0.435
"P34","Agustín Rossi por el Frente de Todos",0.803,0.028,0.071,0.086
"P34","Patricia Bullrich por Juntos por el Cambio",0.053,0.728,0.498,0.479
"P34","En blanco",0.077,0.149,0.388,0.061
"P34","No sabe",0.067,0.095,0.043,0.374
"P35","Daniel Scioli por el Frente de Todos",0.84,0.028,0.116,0.096
"P35","Patricia Bullrich por Juntos por el Cambio",0.048,0.79,0.503,0.506
"P35","En blanco",0.065,0.119,0.349,0.058
"P35","No sabe",0.047,0.063,0.032,0.34
"P36","Lo votaría",0.541,0.131,0.067,0.05
"P36","Puede que lo vote",0.342,0.106,0.087,0.112
"P36","Nunca lo votaría",0.051,0.724,0.796,0.61
"P36","No sabe",0.066,0.039,0.05,0.228
"P37","Lo votaría",0.092,0.445,0.391,0.405
"P37","Puede que lo vote",0.07,0.308,0.144,0.113
"P37","Nunca lo votaría",0.798,0.206,0.423,0.351
"P37","No sabe",0.04,0.041,0.042,0.131
"P38","Lo votaría",0.034,0.605,0.105,0.106
"P38","Puede que lo vote",0.038,0.299,0.144,0.136
"P38","Nunca lo votaría",0.895,0.07,0.691,0.596
"P38","No sabe",0.033,0.026,0.06,0.162
"P39","Lo votaría",0.054,0.233,0.297,0.304
"P39","Puede que lo vote",0.109,0.311,0.215,0.188
"P39","Nunca lo votaría",0.784,0.407,0.438,0.368
"P39","No sabe",0.053,0.049,0.05,0.14
"P40","Lo votaría",0.451,0.065,0.09,0.084
"P40","Puede que lo vote",0.281,0.084,0.105,0.117
"P40","Nunca lo votaría",0.227,0.815,0.756,0.648
"P40","No sabe",0.041,0.036,0.049,0.151
"P41","Lo votaría",0.483,0.018,0.052,0.064
"P41","Puede que lo vote",0.309,0.028,0.092,0.094
"P41","Nunca lo votaría",0.148,0.908,0.804,0.694
"P41","No sabe",0.06,0.046,0.052,0.148
"P42","Lo votaría",0.128,0.084,0.107,0.117
"P42","Puede que lo vote",0.247,0.224,0.247,0.22
"P42","Nunca lo votaría",0.522,0.615,0.561,0.466
"P42","No sabe",0.103,0.077,0.085,0.197
"P43","Lo votaría",0.672,0.033,0.106,0.132
"P43","Puede que lo vote",0.139,0.048,0.086,0.061
"P43","Nunca lo votaría",0.151,0.888,0.77,0.704
"P43","No sabe",0.038,0.031,0.038,0.103
"P44","Si",0.644,0.571,0.531,0.525
"P44","No",0.356,0.429,0.469,0.475
