"var","categoria","Agustín Rossi  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.09,0.716,0.302,0.15,0.235,0.237
"P33","En blanco",0.108,0.123,0.371,0.4,0.469,0.085
"P33","No sabe",0.05,0.09,0.18,0.112,0.072,0.395
"P34","Agustín Rossi por el Frente de Todos",0.815,0.041,0.069,0.399,0.139,0.177
"P34","Patricia Bullrich por Juntos por el Cambio",0.1,0.876,0.534,0.092,0.168,0.206
"P34","En blanco",0.05,0.042,0.252,0.396,0.617,0.11
"P34","No sabe",0.035,0.041,0.145,0.113,0.076,0.507
"P35","Daniel Scioli por el Frente de Todos",0.817,0.039,0.077,0.396,0.264,0.275
"P35","Patricia Bullrich por Juntos por el Cambio",0.104,0.915,0.586,0.13,0.182,0.222
"P35","En blanco",0.046,0.025,0.223,0.375,0.495,0.095
"P35","No sabe",0.033,0.021,0.114,0.099,0.059,0.408
"P36","Lo votaría",0.526,0.132,0.102,0.146,0.215,0.2
"P36","Puede que lo vote",0.31,0.098,0.113,0.256,0.189,0.2
"P36","Nunca lo votaría",0.11,0.735,0.725,0.456,0.523,0.343
"P36","No sabe",0.054,0.035,0.06,0.142,0.073,0.257
"P37","Lo votaría",0.112,0.73,0.213,0.077,0.124,0.12
"P37","Puede que lo vote",0.069,0.145,0.399,0.053,0.109,0.162
"P37","Nunca lo votaría",0.784,0.109,0.32,0.836,0.688,0.548
"P37","No sabe",0.035,0.016,0.068,0.034,0.079,0.17
"P38","Lo votaría",0.079,0.24,0.756,0.06,0.09,0.053
"P38","Puede que lo vote",0.058,0.38,0.125,0.06,0.09,0.117
"P38","Nunca lo votaría",0.832,0.315,0.098,0.856,0.768,0.685
"P38","No sabe",0.031,0.065,0.021,0.024,0.052,0.145
"P39","Lo votaría",0.059,0.382,0.156,0.074,0.161,0.146
"P39","Puede que lo vote",0.101,0.344,0.233,0.139,0.181,0.18
"P39","Nunca lo votaría",0.8,0.231,0.552,0.724,0.599,0.488
"P39","No sabe",0.04,0.043,0.059,0.063,0.059,0.186
"P40","Lo votaría",0.483,0.077,0.053,0.119,0.157,0.161
"P40","Puede que lo vote",0.254,0.075,0.091,0.248,0.188,0.217
"P40","Nunca lo votaría",0.231,0.815,0.809,0.542,0.609,0.429
"P40","No sabe",0.032,0.033,0.047,0.091,0.046,0.193
"P41","Lo votaría",0.54,0.033,0.035,0.128,0.045,0.057
"P41","Puede que lo vote",0.272,0.035,0.045,0.286,0.175,0.203
"P41","Nunca lo votaría",0.151,0.899,0.86,0.494,0.706,0.509
"P41","No sabe",0.037,0.033,0.06,0.092,0.074,0.231
"P42","Lo votaría",0.118,0.117,0.068,0.138,0.134,0.101
"P42","Puede que lo vote",0.232,0.295,0.185,0.236,0.169,0.206
"P42","Nunca lo votaría",0.559,0.513,0.656,0.553,0.614,0.43
"P42","No sabe",0.091,0.075,0.091,0.073,0.083,0.263
"P43","Lo votaría",0.692,0.041,0.056,0.336,0.187,0.248
"P43","Puede que lo vote",0.101,0.045,0.052,0.203,0.148,0.156
"P43","Nunca lo votaría",0.179,0.892,0.849,0.407,0.611,0.453
"P43","No sabe",0.028,0.022,0.043,0.054,0.054,0.143
"P44","Si",0.642,0.571,0.558,0.595,0.536,0.543
"P44","No",0.358,0.429,0.442,0.405,0.464,0.457
