"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P16","Nunca lo votaría",0.295,0.241,0.599,0.161
"P16","No sabe",0.258,0.098,0.074,0.555
"P17","Lo votaria",0.316,0.095,0.273,0.238
"P17","Puede que lo vote",0.057,0.372,0.138,0.141
"P17","Nunca lo votaría",0.511,0.462,0.526,0.218
"P17","No sabe",0.116,0.071,0.063,0.403
"P18","Lo votaria",0.33,0.085,0.035,0.03
"P18","Puede que lo vote",0.046,0.378,0.115,0.04
"P18","Nunca lo votaría",0.578,0.461,0.798,0.189
"P18","No sabe",0.046,0.076,0.052,0.741
"P20","Lo votaria",0.423,0.134,0.03,0.018
"P20","Puede que lo vote",0.278,0.496,0.092,0.03
"P20","Nunca lo votaría",0.22,0.265,0.849,0.079
"P20","No sabe",0.079,0.105,0.029,0.873
"P21","Muy buena",0.353,0.14,0.367,0.369
"P21","Buena",0.05,0.119,0.168,0.239
"P21","Ni buena ni mala",0.296,0.41,0.264,0.131
"P21","Mala",0.153,0.14,0.087,0.143
"P21","Muy mala",0.148,0.188,0.102,0.086
"P21","No sabe",0,0.003,0.012,0.032
"P22","Que continúe el intendente Ariel Sujarchuk",0.377,0.248,0.39,0.34
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.101,0.118,0.185,0.296
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.064,0.058,0.155,0.143
"P22","Que cambie el intendente Ariel Sujarchuk",0.458,0.576,0.27,0.221
"P23","La seguridad",0.217,0.043,0.055,0.078
"P23","El tránsito",0.017,0.067,0.031,0.086
"P23","El arreglo de las calles",0.119,0.258,0.299,0.284
"P23","Los parques y los espacios públicos",0.199,0.065,0.172,0.162
"P23","El sistema de salud",0.021,0.117,0.078,0.129
"P23","La limpieza de las calles",0.175,0.036,0.003,0.008
"P23","El deporte y la cultura",0.02,0.038,0.165,0.068
"P23","La luminaria",0.111,0.021,0.058,0.018
"P23","No sabe",0.121,0.355,0.139,0.167
"P24","La seguridad",0.617,0.388,0.328,0.265
"P24","El tránsito",0.082,0.133,0.195,0.177
"P24","El arreglo de las calles",0.098,0.256,0.147,0.12
"P24","Los parques y los espacios públicos",0,0.018,0.049,0.081
"P24","El sistema de salud",0.099,0.136,0.092,0.152
"P24","La limpieza de las calles",0.052,0.038,0.025,0.032
"P24","El deporte y la cultura",0,0,0.042,0.025
"P24","La luminaria",0.01,0,0.037,0.026
"P24","No sabe",0.042,0.031,0.085,0.122
"P25","Agua corriente y cloacas",0.616,0.598,0.551,0.471
"P25","Energía eléctrica",0.114,0.123,0.189,0.164
"P25","Red de gas natural",0.053,0.058,0.08,0.077
"P25","Recolección de residuos",0.176,0.152,0.075,0.149
"P25","Ninguno",0.041,0.069,0.105,0.139
"P26","Los robos",0.673,0.412,0.496,0.44
"P26","El narcotráfico",0.226,0.218,0.088,0.174
"P26","La ausencia de patrulleros y personal policial",0.041,0.218,0.289,0.177
"P26","Otro",0.046,0.126,0.084,0.181
"P26","Ninguno",0.014,0.026,0.043,0.028
"P27","Muy buena",0.253,0.109,0.38,0.307
"P27","Buena",0.174,0.108,0.134,0.314
"P27","Ni buena ni mala",0.281,0.384,0.285,0.131
"P27","Mala",0.149,0.092,0.068,0.151
"P27","Muy mala",0.129,0.307,0.116,0.05
"P27","No sabe",0.014,0,0.017,0.047
"P28","Muy buena",0.303,0.081,0.025,0.053
"P28","Buena",0.267,0.157,0.144,0.065
"P28","Ni buena ni mala",0.25,0.346,0.386,0.413
"P28","Mala",0.061,0.17,0.146,0.251
"P28","Muy mala",0.07,0.158,0.232,0.044
"P28","No sabe",0.049,0.088,0.067,0.174
"P29","Muy buena",0.19,0.065,0.034,0.069
"P29","Buena",0.09,0.106,0.073,0.056
"P29","Ni buena ni mala",0.535,0.556,0.436,0.357
"P29","Mala",0.037,0.03,0.104,0.042
"P29","Muy mala",0.034,0.048,0.216,0.079
"P29","No sabe",0.114,0.195,0.137,0.397
"P30","Muy buena",0.131,0.022,0.012,0.005
"P30","Buena",0.091,0.099,0.023,0.004
"P30","Ni buena ni mala",0.534,0.455,0.448,0.398
"P30","Mala",0.006,0.039,0.122,0.028
"P30","Muy mala",0.015,0.003,0.158,0.087
"P30","No sabe",0.223,0.382,0.237,0.478
"P31","Muy buena",0.475,0.005,0,0.067
"P31","Buena",0.254,0.217,0.01,0
"P31","Ni buena ni mala",0.147,0.433,0.431,0.365
"P31","Mala",0.021,0.032,0.159,0.08
"P31","Muy mala",0,0.034,0.157,0.031
"P31","No sabe",0.103,0.279,0.243,0.457
"P32","Muy buena",0.168,0.052,0.119,0.018
"P32","Buena",0.069,0.142,0.09,0.112
"P32","Ni buena ni mala",0.346,0.407,0.299,0.411
"P32","Mala",0.038,0.065,0.14,0.022
"P32","Muy mala",0.174,0.105,0.118,0.031
"P32","No sabe",0.205,0.229,0.234,0.406
"P33","Muy buena",0.312,0.012,0.025,0.079
"P33","Buena",0.216,0.191,0.035,0
"P33","Ni buena ni mala",0.228,0.429,0.402,0.419
"P33","Mala",0,0.01,0.111,0.014
"P33","Muy mala",0,0.035,0.196,0.014
"P33","No sabe",0.244,0.323,0.231,0.474
"P34","Muy buena",0.424,0.069,0.043,0.002
"P34","Buena",0.181,0.201,0.074,0.066
"P34","Ni buena ni mala",0.246,0.4,0.367,0.532
"P34","Mala",0.028,0.115,0.176,0.063
"P34","Muy mala",0.016,0.121,0.221,0.054
"P34","No sabe",0.105,0.094,0.119,0.283
"P35","Frente de Todos y el peronismo",0.105,0.112,0.414,0.368
"P35","Cambiemos",0.494,0.283,0.205,0.264
"P35","Liberales Libertarios",0.31,0.343,0.212,0.213
"P35","Izquierda",0.02,0.067,0.054,0.016
"P35","No sabe",0.071,0.195,0.115,0.139
"P41","Muy buena",0.143,0.103,0.138,0.043
"P41","Buena",0.023,0.119,0.149,0.272
"P41","Ni buena ni mala",0.217,0.087,0.145,0.31
"P41","Mala",0.089,0.192,0.227,0.152
"P41","Muy mala",0.528,0.499,0.338,0.209
"P41","No sabe",0,0,0.003,0.014
"P42","Muy buena",0.446,0.186,0.101,0.01
"P42","Buena",0.123,0.157,0.166,0.091
"P42","Ni buena ni mala",0.17,0.271,0.194,0.27
"P42","Mala",0.224,0.174,0.099,0.366
"P42","Muy mala",0.037,0.212,0.404,0.249
"P42","No sabe",0,0,0.036,0.014
"P43","Muy buena",0.352,0.12,0.361,0.345
"P43","Buena",0,0.047,0.096,0.104
"P43","Ni buena ni mala",0,0.226,0.088,0.085
"P43","Mala",0.113,0.19,0.031,0.143
"P43","Muy mala",0.535,0.417,0.424,0.245
"P43","No sabe",0,0,0,0.078
"P44","Muy buena",0.273,0.046,0.136,0.114
"P44","Buena",0.091,0.173,0.122,0.126
"P44","Ni buena ni mala",0.084,0.157,0.247,0.314
"P44","Mala",0.034,0.354,0.162,0.219
"P44","Muy mala",0.518,0.27,0.291,0.113
"P44","No sabe",0,0,0.042,0.114
"P45","Muy buena",0.358,0.029,0.093,0.029
"P45","Buena",0.214,0.134,0.27,0.411
"P45","Ni buena ni mala",0.03,0.058,0.232,0.115
"P45","Mala",0.146,0.304,0.097,0.253
"P45","Muy mala",0.237,0.475,0.266,0.146
"P45","No sabe",0.015,0,0.042,0.046
"P46","Muy buena",0.538,0.256,0.182,0.124
"P46","Buena",0.101,0.259,0.129,0.123
"P46","Ni buena ni mala",0.313,0.141,0.188,0.293
"P46","Mala",0,0.177,0.198,0.081
"P46","Muy mala",0.048,0.167,0.259,0.277
"P46","No sabe",0,0,0.044,0.102
"P47","Muy buena",0.662,0.243,0.143,0.203
"P47","Buena",0.048,0.256,0.084,0.05
"P47","Ni buena ni mala",0.188,0.098,0.221,0.2
"P47","Mala",0,0.015,0.118,0.172
"P47","Muy mala",0.081,0.388,0.348,0.283
"P47","No sabe",0.021,0,0.086,0.092
