"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y los espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P27","Muy mala",0.231,0.018,0.033,0.047,0.116,0.076,0.248,0.035,0.117
"P27","No sabe",0,0.012,0.054,0.11,0,0,0,0.111,0.046
"P28","Muy buena",0.082,0.026,0.075,0.156,0.056,0.23,0,0.024,0.054
"P28","Buena",0.103,0.123,0.053,0.072,0.331,0.036,0.453,0.081,0.134
"P28","Ni buena ni mala",0.42,0.325,0.441,0.369,0.17,0.401,0.308,0.293,0.511
"P28","Mala",0.077,0.278,0.285,0.327,0.169,0.049,0,0,0.096
"P28","Muy mala",0.203,0.209,0.062,0,0.096,0.264,0.239,0.404,0.107
"P28","No sabe",0.115,0.039,0.084,0.076,0.178,0.02,0,0.198,0.098
"P29","Muy buena",0.077,0.003,0.053,0.326,0.023,0.201,0.026,0,0.036
"P29","Buena",0.048,0.063,0.027,0.067,0.162,0.15,0.183,0.06,0.093
"P29","Ni buena ni mala",0.418,0.505,0.559,0.536,0.25,0.317,0.278,0.203,0.568
"P29","Mala",0.122,0.045,0.09,0.014,0.031,0.058,0,0.106,0.033
"P29","Muy mala",0.134,0.28,0.049,0,0.101,0.235,0.235,0.372,0.073
"P29","No sabe",0.201,0.104,0.222,0.057,0.433,0.039,0.278,0.259,0.197
"P30","Muy buena",0.025,0.002,0.052,0.067,0,0,0.027,0,0.037
"P30","Buena",0.034,0.061,0.014,0,0.039,0.012,0,0.059,0.064
"P30","Ni buena ni mala",0.43,0.294,0.553,0.795,0.38,0.381,0.46,0.554,0.463
"P30","Mala",0.103,0.05,0.081,0.03,0.063,0.027,0.211,0.131,0.009
"P30","Muy mala",0.124,0.257,0.068,0,0.041,0.181,0,0.02,0
"P30","No sabe",0.284,0.336,0.232,0.108,0.477,0.399,0.302,0.236,0.427
"P31","Muy buena",0.077,0,0.072,0.263,0.074,0.219,0,0,0.022
"P31","Buena",0.105,0.107,0.018,0,0.032,0,0,0.062,0.035
"P31","Ni buena ni mala",0.286,0.353,0.518,0.472,0.346,0.516,0.492,0.527,0.412
"P31","Mala",0.17,0.044,0.136,0.139,0.056,0,0.212,0.131,0.013
"P31","Muy mala",0.123,0.179,0.048,0,0.067,0.028,0,0.02,0.079
"P31","No sabe",0.239,0.317,0.208,0.126,0.425,0.237,0.296,0.26,0.439
"P32","Muy buena",0.064,0.114,0.084,0.012,0.069,0.239,0.21,0.373,0.065
"P32","Buena",0.085,0.159,0.061,0.248,0.058,0.075,0,0.102,0.129
"P32","Ni buena ni mala",0.261,0.436,0.464,0.477,0.24,0.301,0.495,0.136,0.299
"P32","Mala",0.131,0.068,0.122,0.045,0.056,0.028,0,0.132,0.062
"P32","Muy mala",0.236,0.023,0.06,0,0.067,0.08,0,0.02,0.059
"P32","No sabe",0.223,0.2,0.209,0.218,0.51,0.277,0.295,0.237,0.386
"P33","Muy buena",0.128,0.011,0.06,0.298,0,0.058,0,0,0
"P33","Buena",0.079,0.126,0.033,0,0.065,0.039,0.207,0,0
"P33","Ni buena ni mala",0.323,0.352,0.484,0.551,0.303,0.393,0.498,0.613,0.459
"P33","Mala",0.075,0.029,0.138,0.051,0.033,0.027,0,0.11,0.012
"P33","Muy mala",0.111,0.186,0.054,0,0.066,0.07,0,0.02,0.279
"P33","No sabe",0.284,0.296,0.231,0.1,0.533,0.413,0.295,0.257,0.25
"P34","Muy buena",0.169,0.004,0.064,0.016,0.066,0.217,0,0,0
"P34","Buena",0.077,0.155,0.051,0.054,0.165,0,0.193,0.233,0.074
"P34","Ni buena ni mala",0.311,0.283,0.505,0.762,0.376,0.286,0.485,0.439,0.576
"P34","Mala",0.099,0.175,0.189,0.064,0.042,0.245,0.026,0.229,0.119
"P34","Muy mala",0.176,0.321,0.077,0,0.068,0.223,0.02,0.019,0.054
"P34","No sabe",0.168,0.062,0.114,0.104,0.283,0.029,0.276,0.08,0.177
"P35","Frente de Todos y el peronismo",0.285,0.548,0.266,0.115,0.323,0.376,0.275,0.499,0.192
"P35","Cambiemos",0.32,0.158,0.282,0.182,0.312,0.125,0.195,0.159,0.295
"P35","Liberales Libertarios",0.315,0.269,0.174,0.629,0.075,0.224,0.504,0.077,0.053
"P35","Izquierda",0.039,0,0.03,0.074,0.15,0,0.026,0.147,0.004
"P35","No sabe",0.041,0.025,0.248,0,0.14,0.275,0,0.118,0.456
"P41","Muy buena",0.123,0.214,0.109,0.111,0.08,0.016,0,0,0.037
"P41","Buena",0.115,0.094,0.205,0.029,0.211,0.305,0.267,0.127,0.24
"P41","Ni buena ni mala",0.183,0.217,0.156,0.618,0.146,0.08,0.214,0.096,0.056
"P41","Mala",0.208,0.266,0.167,0.096,0.1,0.134,0.293,0.024,0.199
"P41","Muy mala",0.366,0.207,0.363,0.146,0.463,0.465,0.226,0.753,0.439
"P41","No sabe",0.005,0.002,0,0,0,0,0,0,0.029
"P42","Muy buena",0.236,0.054,0.068,0.111,0.198,0.032,0,0.071,0.06
"P42","Buena",0.085,0.052,0.194,0.153,0.124,0.533,0.267,0,0.299
"P42","Ni buena ni mala",0.175,0.267,0.218,0.512,0.221,0.138,0.214,0,0.214
"P42","Mala",0.197,0.164,0.195,0.154,0.266,0.097,0.026,0.097,0.154
"P42","Muy mala",0.242,0.463,0.325,0.07,0.188,0.2,0.493,0.832,0.251
"P42","No sabe",0.065,0,0,0,0.003,0,0,0,0.022
"P43","Muy buena",0.408,0.323,0.266,0.61,0.195,0.338,0.264,0,0.294
"P43","Buena",0.036,0.192,0.127,0.109,0.031,0.071,0,0.102,0.016
"P43","Ni buena ni mala",0.044,0.134,0.112,0.093,0.042,0.021,0.218,0.405,0.162
"P43","Mala",0.077,0.134,0.143,0.116,0.018,0.095,0,0.023,0.044
"P43","Muy mala",0.435,0.217,0.352,0.072,0.653,0.475,0.518,0.312,0.405
"P43","No sabe",0,0,0,0,0.061,0,0,0.158,0.079
"P44","Muy buena",0.109,0.026,0.264,0,0.216,0.098,0.332,0,0.104
"P44","Buena",0.09,0.096,0.15,0.219,0.172,0.195,0.276,0,0.121
"P44","Ni buena ni mala",0.147,0.257,0.252,0.617,0.298,0.173,0,0.569,0.22
"P44","Mala",0.203,0.253,0.192,0.02,0,0.397,0,0.118,0.323
"P44","Muy mala",0.383,0.359,0.132,0.053,0.241,0.137,0.392,0.152,0.147
"P44","No sabe",0.068,0.009,0.01,0.091,0.073,0,0,0.161,0.085
"P45","Muy buena",0.116,0.148,0.058,0.02,0.012,0.175,0.332,0.108,0.053
"P45","Buena",0.246,0.264,0.339,0.199,0.37,0.056,0.276,0.543,0.245
"P45","Ni buena ni mala",0.173,0.187,0.113,0.595,0.083,0.083,0.332,0,0.07
"P45","Mala",0.118,0.274,0.203,0.134,0.153,0.198,0.033,0,0.16
"P45","Muy mala",0.275,0.118,0.287,0.052,0.368,0.488,0.027,0.349,0.378
"P45","No sabe",0.072,0.009,0,0,0.014,0,0,0,0.094
"P46","Muy buena",0.274,0.193,0.197,0.09,0.254,0.344,0.331,0.106,0.037
"P46","Buena",0.166,0.093,0.134,0.024,0.02,0.174,0.027,0.479,0.338
"P46","Ni buena ni mala",0.199,0.159,0.214,0.686,0.121,0.215,0.608,0.021,0.261
"P46","Mala",0.109,0.255,0.224,0.02,0.107,0.164,0.034,0,0.103
"P46","Muy mala",0.183,0.291,0.231,0.09,0.396,0.103,0,0.394,0.177
"P46","No sabe",0.069,0.009,0,0.09,0.102,0,0,0,0.084
"P47","Muy buena",0.364,0.2,0.241,0.083,0.104,0.305,0,0.071,0.051
"P47","Buena",0.084,0.245,0.052,0,0.031,0,0.035,0.163,0.08
"P47","Ni buena ni mala",0.133,0.206,0.146,0.696,0.123,0.3,0.043,0.019,0.414
"P47","Mala",0.112,0.039,0.171,0.041,0.067,0.205,0,0.099,0.135
"P47","Muy mala",0.235,0.181,0.39,0.087,0.592,0.117,0.922,0.648,0.237
"P47","No sabe",0.072,0.129,0,0.093,0.083,0.073,0,0,0.083
