"var","categoria","Mucho mejor","Mejor","Peor","Mucho peor","No sabe"
"P11","No sabe",0.095,0.153,0.055,0.015,0.373
"P13","Mucho mejor",0.799,0.137,0.008,0,0.128
"P13","Mejor",0.117,0.788,0.149,0.17,0.276
"P13","Peor",0.033,0.023,0.769,0.166,0.165
"P13","Mucho peor",0.035,0,0.043,0.656,0
"P13","No sabe",0.016,0.052,0.031,0.008,0.431
"P14","Mucho mejor",0.517,0.111,0,0,0.056
"P14","Mejor",0.277,0.496,0.244,0.22,0.033
"P14","Peor",0.074,0.143,0.472,0.116,0.149
"P14","Mucho peor",0.117,0.197,0.284,0.482,0.029
"P14","No sabe",0.015,0.053,0,0.182,0.733
"P15","Muy buena",0.49,0.261,0.178,0.003,0.196
"P15","Buena",0.34,0.454,0.142,0.007,0.14
"P15","Mala",0.094,0.161,0.265,0.13,0.031
"P15","Muy mala",0.034,0.09,0.322,0.841,0.264
"P15","No sabe",0.042,0.034,0.093,0.019,0.369
"P16","Muy buena",0.809,0.376,0.216,0.032,0.382
"P16","Buena",0.182,0.465,0.264,0.012,0.234
"P16","Mala",0,0.04,0.328,0.329,0.012
"P16","Muy mala",0,0.052,0.1,0.519,0.001
"P16","No sabe",0.009,0.067,0.092,0.108,0.371
"P17","Muy buena",0.231,0.125,0.057,0,0.175
"P17","Buena",0.468,0.251,0.215,0.284,0.031
"P17","Mala",0.039,0.3,0.357,0.218,0.08
"P17","Muy mala",0.205,0.217,0.343,0.368,0.177
"P17","No sabe",0.057,0.107,0.028,0.13,0.537
"P19","Muy buena",0.028,0.02,0.07,0.251,0.183
"P19","Buena",0.064,0.079,0.123,0.232,0.01
"P19","Ni buena ni mala",0.2,0.299,0.283,0.287,0.111
"P19","Mala",0.303,0.327,0.182,0.117,0.081
"P19","Muy mala",0.369,0.239,0.206,0.113,0.221
"P19","No sabe",0.036,0.036,0.136,0,0.394
"P20","Muy buena",0.505,0.344,0.146,0.082,0.333
"P20","Buena",0.195,0.344,0.11,0.015,0.087
"P20","Ni buena ni mala",0.238,0.207,0.333,0.151,0.121
"P20","Mala",0.028,0.056,0.178,0.26,0.032
"P20","Muy mala",0.018,0.049,0.174,0.476,0.276
"P20","No sabe",0.016,0,0.059,0.016,0.151
"P21","Muy buena",0.619,0.432,0.305,0.076,0.372
"P21","Buena",0.094,0.198,0.079,0.002,0.109
"P21","Ni buena ni mala",0.124,0.165,0.189,0.1,0.113
"P21","Mala",0.063,0.08,0.118,0.155,0.056
"P21","Muy mala",0.037,0.108,0.246,0.646,0.223
"P21","No sabe",0.063,0.017,0.063,0.021,0.127
"P22","Muy buena",0.075,0.06,0.152,0.218,0.196
"P22","Buena",0.099,0.168,0.148,0.282,0
"P22","Ni buena ni mala",0.376,0.273,0.351,0.124,0.208
"P22","Mala",0.122,0.098,0.112,0.155,0.004
"P22","Muy mala",0.107,0.085,0.02,0.066,0.008
"P22","No sabe",0.221,0.316,0.217,0.155,0.584
"P23","Muy buena",0.217,0.043,0.021,0.055,0.107
"P23","Buena",0.228,0.352,0.173,0.049,0.053
"P23","Ni buena ni mala",0.327,0.307,0.327,0.152,0.23
"P23","Mala",0.093,0.11,0.138,0.217,0.012
"P23","Muy mala",0.021,0.078,0.185,0.446,0.249
"P23","No sabe",0.114,0.11,0.156,0.081,0.349
"P24","Muy buena",0.037,0.042,0.136,0.303,0.255
"P24","Buena",0.056,0.066,0.085,0.098,0.034
"P24","Ni buena ni mala",0.284,0.266,0.38,0.26,0.116
"P24","Mala",0.172,0.177,0.093,0.055,0.097
"P24","Muy mala",0.292,0.196,0.12,0.152,0.125
"P24","No sabe",0.159,0.253,0.186,0.132,0.373
"P25","Muy buena",0.028,0.107,0.257,0.38,0.265
"P25","Buena",0.125,0.06,0.141,0.132,0.021
"P25","Ni buena ni mala",0.284,0.406,0.252,0.183,0.224
"P25","Mala",0.208,0.103,0.095,0.054,0.031
"P25","Muy mala",0.233,0.143,0.098,0.074,0.092
"P25","No sabe",0.122,0.181,0.157,0.177,0.367
"P26","Muy buena",0.774,0.477,0.25,0.07,0.383
"P26","Buena",0.165,0.365,0.145,0.054,0.156
"P26","Ni buena ni mala",0.055,0.117,0.33,0.207,0.372
"P26","Mala",0,0.005,0.157,0.148,0.022
"P26","Muy mala",0,0.026,0.095,0.464,0.006
"P26","No sabe",0.006,0.01,0.023,0.057,0.061
"P27","Muy buena",0.148,0.061,0.086,0.078,0.122
"P27","Buena",0.247,0.227,0.151,0.132,0.119
"P27","Ni buena ni mala",0.374,0.4,0.419,0.361,0.35
"P27","Mala",0.048,0.031,0.08,0.022,0
"P27","Muy mala",0.026,0.064,0.038,0.254,0.163
"P27","No sabe",0.157,0.217,0.226,0.153,0.246
"P28","Muy buena",0.03,0.002,0.031,0.122,0.141
"P28","Buena",0.106,0.037,0.067,0.048,0.013
"P28","Ni buena ni mala",0.413,0.401,0.429,0.367,0.143
"P28","Mala",0.081,0.055,0.076,0.026,0.005
"P28","Muy mala",0.04,0.056,0.046,0.146,0.041
"P28","No sabe",0.33,0.449,0.351,0.291,0.657
"P29","Muy buena",0,0.007,0.054,0.093,0.111
"P29","Buena",0.174,0.094,0.14,0.122,0.07
"P29","Ni buena ni mala",0.402,0.369,0.404,0.296,0.335
"P29","Mala",0.094,0.071,0.033,0.058,0
"P29","Muy mala",0.063,0.038,0.053,0.141,0.007
"P29","No sabe",0.267,0.421,0.316,0.29,0.477
"P30","Muy buena",0.04,0.07,0.06,0.113,0.155
"P30","Buena",0.275,0.16,0.176,0.155,0.046
"P30","Ni buena ni mala",0.273,0.34,0.363,0.208,0.367
"P30","Mala",0.157,0.109,0.097,0.072,0.024
"P30","Muy mala",0.097,0.044,0.039,0.194,0.016
"P30","No sabe",0.158,0.277,0.265,0.258,0.392
"P31","Muy buena",0.059,0.041,0.045,0.165,0.005
"P31","Buena",0.189,0.076,0.132,0.091,0.025
"P31","Ni buena ni mala",0.4,0.417,0.404,0.295,0.363
"P31","Mala",0.042,0.029,0.032,0.018,0
"P31","Muy mala",0.03,0.031,0.008,0.187,0.009
"P31","No sabe",0.28,0.406,0.379,0.244,0.598
"P32","Muy buena",0.101,0.007,0.043,0.101,0.031
"P32","Buena",0.108,0.026,0.082,0.039,0.175
"P32","Ni buena ni mala",0.321,0.375,0.441,0.387,0.05
"P32","Mala",0.071,0.028,0.029,0.015,0
"P32","Muy mala",0.016,0.021,0.012,0.151,0.008
"P32","No sabe",0.383,0.543,0.393,0.307,0.736
"P33","Muy buena",0.055,0.133,0.048,0.111,0.009
"P33","Buena",0.216,0.138,0.11,0.197,0.214
"P33","Ni buena ni mala",0.276,0.358,0.422,0.283,0.083
"P33","Mala",0.239,0.159,0.089,0.146,0.063
"P33","Muy mala",0.109,0.051,0.089,0.152,0.133
"P33","No sabe",0.105,0.161,0.242,0.111,0.498
"P34","Muy buena",0.797,0.459,0.207,0.095,0.369
"P34","Buena",0.109,0.416,0.187,0.063,0.064
"P34","Ni buena ni mala",0.027,0.043,0.346,0.182,0.186
"P34","Mala",0.061,0.024,0.112,0.198,0.029
"P34","Muy mala",0,0.009,0.086,0.362,0.007
"P34","No sabe",0.006,0.049,0.062,0.1,0.345
"P35","Muy buena",0.363,0.178,0.016,0.074,0.199
"P35","Buena",0.303,0.302,0.115,0.029,0.048
"P35","Ni buena ni mala",0.222,0.218,0.422,0.347,0.29
"P35","Mala",0.005,0.07,0.166,0.057,0.012
"P35","Muy mala",0.056,0.016,0.13,0.371,0.078
"P35","No sabe",0.051,0.216,0.151,0.122,0.373
