"var","categoria","Muy buena","Buena","Mala","Muy mala","No sabe"
"P20","Buena",0.202,0.3,0.038,0.03,0.121
"P20","Ni buena ni mala",0.129,0.352,0.251,0.104,0.329
"P20","Mala",0.024,0.074,0.361,0.21,0.029
"P20","Muy mala",0.047,0.056,0.31,0.524,0.269
"P20","No sabe",0.03,0.041,0.032,0.004,0.092
"P21","Muy buena",0.655,0.317,0.086,0.106,0.262
"P21","Buena",0.104,0.176,0.023,0.002,0.178
"P21","Ni buena ni mala",0.089,0.173,0.247,0.154,0.073
"P21","Mala",0.072,0.087,0.218,0.106,0.026
"P21","Muy mala",0.044,0.177,0.418,0.632,0.29
"P21","No sabe",0.036,0.07,0.008,0,0.171
"P22","Muy buena",0.072,0.081,0.145,0.308,0.14
"P22","Buena",0.077,0.192,0.32,0.215,0.022
"P22","Ni buena ni mala",0.323,0.332,0.226,0.146,0.215
"P22","Mala",0.108,0.105,0.218,0.075,0.006
"P22","Muy mala",0.094,0.047,0.011,0.039,0.119
"P22","No sabe",0.326,0.243,0.08,0.217,0.498
"P23","Muy buena",0.162,0.03,0.023,0.076,0.008
"P23","Buena",0.226,0.305,0.088,0.096,0.149
"P23","Ni buena ni mala",0.304,0.278,0.286,0.135,0.382
"P23","Mala",0.076,0.152,0.343,0.055,0.027
"P23","Muy mala",0.054,0.077,0.238,0.558,0.222
"P23","No sabe",0.178,0.158,0.022,0.08,0.212
"P24","Muy buena",0.055,0.063,0.233,0.283,0.201
"P24","Buena",0.048,0.094,0.144,0.062,0.015
"P24","Ni buena ni mala",0.253,0.305,0.277,0.338,0.222
"P24","Mala",0.142,0.15,0.08,0.036,0.224
"P24","Muy mala",0.248,0.192,0.177,0.123,0.035
"P24","No sabe",0.254,0.196,0.089,0.158,0.303
"P25","Muy buena",0.097,0.105,0.215,0.449,0.355
"P25","Buena",0.051,0.119,0.231,0.101,0.043
"P25","Ni buena ni mala",0.29,0.392,0.294,0.177,0.117
"P25","Mala",0.142,0.119,0.099,0.042,0.046
"P25","Muy mala",0.234,0.108,0.09,0.037,0.045
"P25","No sabe",0.186,0.157,0.071,0.194,0.394
"P26","Muy buena",0.888,0.225,0.012,0.06,0.119
"P26","Buena",0.039,0.609,0.153,0.022,0.021
"P26","Ni buena ni mala",0.058,0.114,0.483,0.155,0.562
"P26","Mala",0,0.045,0.266,0.095,0.006
"P26","Muy mala",0.005,0,0.079,0.66,0.019
"P26","No sabe",0.01,0.007,0.007,0.008,0.273
"P27","Muy buena",0.144,0.039,0.017,0.114,0.153
"P27","Buena",0.228,0.243,0.214,0.064,0.014
"P27","Ni buena ni mala",0.413,0.405,0.513,0.259,0.187
"P27","Mala",0.033,0.032,0.067,0.056,0
"P27","Muy mala",0.031,0.034,0.029,0.383,0.174
"P27","No sabe",0.151,0.247,0.16,0.124,0.472
"P28","Muy buena",0.02,0,0.037,0.162,0.165
"P28","Buena",0.03,0.112,0.074,0.053,0.001
"P28","Ni buena ni mala",0.408,0.351,0.517,0.283,0.262
"P28","Mala",0.058,0.066,0.07,0.036,0
"P28","Muy mala",0.067,0.054,0.039,0.146,0.024
"P28","No sabe",0.417,0.417,0.263,0.32,0.548
"P29","Muy buena",0.017,0.023,0.071,0.115,0
"P29","Buena",0.142,0.126,0.163,0.1,0.001
"P29","Ni buena ni mala",0.397,0.403,0.38,0.243,0.319
"P29","Mala",0.066,0.08,0.021,0.076,0.011
"P29","Muy mala",0.049,0.033,0.145,0.096,0.023
"P29","No sabe",0.329,0.335,0.22,0.37,0.646
"P30","Muy buena",0.065,0.031,0.08,0.124,0.198
"P30","Buena",0.17,0.215,0.198,0.186,0.025
"P30","Ni buena ni mala",0.342,0.338,0.238,0.228,0.297
"P30","Mala",0.115,0.133,0.125,0.049,0
"P30","Muy mala",0.081,0.049,0.116,0.139,0.046
"P30","No sabe",0.227,0.234,0.243,0.274,0.434
"P31","Muy buena",0.056,0.027,0.084,0.174,0.023
"P31","Buena",0.103,0.145,0.093,0.133,0.024
"P31","Ni buena ni mala",0.355,0.46,0.499,0.169,0.438
"P31","Mala",0.045,0.007,0.041,0.017,0.013
"P31","Muy mala",0.043,0.018,0.027,0.203,0.024
"P31","No sabe",0.398,0.343,0.256,0.304,0.478
"P32","Muy buena",0.069,0.013,0.062,0.112,0.029
"P32","Buena",0.042,0.091,0.056,0.055,0.2
"P32","Ni buena ni mala",0.312,0.382,0.489,0.3,0.251
"P32","Mala",0.051,0.023,0.042,0.018,0
"P32","Muy mala",0.026,0.016,0.038,0.152,0.022
"P32","No sabe",0.5,0.475,0.313,0.363,0.498
"P33","Muy buena",0.067,0.059,0.06,0.21,0.006
"P33","Buena",0.126,0.233,0.138,0.116,0.382
"P33","Ni buena ni mala",0.273,0.347,0.304,0.349,0.298
"P33","Mala",0.183,0.174,0.213,0.055,0.055
"P33","Muy mala",0.135,0.054,0.066,0.165,0.029
"P33","No sabe",0.216,0.133,0.219,0.105,0.23
"P34","Muy buena",0.79,0.383,0.015,0.106,0.301
"P34","Buena",0.087,0.425,0.127,0.166,0.099
"P34","Ni buena ni mala",0.049,0.135,0.325,0.074,0.261
"P34","Mala",0.044,0.036,0.256,0.112,0.034
"P34","Muy mala",0,0,0.142,0.437,0.02
"P34","No sabe",0.03,0.021,0.135,0.105,0.285
"P35","Muy buena",0.342,0.166,0.003,0.078,0
"P35","Buena",0.24,0.295,0.108,0.061,0.037
"P35","Ni buena ni mala",0.248,0.289,0.471,0.104,0.54
"P35","Mala",0.006,0.09,0.162,0.063,0.011
"P35","Muy mala",0.059,0.021,0.114,0.499,0.013
"P35","No sabe",0.105,0.139,0.142,0.195,0.399
