"var","categoria","Mucho mejor","Mejor","Peor","Mucho peor","No sabe"
"P21","Buena",0.137,0.211,0.044,0.028,0.367
"P21","Ni buena ni mala",0.169,0.116,0.226,0,0.031
"P21","Mala",0.087,0.081,0.026,0.039,0.196
"P21","Muy mala",0.083,0.149,0.507,0.678,0.143
"P21","No sabe",0.042,0.02,0,0.106,0.07
"P22","Muy buena",0.18,0.081,0.314,0.249,0.126
"P22","Buena",0.168,0.16,0.241,0.317,0.025
"P22","Ni buena ni mala",0.179,0.389,0.183,0.068,0.292
"P22","Mala",0.155,0.056,0.127,0.17,0.048
"P22","Muy mala",0.122,0.108,0.022,0.108,0.029
"P22","No sabe",0.196,0.206,0.113,0.088,0.48
"P23","Muy buena",0.243,0.068,0.097,0.031,0.028
"P23","Buena",0.125,0.14,0.081,0.136,0.073
"P23","Ni buena ni mala",0.237,0.433,0.219,0.078,0.218
"P23","Mala",0.098,0.067,0.24,0.114,0.018
"P23","Muy mala",0.035,0.104,0.278,0.557,0.148
"P23","No sabe",0.262,0.188,0.085,0.084,0.515
"P24","Muy buena",0.094,0.043,0.32,0.453,0.027
"P24","Buena",0.053,0.039,0.202,0.055,0.077
"P24","Ni buena ni mala",0.251,0.334,0.121,0,0.159
"P24","Mala",0.211,0.097,0.118,0.241,0.154
"P24","Muy mala",0.197,0.278,0.13,0.071,0.032
"P24","No sabe",0.194,0.209,0.109,0.18,0.551
"P25","Muy buena",0.091,0.09,0.289,0.318,0.218
"P25","Buena",0.066,0.02,0.166,0.018,0.092
"P25","Ni buena ni mala",0.334,0.385,0.19,0.243,0.114
"P25","Mala",0.211,0.114,0.146,0.252,0.037
"P25","Muy mala",0.233,0.167,0.086,0.033,0.059
"P25","No sabe",0.065,0.224,0.123,0.136,0.48
"P26","Muy buena",0.719,0.523,0.174,0.144,0.357
"P26","Buena",0.257,0.189,0.207,0,0.291
"P26","Ni buena ni mala",0.017,0.189,0.314,0.07,0.176
"P26","Mala",0,0.055,0.213,0.128,0.018
"P26","Muy mala",0.007,0.023,0.076,0.573,0.037
"P26","No sabe",0,0.021,0.016,0.085,0.121
"P27","Muy buena",0.133,0.093,0.1,0.273,0
"P27","Buena",0.365,0.278,0.143,0.1,0.098
"P27","Ni buena ni mala",0.305,0.32,0.473,0.315,0.321
"P27","Mala",0.098,0.012,0.045,0.08,0.046
"P27","Muy mala",0.022,0.071,0.086,0.104,0.081
"P27","No sabe",0.077,0.226,0.153,0.128,0.454
"P28","Muy buena",0,0.007,0.061,0.28,0
"P28","Buena",0.074,0.031,0.053,0.133,0.059
"P28","Ni buena ni mala",0.419,0.373,0.435,0.145,0.161
"P28","Mala",0.063,0.076,0.104,0.215,0
"P28","Muy mala",0.095,0.079,0.09,0.139,0.089
"P28","No sabe",0.349,0.434,0.257,0.088,0.691
"P29","Muy buena",0.02,0.024,0.066,0.095,0.057
"P29","Buena",0.062,0.079,0.16,0.255,0.017
"P29","Ni buena ni mala",0.491,0.325,0.438,0.191,0.311
"P29","Mala",0.153,0.063,0.044,0.175,0
"P29","Muy mala",0.133,0.097,0.093,0.093,0.033
"P29","No sabe",0.141,0.412,0.199,0.191,0.582
"P30","Muy buena",0.081,0.08,0.048,0.126,0
"P30","Buena",0.257,0.077,0.177,0.298,0.176
"P30","Ni buena ni mala",0.272,0.364,0.36,0.081,0.195
"P30","Mala",0.078,0.112,0.126,0.234,0.016
"P30","Muy mala",0.094,0.091,0.108,0.088,0.068
"P30","No sabe",0.218,0.276,0.181,0.173,0.545
"P31","Muy buena",0.067,0.062,0.112,0.125,0.026
"P31","Buena",0.093,0.104,0.169,0.252,0.1
"P31","Ni buena ni mala",0.477,0.38,0.462,0.17,0.154
"P31","Mala",0.052,0.033,0.027,0.189,0
"P31","Muy mala",0.055,0.065,0.028,0.047,0.035
"P31","No sabe",0.256,0.356,0.202,0.217,0.685
"P32","Muy buena",0,0.07,0.065,0.287,0.123
"P32","Buena",0.095,0.017,0.102,0.08,0
"P32","Ni buena ni mala",0.521,0.34,0.483,0.204,0.168
"P32","Mala",0.015,0.041,0.024,0.188,0.017
"P32","Muy mala",0.032,0.076,0.047,0.035,0.062
"P32","No sabe",0.337,0.456,0.279,0.206,0.63
"P33","Muy buena",0,0.068,0.07,0.181,0
"P33","Buena",0.063,0.104,0.04,0.078,0.092
"P33","Ni buena ni mala",0.378,0.277,0.462,0.182,0.258
"P33","Mala",0.316,0.178,0.123,0.17,0.179
"P33","Muy mala",0.095,0.18,0.133,0.268,0.078
"P33","No sabe",0.148,0.193,0.172,0.121,0.393
"P34","Muy buena",0.662,0.506,0.138,0.159,0.404
"P34","Buena",0.231,0.226,0.155,0,0
"P34","Ni buena ni mala",0.088,0.09,0.269,0.113,0.21
"P34","Mala",0,0.06,0.226,0.119,0.122
"P34","Muy mala",0,0,0.184,0.54,0.059
"P34","No sabe",0.019,0.118,0.028,0.069,0.205
"P35","Muy buena",0.396,0.174,0.041,0.085,0
"P35","Buena",0.362,0.249,0.047,0.021,0.116
"P35","Ni buena ni mala",0.173,0.338,0.243,0.061,0.331
"P35","Mala",0,0.04,0.269,0.078,0
"P35","Muy mala",0.019,0.043,0.258,0.541,0.021
"P35","No sabe",0.05,0.156,0.142,0.214,0.532
