"var","categoria","Mucho mejor","Mejor","Peor","Mucho peor","No sabe"
"P20","Muy buena",0.465,0.37,0.243,0.184,0.347
"P20","Buena",0.236,0.175,0.323,0.12,0.026
"P20","Ni buena ni mala",0.299,0.174,0.242,0.319,0.142
"P20","Mala",0,0.27,0.045,0.101,0.04
"P20","Muy mala",0,0,0.147,0.276,0.445
"P20","No sabe",0,0.011,0,0,0
"P21","Muy buena",0.367,0.362,0.128,0.226,0.347
"P21","Buena",0.066,0.153,0.266,0.048,0.026
"P21","Ni buena ni mala",0.405,0.056,0.265,0.286,0.142
"P21","Mala",0.077,0.174,0.183,0.032,0
"P21","Muy mala",0,0.244,0.147,0.408,0.04
"P21","No sabe",0.085,0.011,0.011,0,0.445
"P22","Muy buena",0.13,0.033,0,0.182,0
"P22","Buena",0,0.182,0.084,0.036,0
"P22","Ni buena ni mala",0.6,0.46,0.589,0.143,0.079
"P22","Mala",0,0.115,0,0.136,0
"P22","Muy mala",0,0.015,0.101,0.199,0.048
"P22","No sabe",0.27,0.195,0.226,0.304,0.873
"P23","Muy buena",0,0.055,0,0.064,0.156
"P23","Buena",0.353,0.508,0.097,0.219,0.073
"P23","Ni buena ni mala",0.589,0.19,0.449,0.263,0.481
"P23","Mala",0,0.099,0.103,0.153,0.098
"P23","Muy mala",0,0,0.185,0.301,0
"P23","No sabe",0.058,0.148,0.166,0,0.192
"P24","Muy buena",0,0.067,0.062,0.26,0
"P24","Buena",0.06,0.242,0.078,0.109,0.098
"P24","Ni buena ni mala",0.532,0.348,0.609,0.032,0.073
"P24","Mala",0,0.133,0.051,0.126,0.097
"P24","Muy mala",0,0.079,0.052,0.181,0
"P24","No sabe",0.408,0.131,0.148,0.292,0.732
"P25","Muy buena",0.052,0.173,0,0.197,0
"P25","Buena",0.466,0.044,0.057,0.093,0
"P25","Ni buena ni mala",0.295,0.498,0.649,0.151,0.132
"P25","Mala",0,0.039,0.047,0.117,0.086
"P25","Muy mala",0.051,0.134,0.085,0.159,0
"P25","No sabe",0.136,0.112,0.162,0.283,0.782
"P26","Muy buena",0.533,0.298,0.312,0.212,0.051
"P26","Buena",0.467,0.372,0.351,0.079,0
"P26","Ni buena ni mala",0,0.286,0.265,0.41,0.416
"P26","Mala",0,0.044,0.059,0.046,0.086
"P26","Muy mala",0,0,0,0.095,0
"P26","No sabe",0,0,0.013,0.158,0.447
"P27","Muy buena",0.394,0.098,0.047,0,0
"P27","Buena",0.467,0.187,0.013,0.038,0
"P27","Ni buena ni mala",0.052,0.581,0.667,0.038,0.414
"P27","Mala",0,0.107,0.202,0.062,0
"P27","Muy mala",0.087,0,0.071,0.669,0
"P27","No sabe",0,0.027,0,0.193,0.586
"P28","Muy buena",0,0.009,0,0,0
"P28","Buena",0.466,0.174,0.013,0.088,0
"P28","Ni buena ni mala",0.347,0.32,0.412,0.198,0.086
"P28","Mala",0.051,0.063,0.063,0.029,0.051
"P28","Muy mala",0,0.011,0.068,0.092,0
"P28","No sabe",0.136,0.423,0.444,0.593,0.863
"P29","Muy buena",0,0,0,0.069,0
"P29","Buena",0.462,0.322,0.033,0.018,0
"P29","Ni buena ni mala",0.21,0.336,0.569,0.175,0.217
"P29","Mala",0.052,0.076,0.051,0.029,0
"P29","Muy mala",0,0.011,0.021,0.025,0
"P29","No sabe",0.276,0.255,0.326,0.684,0.783
"P30","Muy buena",0.086,0.034,0,0.02,0
"P30","Buena",0.458,0.148,0.206,0.064,0
"P30","Ni buena ni mala",0.265,0.539,0.192,0.291,0.213
"P30","Mala",0.054,0.104,0.126,0.171,0
"P30","Muy mala",0,0.032,0.042,0.053,0
"P30","No sabe",0.137,0.143,0.434,0.401,0.787
"P31","Muy buena",0,0,0,0.2,0
"P31","Buena",0.457,0.235,0.114,0.075,0.08
"P31","Ni buena ni mala",0.266,0.432,0.497,0.218,0.136
"P31","Mala",0.054,0.044,0.02,0.109,0
"P31","Muy mala",0,0.083,0.023,0.006,0
"P31","No sabe",0.223,0.206,0.346,0.392,0.784
"P32","Muy buena",0,0.034,0,0.143,0
"P32","Buena",0.457,0.225,0.014,0.092,0
"P32","Ni buena ni mala",0.297,0.346,0.235,0.142,0.216
"P32","Mala",0.054,0.044,0.19,0.015,0
"P32","Muy mala",0,0.011,0.023,0.036,0
"P32","No sabe",0.192,0.34,0.538,0.572,0.784
"P33","Muy buena",0.086,0.239,0.076,0.501,0.082
"P33","Buena",0.531,0.302,0.098,0.098,0
"P33","Ni buena ni mala",0.266,0.123,0.597,0.1,0
"P33","Mala",0.054,0.23,0.115,0.164,0
"P33","Muy mala",0,0.062,0.023,0.056,0.134
"P33","No sabe",0.063,0.044,0.091,0.081,0.784
"P34","Muy buena",0.278,0.399,0.302,0.491,0.637
"P34","Buena",0.457,0.363,0.288,0.347,0.08
"P34","Ni buena ni mala",0.211,0.12,0.306,0.02,0.082
"P34","Mala",0.054,0.056,0.013,0.056,0
"P34","Muy mala",0,0,0,0.047,0
"P34","No sabe",0,0.062,0.091,0.039,0.201
"P35","Muy buena",0.086,0.045,0,0.292,0
"P35","Buena",0.531,0.193,0.162,0.054,0
"P35","Ni buena ni mala",0.274,0.601,0.504,0.132,0.335
"P35","Mala",0.054,0.056,0.012,0.132,0
"P35","Muy mala",0,0,0.047,0.036,0
"P35","No sabe",0.055,0.105,0.275,0.354,0.665
