"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.007,0.02,0.018,0.214,0.025,0.048,0.013
"P23","Otros",0.02,0.006,0.018,0.039,0.034,0.282,0.062,0.115
"P23","En blanco",0.012,0.007,0.018,0.032,0.009,0.029,0.157,0.059
"P23","No sabe",0.013,0.016,0.02,0,0.019,0.01,0.038,0.33
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.914,0.024,0.04,0.242,0.047,0.047,0.166,0.081
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.031,0.715,0.048,0.142,0.194,0.322,0.205,0.218
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.014,0.13,0.88,0.09,0.011,0.058,0.056,0.035
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.008,0.005,0.43,0.043,0.014,0.024,0
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0.022,0.01,0.008,0.68,0.023,0.019,0
"P31","Otros",0.008,0.031,0.006,0.047,0.019,0.497,0.065,0.037
"P31","En blanco",0.003,0.032,0.005,0.019,0,0.02,0.35,0.064
"P31","No sabe",0.014,0.038,0.006,0.022,0.006,0.019,0.115,0.565
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.917,0.061,0.058,0.436,0.234,0.206,0.423,0.245
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.018,0.887,0.508,0.214,0.24,0.289,0.186,0.223
"P36","En blanco",0.037,0.026,0.286,0.259,0.246,0.203,0.303,0.138
"P36","No sabe",0.028,0.026,0.148,0.091,0.28,0.302,0.088,0.394
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.127,0.846,0.101,0.168,0.275,0.238,0.207,0.166
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.062,0.094,0.835,0.108,0.135,0.135,0.076,0.084
"P37","En blanco",0.584,0.036,0.04,0.492,0.324,0.295,0.544,0.217
"P37","No sabe",0.227,0.024,0.024,0.232,0.266,0.332,0.173,0.533
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.899,0.074,0.071,0.37,0.21,0.195,0.212,0.163
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.028,0.745,0.374,0.213,0.294,0.448,0.358,0.278
"P38","En blanco",0.044,0.098,0.365,0.252,0.187,0.193,0.266,0.114
"P38","No sabe",0.029,0.083,0.19,0.165,0.309,0.164,0.164,0.445
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.212,0.651,0.083,0.347,0.325,0.408,0.424,0.29
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.202,0.852,0.146,0.148,0.089,0.075,0.076
"P39","En blanco",0.505,0.077,0.034,0.341,0.275,0.254,0.393,0.1
"P39","No sabe",0.23,0.07,0.031,0.166,0.252,0.249,0.108,0.534
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.903,0.082,0.044,0.475,0.246,0.218,0.308,0.214
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.023,0.407,0.902,0.171,0.195,0.198,0.12,0.133
"P40","En blanco",0.042,0.281,0.027,0.247,0.271,0.323,0.432,0.14
"P40","No sabe",0.032,0.23,0.027,0.107,0.288,0.261,0.14,0.513
"P43","Lo votaría",0.874,0.055,0.04,0.33,0.114,0.141,0.172,0.089
"P43","Puede que lo vote",0.055,0.093,0.128,0.229,0.257,0.176,0.208,0.141
"P43","Nunca lo votaría",0.048,0.822,0.767,0.322,0.498,0.576,0.543,0.472
"P43","No sabe",0.023,0.03,0.065,0.119,0.131,0.107,0.077,0.298
"P44","Lo votaría",0.59,0.015,0.048,0.36,0.146,0.219,0.243,0.115
"P44","Puede que lo vote",0.218,0.038,0.056,0.166,0.123,0.08,0.104,0.082
"P44","Nunca lo votaría",0.136,0.924,0.83,0.366,0.621,0.605,0.609,0.56
"P44","No sabe",0.056,0.023,0.066,0.108,0.11,0.096,0.044,0.243
"P45","Lo votaría",0.08,0.765,0.203,0.114,0.118,0.213,0.163,0.104
"P45","Puede que lo vote",0.053,0.086,0.36,0.154,0.258,0.202,0.074,0.212
"P45","Nunca lo votaría",0.83,0.133,0.388,0.67,0.542,0.519,0.684,0.405
"P45","No sabe",0.037,0.016,0.049,0.062,0.082,0.066,0.079,0.279
"P46","Lo votaría",0.038,0.572,0.144,0.18,0.245,0.369,0.378,0.256
"P46","Puede que lo vote",0.091,0.265,0.251,0.107,0.262,0.109,0.072,0.154
"P46","Nunca lo votaría",0.827,0.126,0.551,0.684,0.394,0.446,0.5,0.354
"P46","No sabe",0.044,0.037,0.054,0.029,0.099,0.076,0.05,0.236
"P47","Lo votaría",0.03,0.197,0.796,0.098,0.111,0.144,0.12,0.112
"P47","Puede que lo vote",0.054,0.308,0.106,0.082,0.141,0.134,0.047,0.165
"P47","Nunca lo votaría",0.891,0.449,0.079,0.781,0.661,0.621,0.763,0.486
"P47","No sabe",0.025,0.046,0.019,0.039,0.087,0.101,0.07,0.237
"P48","Lo votaría",0.088,0.027,0.096,0.382,0.025,0.049,0.07,0.036
"P48","Puede que lo vote",0.337,0.054,0.068,0.346,0.202,0.179,0.117,0.133
"P48","Nunca lo votaría",0.506,0.89,0.774,0.263,0.658,0.677,0.761,0.566
"P48","No sabe",0.069,0.029,0.062,0.009,0.115,0.095,0.052,0.265
"P49","Lo votaría",0.052,0.045,0.06,0.077,0.598,0.041,0.064,0.052
"P49","Puede que lo vote",0.269,0.167,0.153,0.316,0.228,0.217,0.104,0.139
"P49","Nunca lo votaría",0.605,0.74,0.698,0.569,0.14,0.634,0.722,0.511
"P49","No sabe",0.074,0.048,0.089,0.038,0.034,0.108,0.11,0.298
"P60","Si",0.503,0.499,0.531,0.461,0.589,0.506,0.408,0.368
"P60","No",0.497,0.501,0.469,0.539,0.411,0.494,0.592,0.632
