"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.043,0.069,0.447,0.403,0.329,0.044,0.173,0.152,0.108,0.067
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.055,0.029,0.287,0.289,0.059,0.13,0.108,0.02,0.146,0.055
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.054,0.078,0.163,0.1,0.436,0.129,0.219,0.15,0.073,0.049
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.059,0.002,0.01,0.006,0.188,0.051,0.015,0.012,0.008
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.014,0.01,0.017,0.022,0.019,0.187,0.017,0.015,0.044
"P23","Otros",0.02,0.041,0.007,0.02,0.018,0.092,0.017,0.415,0.136,0.056
"P23","En blanco",0.018,0.005,0.011,0.012,0.018,0.031,0.028,0.032,0.246,0.057
"P23","No sabe",0.015,0.003,0.013,0.025,0.02,0.04,0.026,0.036,0.159,0.53
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.876,0.656,0.016,0.063,0.037,0.293,0.045,0.159,0.127,0.136
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.025,0.041,0.899,0.519,0.065,0.05,0.103,0.061,0.076,0.093
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.033,0.058,0.034,0.099,0.842,0.069,0.071,0.121,0.079,0.048
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.058,0.01,0.037,0.012,0.38,0.017,0.021,0.048,0.021
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.043,0.016,0.045,0.009,0.015,0.664,0.038,0.015,0.025
"P30","Otros",0.008,0.081,0.013,0.124,0.016,0.053,0.029,0.438,0.072,0.045
"P30","En blanco",0.015,0.03,0.004,0.038,0.006,0.033,0.041,0.037,0.317,0.053
"P30","No sabe",0.011,0.033,0.008,0.075,0.013,0.107,0.03,0.125,0.266,0.579
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.885,0.681,0.019,0.059,0.046,0.23,0.104,0.159,0.155,0.176
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.03,0.034,0.657,0.786,0.045,0.095,0.074,0.051,0.085,0.11
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.024,0.055,0.156,0.056,0.858,0.025,0.072,0.167,0.149,0.05
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.064,0.008,0.012,0.004,0.436,0.029,0.024,0.044,0.01
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.032,0.034,0.02,0.013,0.019,0.682,0.061,0.052,0.029
"P31","Otros",0.015,0.076,0.042,0.028,0.011,0.107,0.007,0.371,0.087,0.052
"P31","En blanco",0.007,0.025,0.037,0.014,0.011,0.006,0.01,0.033,0.231,0.06
"P31","No sabe",0.015,0.033,0.047,0.025,0.012,0.082,0.022,0.134,0.197,0.513
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.923,0.813,0.052,0.125,0.04,0.381,0.216,0.308,0.175,0.234
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.015,0.05,0.895,0.669,0.52,0.064,0.275,0.129,0.385,0.195
"P36","En blanco",0.038,0.105,0.028,0.084,0.274,0.403,0.253,0.304,0.39,0.065
"P36","No sabe",0.024,0.032,0.025,0.122,0.166,0.152,0.256,0.259,0.05,0.506
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.134,0.123,0.846,0.636,0.085,0.081,0.221,0.186,0.182,0.19
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.072,0.092,0.127,0.84,0.08,0.261,0.146,0.243,0.108
"P37","En blanco",0.555,0.646,0.031,0.116,0.043,0.64,0.325,0.321,0.405,0.147
"P37","No sabe",0.247,0.159,0.031,0.121,0.032,0.199,0.193,0.347,0.17,0.555
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.912,0.774,0.064,0.087,0.051,0.277,0.191,0.235,0.222,0.202
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.021,0.037,0.728,0.832,0.35,0.065,0.28,0.111,0.216,0.195
"P38","En blanco",0.036,0.124,0.104,0.048,0.383,0.467,0.247,0.298,0.428,0.062
"P38","No sabe",0.031,0.065,0.104,0.033,0.216,0.191,0.282,0.356,0.134,0.541
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.204,0.181,0.597,0.833,0.045,0.233,0.264,0.184,0.415,0.246
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.063,0.065,0.232,0.075,0.875,0.029,0.235,0.168,0.197,0.073
"P39","En blanco",0.481,0.587,0.078,0.043,0.04,0.484,0.293,0.301,0.319,0.122
"P39","No sabe",0.252,0.167,0.093,0.049,0.04,0.254,0.208,0.347,0.069,0.559
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.912,0.769,0.069,0.116,0.033,0.362,0.272,0.351,0.217,0.21
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.021,0.053,0.448,0.265,0.923,0.098,0.253,0.162,0.152,0.148
"P40","En blanco",0.042,0.123,0.244,0.354,0.024,0.321,0.259,0.25,0.382,0.124
"P40","No sabe",0.025,0.055,0.239,0.265,0.02,0.219,0.216,0.237,0.249,0.518
"P43","Lo votaría",0.915,0.628,0.046,0.063,0.031,0.126,0.122,0.211,0.25,0.095
"P43","Puede que lo vote",0.035,0.179,0.095,0.087,0.136,0.358,0.25,0.191,0.195,0.127
"P43","Nunca lo votaría",0.033,0.139,0.829,0.789,0.773,0.366,0.517,0.36,0.478,0.42
"P43","No sabe",0.017,0.054,0.03,0.061,0.06,0.15,0.111,0.238,0.077,0.358
"P44","Lo votaría",0.528,0.876,0.011,0.022,0.031,0.103,0.075,0.144,0.16,0.056
"P44","Puede que lo vote",0.25,0.066,0.029,0.057,0.067,0.407,0.16,0.115,0.121,0.034
"P44","Nunca lo votaría",0.156,0.042,0.933,0.883,0.841,0.329,0.685,0.539,0.671,0.532
"P44","No sabe",0.066,0.016,0.027,0.038,0.061,0.161,0.08,0.202,0.048,0.378
"P45","Lo votaría",0.081,0.112,0.824,0.41,0.197,0.021,0.082,0.064,0.16,0.159
"P45","Puede que lo vote",0.059,0.083,0.048,0.264,0.351,0.199,0.255,0.087,0.186,0.15
"P45","Nunca lo votaría",0.823,0.794,0.115,0.272,0.403,0.677,0.578,0.653,0.527,0.367
"P45","No sabe",0.037,0.011,0.013,0.054,0.049,0.103,0.085,0.196,0.127,0.324
"P46","Lo votaría",0.038,0.032,0.512,0.792,0.126,0.043,0.109,0.03,0.125,0.155
"P46","Puede que lo vote",0.096,0.095,0.291,0.115,0.249,0.178,0.342,0.168,0.187,0.242
"P46","Nunca lo votaría",0.821,0.841,0.155,0.077,0.566,0.63,0.468,0.665,0.575,0.261
"P46","No sabe",0.045,0.032,0.042,0.016,0.059,0.149,0.081,0.137,0.113,0.342
"P47","Lo votaría",0.042,0.027,0.193,0.203,0.818,0.043,0.166,0.151,0.12,0.102
"P47","Puede que lo vote",0.056,0.065,0.336,0.199,0.087,0.092,0.148,0.148,0.082,0.096
"P47","Nunca lo votaría",0.874,0.893,0.42,0.54,0.082,0.779,0.634,0.571,0.735,0.459
"P47","No sabe",0.028,0.015,0.051,0.058,0.013,0.086,0.052,0.13,0.063,0.343
"P48","Lo votaría",0.083,0.147,0.023,0.034,0.092,0.54,0.026,0.076,0.098,0.017
"P48","Puede que lo vote",0.303,0.44,0.06,0.103,0.055,0.138,0.17,0.226,0.102,0.051
"P48","Nunca lo votaría",0.54,0.368,0.883,0.829,0.8,0.242,0.729,0.5,0.742,0.537
"P48","No sabe",0.074,0.045,0.034,0.034,0.053,0.08,0.075,0.198,0.058,0.395
"P49","Lo votaría",0.066,0.061,0.041,0.049,0.059,0.122,0.758,0.045,0,0.077
"P49","Puede que lo vote",0.261,0.249,0.165,0.243,0.138,0.275,0.077,0.271,0.119,0.147
"P49","Nunca lo votaría",0.6,0.652,0.747,0.636,0.719,0.47,0.149,0.436,0.813,0.344
"P49","No sabe",0.073,0.038,0.047,0.072,0.084,0.133,0.016,0.248,0.068,0.432
"P60","Si",0.505,0.546,0.503,0.504,0.518,0.498,0.561,0.451,0.255,0.234
"P60","No",0.495,0.454,0.497,0.496,0.482,0.502,0.439,0.549,0.745,0.766
