"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.014,0.049,0.032
"P23","Otros",0.031,0.009,0.063,0.079
"P23","En blanco",0.007,0.011,0.053,0.014
"P23","No sabe",0.011,0.015,0.019,0.138
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.794,0.013,0.108,0.104
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.059,0.693,0.084,0.11
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.031,0.216,0.508,0.335
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.03,0.012,0.061,0.027
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.022,0.018,0.078,0.114
"P30","Otros",0.022,0.025,0.073,0.138
"P30","En blanco",0.019,0.007,0.045,0.017
"P30","No sabe",0.023,0.016,0.043,0.155
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.803,0.019,0.119,0.08
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.07,0.561,0.141,0.194
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.028,0.3,0.493,0.335
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.007,0.061,0.016
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.026,0.064,0.105
"P31","Otros",0.022,0.029,0.056,0.082
"P31","En blanco",0.011,0.026,0.038,0.028
"P31","No sabe",0.019,0.032,0.028,0.16
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.171,0.689,0.069,0.128
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.072,0.263,0.503,0.355
"P37","En blanco",0.54,0.025,0.397,0.076
"P37","No sabe",0.217,0.023,0.031,0.441
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.854,0.057,0.116,0.079
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.074,0.722,0.163,0.271
"P38","En blanco",0.032,0.13,0.645,0.085
"P38","No sabe",0.04,0.091,0.076,0.565
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.255,0.525,0.153,0.214
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.058,0.369,0.489,0.316
"P39","En blanco",0.468,0.055,0.31,0.051
"P39","No sabe",0.219,0.051,0.048,0.419
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.884,0.055,0.094,0.075
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.037,0.553,0.503,0.384
"P40","En blanco",0.047,0.22,0.339,0.059
"P40","No sabe",0.032,0.172,0.064,0.482
"P43","Lo votaría",0.802,0.03,0.116,0.088
"P43","Puede que lo vote",0.112,0.101,0.082,0.103
"P43","Nunca lo votaría",0.061,0.836,0.716,0.56
"P43","No sabe",0.025,0.033,0.086,0.249
"P44","Lo votaría",0.564,0.017,0.122,0.051
"P44","Puede que lo vote",0.209,0.044,0.082,0.045
"P44","Nunca lo votaría",0.174,0.915,0.709,0.679
"P44","No sabe",0.053,0.024,0.087,0.225
"P45","Lo votaría",0.11,0.656,0.053,0.127
"P45","Puede que lo vote",0.067,0.187,0.18,0.191
"P45","Nunca lo votaría",0.788,0.141,0.707,0.459
"P45","No sabe",0.035,0.016,0.06,0.223
"P46","Lo votaría",0.087,0.48,0.115,0.262
"P46","Puede que lo vote",0.113,0.282,0.104,0.134
"P46","Nunca lo votaría",0.763,0.202,0.713,0.405
"P46","No sabe",0.037,0.036,0.068,0.199
"P47","Lo votaría",0.059,0.326,0.49,0.348
"P47","Puede que lo vote",0.071,0.273,0.052,0.104
"P47","Nunca lo votaría",0.842,0.363,0.434,0.368
"P47","No sabe",0.028,0.038,0.024,0.18
"P48","Lo votaría",0.115,0.037,0.083,0.039
"P48","Puede que lo vote",0.33,0.06,0.11,0.095
"P48","Nunca lo votaría",0.489,0.876,0.733,0.656
"P48","No sabe",0.066,0.027,0.074,0.21
"P49","Lo votaría",0.073,0.057,0.083,0.11
"P49","Puede que lo vote",0.258,0.181,0.152,0.133
"P49","Nunca lo votaría",0.595,0.717,0.675,0.528
"P49","No sabe",0.074,0.045,0.09,0.229
"P60","Si",0.501,0.514,0.505,0.448
"P60","No",0.499,0.486,0.495,0.552
