"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P37","No sabe",0.225,0.056,0.02,0.181,0.214,0.259,0.087,0.417
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.886,0.081,0.063,0.427,0.192,0.207,0.12,0.152
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.031,0.838,0.394,0.071,0.281,0.269,0.238,0.191
"P38","En blanco",0.056,0.046,0.348,0.302,0.208,0.228,0.504,0.098
"P38","No sabe",0.027,0.035,0.195,0.2,0.319,0.296,0.138,0.559
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.207,0.805,0.068,0.266,0.222,0.221,0.197,0.19
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.1,0.876,0.061,0.199,0.106,0.189,0.122
"P39","En blanco",0.509,0.047,0.034,0.444,0.281,0.322,0.477,0.138
"P39","No sabe",0.229,0.048,0.022,0.229,0.298,0.351,0.137,0.55
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.885,0.104,0.039,0.541,0.234,0.266,0.113,0.191
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.031,0.353,0.897,0.061,0.231,0.156,0.234,0.144
"P40","En blanco",0.057,0.294,0.028,0.26,0.276,0.319,0.58,0.096
"P40","No sabe",0.027,0.249,0.036,0.138,0.259,0.259,0.073,0.569
"P43","Lo votaría",0.87,0.063,0.025,0.274,0.132,0.126,0.078,0.153
"P43","Puede que lo vote",0.06,0.099,0.129,0.278,0.236,0.181,0.103,0.075
"P43","Nunca lo votaría",0.053,0.804,0.784,0.321,0.492,0.595,0.783,0.479
"P43","No sabe",0.017,0.034,0.062,0.127,0.14,0.098,0.036,0.293
"P44","Lo votaría",0.594,0.014,0.033,0.443,0.107,0.233,0.145,0.124
"P44","Puede que lo vote",0.21,0.046,0.06,0.154,0.137,0.064,0.019,0.082
"P44","Nunca lo votaría",0.143,0.912,0.847,0.301,0.633,0.613,0.814,0.578
"P44","No sabe",0.053,0.028,0.06,0.102,0.123,0.09,0.022,0.216
"P45","Lo votaría",0.091,0.665,0.321,0.114,0.225,0.399,0.579,0.29
"P45","Puede que lo vote",0.065,0.123,0.294,0.127,0.218,0.087,0.039,0.138
"P45","Nunca lo votaría",0.812,0.184,0.344,0.703,0.488,0.456,0.337,0.338
"P45","No sabe",0.032,0.028,0.041,0.056,0.069,0.058,0.045,0.234
"P46","Lo votaría",0.034,0.705,0.133,0.059,0.158,0.183,0.153,0.123
"P46","Puede que lo vote",0.1,0.216,0.275,0.149,0.32,0.159,0.211,0.2
"P46","Nunca lo votaría",0.825,0.062,0.538,0.72,0.412,0.549,0.539,0.389
"P46","No sabe",0.041,0.017,0.054,0.072,0.11,0.109,0.097,0.288
"P47","Lo votaría",0.044,0.172,0.747,0.022,0.098,0.082,0.142,0.103
"P47","Puede que lo vote",0.054,0.293,0.166,0.042,0.174,0.123,0.127,0.126
"P47","Nunca lo votaría",0.882,0.491,0.071,0.865,0.652,0.684,0.642,0.502
"P47","No sabe",0.02,0.044,0.016,0.071,0.076,0.111,0.089,0.269
"P48","Lo votaría",0.093,0.032,0.077,0.47,0.024,0.062,0.036,0.014
"P48","Puede que lo vote",0.335,0.064,0.071,0.227,0.214,0.178,0.05,0.115
"P48","Nunca lo votaría",0.507,0.869,0.8,0.271,0.64,0.669,0.882,0.652
"P48","No sabe",0.065,0.035,0.052,0.032,0.122,0.091,0.032,0.219
"P49","Lo votaría",0.052,0.052,0.053,0.117,0.588,0.022,0.07,0.026
"P49","Puede que lo vote",0.266,0.19,0.145,0.26,0.235,0.186,0.066,0.126
"P49","Nunca lo votaría",0.614,0.706,0.722,0.576,0.131,0.695,0.842,0.53
"P49","No sabe",0.068,0.052,0.08,0.047,0.046,0.097,0.022,0.318
"P60","Si",0.501,0.509,0.513,0.394,0.53,0.538,0.496,0.422
"P60","No",0.499,0.491,0.487,0.606,0.47,0.462,0.504,0.578
