"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.783,0.722,0.048,0.11,0.091,0.305,0.14,0.185,0.211,0.139
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.07,0.061,0.622,0.61,0.268,0.05,0.12,0.064,0.128,0.18
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.05,0.04,0.239,0.094,0.556,0.04,0.203,0.112,0.202,0.137
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.044,0.009,0.021,0.017,0.349,0.024,0.032,0.048,0
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.037,0.026,0.028,0.024,0.043,0.376,0.035,0.018,0.022
"P30","Otros",0.016,0.043,0.026,0.073,0.018,0.08,0.057,0.385,0.072,0.015
"P30","En blanco",0.013,0.027,0.01,0.024,0.011,0.061,0.051,0.039,0.182,0.027
"P30","No sabe",0.015,0.026,0.02,0.04,0.015,0.072,0.029,0.148,0.139,0.48
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.775,0.77,0.057,0.099,0.107,0.322,0.156,0.21,0.232,0.131
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.082,0.04,0.513,0.686,0.158,0.058,0.154,0.086,0.154,0.116
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.052,0.036,0.278,0.101,0.667,0.031,0.193,0.111,0.251,0.13
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.051,0.01,0.007,0.009,0.328,0,0.029,0.044,0.002
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.033,0.028,0.029,0.023,0.062,0.433,0.057,0.015,0.026
"P31","Otros",0.019,0.036,0.042,0.033,0.015,0.122,0.025,0.335,0.044,0.03
"P31","En blanco",0.007,0.009,0.033,0.013,0.012,0.019,0.024,0.039,0.236,0.061
"P31","No sabe",0.023,0.025,0.039,0.032,0.009,0.058,0.015,0.133,0.024,0.504
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.837,0.826,0.077,0.149,0.138,0.592,0.254,0.386,0.183,0.169
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.072,0.058,0.83,0.687,0.48,0.069,0.33,0.146,0.336,0.27
"P36","En blanco",0.041,0.083,0.048,0.081,0.245,0.3,0.274,0.236,0.397,0.082
"P36","No sabe",0.05,0.033,0.045,0.083,0.137,0.039,0.142,0.232,0.084,0.479
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.169,0.128,0.648,0.659,0.285,0.134,0.248,0.119,0.21,0.257
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.071,0.074,0.263,0.132,0.573,0.057,0.225,0.262,0.281,0.155
"P37","En blanco",0.504,0.625,0.052,0.118,0.092,0.61,0.281,0.353,0.465,0.133
"P37","No sabe",0.256,0.173,0.037,0.091,0.05,0.199,0.246,0.266,0.044,0.455
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.809,0.78,0.097,0.127,0.155,0.549,0.191,0.352,0.25,0.154
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.08,0.079,0.632,0.762,0.376,0.045,0.319,0.117,0.196,0.224
"P38","En blanco",0.055,0.081,0.158,0.051,0.297,0.23,0.287,0.288,0.452,0.13
"P38","No sabe",0.056,0.06,0.113,0.06,0.172,0.176,0.203,0.243,0.102,0.492
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.216,0.21,0.498,0.755,0.167,0.186,0.249,0.109,0.192,0.251
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.075,0.061,0.337,0.125,0.694,0.115,0.257,0.214,0.311,0.144
"P39","En blanco",0.455,0.537,0.09,0.052,0.075,0.526,0.28,0.344,0.419,0.128
"P39","No sabe",0.254,0.192,0.075,0.068,0.064,0.173,0.214,0.333,0.078,0.477
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.827,0.81,0.097,0.138,0.129,0.602,0.264,0.375,0.223,0.19
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.063,0.045,0.479,0.335,0.765,0.058,0.282,0.245,0.331,0.211
"P40","En blanco",0.055,0.106,0.216,0.293,0.057,0.228,0.208,0.196,0.406,0.15
"P40","No sabe",0.055,0.039,0.208,0.234,0.049,0.112,0.246,0.184,0.04,0.449
"P43","Lo votaría",0.759,0.781,0.085,0.122,0.105,0.447,0.163,0.298,0.14,0.099
"P43","Puede que lo vote",0.104,0.073,0.077,0.087,0.143,0.167,0.303,0.166,0.11,0.085
"P43","Nunca lo votaría",0.1,0.101,0.798,0.737,0.703,0.324,0.463,0.458,0.705,0.494
"P43","No sabe",0.037,0.045,0.04,0.054,0.049,0.062,0.071,0.078,0.045,0.322
"P44","Lo votaría",0.488,0.72,0.044,0.047,0.09,0.516,0.044,0.217,0.091,0.067
"P44","Puede que lo vote",0.203,0.192,0.04,0.04,0.091,0.185,0.181,0.17,0.13,0.014
"P44","Nunca lo votaría",0.233,0.06,0.892,0.872,0.759,0.211,0.656,0.462,0.729,0.648
"P44","No sabe",0.076,0.028,0.024,0.041,0.06,0.088,0.119,0.151,0.05,0.271
"P45","Lo votaría",0.11,0.094,0.639,0.578,0.306,0.04,0.149,0.092,0.161,0.181
"P45","Puede que lo vote",0.072,0.066,0.18,0.141,0.211,0.109,0.372,0.129,0.148,0.111
"P45","Nunca lo votaría",0.765,0.823,0.158,0.255,0.439,0.807,0.453,0.674,0.595,0.39
"P45","No sabe",0.053,0.017,0.023,0.026,0.044,0.044,0.026,0.105,0.096,0.318
"P46","Lo votaría",0.084,0.052,0.463,0.624,0.176,0.058,0.249,0.036,0.126,0.142
"P46","Puede que lo vote",0.107,0.085,0.262,0.266,0.22,0.051,0.21,0.129,0.113,0.136
"P46","Nunca lo votaría",0.759,0.837,0.238,0.068,0.568,0.831,0.435,0.659,0.705,0.391
"P46","No sabe",0.05,0.026,0.037,0.042,0.036,0.06,0.106,0.176,0.056,0.331
"P47","Lo votaría",0.062,0.036,0.322,0.174,0.623,0.059,0.212,0.158,0.324,0.119
"P47","Puede que lo vote",0.075,0.054,0.222,0.288,0.187,0.042,0.076,0.102,0.053,0.142
"P47","Nunca lo votaría",0.827,0.887,0.419,0.479,0.173,0.859,0.668,0.637,0.591,0.438
"P47","No sabe",0.036,0.023,0.037,0.059,0.017,0.04,0.044,0.103,0.032,0.301
"P48","Lo votaría",0.075,0.105,0.051,0.014,0.101,0.457,0.018,0.046,0.116,0.027
"P48","Puede que lo vote",0.294,0.359,0.071,0.094,0.079,0.34,0.194,0.266,0.099,0.077
"P48","Nunca lo votaría",0.557,0.468,0.852,0.831,0.779,0.12,0.684,0.542,0.757,0.614
"P48","No sabe",0.074,0.068,0.026,0.061,0.041,0.083,0.104,0.146,0.028,0.282
"P49","Lo votaría",0.051,0.051,0.053,0.054,0.093,0.191,0.575,0.01,0.032,0.049
"P49","Puede que lo vote",0.241,0.254,0.162,0.222,0.155,0.252,0.31,0.22,0.206,0.145
"P49","Nunca lo votaría",0.628,0.628,0.736,0.641,0.691,0.505,0.101,0.599,0.718,0.468
"P49","No sabe",0.08,0.067,0.049,0.083,0.061,0.052,0.014,0.171,0.044,0.338
"P60","Si",0.489,0.497,0.499,0.514,0.552,0.439,0.478,0.519,0.593,0.298
"P60","No",0.511,0.503,0.501,0.486,0.448,0.561,0.522,0.481,0.407,0.702
