"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Alberto Fernandez","Muy mala",0.42,0.495,0.352,0.449,0.422,0.419,0.367,0.294,0.48,0.487,0.414,0.439,0.417,0.166,0.74,0.599,0.115,0.776,0.572,0.497,0.365,0.861,0.1,0.372,0.192,0.417
"Alberto Fernandez","No sabe",0.026,0.017,0.033,0,0.046,0.004,0.042,0.051,0.012,0.015,0.022,0.031,0.027,0.005,0.003,0.051,0.004,0.011,0.008,0,0,0,0,0.143,0.055,0.047
"CFK","Muy buena",0.185,0.148,0.219,0.135,0.178,0.205,0.255,0.205,0.182,0.164,0.211,0.122,0.186,0.367,0.002,0,0.439,0.014,0.041,0.014,0,0.002,0,0.064,0.201,0.227
"CFK","Buena",0.133,0.117,0.147,0.118,0.147,0.138,0.109,0.248,0.078,0.074,0.114,0.117,0.161,0.24,0.017,0,0.225,0.018,0.032,0.169,0,0,0.519,0.124,0.258,0.131
"CFK","Ni buena ni mala",0.084,0.048,0.117,0.057,0.093,0.105,0.064,0.092,0.089,0.065,0.051,0.149,0.089,0.114,0.03,0.01,0.116,0.033,0.068,0,0.379,0,0.132,0.126,0.062,0.112
"CFK","Mala",0.038,0.046,0.03,0.046,0.033,0.015,0.076,0.022,0.031,0.069,0.026,0.064,0.039,0.028,0.049,0,0.035,0.028,0.007,0,0.044,0.086,0.105,0.149,0.034,0.031
"CFK","Muy mala",0.539,0.625,0.461,0.644,0.511,0.535,0.463,0.376,0.62,0.62,0.592,0.506,0.498,0.245,0.898,0.99,0.183,0.896,0.844,0.817,0.577,0.912,0.244,0.411,0.39,0.471
"CFK","No sabe",0.021,0.016,0.026,0,0.038,0.002,0.033,0.057,0,0.008,0.006,0.042,0.027,0.006,0.004,0,0.002,0.011,0.008,0,0,0,0,0.126,0.055,0.028
"Mauricio Macri","Muy buena",0.135,0.121,0.148,0.243,0.083,0.112,0.158,0.121,0.147,0.135,0.188,0.115,0.088,0.05,0.317,0.059,0.022,0.363,0.17,0,0,0.164,0,0,0,0.159
"Mauricio Macri","Buena",0.114,0.113,0.115,0.091,0.093,0.157,0.148,0.062,0.13,0.155,0.088,0.121,0.138,0.035,0.284,0.007,0.055,0.285,0.173,0,0,0.125,0,0,0.01,0.086
"Mauricio Macri","Ni buena ni mala",0.192,0.188,0.196,0.151,0.212,0.203,0.18,0.158,0.219,0.192,0.145,0.248,0.217,0.113,0.23,0.017,0.13,0.158,0.416,0.252,0,0.082,0.244,0.34,0.169,0.147
"Mauricio Macri","Mala",0.156,0.169,0.145,0.108,0.154,0.173,0.215,0.175,0.169,0.112,0.202,0.176,0.099,0.213,0.103,0.184,0.131,0.059,0.151,0.394,0.184,0.379,0,0.252,0.049,0.233
"Mauricio Macri","Muy mala",0.381,0.386,0.375,0.407,0.447,0.299,0.262,0.431,0.326,0.404,0.36,0.302,0.437,0.561,0.065,0.733,0.662,0.125,0.09,0.192,0.816,0.25,0.756,0.408,0.689,0.345
"Mauricio Macri","No sabe",0.022,0.023,0.021,0,0.011,0.056,0.037,0.053,0.009,0.002,0.017,0.038,0.021,0.028,0.001,0,0,0.01,0,0.162,0,0,0,0,0.083,0.03
"Malena Galmarini","Muy buena",0.082,0.088,0.076,0.084,0.055,0.09,0.149,0.097,0.072,0.078,0.064,0.039,0.12,0.142,0.043,0.013,0.155,0.049,0.077,0.024,0,0.032,0,0,0,0.104
"Malena Galmarini","Buena",0.121,0.097,0.142,0.057,0.137,0.17,0.092,0.143,0.109,0.111,0.118,0.075,0.144,0.201,0.02,0.347,0.195,0.04,0.027,0.307,0.083,0,0.157,0.047,0.009,0.159
"Malena Galmarini","Ni buena ni mala",0.244,0.236,0.251,0.277,0.244,0.189,0.276,0.195,0.272,0.26,0.226,0.297,0.239,0.341,0.138,0.158,0.301,0.099,0.151,0.336,0.385,0.059,0.6,0.326,0.334,0.28
"Malena Galmarini","Mala",0.098,0.094,0.103,0.002,0.108,0.159,0.124,0.085,0.11,0.097,0.102,0.105,0.091,0.054,0.14,0.08,0.044,0.107,0.142,0.092,0.183,0.159,0,0.236,0.188,0.067
"Malena Galmarini","Muy mala",0.394,0.439,0.353,0.543,0.385,0.369,0.226,0.377,0.406,0.399,0.455,0.372,0.34,0.212,0.622,0.395,0.242,0.659,0.579,0.241,0.349,0.523,0.243,0.391,0.177,0.305
"Malena Galmarini","No sabe",0.061,0.046,0.075,0.037,0.071,0.023,0.133,0.103,0.031,0.055,0.035,0.112,0.066,0.05,0.037,0.007,0.063,0.046,0.024,0,0,0.227,0,0,0.292,0.085
"Sergio Massa","Muy buena",0.08,0.071,0.088,0.061,0.05,0.117,0.144,0.129,0.06,0.048,0.058,0.099,0.094,0.154,0.005,0.013,0.135,0.025,0.026,0.149,0,0,0,0,0.009,0.136
"Sergio Massa","Buena",0.153,0.12,0.183,0.114,0.161,0.164,0.175,0.224,0.137,0.088,0.171,0.098,0.159,0.28,0.02,0.154,0.312,0.036,0.033,0.161,0.219,0,0.135,0.055,0.101,0.176
"Sergio Massa","Ni buena ni mala",0.157,0.106,0.204,0.224,0.148,0.13,0.119,0.123,0.154,0.205,0.126,0.292,0.13,0.279,0.06,0,0.296,0.019,0.064,0.149,0.146,0.057,0,0.305,0.027,0.161
"Sergio Massa","Mala",0.13,0.153,0.108,0.107,0.128,0.125,0.18,0.064,0.159,0.167,0.109,0.118,0.156,0.093,0.149,0.377,0.055,0.127,0.235,0.088,0.185,0.198,0.66,0.212,0.074,0.143
"Sergio Massa","Muy mala",0.459,0.54,0.386,0.494,0.476,0.464,0.339,0.408,0.483,0.487,0.522,0.366,0.434,0.192,0.766,0.456,0.199,0.793,0.642,0.453,0.45,0.745,0.205,0.428,0.529,0.338
"Sergio Massa","No sabe",0.021,0.01,0.031,0,0.037,0,0.043,0.052,0.007,0.005,0.014,0.027,0.027,0.002,0,0,0.003,0,0,0,0,0,0,0,0.26,0.046
