"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro pais","Otro","En blanco","No sabe"
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.086,0.07,0.796,0.032,0.052,0.073,0.123,0.043
"P13","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.05,0.004,0.014,0.568,0.174,0.034,0,0.033
"P13","En blanco",0.029,0.054,0,0.047,0.146,0.169,0.687,0.068
"P13","No sabe",0.131,0.191,0.016,0.129,0.349,0.472,0.032,0.657
"P16","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.624,0.099,0.144,0.09,0.064,0.116,0.022,0.206
"P16","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.078,0.592,0.126,0.222,0.211,0.039,0.12,0.117
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.104,0.128,0.686,0.145,0.222,0.169,0.071,0.089
"P16","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.02,0.007,0.023,0.49,0.216,0.094,0.071,0.018
"P16","En blanco",0.043,0.032,0.004,0.053,0.119,0,0.707,0.014
"P16","No sabe",0.131,0.142,0.017,0,0.168,0.582,0.009,0.556
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.707,0.125,0.094,0.155,0.125,0.258,0.108,0.187
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.112,0.575,0.1,0.215,0.145,0.094,0.06,0.096
"P19","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.051,0.072,0.766,0.072,0.475,0.083,0.052,0.067
"P19","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.023,0.043,0.008,0.308,0.072,0.068,0.054,0.05
"P19","En blanco",0.058,0.048,0.014,0.14,0.153,0,0.686,0.009
"P19","No sabe",0.049,0.137,0.018,0.11,0.03,0.497,0.04,0.591
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.603,0.043,0.141,0.139,0.231,0.162,0.181,0.135
"P22","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.163,0.527,0.058,0.141,0.112,0.272,0.068,0.101
"P22","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.088,0.128,0.73,0.11,0.488,0.084,0.039,0.085
"P22","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.023,0.024,0.056,0.489,0,0.072,0,0.03
"P22","En blanco",0.058,0.097,0,0.078,0.035,0.111,0.673,0.015
"P22","No sabe",0.065,0.181,0.015,0.043,0.134,0.299,0.039,0.634
"P25","Totalmente seguro",0.788,0.596,0.621,0.307,0.573,0.485,0.382,0.201
"P25","Bastante seguro",0.112,0.205,0.142,0.286,0.158,0.135,0.127,0.097
"P25","Algo seguro",0.069,0.117,0.209,0.124,0.087,0.193,0.09,0.18
"P25","Para nada seguro",0.031,0.082,0.028,0.283,0.182,0.187,0.401,0.522
"P26","Tiene Decidido que va a ir a votar",0.916,0.86,0.842,0.85,0.52,0.937,0.62,0.788
"P26","Tiene dudas sobre si va a ir a  votar",0.073,0.098,0.107,0.136,0.303,0.063,0.148,0.133
"P26","Tiene Decidido que no va a ir a votar",0.011,0.042,0.051,0.014,0.177,0,0.232,0.079
"P27","Si",0.959,0.954,0.989,1,1,1,1,0.962
"P27","No",0.041,0.046,0.011,0,0,0,0,0.038
