"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P10","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.084,0.08,0.529,0.114,0.012,0.079
"P10","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.002,0,0.002,0.209,0.049,0.093
"P10","En blanco",0.008,0.006,0,0.049,0.244,0.027
"P10","No sabe",0.019,0.033,0.025,0,0.191,0.359
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.574,0.126,0.198,0.188,0.274,0.16
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.061,0.558,0.171,0.037,0.11,0.187
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.109,0.089,0.524,0.105,0.049,0.006
"P13","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.053,0.021,0.02,0.604,0.006,0
"P13","En blanco",0.049,0.022,0.028,0,0.385,0.072
"P13","No sabe",0.154,0.184,0.059,0.066,0.176,0.575
"P16","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.614,0.171,0.118,0.308,0.258,0.177
"P16","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.082,0.611,0.173,0.055,0.161,0.109
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.067,0.144,0.628,0.122,0.012,0.028
"P16","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.027,0.011,0.008,0.449,0.07,0.03
"P16","En blanco",0.049,0.016,0.042,0,0.372,0.02
"P16","No sabe",0.161,0.047,0.031,0.066,0.127,0.636
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.843,0.202,0.197,0.104,0.052,0.079
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.056,0.567,0.218,0.135,0.119,0.153
"P19","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.07,0.131,0.519,0.105,0.019,0
"P19","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.007,0,0.015,0.594,0,0.049
"P19","En blanco",0.017,0.011,0.046,0.062,0.656,0
"P19","No sabe",0.007,0.089,0.005,0,0.154,0.719
"P25","Totalmente seguro",0.714,0.637,0.668,0.441,0.644,0.255
"P25","Bastante seguro",0.116,0.186,0.185,0.109,0.1,0.144
"P25","Algo seguro",0.143,0.114,0.088,0.197,0.02,0.153
"P25","Para nada seguro",0.027,0.063,0.059,0.253,0.236,0.448
"P26","Tiene Decidido que va a ir a votar",0.863,0.893,0.841,0.865,0.785,0.816
"P26","Tiene dudas sobre si va a ir a  votar",0.091,0.098,0.096,0.122,0.085,0.145
"P26","Tiene Decidido que no va a ir a votar",0.046,0.009,0.063,0.013,0.13,0.039
"P27","Si",0.936,0.973,0.978,1,1,1
"P27","No",0.064,0.027,0.022,0,0,0
