"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco"
"P13_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.742,0.376,0.592,0.459,0.216,0.118,0.126,0.225,0.044
"P13_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.084,0.151,0.139,0.061,0.596,0.537,0.159,0.113,0.13
"P13_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.081,0.12,0.02,0.08,0.109,0.178,0.646,0.051,0.058
"P13_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.067,0.131,0.197,0.112,0.014,0.066,0.042,0.279,0.022
"P13_imputadas","En blanco",0.026,0.222,0.052,0.288,0.065,0.101,0.027,0.332,0.746
"P16_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.739,0.537,0.576,0.569,0.18,0.093,0.131,0.297,0.083
"P16_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.095,0.127,0.136,0.243,0.571,0.727,0.174,0.242,0.122
"P16_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.1,0.125,0.062,0.095,0.173,0.168,0.596,0.099,0.098
"P16_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.041,0.089,0.107,0.032,0.015,0.012,0.099,0.342,0.054
"P16_imputadas","En blanco",0.025,0.122,0.119,0.061,0.061,0,0,0.02,0.643
"P19_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.691,0.325,0.871,0.592,0.179,0.095,0.148,0.179,0.09
"P19_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.103,0.343,0.032,0.109,0.621,0.508,0.191,0.334,0.204
"P19_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.053,0.129,0.024,0.222,0.115,0.217,0.566,0.034,0
"P19_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.073,0.062,0.055,0.032,0.022,0.074,0.044,0.238,0.073
"P19_imputadas","En blanco",0.08,0.141,0.018,0.045,0.063,0.106,0.051,0.215,0.633
"P22_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.547,0.4,0.774,0.658,0.087,0.066,0.15,0.192,0.156
"P22_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.177,0.368,0.079,0.227,0.541,0.683,0.13,0.298,0.213
"P22_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.12,0.093,0.049,0.027,0.266,0.049,0.601,0.008,0
"P22_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.045,0.072,0.075,0.035,0.002,0.082,0.046,0.217,0.066
"P22_imputadas","En blanco",0.111,0.067,0.023,0.053,0.104,0.12,0.073,0.285,0.565
"P25","Totalmente seguro",0.671,0.613,0.727,0.641,0.593,0.519,0.592,0.151,0.546
"P25","Bastante seguro",0.136,0.037,0.105,0.256,0.201,0.208,0.133,0.1,0.058
"P25","Algo seguro",0.146,0.109,0.071,0.012,0.135,0.191,0.093,0.162,0.06
"P25","Para nada seguro",0.047,0.241,0.097,0.091,0.071,0.082,0.182,0.587,0.336
"P26","Tiene Decidido que va a ir a votar",0.819,0.807,0.978,0.838,0.867,0.937,0.814,0.817,0.564
"P26","Tiene dudas sobre si va a ir a  votar",0.153,0.182,0.014,0.133,0.101,0.038,0.075,0.172,0.239
"P26","Tiene Decidido que no va a ir a votar",0.028,0.011,0.008,0.029,0.032,0.025,0.111,0.011,0.197
"P27","Si",0.956,0.901,0.958,1,0.987,0.937,0.968,1,1
"P27","No",0.044,0.099,0.042,0,0.013,0.063,0.032,0,0
