"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P10","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.014,0.005,0.02,0.157,0.041,0.081
"P10","En blanco",0.004,0.015,0.008,0.019,0.372,0.024
"P10","No sabe",0.028,0.026,0.026,0.106,0.053,0.415
"P16","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.735,0.15,0.133,0.134,0.154,0.059
"P16","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.091,0.546,0.167,0.137,0.124,0.187
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.116,0.176,0.635,0.085,0.051,0.016
"P16","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.014,0.012,0.032,0.493,0.074,0.013
"P16","En blanco",0.003,0.027,0.018,0.04,0.498,0.057
"P16","No sabe",0.041,0.089,0.015,0.111,0.099,0.668
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.709,0.182,0.118,0.267,0.108,0.255
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.1,0.653,0.149,0.163,0.185,0.072
"P19","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.04,0.082,0.684,0.078,0.043,0.056
"P19","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.049,0.012,0,0.364,0.059,0.02
"P19","En blanco",0.05,0.008,0.04,0.128,0.455,0.05
"P19","No sabe",0.052,0.063,0.009,0,0.15,0.547
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.567,0.077,0.194,0.282,0.206,0.208
"P22","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.103,0.591,0.132,0.092,0.076,0.206
"P22","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.129,0.144,0.611,0.07,0.077,0.052
"P22","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.031,0.008,0.031,0.547,0,0.015
"P22","En blanco",0.078,0.041,0.025,0.009,0.466,0.068
"P22","No sabe",0.092,0.139,0.007,0,0.175,0.451
"P25","Totalmente seguro",0.723,0.663,0.621,0.416,0.579,0.395
"P25","Bastante seguro",0.129,0.194,0.172,0.249,0,0.129
"P25","Algo seguro",0.116,0.096,0.147,0.111,0.076,0.143
"P25","Para nada seguro",0.032,0.047,0.06,0.224,0.345,0.333
"P26","Tiene Decidido que va a ir a votar",0.896,0.877,0.847,0.776,0.611,0.863
"P26","Tiene dudas sobre si va a ir a  votar",0.07,0.093,0.119,0.213,0.28,0.064
"P26","Tiene Decidido que no va a ir a votar",0.034,0.03,0.034,0.011,0.109,0.073
"P27","Si",0.942,0.961,1,0.924,1,0.984
"P27","No",0.058,0.039,0,0.076,0,0.016
