"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P29","Ni de acuerdo ni en desacuerdo",0.221,0.219,0.155,0.167,0.097,0.104,0.574,0.617,0.186,0
"P29","En desacuerdo",0.297,0.175,0.099,0.323,0.308,0.22,0.426,0.383,0,0
"P29","Muy en desacuerdo",0.179,0.083,0.022,0.154,0.121,0.271,0,0,0.549,0.746
"P29","No sabe",0.008,0,0.139,0,0,0.124,0,0,0,0.254
"P30","No estaba enterado",0.168,0.207,0.144,0.132,0.079,0.249,0,0.617,0,1
"P30","De acuerdo",0.376,0.583,0.639,0.356,0.325,0.327,0.574,0,0.265,0
"P30","En desacuerdo",0.42,0.179,0.147,0.472,0.418,0.424,0.426,0,0.288,0
"P30","No sabe",0.036,0.031,0.07,0.04,0.178,0,0,0.383,0.447,0
"P31","No tengo cable ni internet",0.167,0.138,0.09,0.022,0.177,0.111,0.574,0.383,0.265,0.746
"P31","Si tuve",0.487,0.606,0.766,0.629,0.449,0.743,0.426,0,0.735,0.254
"P31","No tuve",0.346,0.256,0.144,0.349,0.374,0.146,0,0.617,0,0
"P32","Reclamando directamente a la empresa",0.257,0.107,0.236,0.26,0.13,0.071,1,0,0.516,1
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.245,0.477,0.469,0.218,0.534,0.392,0,0,0.223,0
"P32","Nunca se pudo resolver",0.498,0.416,0.295,0.522,0.336,0.537,0,0,0.261,0
"P33","1-Excelente",0.043,0.142,0.151,0.052,0.037,0.06,0,0,0,0
"P33","2",0.135,0.273,0.109,0.039,0.026,0.028,0,0,0.261,0
"P33","3",0.014,0.094,0.095,0.056,0.046,0.05,0,0,0,0
"P33","4",0.035,0.009,0.005,0.055,0.012,0,0,0,0,0.254
"P33","5",0.123,0.102,0.203,0.362,0.277,0.125,0.574,0.383,0.186,0
"P33","6",0.033,0.042,0.058,0.086,0.032,0,0,0,0.265,0
"P33","7",0.03,0.057,0.009,0.019,0.171,0.029,0.426,0,0,0
"P33","8",0.231,0.063,0.089,0.055,0.026,0.125,0,0,0.288,0
"P33","9-Pésimo",0.286,0.207,0.26,0.202,0.36,0.459,0,0,0,0.746
"P33","No sabe",0.07,0.011,0.021,0.074,0.013,0.124,0,0.617,0,0
"P34","1-Excelente",0.133,0.106,0.086,0.187,0.06,0.061,0,0,0,0
"P34","2",0.095,0.318,0.055,0.029,0.021,0.028,0,0,0,0
"P34","3",0.079,0.05,0.091,0.049,0.034,0.191,0,0,0,0
"P34","4",0.063,0.049,0.084,0.081,0.007,0,0,0,0,0
"P34","5",0.069,0.206,0.238,0.105,0.059,0,0.574,0.383,0,0
"P34","6",0.022,0.013,0.051,0.051,0.178,0,0,0,0,0
"P34","7",0.035,0.01,0.015,0.02,0.008,0,0,0,0.265,0
"P34","8",0.055,0.038,0.133,0.064,0.213,0.029,0,0,0.186,0.254
"P34","9-Pésimo",0.436,0.199,0.226,0.399,0.415,0.583,0.426,0,0.549,0.746
"P34","No sabe",0.013,0.011,0.021,0.015,0.005,0.108,0,0.617,0,0
"P35","1-Excelente",0.097,0.085,0.106,0.11,0.013,0.06,0,0,0,0
"P35","2",0.068,0.305,0.111,0.072,0.026,0.028,0,0,0,0
"P35","3",0.115,0.115,0.078,0.059,0.055,0.191,0.574,0,0,0.254
"P35","4",0.051,0.04,0.096,0.081,0.046,0,0,0,0,0
"P35","5",0.154,0.058,0.197,0.098,0.199,0,0,0.383,0.474,0
"P35","6",0.043,0.043,0.029,0.289,0.012,0.029,0,0,0.265,0
"P35","7",0.03,0.026,0.073,0.05,0.186,0,0,0,0,0
"P35","8",0.093,0.063,0.023,0.042,0.061,0.125,0.426,0,0,0
"P35","9-Pésimo",0.313,0.247,0.255,0.184,0.353,0.459,0,0,0.261,0.746
"P35","No sabe",0.036,0.018,0.032,0.015,0.049,0.108,0,0.617,0,0
"P36","1-Excelente",0.035,0.292,0.104,0.084,0.014,0.06,0,0,0,0
"P36","2",0.17,0.088,0.18,0.044,0.067,0.153,0,0,0,0
"P36","3",0.029,0.073,0.044,0.054,0.034,0.067,0,0.383,0,0
"P36","4",0.071,0.038,0.043,0.062,0.007,0,0,0,0,0
"P36","5",0.169,0.227,0.266,0.212,0.036,0,0.574,0,0.288,0
"P36","6",0.016,0.049,0.04,0.06,0.228,0,0,0,0,0
"P36","7",0.014,0.044,0.029,0.03,0.012,0,0.426,0,0.265,0
"P36","8",0.155,0.023,0.018,0.201,0.061,0.124,0,0,0.186,0.254
"P36","9-Pésimo",0.309,0.141,0.244,0.238,0.498,0.488,0,0,0.261,0.746
"P36","No sabe",0.032,0.025,0.032,0.015,0.043,0.108,0,0.617,0,0
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.52,0.306,0.158,0.484,0.501,0.482,0.426,0,0.735,0.746
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.27,0.31,0.12,0.141,0.188,0.191,0,0.617,0,0
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.091,0.162,0.432,0.17,0.271,0.157,0,0,0.265,0
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.119,0.218,0.27,0.197,0.033,0.17,0.574,0.383,0,0
"P37","No sabe",0,0.004,0.02,0.008,0.007,0,0,0,0,0.254
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.447,0.189,0.13,0.432,0.449,0.269,0.426,0,0.186,0.746
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.225,0.282,0.091,0.085,0.04,0.206,0,1,0.549,0
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.233,0.346,0.424,0.26,0.424,0.157,0,0,0,0.254
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.088,0.162,0.355,0.223,0.071,0.119,0.574,0,0.265,0
"P38","No sabe",0.007,0.021,0,0,0.016,0.249,0,0,0,0
"P39","Oponerse totalmente",0.535,0.216,0.12,0.456,0.434,0.358,0.426,0.383,0.186,0.746
"P39","Oponerse parcialmente",0.127,0.221,0.101,0.111,0.023,0.316,0,0.617,0.549,0
"P39","Apoyar parcialmente",0.233,0.253,0.277,0.184,0.496,0.154,0,0,0,0.254
"P39","Apoyar totalmente",0.098,0.261,0.491,0.249,0.026,0.172,0.574,0,0.265,0
"P39","No sabe",0.007,0.049,0.011,0,0.021,0,0,0,0,0
"P44","Muy buena",0.042,0.068,0,0,0,0,0,0,0,0
"P44","Buena",0.038,0.279,0.126,0.016,0,0.107,0,0.383,0,0
"P44","Ni buena ni mala",0.221,0.232,0.584,0.123,0.192,0.188,0,0.617,0.265,0
"P44","Mala",0.341,0.371,0.141,0.861,0.052,0.276,1,0,0.474,0.254
"P44","Muy mala",0.343,0.05,0.144,0,0.738,0.36,0,0,0.261,0.746
"P44","No sabe",0.015,0,0.005,0,0.018,0.069,0,0,0,0
"P45","Peor",0.922,0.249,0.594,0.706,0.981,0.681,1,1,1,1
"P45","Igual",0.06,0.675,0.311,0.175,0.006,0.122,0,0,0,0
"P45","Mejor",0.012,0.017,0.085,0,0.005,0,0,0,0,0
"P45","No sabe",0.006,0.059,0.01,0.119,0.008,0.197,0,0,0,0
"P46","Peor",0.914,0.22,0.149,0.645,0.69,0.575,1,1,0.447,1
"P46","Igual",0.052,0.647,0.348,0.105,0.23,0.12,0,0,0.553,0
"P46","Mejor",0.027,0.092,0.456,0.123,0.071,0.104,0,0,0,0
"P46","No sabe",0.007,0.041,0.047,0.127,0.009,0.201,0,0,0,0
"P47","Javier Milei",0.36,0.468,0.549,0.395,0.616,0.3,0.573,0,0.265,0
"P47","Los gobernadores",0.552,0.526,0.276,0.509,0.311,0.5,0.427,1,0.735,0
"P47","No sabe",0.088,0.006,0.175,0.096,0.073,0.2,0,0,0,1
"P48","Muy buena",0.062,0.103,0.076,0.193,0,0,0,0,0,0
"P48","Buena",0.101,0.27,0.136,0.154,0.059,0.06,0.427,0.375,0.258,0
"P48","Ni buena ni mala",0.259,0.284,0.235,0.166,0.297,0.304,0,0.625,0.742,0.251
"P48","Mala",0.326,0.285,0.379,0.342,0.312,0.305,0,0,0,0
"P48","Muy mala",0.252,0.058,0.174,0.145,0.332,0.331,0.573,0,0,0.749
"P48","No sabe",0,0,0,0,0,0,0,0,0,0
"P49","Muy buena",0.023,0.031,0.119,0.122,0.006,0,0,0,0.523,0
"P49","Buena",0.03,0.29,0.088,0.047,0.015,0,0,0,0,0
"P49","Ni buena ni mala",0.234,0.147,0.156,0.18,0.222,0.054,0,0.625,0.291,0
"P49","Mala",0.379,0.391,0.342,0.357,0.289,0.321,0.427,0,0.186,0.252
"P49","Muy mala",0.334,0.136,0.295,0.294,0.468,0.565,0.573,0.375,0,0.748
"P49","No sabe",0,0.005,0,0,0,0.06,0,0,0,0
"P50","Muy buena",0.144,0.038,0.063,0.049,0.063,0,0,0,0.264,0
"P50","Buena",0.082,0.294,0.136,0.184,0.131,0.246,0.427,0,0.291,0
"P50","Ni buena ni mala",0.392,0.166,0.152,0.301,0.128,0.265,0,0.625,0.186,0
"P50","Mala",0.211,0.255,0.308,0.183,0.208,0.163,0.573,0,0,0
"P50","Muy mala",0.162,0.211,0.333,0.283,0.47,0.266,0,0.375,0.259,0.748
"P50","No sabe",0.009,0.036,0.008,0,0,0.06,0,0,0,0.252
"P51","Muy buena",0.124,0.146,0.086,0.065,0.007,0,0,0,0,0
"P51","Buena",0.046,0.311,0.106,0.188,0.25,0.145,0.573,0,0,0
"P51","Ni buena ni mala",0.376,0.31,0.401,0.173,0.139,0.121,0,1,0.736,0
"P51","Mala",0.16,0.124,0.318,0.31,0.058,0.265,0,0,0.264,0
"P51","Muy mala",0.208,0.097,0.073,0.255,0.372,0.278,0.427,0,0,0.748
"P51","No sabe",0.086,0.012,0.016,0.009,0.174,0.191,0,0,0,0.252
"P54","Muy buena",0.249,0.085,0.107,0.366,0.098,0.091,0.427,0.375,0,0
"P54","Buena",0.163,0.233,0.036,0.045,0.114,0.246,0,0,0.478,0
"P54","Ni buena ni mala",0.176,0.073,0.092,0.071,0.029,0.161,0,0.625,0,0.252
"P54","Mala",0.116,0.257,0.287,0.093,0.187,0.07,0,0,0,0
"P54","Muy mala",0.296,0.352,0.451,0.425,0.572,0.432,0.573,0,0.522,0.748
"P54","No sabe",0,0,0.027,0,0,0,0,0,0,0
"P55","Muy buena",0.04,0.165,0.076,0.093,0.007,0.029,0,0,0,0
"P55","Buena",0.098,0.274,0.206,0.195,0.405,0,0.574,0,0.264,0
"P55","Ni buena ni mala",0.122,0.174,0.279,0.164,0.074,0.106,0,0,0,0
"P55","Mala",0.269,0.094,0.298,0.042,0.065,0.196,0,0.625,0.445,0.252
"P55","Muy mala",0.469,0.293,0.13,0.506,0.449,0.669,0.426,0.375,0.291,0.748
"P55","No sabe",0.002,0,0.011,0,0,0,0,0,0,0
"P56","Muy buena",0.044,0.021,0.04,0.089,0.022,0,0,0,0,0
"P56","Buena",0.238,0.258,0.043,0.326,0.255,0.032,0,0.375,0,0
"P56","Ni buena ni mala",0.181,0.112,0.129,0.094,0.095,0.23,0,0.625,0.478,0
"P56","Mala",0.25,0.298,0.331,0.068,0.18,0.235,0.426,0,0,0
"P56","Muy mala",0.287,0.311,0.43,0.423,0.448,0.443,0.574,0,0.522,0.748
"P56","No sabe",0,0,0.027,0,0,0.06,0,0,0,0.252
"P57","Muy buena",0.236,0.098,0.099,0.461,0.148,0.032,0.427,0.375,0.289,0
"P57","Buena",0.12,0.201,0.016,0.029,0.043,0.406,0,0,0.185,0
"P57","Ni buena ni mala",0.077,0.08,0.121,0.05,0.181,0.2,0,0.625,0,0
"P57","Mala",0.206,0.288,0.337,0.065,0.179,0,0,0,0,0
"P57","Muy mala",0.294,0.307,0.393,0.372,0.449,0.301,0.573,0,0.526,0.751
"P57","No sabe",0.067,0.026,0.034,0.023,0,0.061,0,0,0,0.249
"P58","Muy buena",0.162,0.268,0.561,0.248,0.072,0.197,0,0,0.269,0
"P58","Buena",0.052,0.338,0.187,0.061,0.412,0.103,0.573,0,0,0
"P58","Ni buena ni mala",0.11,0.098,0.072,0.137,0.21,0.061,0,0,0.257,0
"P58","Mala",0.149,0.103,0.065,0.039,0.017,0.161,0,0.625,0.185,0
"P58","Muy mala",0.525,0.185,0.115,0.515,0.289,0.478,0.427,0.375,0.289,0.751
"P58","No sabe",0.002,0.008,0,0,0,0,0,0,0,0.249
"P59","Muy buena",0.199,0.22,0.389,0.344,0.112,0.143,0.573,0,0.269,0
"P59","Buena",0.128,0.38,0.105,0.062,0.409,0.104,0,0,0,0
"P59","Ni buena ni mala",0.028,0.105,0.309,0.079,0.008,0.246,0,0,0.257,0
"P59","Mala",0.17,0.061,0.068,0.008,0.009,0.03,0,0.625,0.185,0
"P59","Muy mala",0.475,0.226,0.129,0.507,0.462,0.477,0.427,0.375,0.289,0.751
"P59","No sabe",0,0.008,0,0,0,0,0,0,0,0.249
"P60","Muy buena",0.227,0.388,0.595,0.347,0.258,0.301,0.573,0,0.269,0
"P60","Buena",0.09,0.292,0.159,0.059,0.223,0,0,0,0,0
"P60","Ni buena ni mala",0.138,0.108,0.082,0.095,0.044,0.061,0,0,0.257,0
"P60","Mala",0.073,0.031,0.043,0.183,0.049,0.03,0,0,0.185,0
"P60","Muy mala",0.472,0.173,0.121,0.316,0.426,0.477,0.427,1,0.289,0.751
"P60","No sabe",0,0.008,0,0,0,0.131,0,0,0,0.249
"P61","Muy buena",0.053,0.139,0.043,0.048,0.031,0,0,0,0,0
"P61","Buena",0.187,0.264,0.315,0.126,0.082,0.131,0,0,0,0
"P61","Ni buena ni mala",0.262,0.302,0.501,0.302,0.639,0.485,0.573,1,1,0
"P61","Mala",0.17,0.173,0.079,0.352,0.123,0.16,0,0,0,0
"P61","Muy mala",0.183,0.079,0.062,0.163,0.125,0.032,0.427,0,0,0.751
"P61","No sabe",0.145,0.043,0,0.009,0,0.192,0,0,0,0.249
