"var","categoria","Sergio Massa presidente por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P28","Mauricio Macri por Juntos por el Cambio",0.018,0.562,0.066
"P28","Javier Milei por los liberales libertarios",0.01,0.319,0.194
"P28","Nicolás del Caño por la izquierda",0.026,0.012,0.052
"P28","Otro candidato",0.061,0.066,0.162
"P28","Aún no lo tengo decidido",0.042,0.033,0.146
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.112,0.427,0.144
"P30","Alberto Fernández por el Frente de Todos",0.509,0.026,0.219
"P30","Javier Milei por los liberales libertarios",0.022,0.374,0.22
"P30","Nicolás del Caño por la izquierda",0.044,0.012,0.065
"P30","Otro candidato",0.169,0.103,0.143
"P30","Aún no lo tengo decidido",0.144,0.058,0.209
"P32","Sergio Massa presidente por el Frente de Todos",0.723,0.015,0.146
"P32","Patricia Bullrich por Juntos por el Cambio",0.018,0.641,0.081
"P32","Javier Milei por los liberales libertarios",0.014,0.255,0.229
"P32","Nicolás del Caño por la izquierda",0.045,0.009,0.07
"P32","Otro candidato",0.096,0.055,0.24
"P32","Aún no lo tengo decidido",0.104,0.025,0.234
"P34","Sergio Massa presidente por el Frente de Todos",0.746,0.033,0.105
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.439,0.162
"P34","Javier Milei por los liberales libertarios",0.016,0.374,0.219
"P34","Nicolás del Caño por la izquierda",0.049,0.003,0.069
"P34","Otro candidato",0.081,0.103,0.242
"P34","Aún no lo tengo decidido",0.064,0.048,0.203
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.805,0.035,0.37
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.081,0.418,0.136
"P36","Javier Milei por los liberales libertarios",0.011,0.407,0.221
"P36","Nicolás del Caño por la izquierda",0.02,0.003,0.052
"P36","Otro candidato",0.048,0.096,0.085
"P36","Aún no lo tengo decidido",0.035,0.041,0.136
"P37","Sergio Massa presidente por el Frente de Todos",0.777,0.008,0.157
"P37","Mauricio Macri por Juntos por el Cambio",0.043,0.551,0.047
"P37","Javier Milei por los liberales libertarios",0.015,0.315,0.254
"P37","Nicolás del Caño por la izquierda",0.034,0.025,0.063
"P37","Otro candidato",0.065,0.069,0.281
"P37","Aún no lo tengo decidido",0.066,0.032,0.198
"P38","Alberto Fernández por el Frente de Todos",0.64,0.015,0.181
"P38","Mauricio Macri por Juntos por el Cambio",0.03,0.566,0.053
"P38","Javier Milei por los liberales libertarios",0.017,0.324,0.224
"P38","Nicolás del Caño por la izquierda",0.074,0.017,0.067
"P38","Otro candidato",0.177,0.059,0.259
"P38","Aún no lo tengo decidido",0.062,0.019,0.216
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.885,0.033,0.4
"P39","Mauricio Macri por Juntos por el Cambio",0.039,0.833,0.115
"P39","No sabe",0.076,0.134,0.485
"P40","Alberto Fernández por el Frente de Todos",0.768,0.024,0.219
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.089,0.737,0.187
"P40","No sabe",0.143,0.239,0.594
"P42","Sergio Massa presidente por el Frente de Todos",0.937,0.028,0.127
"P42","Mauricio Macri por Juntos por el Cambio",0.034,0.887,0.122
"P42","No sabe",0.029,0.085,0.751
"P43","Sergio Massa presidente por el Frente de Todos",0.918,0.007,0.204
"P43","Javier Milei por los liberales libertarios",0.02,0.681,0.254
"P43","No sabe",0.062,0.312,0.542
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.176,0.383,0.196
"P44","Javier Milei por los liberales libertarios",0.058,0.49,0.232
"P44","No sabe",0.766,0.127,0.572
"P45","Muy buena",0.093,0.033,0.059
"P45","Buena",0.28,0.038,0.136
"P45","Ni buena ni mala",0.44,0.025,0.267
"P45","Mala",0.127,0.076,0.202
"P45","Muy mala",0.041,0.825,0.318
"P45","No sabe",0.019,0.003,0.018
"P46","Muy buena",0.093,0.003,0.095
"P46","Buena",0.352,0.01,0.121
"P46","Ni buena ni mala",0.394,0.016,0.22
"P46","Mala",0.103,0.092,0.172
"P46","Muy mala",0.052,0.87,0.378
"P46","No sabe",0.006,0.009,0.014
"P47","Muy buena",0.668,0.002,0.321
"P47","Buena",0.122,0.005,0.099
"P47","Ni buena ni mala",0.12,0.014,0.081
"P47","Mala",0.056,0.042,0.151
"P47","Muy mala",0.033,0.928,0.346
"P47","No sabe",0.001,0.009,0.002
"P48","Muy buena",0.041,0.315,0.048
"P48","Buena",0.028,0.279,0.066
"P48","Ni buena ni mala",0.036,0.184,0.161
"P48","Mala",0.211,0.079,0.191
"P48","Muy mala",0.682,0.142,0.51
"P48","No sabe",0.002,0.001,0.024
"P49","Muy buena",0.018,0.189,0.121
"P49","Buena",0.073,0.37,0.095
"P49","Ni buena ni mala",0.114,0.224,0.194
"P49","Mala",0.253,0.086,0.15
"P49","Muy mala",0.539,0.129,0.436
"P49","No sabe",0.003,0.002,0.004
"P50","Muy buena",0.166,0.017,0.053
"P50","Buena",0.413,0.024,0.06
"P50","Ni buena ni mala",0.312,0.105,0.362
"P50","Mala",0.059,0.155,0.191
"P50","Muy mala",0.047,0.699,0.324
"P50","No sabe",0.003,0,0.01
"P51","Muy buena",0.033,0.494,0.073
"P51","Buena",0.037,0.297,0.053
"P51","Ni buena ni mala",0.072,0.101,0.265
"P51","Mala",0.154,0.035,0.099
"P51","Muy mala",0.699,0.071,0.505
"P51","No sabe",0.005,0.002,0.005
"P52","Muy buena",0.009,0.276,0.17
"P52","Buena",0.012,0.226,0.073
"P52","Ni buena ni mala",0.081,0.296,0.229
"P52","Mala",0.174,0.111,0.081
"P52","Muy mala",0.712,0.077,0.435
"P52","No sabe",0.012,0.014,0.012
"P53","Muy buena",0.003,0.257,0.073
"P53","Buena",0.051,0.322,0.081
"P53","Ni buena ni mala",0.074,0.253,0.173
"P53","Mala",0.159,0.062,0.142
"P53","Muy mala",0.701,0.104,0.518
"P53","No sabe",0.012,0.002,0.013
"P54","Muy buena",0.206,0.029,0.033
"P54","Buena",0.367,0.046,0.126
"P54","Ni buena ni mala",0.273,0.096,0.368
"P54","Mala",0.046,0.168,0.155
"P54","Muy mala",0.106,0.659,0.312
"P54","No sabe",0.002,0.002,0.006
"P55","Muy buena",0.065,0.055,0.058
"P55","Buena",0.134,0.131,0.047
"P55","Ni buena ni mala",0.431,0.324,0.41
"P55","Mala",0.147,0.186,0.194
"P55","Muy mala",0.184,0.286,0.248
"P55","No sabe",0.039,0.018,0.043
"P57","Siempre",0.33,0.283,0.238
"P57","Casi siempre",0.388,0.379,0.384
"P57","Casi nunca",0.197,0.254,0.214
"P57","Nunca, pero esta es una excepción",0.085,0.084,0.164
"P58","Si",0.589,0.615,0.507
"P58","No",0.411,0.385,0.493
