"var","categoria","Sergio Massa presidente por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P11","A algún candidato del peronismo",0.069,0.284,0.263,0.288,0.144,0.032
"P11","A Cristina Fernández de Kirchner",0.597,0.302,0.624,0.669,0.779,0.823
"P12","A Horacio Rodriguez Larreta",0.278,0.151,0.255,0.678,0.436,0.54
"P12","A Mauricio Macri",0.142,0.398,0.379,0.322,0.321,0.148
"P12","A Patricia Bullrich",0.134,0.416,0.215,0,0,0.182
"P12","A Facundo Manes",0.402,0.019,0.095,0,0.206,0.114
"P12","A Gerardo Morales",0.044,0.016,0.056,0,0.037,0.016
"P13","Seguro lo votaria",0.11,0.15,0.632,0,0.048,0.037
"P13","Quizás lo votaría",0.381,0.405,0.354,0.122,0.513,0.384
"P13","Nunca lo votaría",0.509,0.445,0.014,0.878,0.439,0.579
"P14","Lo votaría",0.031,0.568,0.122,0.107,0.096,0.105
"P14","Puede que lo vote",0.026,0.27,0.269,0.069,0.165,0.114
"P14","Nunca lo votaría",0.907,0.124,0.554,0.788,0.643,0.669
"P14","No sabe",0.036,0.038,0.055,0.036,0.096,0.112
"P15","Lo votaría",0.368,0.055,0.02,0.065,0.05,0.053
"P15","Puede que lo vote",0.45,0.065,0.073,0.315,0.331,0.357
"P15","Nunca lo votaría",0.152,0.859,0.893,0.599,0.538,0.424
"P15","No sabe",0.03,0.021,0.014,0.021,0.081,0.166
"P16","Lo votaría",0.313,0.019,0.018,0.027,0.05,0.2
"P16","Puede que lo vote",0.452,0.027,0.017,0.224,0.269,0.171
"P16","Nunca lo votaría",0.164,0.94,0.955,0.608,0.532,0.453
"P16","No sabe",0.071,0.014,0.01,0.141,0.149,0.176
"P17","La votaría",0.719,0.028,0.022,0.452,0.404,0.528
"P17","Puede que la vote",0.158,0.011,0.048,0.195,0.159,0.067
"P17","Nunca la votaría",0.099,0.957,0.923,0.344,0.407,0.322
"P17","No sabe",0.024,0.004,0.007,0.009,0.03,0.083
"P18","Lo votaría",0.064,0.246,0.064,0.097,0.203,0.115
"P18","Puede que lo vote",0.075,0.447,0.244,0.143,0.128,0.205
"P18","Nunca lo votaría",0.817,0.27,0.66,0.707,0.641,0.543
"P18","No sabe",0.044,0.037,0.032,0.053,0.028,0.137
"P19","Lo votaría",0.035,0.089,0.041,0.014,0.089,0.072
"P19","Puede que lo vote",0.184,0.281,0.168,0.133,0.153,0.177
"P19","Nunca lo votaría",0.661,0.567,0.722,0.693,0.63,0.453
"P19","No sabe",0.12,0.063,0.069,0.16,0.128,0.298
"P20","La votaría",0.034,0.655,0.209,0.09,0.093,0.054
"P20","Puede que la vote",0.039,0.228,0.408,0.009,0.081,0.177
"P20","Nunca la votaría",0.897,0.095,0.347,0.832,0.797,0.651
"P20","No sabe",0.03,0.022,0.036,0.069,0.029,0.118
"P21","Lo votaría",0.016,0.128,0.773,0.006,0.002,0.015
"P21","Puede que lo vote",0.047,0.416,0.134,0,0.226,0.12
"P21","Nunca lo votaría",0.875,0.398,0.084,0.876,0.748,0.73
"P21","No sabe",0.062,0.058,0.009,0.118,0.024,0.135
"P22","La votaría",0.013,0.234,0.132,0,0.088,0.101
"P22","Puede que la vote",0.038,0.445,0.254,0.186,0.121,0.095
"P22","Nunca la votaría",0.884,0.273,0.57,0.743,0.727,0.655
"P22","No sabe",0.065,0.048,0.044,0.071,0.064,0.149
"P23","Lo votaría",0.22,0.022,0.013,0.023,0.082,0.124
"P23","Puede que lo vote",0.415,0.049,0.07,0.353,0.249,0.255
"P23","Nunca lo votaría",0.274,0.91,0.891,0.54,0.63,0.481
"P23","No sabe",0.091,0.019,0.026,0.084,0.039,0.14
"P24","Lo votaría",0.03,0.051,0.027,0.03,0.026,0.002
"P24","Puede que lo vote",0.103,0.267,0.077,0.157,0.113,0.156
"P24","Nunca lo votaría",0.75,0.618,0.799,0.769,0.755,0.666
"P24","No sabe",0.117,0.064,0.097,0.044,0.106,0.176
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.773,0.037,0.017,0.382,0.48,0.45
"P26","Alberto Fernández por el Frente de Todos",0.098,0.005,0,0.064,0.042,0.091
"P26","Mauricio Macri por Juntos por el cambio",0.006,0.314,0.073,0.006,0.083,0.068
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.129,0.059,0.091,0.178,0.108
"P26","Patricia Bullrich por Juntos por el Cambio",0.025,0.437,0.088,0.084,0.003,0.044
"P26","Facundo Manes por Juntos por el Cambio",0.019,0.029,0.02,0.006,0.125,0.06
"P26","Javier Milei por los liberales libertarios",0.008,0.027,0.721,0,0.007,0.013
"P26","Nicolás del Caño por la izquierda",0,0,0.014,0.367,0,0
"P26","Aún no lo tengo decidido",0.037,0.022,0.008,0,0.082,0.166
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.167,0.07,0.091,0.225,0.113
"P27","Patricia Bullrich por Juntos por el Cambio",0.014,0.707,0.075,0,0.077,0.093
"P27","Facundo Manes por Juntos por el Cambio",0.01,0.023,0.044,0.02,0.109,0.067
"P27","Alberto Fernández por el Frente de Todos",0.256,0.025,0.002,0.042,0.119,0.206
"P27","Sergio Massa por el Frente de Todos",0.618,0.019,0.002,0.053,0.126,0.082
"P27","Javier Milei por los liberales libertarios",0.004,0.034,0.772,0.084,0.008,0.004
"P27","Nicolás del Caño por la izquierda",0.003,0,0.011,0.581,0.004,0.004
"P27","Otros candidatos",0.018,0.004,0.01,0.098,0.217,0.098
"P27","Aún no lo tengo decidido",0.039,0.021,0.014,0.031,0.115,0.333
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.836,0.037,0.044,0.367,0.431,0.496
"P28","Mauricio Macri por Juntos por el Cambio",0.027,0.707,0.061,0.006,0.181,0.107
"P28","Javier Milei por los liberales libertarios",0.005,0.121,0.839,0.137,0.013,0.021
"P28","Nicolás del Caño por la izquierda",0.008,0.012,0.007,0.476,0.028,0
"P28","Otro candidato",0.072,0.068,0.027,0,0.286,0.082
"P28","Aún no lo tengo decidido",0.052,0.055,0.022,0.014,0.061,0.294
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.099,0.552,0.065,0.195,0.218,0.107
"P30","Alberto Fernández por el Frente de Todos",0.625,0.052,0.008,0.099,0.151,0.225
"P30","Javier Milei por los liberales libertarios",0.007,0.185,0.888,0,0.015,0.03
"P30","Nicolás del Caño por la izquierda",0.031,0.012,0.023,0.653,0,0
"P30","Otro candidato",0.116,0.118,0.009,0.053,0.558,0.088
"P30","Aún no lo tengo decidido",0.122,0.081,0.007,0,0.058,0.55
"P34","Sergio Massa presidente por el Frente de Todos",0.844,0.078,0.023,0.04,0.09,0.163
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.553,0.086,0.095,0.189,0.116
"P34","Javier Milei por los liberales libertarios",0.014,0.187,0.885,0,0.002,0.068
"P34","Nicolás del Caño por la izquierda",0.002,0.001,0,0.852,0.011,0.014
"P34","Otro candidato",0.048,0.113,0.005,0.013,0.602,0.158
"P34","Aún no lo tengo decidido",0.025,0.068,0.001,0,0.106,0.481
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.814,0.065,0.031,0.352,0.436,0.415
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.087,0.523,0.08,0.009,0.268,0.175
"P36","Javier Milei por los liberales libertarios",0.018,0.236,0.866,0.113,0.003,0.03
"P36","Nicolás del Caño por la izquierda",0.002,0.001,0.001,0.52,0.004,0
"P36","Otro candidato",0.043,0.115,0.01,0.006,0.25,0.053
"P36","Aún no lo tengo decidido",0.036,0.06,0.012,0,0.039,0.327
"P37","Sergio Massa presidente por el Frente de Todos",0.865,0.034,0,0.129,0.135,0.195
"P37","Mauricio Macri por Juntos por el Cambio",0.05,0.689,0.087,0,0.121,0.102
"P37","Javier Milei por los liberales libertarios",0.017,0.146,0.874,0,0.005,0.042
"P37","Nicolás del Caño por la izquierda",0.002,0.018,0.001,0.796,0.007,0.003
"P37","Otro candidato",0.034,0.064,0.013,0.023,0.633,0.178
"P37","Aún no lo tengo decidido",0.032,0.049,0.025,0.052,0.099,0.48
"P38","Alberto Fernández por el Frente de Todos",0.739,0.025,0.026,0.196,0.104,0.229
"P38","Mauricio Macri por Juntos por el Cambio",0.037,0.724,0.059,0,0.159,0.142
"P38","Javier Milei por los liberales libertarios",0.02,0.124,0.877,0,0.005,0.03
"P38","Nicolás del Caño por la izquierda",0.02,0.018,0.009,0.732,0.015,0.045
"P38","Otro candidato",0.123,0.065,0.014,0.047,0.656,0.118
"P38","Aún no lo tengo decidido",0.061,0.044,0.015,0.025,0.061,0.436
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.863,0.061,0.053,0.589,0.485,0.52
"P39","Mauricio Macri por Juntos por el Cambio",0.047,0.867,0.469,0.196,0.251,0.186
"P39","No sabe",0.09,0.072,0.478,0.215,0.264,0.294
"P40","Alberto Fernández por el Frente de Todos",0.744,0.06,0.026,0.435,0.278,0.366
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.07,0.76,0.462,0.088,0.407,0.211
"P40","No sabe",0.186,0.18,0.512,0.477,0.315,0.423
"P41","Sergio Massa presidente por el Frente de Todos",0.847,0.017,0.024,0.405,0.267,0.328
"P41","Patricia Bullrich por Juntos por el Cambio",0.027,0.928,0.687,0.132,0.239,0.124
"P41","No sabe",0.126,0.055,0.289,0.463,0.494,0.548
"P42","Sergio Massa presidente por el Frente de Todos",0.897,0.036,0.034,0.531,0.314,0.247
"P42","Mauricio Macri por Juntos por el Cambio",0.062,0.898,0.615,0.026,0.236,0.169
"P42","No sabe",0.041,0.066,0.351,0.443,0.45,0.584
"P43","Sergio Massa presidente por el Frente de Todos",0.879,0.031,0.006,0.638,0.309,0.331
"P43","Javier Milei por los liberales libertarios",0.046,0.568,0.926,0.113,0.128,0.107
"P43","No sabe",0.075,0.401,0.068,0.249,0.563,0.562
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.174,0.47,0.086,0.349,0.383,0.123
"P44","Javier Milei por los liberales libertarios",0.081,0.338,0.894,0,0.056,0.096
"P44","No sabe",0.745,0.192,0.02,0.651,0.561,0.781
"P45","Muy buena",0.101,0.037,0.003,0.117,0.072,0.062
"P45","Buena",0.291,0.041,0.054,0.121,0.16,0.139
"P45","Ni buena ni mala",0.431,0.046,0.007,0.364,0.316,0.306
"P45","Mala",0.105,0.083,0.107,0.152,0.176,0.223
"P45","Muy mala",0.053,0.789,0.829,0.239,0.27,0.229
"P45","No sabe",0.019,0.004,0,0.007,0.006,0.041
"P46","Muy buena",0.12,0.015,0,0.045,0.012,0.118
"P46","Buena",0.366,0.015,0.01,0.255,0.193,0.072
"P46","Ni buena ni mala",0.35,0.023,0.009,0.288,0.263,0.4
"P46","Mala",0.088,0.097,0.098,0.161,0.182,0.163
"P46","Muy mala",0.076,0.849,0.86,0.251,0.343,0.201
"P46","No sabe",0,0.001,0.023,0,0.007,0.046
"P47","Muy buena",0.657,0.028,0.014,0.24,0.409,0.425
"P47","Buena",0.112,0.008,0.006,0.27,0.031,0.159
"P47","Ni buena ni mala",0.134,0.007,0.013,0.16,0.034,0.133
"P47","Mala",0.039,0.048,0.064,0.161,0.184,0.075
"P47","Muy mala",0.057,0.903,0.886,0.169,0.342,0.208
"P47","No sabe",0.001,0.006,0.017,0,0,0
"P48","Muy buena",0.044,0.384,0.093,0.01,0.144,0.033
"P48","Buena",0.044,0.315,0.149,0,0.063,0.085
"P48","Ni buena ni mala",0.025,0.137,0.283,0.063,0.109,0.211
"P48","Mala",0.214,0.042,0.177,0.209,0.177,0.184
"P48","Muy mala",0.673,0.12,0.298,0.692,0.507,0.437
"P48","No sabe",0,0.002,0,0.026,0,0.05
"P49","Muy buena",0.027,0.222,0.088,0,0.198,0.058
"P49","Buena",0.072,0.437,0.161,0.108,0.133,0.109
"P49","Ni buena ni mala",0.115,0.209,0.186,0.18,0.186,0.292
"P49","Mala",0.293,0.044,0.192,0.22,0.076,0.11
"P49","Muy mala",0.491,0.087,0.37,0.492,0.404,0.417
"P49","No sabe",0.002,0.001,0.003,0,0.003,0.014
"P50","Muy buena",0.209,0.041,0.002,0,0.021,0
"P50","Buena",0.433,0.03,0.026,0.055,0.066,0.159
"P50","Ni buena ni mala",0.251,0.105,0.069,0.357,0.483,0.523
"P50","Mala",0.031,0.144,0.191,0.347,0.161,0.151
"P50","Muy mala",0.072,0.68,0.712,0.241,0.261,0.152
"P50","No sabe",0.004,0,0,0,0.008,0.015
"P51","Muy buena",0.038,0.575,0.293,0,0.051,0.057
"P51","Buena",0.055,0.261,0.271,0,0.095,0.083
"P51","Ni buena ni mala",0.067,0.063,0.22,0.092,0.249,0.234
"P51","Mala",0.15,0.012,0.078,0.266,0.066,0.133
"P51","Muy mala",0.687,0.083,0.138,0.642,0.539,0.486
"P51","No sabe",0.003,0.006,0,0,0,0.007
"P52","Muy buena",0.018,0.168,0.605,0.098,0.013,0.009
"P52","Buena",0.012,0.227,0.223,0,0.043,0.068
"P52","Ni buena ni mala",0.099,0.364,0.105,0,0.309,0.2
"P52","Mala",0.162,0.139,0.011,0.103,0.12,0.189
"P52","Muy mala",0.694,0.087,0.054,0.799,0.513,0.497
"P52","No sabe",0.015,0.015,0.002,0,0.002,0.037
"P53","Muy buena",0.026,0.273,0.127,0,0.124,0.086
"P53","Buena",0.039,0.336,0.201,0.1,0.148,0.134
"P53","Ni buena ni mala",0.073,0.265,0.222,0.075,0.174,0.153
"P53","Mala",0.154,0.055,0.138,0.234,0.058,0.131
"P53","Muy mala",0.697,0.064,0.31,0.579,0.496,0.486
"P53","No sabe",0.011,0.007,0.002,0.012,0,0.01
"P54","Muy buena",0.21,0.051,0.007,0,0.042,0.069
"P54","Buena",0.36,0.025,0.06,0.049,0.272,0.204
"P54","Ni buena ni mala",0.264,0.087,0.125,0.502,0.316,0.419
"P54","Mala",0.041,0.167,0.189,0.123,0.126,0.12
"P54","Muy mala",0.125,0.667,0.619,0.326,0.231,0.181
"P54","No sabe",0,0.003,0,0,0.013,0.007
"P55","Muy buena",0.049,0.06,0.026,0,0.118,0.103
"P55","Buena",0.15,0.133,0.069,0.067,0.079,0.095
"P55","Ni buena ni mala",0.415,0.327,0.356,0.47,0.376,0.435
"P55","Mala",0.168,0.208,0.153,0.262,0.124,0.148
"P55","Muy mala",0.184,0.256,0.35,0.174,0.293,0.164
"P55","No sabe",0.034,0.016,0.046,0.027,0.01,0.055
"P57","Siempre",0.329,0.268,0.341,0.154,0.319,0.153
"P57","Casi siempre",0.371,0.434,0.252,0.572,0.287,0.513
"P57","Casi nunca",0.213,0.242,0.223,0.214,0.284,0.177
"P57","Nunca, pero esta es una excepción",0.087,0.056,0.184,0.06,0.11,0.157
"P58","Si",0.563,0.602,0.625,0.573,0.581,0.516
"P58","No",0.437,0.398,0.375,0.427,0.419,0.484
