"var","categoria","Sergio Massa presidente por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P44","No sabe",0.775,0.038,0.518
"P45","Muy buena",0.098,0.028,0.048
"P45","Buena",0.285,0.062,0.054
"P45","Ni buena ni mala",0.413,0.019,0.211
"P45","Mala",0.132,0.082,0.151
"P45","Muy mala",0.053,0.809,0.52
"P45","No sabe",0.019,0,0.016
"P46","Muy buena",0.091,0.014,0.049
"P46","Buena",0.342,0.016,0.066
"P46","Ni buena ni mala",0.385,0.014,0.146
"P46","Mala",0.11,0.096,0.135
"P46","Muy mala",0.07,0.849,0.588
"P46","No sabe",0.002,0.011,0.016
"P47","Muy buena",0.66,0.02,0.164
"P47","Buena",0.117,0.011,0.063
"P47","Ni buena ni mala",0.116,0.017,0.055
"P47","Mala",0.057,0.05,0.109
"P47","Muy mala",0.049,0.894,0.603
"P47","No sabe",0.001,0.008,0.006
"P48","Muy buena",0.047,0.248,0.228
"P48","Buena",0.018,0.238,0.21
"P48","Ni buena ni mala",0.034,0.2,0.159
"P48","Mala",0.197,0.118,0.112
"P48","Muy mala",0.695,0.195,0.281
"P48","No sabe",0.009,0.001,0.01
"P49","Muy buena",0.017,0.132,0.232
"P49","Buena",0.064,0.306,0.291
"P49","Ni buena ni mala",0.118,0.229,0.199
"P49","Mala",0.246,0.12,0.081
"P49","Muy mala",0.552,0.212,0.193
"P49","No sabe",0.003,0.001,0.004
"P50","Muy buena",0.175,0.01,0.032
"P50","Buena",0.386,0.021,0.056
"P50","Ni buena ni mala",0.29,0.108,0.296
"P50","Mala",0.081,0.169,0.145
"P50","Muy mala",0.065,0.692,0.464
"P50","No sabe",0.003,0,0.007
"P51","Muy buena",0.025,0.459,0.281
"P51","Buena",0.05,0.25,0.188
"P51","Ni buena ni mala",0.065,0.125,0.198
"P51","Mala",0.143,0.056,0.057
"P51","Muy mala",0.713,0.11,0.269
"P51","No sabe",0.004,0,0.007
"P52","Muy buena",0.003,0.417,0.033
"P52","Buena",0.004,0.263,0.09
"P52","Ni buena ni mala",0.074,0.2,0.402
"P52","Mala",0.163,0.054,0.174
"P52","Muy mala",0.742,0.061,0.279
"P52","No sabe",0.014,0.005,0.022
"P53","Muy buena",0.006,0.212,0.201
"P53","Buena",0.038,0.3,0.214
"P53","Ni buena ni mala",0.063,0.228,0.253
"P53","Mala",0.152,0.09,0.084
"P53","Muy mala",0.722,0.168,0.247
"P53","No sabe",0.019,0.002,0.001
"P54","Muy buena",0.206,0.023,0.026
"P54","Buena",0.339,0.059,0.095
"P54","Ni buena ni mala",0.268,0.109,0.27
"P54","Mala",0.052,0.164,0.166
"P54","Muy mala",0.133,0.644,0.435
"P54","No sabe",0.002,0.001,0.008
"P55","Muy buena",0.074,0.046,0.06
"P55","Buena",0.123,0.134,0.079
"P55","Ni buena ni mala",0.447,0.297,0.397
"P55","Mala",0.181,0.179,0.166
"P55","Muy mala",0.141,0.32,0.267
"P55","No sabe",0.034,0.024,0.031
"P57","Siempre",0.306,0.275,0.285
"P57","Casi siempre",0.41,0.365,0.378
"P57","Casi nunca",0.212,0.243,0.228
"P57","Nunca, pero esta es una excepción",0.072,0.117,0.109
"P58","Si",0.578,0.621,0.544
"P58","No",0.422,0.379,0.456
