"var","categoria","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P17","Nunca la votaría",0.057,0.986,0.953,0.401,0.384,0.395
"P17","No sabe",0.027,0,0.004,0.036,0.032,0.083
"P18","Lo votaría",0.084,0.29,0.056,0.089,0.169,0.07
"P18","Puede que lo vote",0.052,0.41,0.295,0.289,0.175,0.201
"P18","Nunca lo votaría",0.828,0.267,0.622,0.545,0.598,0.591
"P18","No sabe",0.036,0.033,0.027,0.077,0.058,0.138
"P19","Lo votaría",0.025,0.098,0.045,0.021,0.102,0.042
"P19","Puede que lo vote",0.163,0.237,0.224,0.246,0.185,0.198
"P19","Nunca lo votaría",0.676,0.59,0.681,0.613,0.551,0.546
"P19","No sabe",0.136,0.075,0.05,0.12,0.162,0.214
"P20","La votaría",0.03,0.637,0.328,0.139,0.116,0.071
"P20","Puede que la vote",0.022,0.239,0.401,0.026,0.103,0.168
"P20","Nunca la votaría",0.903,0.111,0.251,0.782,0.746,0.633
"P20","No sabe",0.045,0.013,0.02,0.053,0.035,0.128
"P21","Lo votaría",0.001,0.094,0.739,0.016,0.028,0.017
"P21","Puede que lo vote",0.037,0.412,0.208,0.135,0.151,0.093
"P21","Nunca lo votaría",0.888,0.446,0.035,0.832,0.78,0.732
"P21","No sabe",0.074,0.048,0.018,0.017,0.041,0.158
"P22","La votaría",0.013,0.299,0.1,0.019,0.062,0.035
"P22","Puede que la vote",0.032,0.39,0.329,0.221,0.13,0.143
"P22","Nunca la votaría",0.9,0.268,0.519,0.67,0.715,0.68
"P22","No sabe",0.055,0.043,0.052,0.09,0.093,0.142
"P23","Lo votaría",0.254,0.039,0.006,0.02,0.084,0.063
"P23","Puede que lo vote",0.417,0.036,0.071,0.401,0.273,0.194
"P23","Nunca lo votaría",0.267,0.904,0.896,0.503,0.562,0.535
"P23","No sabe",0.062,0.021,0.027,0.076,0.081,0.208
"P24","Lo votaría",0.029,0.039,0.026,0.042,0.04,0.025
"P24","Puede que lo vote",0.089,0.254,0.147,0.143,0.099,0.175
"P24","Nunca lo votaría",0.782,0.645,0.744,0.739,0.726,0.616
"P24","No sabe",0.1,0.062,0.083,0.076,0.135,0.184
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.785,0.011,0.035,0.4,0.523,0.429
"P26","Alberto Fernández por el Frente de Todos",0.113,0.006,0,0.078,0.025,0.025
"P26","Mauricio Macri por Juntos por el cambio",0.006,0.423,0.035,0.033,0.004,0.027
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.148,0.071,0.093,0.153,0.08
"P26","Patricia Bullrich por Juntos por el Cambio",0.035,0.376,0.182,0.094,0.09,0.089
"P26","Facundo Manes por Juntos por el Cambio",0.01,0.03,0.015,0.023,0.101,0.023
"P26","Javier Milei por los liberales libertarios",0.015,0.003,0.631,0.032,0.01,0.044
"P26","Nicolás del Caño por la izquierda",0,0,0,0.247,0,0.01
"P26","Aún no lo tengo decidido",0.005,0.003,0.031,0,0.094,0.273
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.057,0.211,0.043,0.121,0.157,0.099
"P27","Patricia Bullrich por Juntos por el Cambio",0.007,0.711,0.182,0.086,0.108,0.097
"P27","Facundo Manes por Juntos por el Cambio",0.012,0.023,0.041,0.013,0.087,0.034
"P27","Alberto Fernández por el Frente de Todos",0.345,0.01,0.002,0.018,0.038,0.081
"P27","Sergio Massa por el Frente de Todos",0.514,0.011,0.024,0.132,0.284,0.181
"P27","Javier Milei por los liberales libertarios",0.014,0.014,0.675,0.027,0.015,0.006
"P27","Nicolás del Caño por la izquierda",0.004,0,0.01,0.421,0.002,0.015
"P27","Otros candidatos",0.017,0.015,0,0.124,0.194,0.042
"P27","Aún no lo tengo decidido",0.03,0.005,0.023,0.058,0.115,0.445
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.866,0.014,0.04,0.411,0.491,0.4
"P28","Mauricio Macri por Juntos por el Cambio",0.009,0.897,0.075,0.033,0.04,0.059
"P28","Javier Milei por los liberales libertarios",0.014,0.023,0.847,0.047,0.043,0.025
"P28","Nicolás del Caño por la izquierda",0.007,0,0,0.482,0,0.01
"P28","Otro candidato",0.069,0.035,0.028,0.021,0.348,0.071
"P28","Aún no lo tengo decidido",0.035,0.031,0.01,0.006,0.078,0.435
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.101,0.614,0.091,0.188,0.181,0.121
"P30","Alberto Fernández por el Frente de Todos",0.731,0.057,0.018,0.028,0.072,0.127
"P30","Javier Milei por los liberales libertarios",0.023,0.113,0.868,0,0.051,0.059
"P30","Nicolás del Caño por la izquierda",0.002,0.003,0.002,0.645,0.019,0.013
"P30","Otro candidato",0.071,0.127,0.01,0.098,0.535,0.098
"P30","Aún no lo tengo decidido",0.072,0.086,0.011,0.041,0.142,0.582
"P32","Sergio Massa presidente por el Frente de Todos",0.781,0.033,0.026,0.118,0.226,0.188
"P32","Patricia Bullrich por Juntos por el Cambio",0.033,0.821,0.202,0.133,0.151,0.17
"P32","Javier Milei por los liberales libertarios",0.018,0.035,0.754,0.035,0.017,0.031
"P32","Nicolás del Caño por la izquierda",0.027,0,0,0.573,0.011,0.01
"P32","Otro candidato",0.047,0.061,0.003,0.037,0.511,0.079
"P32","Aún no lo tengo decidido",0.094,0.05,0.015,0.104,0.084,0.522
"P34","Sergio Massa presidente por el Frente de Todos",0.746,0.081,0.012,0.186,0.285,0.205
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.076,0.622,0.081,0.113,0.176,0.118
"P34","Javier Milei por los liberales libertarios",0.005,0.116,0.901,0.005,0.039,0.008
"P34","Nicolás del Caño por la izquierda",0.013,0.001,0,0.607,0.014,0.01
"P34","Otro candidato",0.095,0.121,0.004,0.075,0.41,0.151
"P34","Aún no lo tengo decidido",0.065,0.059,0.002,0.014,0.076,0.508
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.866,0.049,0.016,0.44,0.469,0.313
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.071,0.647,0.065,0.138,0.221,0.074
"P36","Javier Milei por los liberales libertarios",0.014,0.15,0.912,0.021,0.032,0.006
"P36","Nicolás del Caño por la izquierda",0.005,0.001,0,0.347,0.01,0.01
"P36","Otro candidato",0.021,0.108,0.003,0.054,0.238,0.137
"P36","Aún no lo tengo decidido",0.023,0.045,0.004,0,0.03,0.46
"P37","Sergio Massa presidente por el Frente de Todos",0.814,0.01,0.004,0.281,0.271,0.252
"P37","Mauricio Macri por Juntos por el Cambio",0.021,0.903,0.052,0,0.027,0.022
"P37","Javier Milei por los liberales libertarios",0.02,0.027,0.934,0,0.01,0.006
"P37","Nicolás del Caño por la izquierda",0.021,0.001,0,0.656,0,0.01
"P37","Otro candidato",0.073,0.02,0.007,0.05,0.614,0.07
"P37","Aún no lo tengo decidido",0.051,0.039,0.003,0.013,0.078,0.64
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.898,0.046,0.044,0.529,0.522,0.485
"P39","Mauricio Macri por Juntos por el Cambio",0.049,0.948,0.513,0.185,0.147,0.12
"P39","No sabe",0.053,0.006,0.443,0.286,0.331,0.395
"P40","Alberto Fernández por el Frente de Todos",0.881,0.034,0.02,0.314,0.239,0.264
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.822,0.493,0.354,0.285,0.123
"P40","No sabe",0.073,0.144,0.487,0.332,0.476,0.613
"P41","Sergio Massa presidente por el Frente de Todos",0.803,0.031,0.025,0.49,0.383,0.247
"P41","Patricia Bullrich por Juntos por el Cambio",0.029,0.928,0.737,0.178,0.202,0.119
"P41","No sabe",0.168,0.041,0.238,0.332,0.415,0.634
"P42","Sergio Massa presidente por el Frente de Todos",0.839,0.017,0.037,0.505,0.472,0.309
"P42","Mauricio Macri por Juntos por el Cambio",0.011,0.975,0.674,0.151,0.16,0.069
"P42","No sabe",0.15,0.008,0.289,0.344,0.368,0.622
"P43","Sergio Massa presidente por el Frente de Todos",0.793,0.034,0.008,0.604,0.492,0.383
"P43","Javier Milei por los liberales libertarios",0.049,0.503,0.947,0.122,0.142,0.1
"P43","No sabe",0.158,0.463,0.045,0.274,0.366,0.517
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.094,0.548,0.095,0.383,0.308,0.207
"P44","Javier Milei por los liberales libertarios",0.081,0.262,0.896,0.103,0.085,0.069
"P44","No sabe",0.825,0.19,0.009,0.514,0.607,0.724
"P45","Muy buena",0.107,0.049,0.002,0.046,0.073,0.051
"P45","Buena",0.344,0.025,0.073,0.075,0.148,0.066
"P45","Ni buena ni mala",0.42,0.032,0.008,0.289,0.349,0.402
"P45","Mala",0.084,0.111,0.084,0.113,0.176,0.239
"P45","Muy mala",0.011,0.778,0.833,0.472,0.249,0.233
"P45","No sabe",0.034,0.005,0,0.005,0.005,0.009
"P46","Muy buena",0.154,0.01,0.019,0.009,0.016,0.051
"P46","Buena",0.427,0.003,0.007,0.142,0.154,0.078
"P46","Ni buena ni mala",0.343,0.038,0.009,0.244,0.27,0.411
"P46","Mala",0.028,0.1,0.096,0.213,0.215,0.206
"P46","Muy mala",0.045,0.847,0.849,0.392,0.331,0.223
"P46","No sabe",0.003,0.002,0.02,0,0.014,0.031
"P47","Muy buena",0.723,0.013,0.034,0.201,0.382,0.367
"P47","Buena",0.122,0,0.013,0.187,0.086,0.109
"P47","Ni buena ni mala",0.097,0.008,0.016,0.182,0.073,0.177
"P47","Mala",0.027,0.064,0.04,0.101,0.145,0.145
"P47","Muy mala",0.03,0.91,0.883,0.32,0.314,0.202
"P47","No sabe",0.001,0.005,0.014,0.009,0,0
"P48","Muy buena",0.038,0.455,0.108,0.007,0.04,0.029
"P48","Buena",0.018,0.337,0.155,0.009,0.11,0.073
"P48","Ni buena ni mala",0.051,0.097,0.309,0.111,0.083,0.188
"P48","Mala",0.213,0.021,0.163,0.176,0.214,0.198
"P48","Muy mala",0.668,0.089,0.265,0.677,0.553,0.486
"P48","No sabe",0.012,0.001,0,0.02,0,0.026
"P49","Muy buena",0.005,0.29,0.052,0.019,0.139,0.049
"P49","Buena",0.045,0.392,0.255,0.125,0.16,0.19
"P49","Ni buena ni mala",0.151,0.226,0.174,0.204,0.18,0.153
"P49","Mala",0.259,0.039,0.171,0.227,0.135,0.171
"P49","Muy mala",0.535,0.053,0.346,0.425,0.384,0.424
"P49","No sabe",0.005,0,0.002,0,0.002,0.013
"P50","Muy buena",0.155,0.022,0.002,0.088,0.091,0.133
"P50","Buena",0.403,0.03,0.026,0.071,0.193,0.134
"P50","Ni buena ni mala",0.311,0.106,0.085,0.39,0.371,0.395
"P50","Mala",0.056,0.151,0.178,0.216,0.117,0.162
"P50","Muy mala",0.071,0.691,0.709,0.235,0.222,0.157
"P50","No sabe",0.004,0,0,0,0.006,0.019
"P51","Muy buena",0.038,0.537,0.356,0.149,0.086,0.054
"P51","Buena",0.031,0.261,0.256,0.021,0.137,0.126
"P51","Ni buena ni mala",0.084,0.089,0.21,0.083,0.169,0.132
"P51","Mala",0.143,0.023,0.067,0.09,0.104,0.165
"P51","Muy mala",0.701,0.084,0.111,0.657,0.504,0.513
"P51","No sabe",0.003,0.006,0,0,0,0.01
"P52","Muy buena",0.024,0.086,0.657,0.02,0.044,0
"P52","Buena",0.011,0.22,0.223,0.005,0.073,0.066
"P52","Ni buena ni mala",0.1,0.417,0.085,0.044,0.255,0.174
"P52","Mala",0.169,0.153,0.011,0.151,0.141,0.12
"P52","Muy mala",0.691,0.105,0.024,0.771,0.481,0.568
"P52","No sabe",0.005,0.019,0,0.009,0.006,0.072
"P53","Muy buena",0.004,0.325,0.116,0.041,0.094,0.054
"P53","Buena",0.036,0.33,0.274,0,0.116,0.136
"P53","Ni buena ni mala",0.087,0.254,0.24,0.089,0.158,0.132
"P53","Mala",0.127,0.038,0.119,0.426,0.092,0.131
"P53","Muy mala",0.743,0.053,0.249,0.435,0.533,0.478
"P53","No sabe",0.003,0,0.002,0.009,0.007,0.069
"P54","Muy buena",0.201,0.03,0.024,0.116,0.06,0.117
"P54","Buena",0.392,0.045,0.049,0.119,0.207,0.131
"P54","Ni buena ni mala",0.273,0.12,0.066,0.393,0.32,0.419
"P54","Mala",0.057,0.184,0.176,0.064,0.092,0.108
"P54","Muy mala",0.072,0.619,0.685,0.308,0.315,0.216
"P54","No sabe",0.005,0.002,0,0,0.006,0.009
"P55","Muy buena",0.019,0.057,0.04,0.02,0.127,0.144
"P55","Buena",0.149,0.118,0.092,0.145,0.104,0.051
"P55","Ni buena ni mala",0.379,0.348,0.338,0.401,0.432,0.442
"P55","Mala",0.205,0.201,0.117,0.248,0.153,0.145
"P55","Muy mala",0.198,0.262,0.372,0.186,0.17,0.176
"P55","No sabe",0.05,0.014,0.041,0,0.014,0.042
"P57","Siempre",0.323,0.28,0.284,0.356,0.282,0.174
"P57","Casi siempre",0.35,0.439,0.282,0.402,0.362,0.579
"P57","Casi nunca",0.238,0.228,0.232,0.233,0.228,0.189
"P57","Nunca, pero esta es una excepción",0.089,0.053,0.202,0.009,0.128,0.058
"P58","Si",0.604,0.591,0.603,0.61,0.573,0.449
"P58","No",0.396,0.409,0.397,0.39,0.427,0.551
