"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P18","Puede que lo vote",0.37,0.315,0.121
"P18","Nunca lo votaría",0.191,0.626,0.76
"P18","No sabe",0.029,0.025,0.059
"P19","Lo votaría",0.134,0.036,0.035
"P19","Puede que lo vote",0.295,0.217,0.152
"P19","Nunca lo votaría",0.49,0.694,0.662
"P19","No sabe",0.081,0.053,0.151
"P20","La votaría",0.4,0.449,0.122
"P20","Puede que la vote",0.249,0.298,0.073
"P20","Nunca la votaría",0.316,0.236,0.779
"P20","No sabe",0.035,0.017,0.026
"P21","Lo votaría",0.045,0.569,0.009
"P21","Puede que lo vote",0.327,0.297,0.073
"P21","Nunca lo votaría",0.572,0.118,0.877
"P21","No sabe",0.056,0.016,0.041
"P22","La votaría",0.26,0.113,0.055
"P22","Puede que la vote",0.331,0.359,0.098
"P22","Nunca la votaría",0.352,0.483,0.781
"P22","No sabe",0.057,0.045,0.066
"P23","Lo votaría",0.058,0.02,0.151
"P23","Puede que lo vote",0.102,0.108,0.34
"P23","Nunca lo votaría",0.801,0.851,0.427
"P23","No sabe",0.039,0.021,0.082
"P24","Lo votaría",0.085,0.021,0.013
"P24","Puede que lo vote",0.316,0.161,0.077
"P24","Nunca lo votaría",0.529,0.75,0.832
"P24","No sabe",0.07,0.068,0.078
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.112,0.059,0.655
"P26","Alberto Fernández por el Frente de Todos",0.021,0.012,0.052
"P26","Mauricio Macri por Juntos por el cambio",0.223,0.151,0.085
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.284,0.029,0.03
"P26","Patricia Bullrich por Juntos por el Cambio",0.214,0.283,0.07
"P26","Facundo Manes por Juntos por el Cambio",0.08,0.007,0.02
"P26","Javier Milei por los liberales libertarios",0.004,0.435,0.009
"P26","Nicolás del Caño por la izquierda",0.016,0,0.019
"P26","Aún no lo tengo decidido",0.046,0.024,0.06
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.334,0.032,0.043
"P27","Patricia Bullrich por Juntos por el Cambio",0.389,0.39,0.121
"P27","Facundo Manes por Juntos por el Cambio",0.069,0.028,0.013
"P27","Alberto Fernández por el Frente de Todos",0.025,0.02,0.195
"P27","Sergio Massa por el Frente de Todos",0.104,0.046,0.356
"P27","Javier Milei por los liberales libertarios",0.01,0.459,0.02
"P27","Nicolás del Caño por la izquierda",0.031,0.007,0.028
"P27","Otros candidatos",0.009,0.004,0.101
"P27","Aún no lo tengo decidido",0.029,0.014,0.123
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.146,0.08,0.663
"P28","Mauricio Macri por Juntos por el Cambio",0.561,0.264,0.136
"P28","Javier Milei por los liberales libertarios",0.039,0.582,0.024
"P28","Nicolás del Caño por la izquierda",0.039,0.015,0.022
"P28","Otro candidato",0.171,0.028,0.076
"P28","Aún no lo tengo decidido",0.044,0.031,0.079
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.672,0.122,0.123
"P30","Alberto Fernández por el Frente de Todos",0.092,0.045,0.403
"P30","Javier Milei por los liberales libertarios",0.018,0.719,0.023
"P30","Nicolás del Caño por la izquierda",0.051,0.016,0.039
"P30","Otro candidato",0.09,0.052,0.213
"P30","Aún no lo tengo decidido",0.077,0.046,0.199
"P32","Sergio Massa presidente por el Frente de Todos",0.153,0.066,0.455
"P32","Patricia Bullrich por Juntos por el Cambio",0.567,0.375,0.16
"P32","Javier Milei por los liberales libertarios",0.053,0.511,0.009
"P32","Nicolás del Caño por la izquierda",0.044,0,0.057
"P32","Otro candidato",0.143,0.019,0.144
"P32","Aún no lo tengo decidido",0.04,0.029,0.175
"P34","Sergio Massa presidente por el Frente de Todos",0.151,0.069,0.487
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.66,0.134,0.085
"P34","Javier Milei por los liberales libertarios",0.016,0.729,0.011
"P34","Nicolás del Caño por la izquierda",0.045,0,0.05
"P34","Otro candidato",0.087,0.044,0.214
"P34","Aún no lo tengo decidido",0.041,0.024,0.153
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.147,0.074,0.648
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.699,0.108,0.085
"P36","Javier Milei por los liberales libertarios",0.029,0.752,0.023
"P36","Nicolás del Caño por la izquierda",0.029,0.001,0.029
"P36","Otro candidato",0.056,0.041,0.126
"P36","Aún no lo tengo decidido",0.04,0.024,0.089
"P37","Sergio Massa presidente por el Frente de Todos",0.126,0.047,0.522
"P37","Mauricio Macri por Juntos por el Cambio",0.586,0.244,0.139
"P37","Javier Milei por los liberales libertarios",0.057,0.627,0.008
"P37","Nicolás del Caño por la izquierda",0.043,0.014,0.052
"P37","Otro candidato",0.133,0.048,0.15
"P37","Aún no lo tengo decidido",0.055,0.02,0.129
"P38","Alberto Fernández por el Frente de Todos",0.075,0.06,0.459
"P38","Mauricio Macri por Juntos por el Cambio",0.585,0.257,0.141
"P38","Javier Milei por los liberales libertarios",0.071,0.613,0.005
"P38","Nicolás del Caño por la izquierda",0.064,0.016,0.059
"P38","Otro candidato",0.15,0.038,0.204
"P38","Aún no lo tengo decidido",0.055,0.016,0.132
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.174,0.083,0.704
"P39","Mauricio Macri por Juntos por el Cambio",0.654,0.619,0.176
"P39","No sabe",0.172,0.298,0.12
"P40","Alberto Fernández por el Frente de Todos",0.103,0.083,0.562
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.808,0.505,0.122
"P40","No sabe",0.089,0.412,0.316
"P41","Sergio Massa presidente por el Frente de Todos",0.183,0.055,0.549
"P41","Patricia Bullrich por Juntos por el Cambio",0.669,0.784,0.153
"P41","No sabe",0.148,0.161,0.298
"P42","Sergio Massa presidente por el Frente de Todos",0.179,0.081,0.594
"P42","Mauricio Macri por Juntos por el Cambio",0.674,0.718,0.156
"P42","No sabe",0.147,0.201,0.25
"P43","Sergio Massa presidente por el Frente de Todos",0.206,0.042,0.599
"P43","Javier Milei por los liberales libertarios",0.337,0.928,0.037
"P43","No sabe",0.457,0.03,0.364
"P45","Muy buena",0.075,0.004,0.082
"P45","Buena",0.034,0.074,0.239
"P45","Ni buena ni mala",0.12,0.036,0.376
"P45","Mala",0.128,0.096,0.127
"P45","Muy mala",0.64,0.79,0.151
"P45","No sabe",0.003,0,0.025
"P46","Muy buena",0.015,0.017,0.096
"P46","Buena",0.067,0.027,0.264
"P46","Ni buena ni mala",0.09,0.013,0.346
"P46","Mala",0.144,0.084,0.11
"P46","Muy mala",0.675,0.845,0.178
"P46","No sabe",0.009,0.014,0.006
"P47","Muy buena",0.089,0.047,0.556
"P47","Buena",0.039,0.018,0.105
"P47","Ni buena ni mala",0.036,0.021,0.105
"P47","Mala",0.117,0.045,0.054
"P47","Muy mala",0.714,0.857,0.179
"P47","No sabe",0.005,0.012,0.001
"P48","Muy buena",0.261,0.215,0.092
"P48","Buena",0.286,0.197,0.044
"P48","Ni buena ni mala",0.15,0.198,0.078
"P48","Mala",0.106,0.143,0.165
"P48","Muy mala",0.196,0.247,0.607
"P48","No sabe",0.001,0,0.014
"P49","Muy buena",0.308,0.052,0.05
"P49","Buena",0.431,0.237,0.072
"P49","Ni buena ni mala",0.121,0.253,0.179
"P49","Mala",0.086,0.155,0.187
"P49","Muy mala",0.053,0.301,0.508
"P49","No sabe",0.001,0.002,0.004
"P50","Muy buena",0.088,0.005,0.104
"P50","Buena",0.068,0.051,0.273
"P50","Ni buena ni mala",0.194,0.086,0.339
"P50","Mala",0.158,0.159,0.098
"P50","Muy mala",0.492,0.699,0.178
"P50","No sabe",0,0,0.008
"P51","Muy buena",0.357,0.431,0.087
"P51","Buena",0.228,0.243,0.071
"P51","Ni buena ni mala",0.169,0.116,0.107
"P51","Mala",0.072,0.066,0.106
"P51","Muy mala",0.171,0.144,0.623
"P51","No sabe",0.003,0,0.006
"P52","Muy buena",0.05,0.489,0.028
"P52","Buena",0.172,0.244,0.017
"P52","Ni buena ni mala",0.4,0.128,0.158
"P52","Mala",0.154,0.056,0.152
"P52","Muy mala",0.205,0.079,0.629
"P52","No sabe",0.019,0.004,0.016
"P53","Muy buena",0.28,0.142,0.048
"P53","Buena",0.282,0.255,0.081
"P53","Ni buena ni mala",0.215,0.254,0.107
"P53","Mala",0.084,0.125,0.112
"P53","Muy mala",0.138,0.223,0.637
"P53","No sabe",0.001,0.001,0.015
"P54","Muy buena",0.05,0.063,0.12
"P54","Buena",0.081,0.064,0.283
"P54","Ni buena ni mala",0.166,0.095,0.318
"P54","Mala",0.176,0.14,0.087
"P54","Muy mala",0.525,0.636,0.187
"P54","No sabe",0.002,0.002,0.005
"P55","Muy buena",0.12,0.013,0.049
"P55","Buena",0.146,0.12,0.088
"P55","Ni buena ni mala",0.414,0.28,0.416
"P55","Mala",0.17,0.156,0.195
"P55","Muy mala",0.134,0.401,0.213
"P55","No sabe",0.016,0.03,0.039
"P57","Siempre",0.317,0.296,0.263
"P57","Casi siempre",0.421,0.304,0.413
"P57","Casi nunca",0.189,0.267,0.229
"P57","Nunca, pero esta es una excepción",0.073,0.133,0.095
"P58","Si",0.592,0.607,0.566
"P58","No",0.408,0.393,0.434
