"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Alberto Fernandez","Muy buena",0.049,0.029,0.069,0.047,0.052,0.063,0.022,0.091,0.04,0.015,0.036,0.073,0.11,0.014,0.062
"Alberto Fernandez","Buena",0.135,0.14,0.13,0.102,0.13,0.158,0.147,0.15,0.127,0.13,0.143,0.12,0.287,0.03,0.062
"Alberto Fernandez","Ni buena ni mala",0.171,0.135,0.208,0.177,0.208,0.12,0.157,0.145,0.18,0.187,0.169,0.175,0.332,0.051,0.148
"Alberto Fernandez","Mala",0.112,0.081,0.143,0.065,0.113,0.102,0.167,0.084,0.127,0.12,0.109,0.118,0.116,0.095,0.148
"Alberto Fernandez","Muy mala",0.524,0.606,0.44,0.585,0.492,0.547,0.502,0.523,0.51,0.546,0.536,0.5,0.15,0.81,0.57
"Alberto Fernandez","No sabe",0.009,0.009,0.01,0.024,0.005,0.01,0.005,0.007,0.016,0.002,0.007,0.014,0.005,0,0.01
"Facundo Manes","Muy buena",0.059,0.069,0.049,0.038,0.055,0.077,0.062,0.071,0.054,0.051,0.063,0.051,0.045,0.064,0.116
"Facundo Manes","Buena",0.115,0.124,0.105,0.043,0.111,0.162,0.13,0.115,0.105,0.128,0.107,0.13,0.103,0.132,0.192
"Facundo Manes","Ni buena ni mala",0.374,0.342,0.406,0.187,0.414,0.406,0.434,0.402,0.357,0.369,0.374,0.374,0.406,0.339,0.425
"Facundo Manes","Mala",0.176,0.187,0.165,0.166,0.179,0.168,0.191,0.197,0.153,0.188,0.177,0.174,0.202,0.164,0.244
"Facundo Manes","Muy mala",0.247,0.262,0.232,0.566,0.199,0.151,0.161,0.183,0.288,0.258,0.245,0.251,0.199,0.284,0.023
"Facundo Manes","No sabe",0.029,0.016,0.043,0,0.042,0.036,0.022,0.032,0.043,0.006,0.034,0.02,0.045,0.017,0
