"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P37","Mauricio Macri por Juntos por el Cambio",0.035,0.56,0.151
"P37","Javier Milei por los liberales libertarios",0.018,0.246,0.345
"P37","Nicolás del Caño por la izquierda",0.033,0.02,0.061
"P37","Otro candidato",0.109,0.104,0.143
"P37","Aún no lo tengo decidido",0.101,0.039,0.12
"P38","Alberto Fernández por el Frente de Todos",0.727,0.028,0.063
"P38","Mauricio Macri por Juntos por el Cambio",0.034,0.575,0.146
"P38","Javier Milei por los liberales libertarios",0.014,0.243,0.349
"P38","Nicolás del Caño por la izquierda",0.047,0.038,0.051
"P38","Otro candidato",0.111,0.094,0.229
"P38","Aún no lo tengo decidido",0.067,0.022,0.162
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.933,0.055,0.264
"P39","Mauricio Macri por Juntos por el Cambio",0.027,0.812,0.301
"P39","No sabe",0.04,0.133,0.435
"P41","Sergio Massa presidente por el Frente de Todos",0.794,0.064,0.15
"P41","Patricia Bullrich por Juntos por el Cambio",0.039,0.836,0.393
"P41","No sabe",0.167,0.1,0.457
"P42","Sergio Massa presidente por el Frente de Todos",0.827,0.061,0.201
"P42","Mauricio Macri por Juntos por el Cambio",0.034,0.828,0.36
"P42","No sabe",0.139,0.111,0.439
"P43","Sergio Massa presidente por el Frente de Todos",0.809,0.066,0.205
"P43","Javier Milei por los liberales libertarios",0.049,0.567,0.483
"P43","No sabe",0.142,0.367,0.312
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.102,0.526,0.09
"P44","Javier Milei por los liberales libertarios",0.09,0.359,0.451
"P44","No sabe",0.808,0.115,0.459
"P45","Muy buena",0.107,0.037,0.034
"P45","Buena",0.331,0.034,0.075
"P45","Ni buena ni mala",0.394,0.067,0.204
"P45","Mala",0.103,0.121,0.128
"P45","Muy mala",0.037,0.739,0.553
"P45","No sabe",0.028,0.002,0.006
"P46","Muy buena",0.146,0.004,0.017
"P46","Buena",0.385,0.008,0.072
"P46","Ni buena ni mala",0.347,0.06,0.16
"P46","Mala",0.065,0.123,0.143
"P46","Muy mala",0.051,0.804,0.582
"P46","No sabe",0.006,0.001,0.026
"P47","Muy buena",0.707,0.019,0.198
"P47","Buena",0.133,0.004,0.069
"P47","Ni buena ni mala",0.099,0.024,0.075
"P47","Mala",0.012,0.101,0.08
"P47","Muy mala",0.048,0.846,0.569
"P47","No sabe",0.001,0.006,0.009
"P48","Muy buena",0.067,0.288,0.119
"P48","Buena",0.029,0.297,0.079
"P48","Ni buena ni mala",0.05,0.165,0.179
"P48","Mala",0.157,0.099,0.192
"P48","Muy mala",0.687,0.15,0.422
"P48","No sabe",0.01,0.001,0.009
"P49","Muy buena",0.02,0.24,0.048
"P49","Buena",0.043,0.439,0.072
"P49","Ni buena ni mala",0.117,0.212,0.214
"P49","Mala",0.23,0.065,0.198
"P49","Muy mala",0.586,0.043,0.463
"P49","No sabe",0.004,0.001,0.005
"P50","Muy buena",0.126,0.037,0.061
"P50","Buena",0.355,0.037,0.105
"P50","Ni buena ni mala",0.346,0.172,0.165
"P50","Mala",0.09,0.145,0.162
"P50","Muy mala",0.078,0.609,0.501
"P50","No sabe",0.005,0,0.006
"P51","Muy buena",0.019,0.464,0.221
"P51","Buena",0.067,0.235,0.171
"P51","Ni buena ni mala",0.082,0.151,0.137
"P51","Mala",0.136,0.031,0.113
"P51","Muy mala",0.694,0.115,0.356
"P51","No sabe",0.002,0.004,0.002
"P52","Muy buena",0.009,0.187,0.327
"P52","Buena",0.028,0.22,0.096
"P52","Ni buena ni mala",0.099,0.332,0.162
"P52","Mala",0.158,0.14,0.061
"P52","Muy mala",0.701,0.106,0.335
"P52","No sabe",0.005,0.015,0.019
"P53","Muy buena",0.012,0.268,0.083
"P53","Buena",0.055,0.327,0.119
"P53","Ni buena ni mala",0.086,0.253,0.173
"P53","Mala",0.104,0.076,0.162
"P53","Muy mala",0.732,0.074,0.451
"P53","No sabe",0.011,0.002,0.012
"P54","Muy buena",0.192,0.038,0.039
"P54","Buena",0.337,0.084,0.09
"P54","Ni buena ni mala",0.302,0.141,0.209
"P54","Mala",0.064,0.177,0.121
"P54","Muy mala",0.1,0.559,0.537
"P54","No sabe",0.005,0.001,0.004
"P55","Muy buena",0.048,0.086,0.028
"P55","Buena",0.132,0.148,0.044
"P55","Ni buena ni mala",0.389,0.387,0.338
"P55","Mala",0.177,0.179,0.171
"P55","Muy mala",0.203,0.191,0.381
"P55","No sabe",0.051,0.009,0.038
"P57","Siempre",0.272,0.31,0.269
"P57","Casi siempre",0.399,0.383,0.365
"P57","Casi nunca",0.251,0.222,0.217
"P57","Nunca, pero esta es una excepción",0.078,0.085,0.149
"P58","Si",0.555,0.619,0.565
"P58","No",0.445,0.381,0.435
