"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P22","Nunca la votaría",0.339,0.298,0.45,0.855,0.92,0.559,0.825,0.792,0.724
"P22","No sabe",0.066,0.05,0.165,0.092,0.033,0.04,0.066,0.053,0.147
"P23","Lo votaría",0.088,0.017,0.021,0.219,0.209,0.004,0.028,0.093,0.056
"P23","Puede que lo vote",0.067,0.041,0.217,0.365,0.458,0.086,0.253,0.366,0.201
"P23","Nunca lo votaría",0.797,0.93,0.641,0.375,0.236,0.898,0.587,0.475,0.631
"P23","No sabe",0.048,0.012,0.121,0.041,0.097,0.012,0.132,0.066,0.112
"P24","Lo votaría",0.087,0.025,0.05,0.051,0.006,0.015,0.028,0.024,0.038
"P24","Puede que lo vote",0.241,0.281,0.245,0.096,0.117,0.061,0.022,0.049,0.104
"P24","Nunca lo votaría",0.576,0.632,0.5,0.739,0.766,0.843,0.876,0.846,0.649
"P24","No sabe",0.096,0.062,0.205,0.114,0.111,0.081,0.074,0.081,0.209
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.012,0.025,0.099,0.685,0.859,0.017,0.362,0.6,0.527
"P26","Alberto Fernández por el Frente de Todos",0.03,0,0.038,0.236,0.055,0,0.029,0.044,0.005
"P26","Mauricio Macri por Juntos por el cambio",0.207,0.347,0.034,0.017,0,0.046,0,0.077,0.026
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.617,0.042,0.044,0.024,0.018,0.017,0,0.006,0.021
"P26","Patricia Bullrich por Juntos por el Cambio",0.069,0.547,0.12,0.018,0.006,0.062,0.047,0.019,0.024
"P26","Facundo Manes por Juntos por el Cambio",0.016,0.009,0.615,0.011,0.008,0.027,0,0.01,0.025
"P26","Javier Milei por los liberales libertarios",0.034,0.02,0.034,0,0.009,0.804,0.134,0.026,0.037
"P26","Nicolás del Caño por la izquierda",0,0,0,0,0,0.015,0.428,0.048,0.009
"P26","Aún no lo tengo decidido",0.015,0.01,0.016,0.009,0.045,0.012,0,0.17,0.326
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.105,0.017,0.129,0.854,0.829,0.014,0.31,0.673,0.504
"P28","Mauricio Macri por Juntos por el Cambio",0.487,0.733,0.24,0.018,0.024,0.016,0,0.076,0.075
"P28","Javier Milei por los liberales libertarios",0.052,0.129,0.156,0.004,0.005,0.928,0.117,0.062,0.011
"P28","Nicolás del Caño por la izquierda",0.028,0.012,0.01,0.039,0.006,0.005,0.504,0,0.01
"P28","Otro candidato",0.217,0.06,0.353,0.027,0.085,0.006,0,0.142,0.048
"P28","Aún no lo tengo decidido",0.111,0.049,0.112,0.058,0.051,0.031,0.069,0.047,0.352
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.753,0.457,0.27,0.046,0.081,0.022,0.118,0.116,0.105
"P30","Alberto Fernández por el Frente de Todos",0.071,0.024,0.065,0.832,0.53,0.002,0.048,0.087,0.112
"P30","Javier Milei por los liberales libertarios",0.047,0.235,0.163,0.015,0.003,0.934,0.078,0.022,0.048
"P30","Nicolás del Caño por la izquierda",0.021,0.015,0.005,0.03,0.026,0.023,0.71,0.037,0.015
"P30","Otro candidato",0.074,0.172,0.347,0.023,0.195,0.012,0.029,0.544,0.136
"P30","Aún no lo tengo decidido",0.034,0.097,0.15,0.054,0.165,0.007,0.017,0.194,0.584
"P32","Sergio Massa presidente por el Frente de Todos",0.083,0.013,0.067,0.592,0.837,0.007,0.034,0.099,0.145
"P32","Patricia Bullrich por Juntos por el Cambio",0.465,0.865,0.193,0.074,0.033,0.07,0,0.031,0.101
"P32","Javier Milei por los liberales libertarios",0.109,0.052,0.212,0.004,0.002,0.896,0.088,0.039,0.037
"P32","Nicolás del Caño por la izquierda",0.026,0,0.018,0.013,0.009,0.018,0.843,0.072,0.015
"P32","Otro candidato",0.213,0.032,0.321,0.119,0.073,0.006,0.017,0.529,0.185
"P32","Aún no lo tengo decidido",0.104,0.038,0.189,0.198,0.046,0.003,0.018,0.23,0.517
"P34","Sergio Massa presidente por el Frente de Todos",0.08,0.072,0.127,0.491,0.838,0.025,0.022,0.285,0.184
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.724,0.46,0.329,0.079,0.036,0.031,0,0.032,0.09
"P34","Javier Milei por los liberales libertarios",0.029,0.236,0.168,0.043,0.02,0.931,0.075,0.029,0.033
"P34","Nicolás del Caño por la izquierda",0.023,0.001,0.033,0.021,0.002,0.002,0.863,0.072,0.033
"P34","Otro candidato",0.119,0.145,0.281,0.179,0.085,0.01,0,0.434,0.191
"P34","Aún no lo tengo decidido",0.025,0.086,0.062,0.187,0.019,0.001,0.04,0.148,0.469
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.07,0.034,0.159,0.818,0.846,0.016,0.348,0.607,0.433
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.782,0.485,0.346,0.042,0.043,0.004,0.014,0.11,0.022
"P36","Javier Milei por los liberales libertarios",0.031,0.27,0.192,0.007,0.023,0.962,0.11,0.016,0.06
"P36","Nicolás del Caño por la izquierda",0.023,0.001,0.017,0.008,0,0.002,0.528,0.033,0.011
"P36","Otro candidato",0.072,0.141,0.181,0.014,0.049,0.016,0,0.183,0.133
"P36","Aún no lo tengo decidido",0.022,0.069,0.105,0.111,0.039,0,0,0.051,0.341
"P37","Sergio Massa presidente por el Frente de Todos",0.072,0.004,0.084,0.636,0.869,0.006,0.13,0.22,0.223
"P37","Mauricio Macri por Juntos por el Cambio",0.505,0.703,0.266,0.028,0.015,0.052,0,0.088,0.035
"P37","Javier Milei por los liberales libertarios",0.109,0.152,0.17,0.016,0.024,0.898,0.088,0.017,0.063
"P37","Nicolás del Caño por la izquierda",0.042,0.013,0,0.02,0.004,0.021,0.727,0.048,0.016
"P37","Otro candidato",0.185,0.078,0.393,0.15,0.067,0.018,0.037,0.437,0.169
"P37","Aún no lo tengo decidido",0.087,0.05,0.087,0.15,0.021,0.005,0.018,0.19,0.494
"P38","Alberto Fernández por el Frente de Todos",0.118,0.006,0.086,0.838,0.647,0.023,0.045,0.093,0.107
"P38","Mauricio Macri por Juntos por el Cambio",0.51,0.758,0.202,0.029,0.017,0.027,0,0.093,0.02
"P38","Javier Milei por los liberales libertarios",0.072,0.135,0.244,0.005,0.024,0.925,0.089,0,0.065
"P38","Nicolás del Caño por la izquierda",0.044,0.014,0.017,0.008,0.029,0.008,0.797,0.122,0.036
"P38","Otro candidato",0.186,0.056,0.365,0.053,0.205,0.014,0.013,0.613,0.234
"P38","Aún no lo tengo decidido",0.07,0.031,0.086,0.067,0.078,0.003,0.056,0.079,0.538
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.08,0.037,0.082,0.894,0.871,0.051,0.576,0.65,0.607
"P39","Mauricio Macri por Juntos por el Cambio",0.584,0.9,0.543,0.036,0.045,0.484,0.189,0.145,0.115
"P39","No sabe",0.336,0.063,0.375,0.07,0.084,0.465,0.235,0.205,0.278
"P40","Alberto Fernández por el Frente de Todos",0.034,0.032,0.048,0.934,0.695,0.021,0.418,0.323,0.342
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.863,0.744,0.679,0.02,0.045,0.395,0.136,0.225,0.161
"P40","No sabe",0.103,0.224,0.273,0.046,0.26,0.584,0.446,0.452,0.497
"P41","Sergio Massa presidente por el Frente de Todos",0.065,0.003,0.134,0.657,0.821,0.031,0.513,0.56,0.325
"P41","Patricia Bullrich por Juntos por el Cambio",0.553,0.959,0.659,0.021,0.019,0.718,0.118,0.059,0.153
"P41","No sabe",0.382,0.038,0.207,0.322,0.16,0.251,0.369,0.381,0.522
"P42","Sergio Massa presidente por el Frente de Todos",0.07,0.019,0.168,0.71,0.857,0.063,0.549,0.477,0.379
"P42","Mauricio Macri por Juntos por el Cambio",0.592,0.941,0.524,0.014,0.051,0.605,0.103,0.153,0.121
"P42","No sabe",0.338,0.04,0.308,0.276,0.092,0.332,0.348,0.37,0.5
"P43","Sergio Massa presidente por el Frente de Todos",0.085,0.004,0.186,0.705,0.88,0.006,0.626,0.527,0.446
"P43","Javier Milei por los liberales libertarios",0.308,0.628,0.39,0.034,0.033,0.96,0.118,0.047,0.151
"P43","No sabe",0.607,0.368,0.424,0.261,0.087,0.034,0.256,0.426,0.403
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.774,0.393,0.581,0.075,0.156,0.018,0.392,0.058,0.132
"P44","Javier Milei por los liberales libertarios",0.082,0.43,0.254,0.068,0.074,0.928,0.092,0.027,0.07
"P44","No sabe",0.144,0.177,0.165,0.857,0.77,0.054,0.516,0.915,0.798
"P45","Muy buena",0.06,0.023,0.025,0.164,0.079,0.024,0.026,0.012,0.1
"P45","Buena",0.019,0.047,0.023,0.362,0.293,0.039,0.069,0.214,0.121
"P45","Ni buena ni mala",0.132,0.037,0.091,0.372,0.424,0.008,0.504,0.429,0.36
"P45","Mala",0.225,0.055,0.185,0.046,0.14,0.077,0.245,0.18,0.196
"P45","Muy mala",0.564,0.833,0.676,0.016,0.039,0.852,0.145,0.15,0.223
"P45","No sabe",0,0.005,0,0.04,0.025,0,0.011,0.015,0
"P46","Muy buena",0.01,0.005,0,0.322,0.073,0,0,0.026,0.01
"P46","Buena",0.022,0.001,0.046,0.465,0.334,0.028,0.175,0.189,0.085
"P46","Ni buena ni mala",0.128,0.01,0.036,0.173,0.397,0.013,0.379,0.457,0.455
"P46","Mala",0.16,0.072,0.186,0.029,0.128,0.097,0.243,0.152,0.192
"P46","Muy mala",0.68,0.91,0.667,0.005,0.068,0.835,0.203,0.149,0.246
"P46","No sabe",0,0.002,0.065,0.006,0,0.027,0,0.027,0.012
"P47","Muy buena",0.059,0.001,0.008,0.703,0.678,0.016,0.227,0.538,0.496
"P47","Buena",0.02,0.006,0.124,0.17,0.103,0.006,0.269,0.069,0.085
"P47","Ni buena ni mala",0.02,0.004,0,0.089,0.127,0.04,0.078,0.126,0.153
"P47","Mala",0.199,0.047,0.091,0.014,0.048,0.036,0.247,0.139,0.027
"P47","Muy mala",0.702,0.936,0.678,0.024,0.042,0.902,0.179,0.128,0.239
"P47","No sabe",0,0.006,0.099,0,0.002,0,0,0,0
"P48","Muy buena",0.181,0.438,0.039,0.061,0.041,0.097,0.034,0.03,0.019
"P48","Buena",0.279,0.308,0.17,0.047,0.02,0.148,0,0.051,0.024
"P48","Ni buena ni mala",0.192,0.114,0.145,0.083,0.021,0.279,0.116,0.123,0.217
"P48","Mala",0.115,0.032,0.337,0.208,0.196,0.223,0.057,0.211,0.1
"P48","Muy mala",0.231,0.107,0.309,0.57,0.722,0.253,0.751,0.551,0.64
"P48","No sabe",0.002,0.001,0,0.031,0,0,0.042,0.034,0
"P49","Muy buena",0.523,0.166,0.073,0.027,0.014,0.029,0,0.022,0.036
"P49","Buena",0.289,0.429,0.406,0.062,0.051,0.19,0.015,0.044,0.142
"P49","Ni buena ni mala",0.121,0.273,0.174,0.142,0.107,0.171,0.195,0.277,0.183
"P49","Mala",0.045,0.061,0.155,0.253,0.251,0.21,0.198,0.116,0.131
"P49","Muy mala",0.022,0.07,0.184,0.509,0.575,0.397,0.592,0.541,0.499
"P49","No sabe",0,0.001,0.008,0.007,0.002,0.003,0,0,0.009
"P50","Muy buena",0.065,0.017,0.029,0.065,0.249,0.002,0,0.014,0.016
"P50","Buena",0.039,0.027,0.118,0.326,0.45,0.021,0.089,0.135,0.056
"P50","Ni buena ni mala",0.28,0.077,0.237,0.453,0.199,0.08,0.349,0.463,0.576
"P50","Mala",0.133,0.126,0.234,0.097,0.024,0.203,0.291,0.282,0.17
"P50","Muy mala",0.483,0.753,0.382,0.048,0.078,0.694,0.271,0.106,0.149
"P50","No sabe",0,0,0,0.011,0,0,0,0,0.033
"P51","Muy buena",0.228,0.648,0.183,0.015,0.018,0.322,0,0.006,0
"P51","Buena",0.202,0.233,0.464,0.087,0.032,0.279,0.05,0.087,0.026
"P51","Ni buena ni mala",0.349,0.018,0.104,0.14,0.053,0.191,0.145,0.176,0.219
"P51","Mala",0.048,0.014,0.089,0.177,0.114,0.104,0.188,0.072,0.157
"P51","Muy mala",0.165,0.084,0.16,0.575,0.779,0.104,0.617,0.659,0.598
"P51","No sabe",0.008,0.003,0,0.006,0.004,0,0,0,0
"P52","Muy buena",0.008,0.184,0.092,0.016,0.028,0.731,0.077,0,0
"P52","Buena",0.185,0.236,0.203,0.018,0.003,0.171,0.016,0.009,0.105
"P52","Ni buena ni mala",0.474,0.365,0.274,0.146,0.056,0.054,0,0.144,0.169
"P52","Mala",0.157,0.119,0.2,0.228,0.141,0.011,0.102,0.121,0.105
"P52","Muy mala",0.168,0.079,0.203,0.575,0.756,0.033,0.805,0.721,0.597
"P52","No sabe",0.008,0.017,0.028,0.017,0.016,0,0,0.005,0.024
"P53","Muy buena",0.319,0.262,0.264,0.015,0.033,0.08,0,0.026,0.027
"P53","Buena",0.22,0.36,0.162,0.057,0.029,0.222,0.045,0.158,0.1
"P53","Ni buena ni mala",0.232,0.262,0.267,0.123,0.051,0.234,0.157,0.058,0.153
"P53","Mala",0.119,0.061,0.133,0.125,0.137,0.139,0.11,0.142,0.066
"P53","Muy mala",0.11,0.055,0.174,0.646,0.735,0.322,0.669,0.616,0.65
"P53","No sabe",0,0,0,0.034,0.015,0.003,0.019,0,0.004
"P54","Muy buena",0.034,0.037,0,0.25,0.191,0,0,0.041,0.103
"P54","Buena",0.113,0.044,0.11,0.356,0.352,0.051,0.022,0.213,0.164
"P54","Ni buena ni mala",0.269,0.083,0.075,0.219,0.278,0.12,0.441,0.5,0.373
"P54","Mala",0.163,0.139,0.121,0.12,0.033,0.189,0.188,0.136,0.157
"P54","Muy mala",0.421,0.693,0.694,0.043,0.146,0.64,0.349,0.11,0.19
"P54","No sabe",0,0.004,0,0.012,0,0,0,0,0.013
"P55","Muy buena",0.07,0.015,0.522,0.057,0.032,0.015,0,0.112,0.148
"P55","Buena",0.11,0.138,0.272,0.158,0.127,0.048,0.089,0.077,0.027
"P55","Ni buena ni mala",0.491,0.321,0.059,0.38,0.409,0.341,0.526,0.411,0.444
"P55","Mala",0.177,0.219,0.055,0.12,0.196,0.153,0.042,0.152,0.194
"P55","Muy mala",0.144,0.296,0.078,0.192,0.204,0.389,0.299,0.248,0.174
"P55","No sabe",0.008,0.011,0.014,0.093,0.032,0.054,0.044,0,0.013
"P57","Siempre",0.407,0.227,0.453,0.232,0.322,0.329,0.129,0.275,0.185
"P57","Casi siempre",0.349,0.431,0.269,0.377,0.377,0.262,0.673,0.339,0.54
"P57","Casi nunca",0.191,0.276,0.186,0.33,0.172,0.226,0.16,0.197,0.201
"P57","Nunca, pero esta es una excepción",0.053,0.066,0.092,0.061,0.129,0.183,0.038,0.189,0.074
"P58","Si",0.574,0.582,0.676,0.611,0.577,0.629,0.572,0.624,0.432
"P58","No",0.426,0.418,0.324,0.389,0.423,0.371,0.428,0.376,0.568
