"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.298,0.024,0.145,0.046,0.03
"P26","Patricia Bullrich por Juntos por el Cambio",0.019,0.272,0.255,0.011,0.274,0.166
"P26","Facundo Manes por Juntos por el Cambio",0.014,0.054,0.026,0.009,0.11,0.048
"P26","Javier Milei por los liberales libertarios",0.011,0.004,0.521,0.026,0.033,0.081
"P26","Nicolás del Caño por la izquierda",0,0,0.011,0.629,0,0
"P26","Aún no lo tengo decidido",0.001,0.011,0.026,0,0.187,0.29
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.365,0.015,0.145,0.102,0.037
"P27","Patricia Bullrich por Juntos por el Cambio",0.027,0.507,0.295,0.011,0.45,0.261
"P27","Facundo Manes por Juntos por el Cambio",0.017,0.049,0.029,0.034,0.079,0.055
"P27","Alberto Fernández por el Frente de Todos",0.256,0.017,0.003,0.046,0.018,0.169
"P27","Sergio Massa por el Frente de Todos",0.476,0.033,0.018,0,0.111,0.106
"P27","Javier Milei por los liberales libertarios",0.007,0.003,0.609,0.014,0.029,0
"P27","Nicolás del Caño por la izquierda",0.023,0.001,0.01,0.63,0,0
"P27","Otros candidatos",0.08,0.019,0.003,0.08,0.099,0.033
"P27","Aún no lo tengo decidido",0.089,0.006,0.018,0.04,0.112,0.339
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.889,0.08,0.017,0.166,0.045,0.201
"P28","Mauricio Macri por Juntos por el Cambio",0.049,0.694,0.193,0.011,0.332,0.192
"P28","Javier Milei por los liberales libertarios",0.007,0.035,0.758,0.012,0.014,0.028
"P28","Nicolás del Caño por la izquierda",0.001,0.021,0.004,0.773,0.011,0.018
"P28","Otro candidato",0.039,0.142,0.012,0.024,0.37,0.05
"P28","Aún no lo tengo decidido",0.015,0.028,0.016,0.014,0.228,0.511
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.1,0.765,0.074,0.025,0.106,0.082
"P30","Alberto Fernández por el Frente de Todos",0.523,0.074,0.019,0.06,0.044,0.173
"P30","Javier Milei por los liberales libertarios",0.023,0.024,0.839,0,0.059,0.048
"P30","Nicolás del Caño por la izquierda",0.038,0.015,0.016,0.892,0.019,0
"P30","Otro candidato",0.174,0.076,0.037,0.023,0.611,0.067
"P30","Aún no lo tengo decidido",0.142,0.046,0.015,0,0.161,0.63
"P32","Sergio Massa presidente por el Frente de Todos",0.619,0.088,0.02,0.031,0.133,0.134
"P32","Patricia Bullrich por Juntos por el Cambio",0.062,0.668,0.317,0.011,0.451,0.279
"P32","Javier Milei por los liberales libertarios",0.016,0.056,0.634,0.012,0.021,0.03
"P32","Nicolás del Caño por la izquierda",0.034,0.001,0.015,0.923,0.003,0
"P32","Otro candidato",0.139,0.114,0.001,0.023,0.325,0.061
"P32","Aún no lo tengo decidido",0.13,0.073,0.013,0,0.067,0.496
"P34","Sergio Massa presidente por el Frente de Todos",0.616,0.138,0.044,0.014,0.128,0.151
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.081,0.772,0.053,0,0.091,0.067
"P34","Javier Milei por los liberales libertarios",0.012,0.014,0.884,0.012,0.025,0.054
"P34","Nicolás del Caño por la izquierda",0.036,0.001,0.002,0.974,0.007,0
"P34","Otro candidato",0.156,0.053,0.009,0,0.703,0.075
"P34","Aún no lo tengo decidido",0.099,0.022,0.008,0,0.046,0.653
"P37","Sergio Massa presidente por el Frente de Todos",0.697,0.065,0.002,0.014,0.112,0.153
"P37","Mauricio Macri por Juntos por el Cambio",0.042,0.723,0.169,0.011,0.304,0.172
"P37","Javier Milei por los liberales libertarios",0.023,0.042,0.786,0,0.012,0.013
"P37","Nicolás del Caño por la izquierda",0.022,0.022,0.016,0.859,0.014,0
"P37","Otro candidato",0.141,0.101,0.023,0.014,0.451,0.035
"P37","Aún no lo tengo decidido",0.075,0.047,0.004,0.102,0.107,0.627
"P38","Alberto Fernández por el Frente de Todos",0.622,0.067,0.014,0.073,0.061,0.091
"P38","Mauricio Macri por Juntos por el Cambio",0.042,0.716,0.184,0.011,0.369,0.208
"P38","Javier Milei por los liberales libertarios",0.009,0.05,0.777,0,0.007,0.013
"P38","Nicolás del Caño por la izquierda",0.056,0.023,0.004,0.798,0.028,0
"P38","Otro candidato",0.194,0.12,0.019,0.073,0.398,0.068
"P38","Aún no lo tengo decidido",0.077,0.024,0.002,0.045,0.137,0.62
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.91,0.084,0.035,0.411,0.136,0.198
"P39","Mauricio Macri por Juntos por el Cambio",0.055,0.792,0.611,0.182,0.498,0.34
"P39","No sabe",0.035,0.124,0.354,0.407,0.366,0.462
"P40","Alberto Fernández por el Frente de Todos",0.698,0.055,0.031,0.352,0.14,0.28
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.083,0.928,0.441,0.141,0.352,0.235
"P40","No sabe",0.219,0.017,0.528,0.507,0.508,0.485
"P41","Sergio Massa presidente por el Frente de Todos",0.71,0.096,0.013,0.318,0.186,0.174
"P41","Patricia Bullrich por Juntos por el Cambio",0.049,0.784,0.787,0.07,0.574,0.324
"P41","No sabe",0.241,0.12,0.2,0.612,0.24,0.502
"P42","Sergio Massa presidente por el Frente de Todos",0.757,0.1,0.039,0.317,0.192,0.149
"P42","Mauricio Macri por Juntos por el Cambio",0.058,0.781,0.736,0.056,0.536,0.32
"P42","No sabe",0.185,0.119,0.225,0.627,0.272,0.531
"P43","Sergio Massa presidente por el Frente de Todos",0.769,0.091,0.01,0.665,0.17,0.178
"P43","Javier Milei por los liberales libertarios",0.046,0.426,0.955,0.032,0.221,0.201
"P43","No sabe",0.185,0.483,0.035,0.303,0.609,0.621
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.126,0.743,0.033,0.402,0.198,0.203
"P44","Javier Milei por los liberales libertarios",0.07,0.126,0.929,0.012,0.157,0.132
"P44","No sabe",0.804,0.131,0.038,0.586,0.645,0.665
"P45","Muy buena",0.104,0.059,0.017,0,0,0.03
"P45","Buena",0.295,0.014,0.082,0.07,0.076,0.024
"P45","Ni buena ni mala",0.378,0.097,0.011,0.454,0.241,0.318
"P45","Mala",0.123,0.137,0.066,0.158,0.155,0.157
"P45","Muy mala",0.074,0.688,0.824,0.318,0.528,0.459
"P45","No sabe",0.026,0.005,0,0,0,0.012
"P46","Muy buena",0.102,0.024,0.016,0,0.008,0.073
"P46","Buena",0.354,0.017,0.019,0.128,0.037,0.032
"P46","Ni buena ni mala",0.328,0.084,0.012,0.396,0.163,0.283
"P46","Mala",0.113,0.12,0.082,0.127,0.152,0.139
"P46","Muy mala",0.101,0.754,0.855,0.349,0.626,0.409
"P46","No sabe",0.002,0.001,0.016,0,0.014,0.064
"P47","Muy buena",0.703,0.054,0.018,0.104,0.026,0.165
"P47","Buena",0.13,0.013,0.006,0.239,0.03,0.069
"P47","Ni buena ni mala",0.094,0.007,0.03,0.057,0.077,0.218
"P47","Mala",0.026,0.114,0.03,0.28,0.14,0.114
"P47","Muy mala",0.046,0.806,0.902,0.32,0.727,0.434
"P47","No sabe",0.001,0.006,0.014,0,0,0
"P48","Muy buena",0.039,0.333,0.201,0,0.247,0.121
"P48","Buena",0.035,0.306,0.195,0,0.122,0.151
"P48","Ni buena ni mala",0.051,0.137,0.233,0.093,0.122,0.233
"P48","Mala",0.148,0.099,0.149,0.126,0.173,0.239
"P48","Muy mala",0.718,0.123,0.222,0.734,0.315,0.256
"P48","No sabe",0.009,0.002,0,0.047,0.021,0
"P49","Muy buena",0.01,0.363,0.049,0,0.097,0.063
"P49","Buena",0.055,0.453,0.24,0,0.119,0.284
"P49","Ni buena ni mala",0.122,0.122,0.213,0.309,0.472,0.31
"P49","Mala",0.223,0.025,0.178,0.294,0.124,0.159
"P49","Muy mala",0.587,0.037,0.318,0.397,0.177,0.178
"P49","No sabe",0.003,0,0.002,0,0.011,0.006
"P50","Muy buena",0.126,0.047,0.011,0,0.048,0.152
"P50","Buena",0.345,0.049,0.029,0.08,0.072,0.092
"P50","Ni buena ni mala",0.32,0.198,0.095,0.289,0.173,0.328
"P50","Mala",0.088,0.156,0.164,0.256,0.137,0.116
"P50","Muy mala",0.114,0.55,0.701,0.375,0.56,0.312
"P50","No sabe",0.007,0,0,0,0.01,0
"P51","Muy buena",0.02,0.464,0.415,0,0.341,0.161
"P51","Buena",0.056,0.222,0.274,0,0.124,0.241
"P51","Ni buena ni mala",0.064,0.166,0.143,0.174,0.158,0.187
"P51","Mala",0.118,0.04,0.072,0.073,0.094,0.139
"P51","Muy mala",0.74,0.101,0.096,0.753,0.283,0.259
"P51","No sabe",0.002,0.007,0,0,0,0.013
"P52","Muy buena",0.003,0.062,0.617,0,0.043,0.029
"P52","Buena",0.019,0.193,0.257,0.012,0.065,0.068
"P52","Ni buena ni mala",0.085,0.439,0.088,0,0.391,0.367
"P52","Mala",0.134,0.186,0.013,0.093,0.208,0.132
"P52","Muy mala",0.745,0.105,0.023,0.895,0.275,0.358
"P52","No sabe",0.014,0.015,0.002,0,0.018,0.046
"P53","Muy buena",0.003,0.341,0.139,0,0.122,0.111
"P53","Buena",0.051,0.288,0.269,0.012,0.247,0.204
"P53","Ni buena ni mala",0.066,0.227,0.247,0.137,0.246,0.311
"P53","Mala",0.118,0.058,0.127,0.32,0.147,0.078
"P53","Muy mala",0.754,0.086,0.216,0.51,0.235,0.232
"P53","No sabe",0.008,0,0.002,0.021,0.003,0.064
"P54","Muy buena",0.192,0.032,0.019,0,0.029,0.066
"P54","Buena",0.328,0.1,0.039,0.043,0.108,0.074
"P54","Ni buena ni mala",0.32,0.156,0.076,0.344,0.168,0.359
"P54","Mala",0.051,0.166,0.17,0.146,0.185,0.142
"P54","Muy mala",0.105,0.545,0.695,0.467,0.5,0.347
"P54","No sabe",0.004,0.001,0.001,0,0.01,0.012
"P55","Muy buena",0.024,0.093,0.03,0,0.095,0.211
"P55","Buena",0.106,0.185,0.07,0.05,0.094,0.071
"P55","Ni buena ni mala",0.406,0.413,0.292,0.434,0.268,0.481
"P55","Mala",0.209,0.169,0.16,0.205,0.163,0.093
"P55","Muy mala",0.203,0.137,0.424,0.262,0.34,0.123
"P55","No sabe",0.052,0.003,0.024,0.049,0.04,0.021
"P57","Siempre",0.313,0.33,0.267,0.09,0.154,0.275
"P57","Casi siempre",0.367,0.416,0.31,0.496,0.456,0.507
"P57","Casi nunca",0.218,0.191,0.268,0.29,0.288,0.203
"P57","Nunca, pero esta es una excepción",0.102,0.063,0.155,0.124,0.102,0.015
"P58","Si",0.587,0.64,0.597,0.461,0.454,0.478
"P58","No",0.413,0.36,0.403,0.539,0.546,0.522
