"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P12","A Patricia Bullrich",0.033,0.347,0.561,0,0.264,0.396
"P12","A Facundo Manes",0.447,0.023,0.12,0,0.184,0.014
"P12","A Gerardo Morales",0.185,0.005,0.021,0,0.059,0.013
"P13","Seguro lo votaria",0,0.136,0.476,0.128,0.226,0.049
"P13","Quizás lo votaría",0.26,0.406,0.428,0,0.368,0.588
"P13","Nunca lo votaría",0.74,0.458,0.096,0.872,0.406,0.363
"P14","Lo votaría",0.018,0.695,0.148,0.047,0.065,0.08
"P14","Puede que lo vote",0.013,0.245,0.306,0.187,0.23,0.292
"P14","Nunca lo votaría",0.916,0.046,0.492,0.715,0.605,0.501
"P14","No sabe",0.053,0.014,0.054,0.051,0.1,0.127
"P15","Lo votaría",0.247,0.057,0.009,0.062,0.173,0.11
"P15","Puede que lo vote",0.447,0.061,0.077,0.351,0.294,0.201
"P15","Nunca lo votaría",0.24,0.865,0.893,0.558,0.516,0.584
"P15","No sabe",0.066,0.017,0.021,0.029,0.017,0.105
"P16","Lo votaría",0.275,0.008,0.002,0.046,0.116,0.128
"P16","Puede que lo vote",0.435,0.012,0.004,0.274,0.128,0.064
"P16","Nunca lo votaría",0.193,0.954,0.988,0.603,0.681,0.639
"P16","No sabe",0.097,0.026,0.006,0.077,0.075,0.169
"P17","La votaría",0.82,0.014,0.025,0.022,0.111,0.105
"P17","Puede que la vote",0.137,0.001,0.046,0.281,0.118,0.108
"P17","Nunca la votaría",0.038,0.984,0.924,0.64,0.696,0.659
"P17","No sabe",0.005,0.001,0.005,0.057,0.075,0.128
"P18","Lo votaría",0.059,0.295,0.037,0.114,0.312,0.102
"P18","Puede que lo vote",0.055,0.408,0.311,0.232,0.275,0.352
"P18","Nunca lo votaría",0.859,0.261,0.622,0.545,0.345,0.366
"P18","No sabe",0.027,0.036,0.03,0.109,0.068,0.18
"P19","Lo votaría",0.02,0.098,0.036,0.031,0.167,0.096
"P19","Puede que lo vote",0.153,0.231,0.219,0.268,0.234,0.245
"P19","Nunca lo votaría",0.695,0.581,0.699,0.434,0.483,0.417
"P19","No sabe",0.132,0.09,0.046,0.267,0.116,0.242
"P20","La votaría",0.017,0.63,0.316,0.148,0.221,0.214
"P20","Puede que la vote",0.03,0.248,0.363,0.038,0.182,0.213
"P20","Nunca la votaría",0.931,0.108,0.301,0.732,0.499,0.428
"P20","No sabe",0.022,0.014,0.02,0.082,0.098,0.145
"P21","Lo votaría",0.014,0.086,0.786,0.017,0.016,0.103
"P21","Puede que lo vote",0.037,0.418,0.172,0.266,0.28,0.146
"P21","Nunca lo votaría",0.918,0.438,0.028,0.691,0.602,0.53
"P21","No sabe",0.031,0.058,0.014,0.026,0.102,0.221
"P22","La votaría",0.02,0.292,0.111,0.044,0.118,0.094
"P22","Puede que la vote",0.022,0.402,0.321,0.276,0.203,0.244
"P22","Nunca la votaría",0.909,0.268,0.528,0.587,0.576,0.446
"P22","No sabe",0.049,0.038,0.04,0.093,0.103,0.216
"P23","Lo votaría",0.186,0.05,0.006,0,0.107,0.013
"P23","Puede que lo vote",0.429,0.033,0.066,0.193,0.145,0.144
"P23","Nunca lo votaría",0.321,0.901,0.918,0.703,0.648,0.654
"P23","No sabe",0.064,0.016,0.01,0.104,0.1,0.189
"P24","Lo votaría",0.035,0.045,0.015,0,0.049,0.014
"P24","Puede que lo vote",0.081,0.253,0.125,0.185,0.232,0.178
"P24","Nunca lo votaría",0.803,0.617,0.806,0.617,0.556,0.517
"P24","No sabe",0.081,0.085,0.054,0.198,0.163,0.291
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.87,0.017,0.01,0.009,0.124,0.07
"P26","Alberto Fernández por el Frente de Todos",0.076,0.001,0.006,0.195,0.057,0.066
"P26","Mauricio Macri por Juntos por el cambio",0.004,0.445,0.032,0,0.009,0.028
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.141,0.041,0.126,0.305,0.156
"P26","Patricia Bullrich por Juntos por el Cambio",0.001,0.353,0.187,0.132,0.195,0.202
"P26","Facundo Manes por Juntos por el Cambio",0.01,0.025,0.031,0.027,0.17,0.068
"P26","Javier Milei por los liberales libertarios",0.01,0.003,0.67,0.048,0.002,0.102
"P26","Nicolás del Caño por la izquierda",0,0,0.012,0.463,0,0
"P26","Aún no lo tengo decidido",0.006,0.015,0.011,0,0.138,0.308
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.213,0.03,0.128,0.311,0.167
"P27","Patricia Bullrich por Juntos por el Cambio",0.013,0.69,0.162,0.117,0.184,0.161
"P27","Facundo Manes por Juntos por el Cambio",0.013,0.032,0.027,0.015,0.153,0.051
"P27","Alberto Fernández por el Frente de Todos",0.271,0.007,0.002,0.164,0.036,0.08
"P27","Sergio Massa por el Frente de Todos",0.447,0.017,0.004,0.042,0.188,0.12
"P27","Javier Milei por los liberales libertarios",0.007,0.01,0.743,0.031,0.012,0.063
"P27","Nicolás del Caño por la izquierda",0.022,0,0.014,0.476,0,0.021
"P27","Otros candidatos",0.088,0.012,0.014,0,0.076,0.026
"P27","Aún no lo tengo decidido",0.102,0.019,0.004,0.027,0.04,0.311
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.091,0.612,0.08,0.043,0.344,0.136
"P30","Alberto Fernández por el Frente de Todos",0.539,0.052,0.003,0.194,0.106,0.07
"P30","Javier Milei por los liberales libertarios",0.025,0.125,0.888,0,0.032,0.049
"P30","Nicolás del Caño por la izquierda",0.039,0.004,0.015,0.763,0,0
"P30","Otro candidato",0.153,0.129,0.011,0,0.477,0.154
"P30","Aún no lo tengo decidido",0.153,0.078,0.003,0,0.041,0.591
"P32","Sergio Massa presidente por el Frente de Todos",0.617,0.025,0.006,0.077,0.215,0.18
"P32","Patricia Bullrich por Juntos por el Cambio",0.035,0.822,0.196,0.147,0.256,0.242
"P32","Javier Milei por los liberales libertarios",0.023,0.039,0.757,0.05,0.058,0.053
"P32","Nicolás del Caño por la izquierda",0.035,0.001,0.023,0.607,0,0.006
"P32","Otro candidato",0.137,0.072,0.007,0.119,0.369,0.092
"P32","Aún no lo tengo decidido",0.153,0.041,0.011,0,0.102,0.427
"P34","Sergio Massa presidente por el Frente de Todos",0.622,0.062,0.03,0.033,0.226,0.214
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.629,0.06,0.195,0.33,0.134
"P34","Javier Milei por los liberales libertarios",0.032,0.133,0.881,0,0.016,0.062
"P34","Nicolás del Caño por la izquierda",0.039,0.001,0.008,0.68,0.002,0.008
"P34","Otro candidato",0.139,0.123,0.013,0.038,0.37,0.197
"P34","Aún no lo tengo decidido",0.119,0.052,0.008,0.054,0.056,0.385
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.87,0.059,0.012,0.011,0.153,0.071
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.058,0.628,0.045,0.23,0.415,0.1
"P36","Javier Milei por los liberales libertarios",0.012,0.166,0.926,0.038,0.034,0.057
"P36","Nicolás del Caño por la izquierda",0.009,0.001,0.001,0.627,0.005,0.004
"P36","Otro candidato",0.011,0.098,0.006,0.039,0.352,0.266
"P36","Aún no lo tengo decidido",0.04,0.048,0.01,0.055,0.041,0.502
"P37","Sergio Massa presidente por el Frente de Todos",0.683,0.016,0.005,0.09,0.218,0.179
"P37","Mauricio Macri por Juntos por el Cambio",0.024,0.861,0.044,0,0.101,0.111
"P37","Javier Milei por los liberales libertarios",0.034,0.057,0.87,0,0.084,0.037
"P37","Nicolás del Caño por la izquierda",0.02,0.005,0.026,0.856,0.009,0
"P37","Otro candidato",0.137,0.033,0.034,0.054,0.504,0.159
"P37","Aún no lo tengo decidido",0.102,0.028,0.021,0,0.084,0.514
"P38","Alberto Fernández por el Frente de Todos",0.616,0.008,0.018,0.074,0.191,0.127
"P38","Mauricio Macri por Juntos por el Cambio",0.011,0.899,0.035,0,0.114,0.134
"P38","Javier Milei por los liberales libertarios",0.023,0.052,0.893,0,0.064,0.029
"P38","Nicolás del Caño por la izquierda",0.052,0.005,0.011,0.89,0.011,0.004
"P38","Otro candidato",0.201,0.019,0.032,0,0.553,0.163
"P38","Aún no lo tengo decidido",0.097,0.017,0.011,0.036,0.067,0.543
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.951,0.042,0.042,0.248,0.174,0.092
"P39","Mauricio Macri por Juntos por el Cambio",0.009,0.944,0.533,0.321,0.3,0.298
"P39","No sabe",0.04,0.014,0.425,0.431,0.526,0.61
"P40","Alberto Fernández por el Frente de Todos",0.759,0.029,0.002,0.268,0.129,0.155
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.806,0.471,0.325,0.563,0.242
"P40","No sabe",0.182,0.165,0.527,0.407,0.308,0.603
"P41","Sergio Massa presidente por el Frente de Todos",0.742,0.019,0.015,0.315,0.215,0.207
"P41","Patricia Bullrich por Juntos por el Cambio",0.011,0.929,0.766,0.224,0.367,0.256
"P41","No sabe",0.247,0.052,0.219,0.461,0.418,0.537
"P42","Sergio Massa presidente por el Frente de Todos",0.795,0.005,0.042,0.449,0.193,0.223
"P42","Mauricio Macri por Juntos por el Cambio",0.033,0.979,0.653,0.016,0.298,0.21
"P42","No sabe",0.172,0.016,0.305,0.535,0.509,0.567
"P43","Sergio Massa presidente por el Frente de Todos",0.802,0.02,0.008,0.471,0.163,0.231
"P43","Javier Milei por los liberales libertarios",0.046,0.535,0.947,0.188,0.19,0.211
"P43","No sabe",0.152,0.445,0.045,0.341,0.647,0.558
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.123,0.537,0.054,0.445,0.55,0.231
"P44","Javier Milei por los liberales libertarios",0.073,0.275,0.896,0.187,0.096,0.176
"P44","No sabe",0.804,0.188,0.05,0.368,0.354,0.593
"P45","Muy buena",0.089,0.036,0.021,0.024,0.091,0.041
"P45","Buena",0.317,0.036,0.044,0.022,0.029,0.013
"P45","Ni buena ni mala",0.408,0.033,0.017,0.308,0.31,0.245
"P45","Mala",0.137,0.103,0.066,0.112,0.132,0.24
"P45","Muy mala",0.025,0.789,0.852,0.534,0.438,0.43
"P45","No sabe",0.024,0.003,0,0,0,0.031
"P46","Muy buena",0.127,0,0,0,0.033,0.048
"P46","Buena",0.349,0.001,0.027,0.09,0.064,0.037
"P46","Ni buena ni mala",0.354,0.038,0.013,0.264,0.22,0.197
"P46","Mala",0.112,0.085,0.097,0.112,0.164,0.229
"P46","Muy mala",0.052,0.874,0.843,0.534,0.519,0.434
"P46","No sabe",0.006,0.002,0.02,0,0,0.055
"P47","Muy buena",0.742,0,0.016,0.05,0.062,0.059
"P47","Buena",0.128,0.001,0.006,0.125,0.092,0.058
"P47","Ni buena ni mala",0.1,0.008,0.03,0.072,0.053,0.205
"P47","Mala",0.024,0.065,0.049,0.212,0.218,0.146
"P47","Muy mala",0.005,0.912,0.897,0.524,0.575,0.532
"P47","No sabe",0.001,0.014,0.002,0.017,0,0
"P48","Muy buena",0.044,0.452,0.13,0,0.014,0.031
"P48","Buena",0.02,0.336,0.162,0.017,0.119,0.197
"P48","Ni buena ni mala",0.045,0.103,0.277,0.091,0.195,0.294
"P48","Mala",0.157,0.021,0.194,0.318,0.251,0.258
"P48","Muy mala",0.722,0.087,0.237,0.535,0.421,0.204
"P48","No sabe",0.012,0.001,0,0.039,0,0.016
"P49","Muy buena",0.014,0.273,0.045,0,0.261,0.115
"P49","Buena",0.039,0.422,0.246,0.257,0.229,0.195
"P49","Ni buena ni mala",0.117,0.207,0.202,0.262,0.192,0.404
"P49","Mala",0.236,0.044,0.176,0.208,0.089,0.152
"P49","Muy mala",0.593,0.053,0.329,0.273,0.229,0.105
"P49","No sabe",0.001,0.001,0.002,0,0,0.029
"P50","Muy buena",0.133,0.024,0.005,0.019,0.121,0.084
"P50","Buena",0.332,0.027,0.022,0.098,0.116,0.177
"P50","Ni buena ni mala",0.335,0.106,0.099,0.482,0.309,0.311
"P50","Mala",0.093,0.155,0.186,0.062,0.115,0.146
"P50","Muy mala",0.098,0.688,0.688,0.339,0.339,0.282
"P50","No sabe",0.009,0,0,0,0,0
"P51","Muy buena",0.023,0.542,0.372,0.19,0.14,0.181
"P51","Buena",0.04,0.256,0.273,0.04,0.154,0.208
"P51","Ni buena ni mala",0.062,0.102,0.173,0.134,0.286,0.247
"P51","Mala",0.13,0.02,0.085,0.063,0.085,0.159
"P51","Muy mala",0.745,0.074,0.097,0.573,0.335,0.179
"P51","No sabe",0,0.006,0,0,0,0.026
"P52","Muy buena",0.015,0.113,0.673,0,0.029,0.038
"P52","Buena",0.02,0.239,0.187,0,0.114,0.114
"P52","Ni buena ni mala",0.073,0.39,0.088,0,0.417,0.43
"P52","Mala",0.139,0.145,0.01,0.291,0.177,0.148
"P52","Muy mala",0.743,0.093,0.042,0.691,0.261,0.21
"P52","No sabe",0.01,0.02,0,0.018,0.002,0.06
"P53","Muy buena",0.017,0.319,0.11,0.042,0.17,0.085
"P53","Buena",0.037,0.339,0.27,0,0.179,0.173
"P53","Ni buena ni mala",0.059,0.254,0.221,0.112,0.257,0.355
"P53","Mala",0.139,0.037,0.121,0.491,0.088,0.116
"P53","Muy mala",0.735,0.051,0.276,0.338,0.306,0.234
"P53","No sabe",0.013,0,0.002,0.017,0,0.037
"P54","Muy buena",0.197,0.042,0.006,0,0.017,0
"P54","Buena",0.33,0.044,0.049,0.228,0.178,0.021
"P54","Ni buena ni mala",0.325,0.093,0.119,0.192,0.271,0.294
"P54","Mala",0.047,0.185,0.156,0.141,0.124,0.251
"P54","Muy mala",0.097,0.635,0.668,0.439,0.41,0.408
"P54","No sabe",0.004,0.001,0.002,0,0,0.026
"P55","Muy buena",0.039,0.058,0.026,0,0.166,0.165
"P55","Buena",0.115,0.126,0.075,0.284,0.139,0.067
"P55","Ni buena ni mala",0.412,0.345,0.35,0.222,0.325,0.557
"P55","Mala",0.194,0.19,0.166,0.212,0.117,0.095
"P55","Muy mala",0.192,0.272,0.353,0.242,0.233,0.093
"P55","No sabe",0.048,0.009,0.03,0.04,0.02,0.023
"P57","Siempre",0.305,0.276,0.285,0.255,0.317,0.222
"P57","Casi siempre",0.383,0.423,0.31,0.415,0.324,0.503
"P57","Casi nunca",0.217,0.249,0.241,0.312,0.175,0.199
"P57","Nunca, pero esta es una excepción",0.095,0.052,0.164,0.018,0.184,0.076
"P58","Si",0.591,0.603,0.632,0.561,0.498,0.422
"P58","No",0.409,0.397,0.368,0.439,0.502,0.578
