"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P38","Neutral",0.211,0.257,0.36,0.554,0.151,0.005
"P38","Algo negativa",0.011,0.161,0.134,0.263,0.078,0.146
"P38","Negativa",0.053,0.03,0.13,0.065,0.455,0.287
"P38","No sabe",0.053,0.067,0.077,0.102,0.089,0.354
"P39","Muy positiva",0.678,0.347,0.231,0.282,0.224,0.344
"P39","Positiva",0.174,0.488,0.107,0.195,0.096,0.159
"P39","Neutral",0.111,0.095,0.542,0.145,0.102,0.25
"P39","Algo negativa",0.014,0.035,0.046,0.086,0.056,0.146
"P39","Negativa",0.008,0.026,0.044,0.183,0.471,0.017
"P39","No sabe",0.015,0.009,0.03,0.109,0.051,0.084
"P41","Lo votaría",0.542,0.412,0.092,0.095,0.209,0.236
"P41","Puede que lo vote",0.096,0.159,0.018,0,0.088,0.039
"P41","Nunca lo votaría",0.323,0.377,0.781,0.56,0.692,0.428
"P41","No sabe",0.039,0.052,0.109,0.345,0.011,0.297
"P42","Lo votaría",0.109,0.158,0.209,0.096,0.406,0.225
"P42","Puede que lo vote",0.07,0.151,0.138,0.014,0.197,0.031
"P42","Nunca lo votaría",0.74,0.622,0.558,0.756,0.297,0.38
"P42","No sabe",0.081,0.069,0.095,0.134,0.1,0.364
"P43","Lo votaría",0.123,0.211,0.421,0.519,0.133,0.14
"P43","Puede que lo vote",0.041,0.097,0.148,0.016,0.131,0.039
"P43","Nunca lo votaría",0.793,0.66,0.34,0.365,0.719,0.729
"P43","No sabe",0.043,0.032,0.091,0.1,0.017,0.092
"P44","Lo votaría",0.084,0.103,0.152,0.007,0.064,0.251
"P44","Puede que lo vote",0.088,0.116,0.162,0.133,0.03,0.072
"P44","Nunca lo votaría",0.738,0.646,0.574,0.719,0.7,0.476
"P44","No sabe",0.09,0.135,0.112,0.141,0.206,0.201
"P45","Si",0.462,0.363,0.225,0.182,0.539,0.442
"P45","No",0.538,0.637,0.775,0.818,0.461,0.558
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.594,0.53,0.205,0.293,0.161,0.345
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.132,0.152,0.227,0.113,0.408,0.29
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.142,0.251,0.45,0.505,0.354,0.146
