"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P26","Algo seguro",0.068,0.002,0.187
"P26","Para nada seguro",0.068,0.41,0.279
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.434,0.39,0.492
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.151,0.176,0.074
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.215,0.041,0.175
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.054,0.19,0.036
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.077,0.108,0
"P28","No sabe",0.069,0.095,0.223
"P29","No estaba enterado del tema",0.092,0.252,0.08
"P29","Un tema de la vida privada de él",0.105,0.139,0
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.278,0.03,0.298
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.233,0.195,0.319
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.226,0.335,0.238
"P29","No sabe",0.066,0.049,0.065
"P30","Si",0.837,0.525,0.633
"P30","No",0.163,0.475,0.367
"P31","Sergio Massa",0.368,0.2,0.414
"P31","Patria Bullrich",0.14,0.096,0.406
"P31","Javier Milei",0.271,0.372,0.091
"P31","Myriam Bregman",0.169,0.281,0.039
"P31","Juan Schiaretti",0.052,0.051,0.05
"P32","Ha aumentado significativamente",0.103,0.224,0.368
"P32","Ha aumentado ligeramente",0.217,0.026,0.067
"P32","Se mantiene igual",0.299,0.199,0.306
"P32","Ha disminuido ligeramente",0.173,0.277,0.167
"P32","Ha disminuido significativamente",0.208,0.274,0.092
"P33","No, ninguna dificultad",0.25,0.025,0.176
"P33","Alguna dificultad ocasional",0.356,0.425,0.316
"P33","Sí, dificultades frecuentes",0.394,0.55,0.508
"P34","Sí, absolutamente",0.51,0.491,0.418
"P34","Sí, en cierta medida",0.298,0.343,0.199
"P34","No, en absoluto",0.192,0.166,0.383
"P35","Reducir la inflación",0.361,0.666,0.416
"P35","Implementar reformas fiscales",0.074,0.033,0.172
"P35","Establecer políticas de control de precios",0.198,0.051,0.017
"P35","Reducir el gasto público",0.288,0.244,0.359
"P35","Estimular la inversión extranjera",0.037,0.006,0
"P35","Aumentar los subsidios a los servicios públicos",0.042,0,0.036
"P36","Muy positiva",0.175,0.226,0.211
"P36","Positiva",0.189,0.216,0.171
"P36","Neutral",0.249,0.127,0.047
"P36","Algo negativa",0.091,0.013,0
"P36","Negativa",0.07,0.024,0.294
"P36","No sabe",0.226,0.394,0.277
"P37","Muy positiva",0.392,0.36,0.595
"P37","Positiva",0.219,0.09,0.056
"P37","Neutral",0.206,0.311,0.01
"P37","Algo negativa",0.045,0.097,0.17
"P37","Negativa",0.073,0.024,0.066
"P37","No sabe",0.065,0.118,0.103
"P38","Muy positiva",0.221,0.224,0.47
"P38","Positiva",0.213,0.366,0
"P38","Neutral",0.267,0.154,0.01
"P38","Algo negativa",0.091,0.189,0.099
"P38","Negativa",0.106,0.035,0.122
"P38","No sabe",0.102,0.032,0.299
"P39","Muy positiva",0.429,0.663,0.377
"P39","Positiva",0.23,0.131,0.221
"P39","Neutral",0.212,0.146,0.14
"P39","Algo negativa",0.041,0.02,0.136
"P39","Negativa",0.059,0,0.09
"P39","No sabe",0.029,0.04,0.036
"P40","Muy positiva",0.389,0.334,0.568
"P40","Positiva",0.223,0.136,0.026
"P40","Neutral",0.197,0.298,0.027
"P40","Algo negativa",0.039,0.165,0.091
"P40","Negativa",0.065,0.024,0.064
"P40","No sabe",0.087,0.043,0.224
"P41","Lo votaría",0.373,0.054,0.433
"P41","Puede que lo vote",0.088,0.063,0
"P41","Nunca lo votaría",0.45,0.794,0.401
"P41","No sabe",0.089,0.089,0.166
"P42","Lo votaría",0.161,0.129,0.468
"P42","Puede que lo vote",0.1,0.157,0.063
"P42","Nunca lo votaría",0.629,0.638,0.301
"P42","No sabe",0.11,0.076,0.168
"P43","Lo votaría",0.228,0.147,0.16
"P43","Puede que lo vote",0.062,0.37,0.027
"P43","Nunca lo votaría",0.659,0.356,0.735
"P43","No sabe",0.051,0.127,0.078
"P44","Lo votaría",0.11,0.028,0.315
"P44","Puede que lo vote",0.101,0.138,0.202
"P44","Nunca lo votaría",0.679,0.493,0.354
"P44","No sabe",0.11,0.341,0.129
"P45","Si",0.399,0.102,0.273
"P45","No",0.601,0.898,0.727
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.436,0.317,0.356
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.202,0.071,0.107
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.261,0.183,0.325
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.037,0.051,0.015
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.01,0.12,0
"PRESIDENTE","En blanco",0.011,0.047,0.165
"PRESIDENTE","No sabe",0.043,0.211,0.032
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.483,0.275,0.221
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.212,0.069,0.094
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.212,0.263,0.438
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.035,0.016,0.016
"GOBERNADOR","En blanco",0.004,0.165,0.186
"GOBERNADOR","No sabe",0.054,0.212,0.045
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",0.37,0.215,0.232
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.193,0.078,0.112
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.208,0.176,0.303
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.059,0.099,0.035
"INTENDENTE","El candidato a intendente de la Izquierda",0.077,0.02,0.135
"INTENDENTE","En blanco",0.032,0.157,0.13
"INTENDENTE","No sabe",0.061,0.255,0.053
"CORTA_PRESIDENTE","Si",0.088,0.206,0.052
"CORTA_PRESIDENTE","No",0.912,0.794,0.948
"CORTA_GOBERNADOR","Si",0.122,0.324,0.199
"CORTA_GOBERNADOR","No",0.878,0.676,0.801
"CORTA_INTENDENTE","Si",0.218,0.222,0.217
"CORTA_INTENDENTE","No",0.782,0.778,0.783
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.462,0.281,0.367
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.208,0.219,0.086
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.25,0.244,0.303
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.016,0,0.035
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.037,0,0.037
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.012,0.209,0.011
"P13_imputada","En blanco",0.015,0.047,0.161
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.385,0.36,0.608
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.217,0.079,0.124
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.294,0.266,0.239
"P17_imputada","Los candidatos a presidente de la Izquierda",0.046,0.058,0.029
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.033,0.182,0
"P17_imputada","En blanco",0.025,0.055,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.535,0.464,0.388
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.217,0.148,0.097
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.16,0.312,0.454
"P20_imputada","El candidato a gobernador de la Izquierda",0.037,0.025,0
"P20_imputada","En blanco",0.051,0.051,0.061
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.299,0.253,0.406
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0.184,0.141,0.15
"P23_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.177,0.178,0.207
"P23_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.118,0.158,0
"P23_imputada","El candidato a intendente de la Izquierda",0.157,0.031,0.237
"P23_imputada","En blanco",0.065,0.239,0
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.454,0.404,0.356
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.218,0.076,0.107
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.267,0.183,0.325
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.037,0.051,0.036
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.011,0.239,0.011
"PRESIDENTE_imputada","En blanco",0.013,0.047,0.165
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.502,0.486,0.255
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.224,0.07,0.094
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.217,0.263,0.438
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.035,0.016,0.016
"GOBERNADOR_imputada","En blanco",0.022,0.165,0.197
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.399,0.348,0.253
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.202,0.078,0.112
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.225,0.176,0.324
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.061,0.099,0.034
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.079,0.02,0.135
"INTENDENTE_imputada","En blanco",0.034,0.279,0.142
