"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Myriam Bregman a presidenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro País","En blanco"
"P16_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0,0,0,1,0,0
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0,0,0,0,1,0
"P16_imputada","En blanco",0,0,0,0,0,1
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.633,0.066,0.071,0.567,0.097,0.038
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.204,0.789,0.378,0.021,0.232,0.47
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.106,0.134,0.551,0.108,0.233,0.029
"P19_imputada","Rubén Sobrero a gobernador por el Frente de Izquierda",0.053,0.008,0,0.245,0,0.088
"P19_imputada","En blanco",0.004,0.003,0,0.059,0.438,0.375
"P22_imputada","Federico Meca a intendente por Unión por la Patria.",0.42,0.078,0.07,0.421,0.156,0.186
"P22_imputada","Ramón Lanus a intendente por Juntos por el Cambio",0.197,0.803,0.59,0,0.305,0.243
"P22_imputada","Rodolfo Paolucci a intendente por la Libertad Avanza",0.206,0.094,0.31,0.146,0.233,0.037
"P22_imputada","Camila Paiz a intendenta por el Frente de Izquierda",0.126,0.006,0,0.433,0,0
"P22_imputada","En blanco",0.051,0.019,0.03,0,0.306,0.534
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0,0,0,1,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0,0,0,0,1,0
"PRESIDENTE_imputada","En blanco",0,0,0,0,0,1
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.633,0.066,0.071,0.567,0.097,0.038
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.204,0.789,0.378,0.021,0.232,0.47
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.106,0.134,0.551,0.108,0.233,0.029
"GOBERNADOR_imputada","Rubén Sobrero a gobernador por el Frente de Izquierda",0.053,0.008,0,0.245,0,0.088
"GOBERNADOR_imputada","En blanco",0.004,0.003,0,0.059,0.438,0.375
"INTENDENTE_imputada","Federico Meca a intendente por Unión por la Patria.",0.42,0.078,0.07,0.421,0.156,0.186
"INTENDENTE_imputada","Ramón Lanus a intendente por Juntos por el Cambio",0.197,0.803,0.59,0,0.305,0.243
"INTENDENTE_imputada","Rodolfo Paolucci a intendente por la Libertad Avanza",0.206,0.094,0.31,0.146,0.233,0.037
"INTENDENTE_imputada","Camila Paiz a intendenta por el Frente de Izquierda",0.126,0.006,0,0.433,0,0
"INTENDENTE_imputada","En blanco",0.051,0.019,0.03,0,0.306,0.534
