"var","categoria","Gerardo Zamora","Pablo Mirolo","Rodrigo Posse","Natalia Neme","Emilio Rached","Marcelo Lugones","No sabe"
"P22","Muy buena",0.084,0.087,0.434,0.075,0.385,0.308,0.085
"P22","Buena",0.113,0.137,0.492,0.14,0.331,0.362,0.106
"P22","Ni buena ni mala",0.322,0.309,0.061,0.517,0.039,0.177,0.214
"P22","Mala",0.134,0.022,0.012,0,0.208,0.017,0.111
"P22","Muy mala",0.059,0.073,0,0.254,0.03,0.021,0.069
"P22","No sabe",0.288,0.372,0.001,0.014,0.007,0.115,0.415
"P23","Muy buena",0.138,0.028,0.01,0.012,0.014,0,0.017
"P23","Buena",0.252,0.329,0.007,0.109,0.12,0.07,0.113
"P23","Ni buena ni mala",0.319,0.329,0.056,0.123,0.11,0.012,0.33
"P23","Mala",0.071,0.212,0.265,0.467,0.304,0.119,0.088
"P23","Muy mala",0.052,0.09,0.657,0.289,0.452,0.799,0.227
"P23","No sabe",0.168,0.012,0.005,0,0,0,0.225
"P24","Muy buena",0.046,0.107,0.485,0.104,0.476,0.628,0.108
"P24","Buena",0.063,0.077,0.007,0.234,0.18,0.16,0.04
"P24","Ni buena ni mala",0.269,0.421,0.243,0.38,0.235,0.054,0.305
"P24","Mala",0.15,0.051,0.011,0,0.063,0.099,0.162
"P24","Muy mala",0.243,0.123,0.254,0.257,0.035,0.024,0.076
"P24","No sabe",0.229,0.221,0,0.025,0.011,0.035,0.309
"P25","Muy buena",0.106,0.305,0.664,0.138,0.581,0.608,0.105
"P25","Buena",0.079,0.15,0.037,0.08,0.264,0.276,0.108
"P25","Ni buena ni mala",0.332,0.182,0.286,0.398,0.056,0.069,0.258
"P25","Mala",0.13,0.095,0.013,0.123,0.061,0.033,0.088
"P25","Muy mala",0.188,0.032,0,0.235,0.038,0.014,0.072
"P25","No sabe",0.165,0.236,0,0.026,0,0,0.369
"P26","Muy buena",0.649,0.033,0,0.086,0,0,0.158
"P26","Buena",0.283,0.078,0.063,0.012,0.199,0,0.084
"P26","Ni buena ni mala",0.049,0.492,0.241,0.399,0.382,0.173,0.367
"P26","Mala",0.002,0.283,0.216,0.155,0.122,0.242,0.072
"P26","Muy mala",0.004,0.114,0.479,0.348,0.282,0.51,0.233
"P26","No sabe",0.013,0,0.001,0,0.015,0.075,0.086
"P27","Muy buena",0.108,0.445,0.012,0,0,0,0.034
"P27","Buena",0.239,0.286,0.019,0.142,0.187,0.157,0.062
"P27","Ni buena ni mala",0.395,0.034,0.917,0.494,0.499,0.239,0.296
"P27","Mala",0.037,0,0.042,0.108,0.025,0.04,0.048
"P27","Muy mala",0.027,0.235,0.01,0.224,0.238,0.487,0.159
"P27","No sabe",0.194,0,0,0.032,0.051,0.077,0.401
"P28","Muy buena",0.033,0.021,0.288,0,0.198,0.178,0.002
"P28","Buena",0.059,0.039,0.035,0.082,0.173,0.065,0.031
"P28","Ni buena ni mala",0.387,0.457,0.538,0.497,0.483,0.506,0.225
"P28","Mala",0.067,0.011,0.042,0.094,0.088,0.035,0.021
"P28","Muy mala",0.062,0.124,0.018,0.224,0.011,0.018,0.074
"P28","No sabe",0.392,0.348,0.079,0.103,0.047,0.198,0.647
"P29","Muy buena",0.026,0.212,0.012,0.112,0.102,0.02,0.016
"P29","Buena",0.133,0.044,0.338,0.29,0.143,0.052,0.04
"P29","Ni buena ni mala",0.362,0.376,0.347,0.584,0.461,0.296,0.299
"P29","Mala",0.078,0.023,0,0,0.026,0.322,0.013
"P29","Muy mala",0.067,0.107,0.018,0,0.021,0.176,0.082
"P29","No sabe",0.334,0.238,0.285,0.014,0.247,0.134,0.55
"P30","Muy buena",0.066,0.089,0.022,0.012,0.478,0.041,0.024
"P30","Buena",0.159,0.03,0.43,0.076,0.45,0.427,0.117
"P30","Ni buena ni mala",0.326,0.409,0.023,0.512,0.063,0.447,0.263
"P30","Mala",0.128,0.029,0.242,0.124,0,0.02,0.058
"P30","Muy mala",0.091,0.12,0,0.262,0.009,0.016,0.079
"P30","No sabe",0.23,0.323,0.283,0.014,0,0.049,0.459
"P31","Muy buena",0.034,0,0.013,0.261,0.138,0.737,0.03
"P31","Buena",0.103,0.045,0.102,0.095,0.24,0.189,0.113
"P31","Ni buena ni mala",0.425,0.557,0.578,0.409,0.526,0.018,0.154
"P31","Mala",0.035,0.01,0.01,0.011,0.043,0.021,0.018
"P31","Muy mala",0.035,0.108,0.018,0.21,0,0,0.121
"P31","No sabe",0.368,0.28,0.279,0.014,0.053,0.035,0.564
"P32","Muy buena",0.045,0.01,0.096,0.348,0.01,0.235,0.018
"P32","Buena",0.062,0.017,0.059,0.094,0.332,0.044,0.028
"P32","Ni buena ni mala",0.359,0.356,0.467,0.525,0.486,0.52,0.197
"P32","Mala",0.047,0.01,0.028,0,0,0.02,0.023
"P32","Muy mala",0.025,0.112,0.012,0,0.008,0.017,0.129
"P32","No sabe",0.462,0.495,0.338,0.033,0.164,0.164,0.605
"P33","Muy buena",0.078,0.262,0.237,0.035,0.097,0.02,0.027
"P33","Buena",0.157,0.047,0.267,0.041,0.484,0.134,0.174
"P33","Ni buena ni mala",0.291,0.372,0.2,0.594,0.335,0.586,0.249
"P33","Mala",0.215,0.035,0.285,0.031,0.065,0.167,0.053
"P33","Muy mala",0.058,0.266,0.011,0.299,0.01,0.048,0.172
"P33","No sabe",0.201,0.018,0,0,0.009,0.045,0.325
"P34","Muy buena",0.659,0.215,0.013,0.061,0.009,0.036,0.105
"P34","Buena",0.231,0.204,0.008,0.064,0.088,0.019,0.228
"P34","Ni buena ni mala",0.07,0.232,0.041,0.111,0.356,0.197,0.246
"P34","Mala",0.006,0.223,0.425,0.48,0.092,0.324,0.051
"P34","Muy mala",0.002,0.126,0.513,0.284,0.16,0.405,0.159
"P34","No sabe",0.032,0,0,0,0.295,0.019,0.211
"P35","Muy buena",0.274,0.115,0,0.026,0,0.02,0.051
"P35","Buena",0.271,0.103,0.048,0.034,0.097,0,0.107
"P35","Ni buena ni mala",0.269,0.322,0.592,0.258,0.232,0.106,0.325
"P35","Mala",0.032,0.08,0.023,0.094,0.169,0.154,0.104
"P35","Muy mala",0.012,0.182,0.337,0.577,0.179,0.689,0.182
"P35","No sabe",0.142,0.198,0,0.011,0.323,0.031,0.231
