"var","categoria","A los candidatos del Frente Cívico por Santiago","A los candidatos del Frente de Todos","A los candidatos de Cambiemos","A otros candidatos","No sabe"
"P15","Muy buena",0.383,0.269,0.016,0.119,0.095
"P15","Buena",0.327,0.296,0.05,0.068,0.214
"P15","Mala",0.14,0.077,0.144,0.239,0.158
"P15","Muy mala",0.09,0.337,0.786,0.539,0.323
"P15","No sabe",0.06,0.021,0.004,0.035,0.21
"P16","Muy buena",0.541,0.308,0.035,0.157,0.283
"P16","Buena",0.273,0.218,0.153,0.132,0.289
"P16","Mala",0.09,0.299,0.315,0.229,0.101
"P16","Muy mala",0.033,0.124,0.392,0.477,0.093
"P16","No sabe",0.063,0.051,0.105,0.005,0.234
"P17","Muy buena",0.207,0,0,0.201,0.06
"P17","Buena",0.281,0.645,0.041,0,0.219
"P17","Mala",0.267,0.07,0.327,0.067,0.106
"P17","Muy mala",0.157,0.285,0.632,0.732,0.255
"P17","No sabe",0.088,0,0,0,0.36
"P19","Muy buena",0.066,0.006,0.323,0.127,0.034
"P19","Buena",0.036,0.175,0.325,0.047,0.124
"P19","Ni buena ni mala",0.279,0.091,0.246,0.333,0.215
"P19","Mala",0.301,0.207,0.038,0.131,0.212
"P19","Muy mala",0.249,0.509,0.068,0.362,0.162
"P19","No sabe",0.069,0.012,0,0,0.253
"P20","Muy buena",0.442,0.354,0.067,0.003,0.157
"P20","Buena",0.218,0.271,0.006,0.04,0.19
"P20","Ni buena ni mala",0.242,0.086,0.125,0.237,0.278
"P20","Mala",0.058,0.131,0.15,0.404,0.103
"P20","Muy mala",0.02,0.158,0.652,0.316,0.154
"P20","No sabe",0.02,0,0,0,0.118
"P21","Muy buena",0.582,0.401,0.018,0.07,0.221
"P21","Buena",0.121,0.125,0,0.143,0.097
"P21","Ni buena ni mala",0.136,0.169,0.008,0.15,0.247
"P21","Mala",0.08,0.071,0.125,0.143,0.113
"P21","Muy mala",0.052,0.23,0.849,0.487,0.164
"P21","No sabe",0.029,0.004,0,0.007,0.158
"P22","Muy buena",0.062,0.036,0.437,0.142,0.083
"P22","Buena",0.118,0.241,0.411,0.093,0.069
"P22","Ni buena ni mala",0.374,0.224,0.11,0.213,0.196
"P22","Mala",0.139,0.124,0.002,0.262,0.043
"P22","Muy mala",0.051,0.187,0.004,0.13,0.066
"P22","No sabe",0.256,0.188,0.036,0.16,0.543
"P23","Muy buena",0.136,0.062,0.033,0.009,0.025
"P23","Buena",0.245,0.203,0.058,0.034,0.258
"P23","Ni buena ni mala",0.345,0.493,0.1,0.196,0.204
"P23","Mala",0.09,0.212,0.207,0.208,0.091
"P23","Muy mala",0.04,0.025,0.602,0.511,0.11
"P23","No sabe",0.144,0.005,0,0.042,0.312
"P24","Muy buena",0.051,0.015,0.595,0.065,0.041
"P24","Buena",0.061,0.07,0.122,0.085,0.056
"P24","Ni buena ni mala",0.317,0.234,0.232,0.379,0.201
"P24","Mala",0.146,0.157,0.018,0.055,0.181
"P24","Muy mala",0.204,0.386,0.022,0.384,0.101
"P24","No sabe",0.221,0.138,0.011,0.032,0.42
"P25","Muy buena",0.111,0.046,0.671,0.159,0.072
"P25","Buena",0.077,0.086,0.214,0.052,0.105
"P25","Ni buena ni mala",0.361,0.295,0.101,0.258,0.259
"P25","Mala",0.133,0.126,0.007,0.156,0.087
"P25","Muy mala",0.154,0.287,0,0.247,0.077
"P25","No sabe",0.164,0.16,0.007,0.128,0.4
"P26","Muy buena",0.623,0.286,0.048,0.038,0.332
"P26","Buena",0.234,0.281,0.078,0.161,0.167
"P26","Ni buena ni mala",0.124,0.111,0.387,0.163,0.223
"P26","Mala",0.003,0.182,0.171,0.092,0.097
"P26","Muy mala",0.01,0.133,0.298,0.545,0.071
"P26","No sabe",0.006,0.007,0.018,0.001,0.11
"P27","Muy buena",0.143,0.134,0.033,0.012,0.045
"P27","Buena",0.228,0.136,0.147,0.224,0.109
"P27","Ni buena ni mala",0.403,0.61,0.457,0.303,0.226
"P27","Mala",0.036,0.02,0.086,0.018,0.026
"P27","Muy mala",0.028,0.03,0.203,0.349,0.1
"P27","No sabe",0.162,0.07,0.074,0.094,0.494
"P28","Muy buena",0.038,0,0.197,0,0
"P28","Buena",0.061,0.069,0.097,0.008,0.04
"P28","Ni buena ni mala",0.427,0.342,0.461,0.421,0.176
"P28","Mala",0.049,0.11,0.054,0.039,0.057
"P28","Muy mala",0.054,0.138,0.036,0.225,0.032
"P28","No sabe",0.371,0.341,0.155,0.307,0.695
"P29","Muy buena",0.041,0.034,0.109,0.011,0.004
"P29","Buena",0.132,0.078,0.189,0.101,0.077
"P29","Ni buena ni mala",0.403,0.366,0.357,0.391,0.248
"P29","Mala",0.07,0.128,0.069,0.017,0.019
"P29","Muy mala",0.039,0.085,0.069,0.276,0.023
"P29","No sabe",0.315,0.309,0.207,0.204,0.629
"P30","Muy buena",0.083,0.013,0.183,0.04,0.01
"P30","Buena",0.127,0.142,0.398,0.092,0.178
"P30","Ni buena ni mala",0.398,0.204,0.203,0.349,0.144
"P30","Mala",0.074,0.473,0.033,0.066,0.118
"P30","Muy mala",0.058,0.117,0.04,0.361,0.047
"P30","No sabe",0.26,0.051,0.143,0.092,0.503
"P31","Muy buena",0.044,0,0.208,0.127,0.017
"P31","Buena",0.103,0.12,0.162,0.097,0.093
"P31","Ni buena ni mala",0.433,0.513,0.462,0.317,0.14
"P31","Mala",0.039,0.047,0.013,0.006,0.016
"P31","Muy mala",0.025,0.068,0.027,0.332,0.037
"P31","No sabe",0.356,0.252,0.128,0.121,0.697
"P32","Muy buena",0.052,0.006,0.09,0.18,0.004
"P32","Buena",0.061,0.097,0.176,0.008,0.016
"P32","Ni buena ni mala",0.407,0.424,0.388,0.422,0.113
"P32","Mala",0.05,0.025,0.012,0.027,0.016
"P32","Muy mala",0.019,0.087,0.042,0.225,0.011
"P32","No sabe",0.411,0.361,0.292,0.138,0.84
"P33","Muy buena",0.09,0.072,0.106,0.039,0.083
"P33","Buena",0.171,0.148,0.293,0.107,0.105
"P33","Ni buena ni mala",0.338,0.288,0.403,0.232,0.219
"P33","Mala",0.156,0.37,0.084,0.17,0.118
"P33","Muy mala",0.05,0.091,0.071,0.445,0.073
"P33","No sabe",0.195,0.031,0.043,0.007,0.402
"P34","Muy buena",0.645,0.356,0.068,0.051,0.296
"P34","Buena",0.209,0.247,0.081,0.097,0.29
"P34","Ni buena ni mala",0.099,0.157,0.148,0.203,0.177
"P34","Mala",0.006,0.195,0.266,0.201,0.033
"P34","Muy mala",0,0.045,0.299,0.448,0.018
"P34","No sabe",0.041,0,0.138,0,0.186
"P35","Muy buena",0.271,0.085,0.03,0.005,0.166
"P35","Buena",0.263,0.211,0.12,0.074,0.1
"P35","Ni buena ni mala",0.274,0.528,0.234,0.299,0.281
"P35","Mala",0.055,0.1,0.138,0.025,0.028
"P35","Muy mala",0.006,0.071,0.323,0.555,0.075
"P35","No sabe",0.131,0.005,0.155,0.042,0.35
