"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P31","Negativa",0.418,0.415,0.585,0.447
"P31","No sabe",0.013,0.006,0.002,0.223
"P32","Positiva",0.392,0.335,0.233,0.381
"P32","Neutra",0.279,0.317,0.182,0.057
"P32","Negativa",0.298,0.332,0.579,0.058
"P32","No sabe",0.031,0.016,0.006,0.504
"P33","Positiva",0.265,0.17,0.175,0.068
"P33","Neutra",0.191,0.222,0.137,0.102
"P33","Negativa",0.524,0.596,0.681,0.268
"P33","No sabe",0.02,0.012,0.007,0.562
"P34","Positiva",0.492,0.448,0.342,0.293
"P34","Neutra",0.159,0.223,0.088,0.115
"P34","Negativa",0.336,0.324,0.566,0.058
"P34","No sabe",0.013,0.005,0.004,0.534
"P36","Positiva",0.446,0.245,0.197,0.171
"P36","Neutra",0.241,0.458,0.144,0.092
"P36","Negativa",0.285,0.272,0.649,0.132
"P36","No sabe",0.028,0.025,0.01,0.605
"P37","Positiva",0.317,0.32,0.203,0.268
"P37","Neutra",0.393,0.345,0.254,0.121
"P37","Negativa",0.22,0.271,0.513,0.038
"P37","No sabe",0.07,0.064,0.03,0.573
"P38","Positiva",0.193,0.189,0.177,0.173
"P38","Neutra",0.399,0.389,0.234,0.077
"P38","Negativa",0.228,0.281,0.539,0.071
"P38","No sabe",0.18,0.141,0.05,0.679
"P39","Positiva",0.257,0.248,0.177,0.177
"P39","Neutra",0.395,0.419,0.298,0.195
"P39","Negativa",0.188,0.211,0.458,0.036
"P39","No sabe",0.16,0.122,0.067,0.592
