"var","categoria","A Luis Juez por Juntos por el Cambio","A Martín Llaryora por Hacemos por Córdoba","Al candidato del Frente de Todos","Al candidato de los liberales libertarios con el apoyo de Javier Milei","A Aurelio García Elorrio por Encuentro Vecinal Córdoba","Al candidato del Frente de Izquierda","Votaría en blanco","No sabe"
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.01,0.011,0.015,0.012,0.558,0.05,0.034,0.012
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.01,0.002,0.022,0.004,0,0.7,0.025,0.027
"P18","Votaría en blanco",0.035,0.012,0.011,0.003,0.029,0.02,0.512,0.062
"P18","No sabe",0.052,0.047,0.017,0.014,0.056,0.018,0.168,0.569
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.817,0.174,0.03,0.094,0.211,0.035,0.155,0.126
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.104,0.671,0.116,0.025,0.029,0.054,0.072,0.114
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.007,0.036,0.804,0.004,0,0.023,0.015,0.023
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.03,0.023,0.009,0.856,0.063,0.046,0.008,0.028
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.004,0.01,0.012,0.004,0.541,0.093,0.007,0.011
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.004,0.007,0.018,0.005,0,0.704,0.018,0.011
"P19","Votaría en blanco",0.017,0.024,0.003,0.003,0.05,0.014,0.642,0.074
"P19","No sabe",0.017,0.055,0.008,0.009,0.106,0.031,0.083,0.613
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.722,0.192,0.047,0.155,0.349,0.071,0.155,0.189
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.097,0.69,0.141,0.036,0.019,0.055,0.147,0.119
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.005,0.026,0.778,0.004,0.017,0.013,0.016,0.025
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.059,0.021,0.003,0.796,0.034,0.088,0.035,0.024
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.013,0.004,0.002,0,0.513,0.082,0.011,0.006
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.004,0.004,0.01,0,0,0.642,0.014,0.006
"P20","Votaría en blanco",0.043,0.022,0.007,0,0.02,0.005,0.515,0.061
"P20","No sabe",0.057,0.041,0.012,0.009,0.048,0.044,0.107,0.57
"P21","Lo votaría",0.537,0.239,0.053,0.163,0.332,0.027,0.226,0.195
"P21","Puede que lo vote",0.286,0.256,0.081,0.317,0.29,0.174,0.17,0.215
"P21","Nunca lo votaría",0.17,0.501,0.862,0.452,0.351,0.753,0.504,0.416
"P21","No sabe",0.007,0.004,0.004,0.068,0.027,0.046,0.1,0.174
"P22","Lo votaría",0.166,0.654,0.109,0.055,0.085,0.027,0.077,0.12
"P22","Puede que lo vote",0.177,0.198,0.327,0.241,0.311,0.149,0.294,0.266
"P22","Nunca lo votaría",0.65,0.144,0.561,0.692,0.582,0.777,0.569,0.468
"P22","No sabe",0.007,0.004,0.003,0.012,0.022,0.047,0.06,0.146
"P23","Lo votaría",0.634,0.162,0.08,0.123,0.116,0.032,0.054,0.086
"P23","Puede que lo vote",0.222,0.184,0.067,0.276,0.304,0.08,0.222,0.194
"P23","Nunca lo votaría",0.133,0.632,0.847,0.563,0.575,0.841,0.663,0.569
"P23","No sabe",0.011,0.022,0.006,0.038,0.005,0.047,0.061,0.151
"P24","Lo votaría",0.112,0.09,0.393,0.057,0.039,0.134,0.048,0.07
"P24","Puede que lo vote",0.115,0.204,0.263,0.118,0.193,0.255,0.138,0.197
"P24","Nunca lo votaría",0.768,0.7,0.344,0.812,0.768,0.598,0.797,0.682
"P24","No sabe",0.005,0.006,0,0.013,0,0.013,0.017,0.051
"P25","Muy buena",0.422,0.159,0.055,0.215,0.231,0.053,0.075,0.129
"P25","Buena",0.241,0.192,0.056,0.124,0.168,0.185,0.192,0.149
"P25","Ni buena ni mala",0.277,0.354,0.201,0.407,0.418,0.195,0.27,0.388
"P25","Mala",0.02,0.137,0.232,0.118,0.1,0.309,0.102,0.083
"P25","Muy mala",0.023,0.106,0.423,0.087,0.042,0.236,0.245,0.13
"P25","No sabe",0.017,0.052,0.033,0.049,0.041,0.022,0.116,0.121
"P26","Muy buena",0.473,0.109,0.013,0.111,0.169,0.047,0.032,0.09
"P26","Buena",0.324,0.166,0.049,0.195,0.13,0.113,0.09,0.182
"P26","Ni buena ni mala",0.134,0.201,0.083,0.319,0.314,0.091,0.418,0.273
"P26","Mala",0.026,0.244,0.208,0.22,0.311,0.243,0.099,0.175
"P26","Muy mala",0.03,0.257,0.639,0.133,0.076,0.501,0.344,0.189
"P26","No sabe",0.013,0.023,0.008,0.022,0,0.005,0.017,0.091
"P27","Muy buena",0.118,0.489,0.101,0.061,0.069,0.03,0.018,0.13
"P27","Buena",0.134,0.278,0.186,0.129,0.14,0.087,0.08,0.212
"P27","Ni buena ni mala",0.354,0.115,0.287,0.315,0.393,0.351,0.348,0.286
"P27","Mala",0.236,0.06,0.211,0.262,0.228,0.118,0.329,0.124
"P27","Muy mala",0.142,0.047,0.203,0.204,0.146,0.401,0.206,0.159
"P27","No sabe",0.016,0.011,0.012,0.029,0.024,0.013,0.019,0.089
"P28","Muy buena",0.126,0.129,0.039,0.096,0.523,0.024,0.118,0.035
"P28","Buena",0.144,0.113,0.093,0.108,0.301,0.13,0.067,0.144
"P28","Ni buena ni mala",0.416,0.395,0.26,0.338,0.115,0.33,0.443,0.402
"P28","Mala",0.097,0.1,0.142,0.155,0.044,0.167,0.153,0.101
"P28","Muy mala",0.078,0.094,0.295,0.141,0.017,0.281,0.157,0.109
"P28","No sabe",0.139,0.169,0.171,0.162,0,0.068,0.062,0.209
"P29","Muy buena",0.03,0.078,0.166,0.026,0.068,0.11,0.034,0.041
"P29","Buena",0.046,0.145,0.321,0.008,0.038,0.15,0.021,0.096
"P29","Ni buena ni mala",0.107,0.202,0.245,0.071,0.061,0.277,0.306,0.208
"P29","Mala",0.167,0.209,0.106,0.143,0.255,0.174,0.143,0.229
"P29","Muy mala",0.612,0.326,0.137,0.703,0.578,0.277,0.477,0.323
"P29","No sabe",0.038,0.04,0.025,0.049,0,0.012,0.019,0.103
"P30","Muy buena",0.019,0.205,0.739,0.01,0.043,0.184,0.123,0.075
"P30","Buena",0.028,0.106,0.132,0.002,0,0.206,0.081,0.13
"P30","Ni buena ni mala",0.043,0.101,0.051,0.045,0.031,0.203,0.067,0.167
"P30","Mala",0.125,0.153,0.031,0.122,0.197,0.101,0.21,0.188
"P30","Muy mala",0.77,0.42,0.047,0.81,0.729,0.301,0.5,0.399
"P30","No sabe",0.015,0.015,0,0.011,0,0.005,0.019,0.041
"P31","Muy buena",0.351,0.129,0.117,0.136,0.158,0.044,0.158,0.093
"P31","Buena",0.249,0.138,0.017,0.195,0.149,0.03,0.095,0.168
"P31","Ni buena ni mala",0.163,0.152,0.042,0.22,0.223,0.039,0.07,0.203
"P31","Mala",0.078,0.239,0.087,0.159,0.264,0.078,0.137,0.185
"P31","Muy mala",0.148,0.328,0.729,0.282,0.206,0.804,0.521,0.327
"P31","No sabe",0.011,0.014,0.008,0.008,0,0.005,0.019,0.024
"P32","Muy buena",0.202,0.109,0.014,0.097,0.077,0.056,0.071,0.069
"P32","Buena",0.336,0.175,0.032,0.097,0.151,0.028,0.105,0.148
"P32","Ni buena ni mala",0.277,0.279,0.085,0.26,0.403,0.1,0.181,0.295
"P32","Mala",0.087,0.191,0.206,0.217,0.224,0.143,0.287,0.168
"P32","Muy mala",0.084,0.208,0.652,0.297,0.132,0.668,0.337,0.242
"P32","No sabe",0.014,0.038,0.011,0.032,0.013,0.005,0.019,0.078
"P33","Muy buena",0.044,0.099,0.134,0.033,0.058,0.088,0.045,0.027
"P33","Buena",0.083,0.187,0.347,0.008,0.044,0.143,0.04,0.139
"P33","Ni buena ni mala",0.093,0.239,0.303,0.126,0.118,0.288,0.206,0.221
"P33","Mala",0.216,0.179,0.096,0.141,0.265,0.154,0.293,0.265
"P33","Muy mala",0.544,0.264,0.114,0.664,0.515,0.322,0.397,0.3
"P33","No sabe",0.02,0.032,0.006,0.028,0,0.005,0.019,0.048
"P34","Muy buena",0.463,0.186,0.032,0.216,0.308,0.058,0.054,0.137
"P34","Buena",0.218,0.124,0.051,0.249,0.165,0.201,0.155,0.138
"P34","Ni buena ni mala",0.109,0.192,0.084,0.208,0.182,0.071,0.06,0.24
"P34","Mala",0.068,0.201,0.105,0.15,0.156,0.035,0.264,0.113
"P34","Muy mala",0.129,0.278,0.721,0.165,0.182,0.63,0.448,0.326
"P34","No sabe",0.013,0.019,0.007,0.012,0.007,0.005,0.019,0.046
"P35","Muy buena",0.161,0.426,0.044,0.112,0.096,0.086,0.07,0.229
"P35","Buena",0.226,0.262,0.089,0.144,0.269,0.023,0.065,0.152
"P35","Ni buena ni mala",0.263,0.155,0.186,0.265,0.334,0.137,0.306,0.224
"P35","Mala",0.185,0.072,0.272,0.22,0.162,0.243,0.241,0.137
"P35","Muy mala",0.15,0.081,0.394,0.222,0.139,0.506,0.298,0.207
"P35","No sabe",0.015,0.004,0.015,0.037,0,0.005,0.02,0.051
"P36","Muy buena",0.167,0.167,0.016,0.575,0.069,0.049,0.134,0.172
"P36","Buena",0.169,0.132,0.009,0.119,0.189,0.054,0.032,0.142
"P36","Ni buena ni mala",0.322,0.263,0.093,0.204,0.431,0.03,0.137,0.226
"P36","Mala",0.176,0.161,0.098,0.048,0.111,0.096,0.332,0.115
"P36","Muy mala",0.13,0.25,0.769,0.028,0.168,0.766,0.345,0.277
"P36","No sabe",0.036,0.027,0.015,0.026,0.032,0.005,0.02,0.068
"P37","Muy buena",0.169,0.073,0.022,0.073,0.12,0.115,0.175,0.072
"P37","Buena",0.28,0.127,0.022,0.109,0.337,0.057,0.153,0.163
"P37","Ni buena ni mala",0.308,0.396,0.259,0.34,0.36,0.278,0.126,0.303
"P37","Mala",0.103,0.175,0.25,0.11,0.101,0.109,0.262,0.157
"P37","Muy mala",0.089,0.145,0.419,0.303,0.082,0.396,0.224,0.173
"P37","No sabe",0.051,0.084,0.028,0.065,0,0.045,0.06,0.132
"P38","Muy buena",0.095,0.046,0.018,0.027,0.107,0.059,0.126,0.044
"P38","Buena",0.209,0.094,0.033,0.05,0.192,0.047,0.126,0.104
"P38","Ni buena ni mala",0.387,0.391,0.184,0.285,0.272,0.245,0.088,0.227
"P38","Mala",0.104,0.137,0.157,0.119,0.175,0.135,0.365,0.181
"P38","Muy mala",0.095,0.158,0.561,0.377,0.106,0.436,0.182,0.199
"P38","No sabe",0.11,0.174,0.047,0.142,0.148,0.078,0.113,0.245
"P39","Muy buena",0.122,0.077,0.022,0.039,0.148,0.114,0.155,0.067
"P39","Buena",0.176,0.15,0.061,0.084,0.218,0.067,0.073,0.119
"P39","Ni buena ni mala",0.403,0.388,0.318,0.321,0.324,0.215,0.203,0.3
"P39","Mala",0.132,0.114,0.195,0.143,0.092,0.166,0.288,0.151
"P39","Muy mala",0.081,0.1,0.304,0.298,0.141,0.392,0.108,0.129
"P39","No sabe",0.086,0.171,0.1,0.115,0.077,0.046,0.173,0.234
