"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P39","Nunca lo votaría",0.177,0.899,0.839,0.399,0.8,0.383,0.664,0.74
"P39","No sabe",0.051,0.017,0.014,0.064,0,0.037,0.24,0.111
"P40","Lo votaría",0.089,0.82,0.274,0.288,0.199,0.146,0.097,0.178
"P40","Puede que lo vote",0.074,0.077,0.385,0.18,0.548,0.02,0,0.08
"P40","Nunca lo votaría",0.793,0.103,0.317,0.467,0.253,0.783,0.596,0.555
"P40","No sabe",0.044,0,0.024,0.065,0,0.051,0.307,0.187
"P41","Lo votaría",0.057,0.583,0.21,0.046,0.559,0.436,0.255,0.446
"P41","Puede que lo vote",0.167,0.284,0.34,0.246,0.055,0.019,0,0.225
"P41","Nunca lo votaría",0.75,0.104,0.419,0.606,0.386,0.495,0.493,0.19
"P41","No sabe",0.026,0.029,0.031,0.102,0,0.05,0.252,0.139
"P42","Lo votaría",0.01,0.196,0.877,0.024,0.082,0.13,0,0.104
"P42","Puede que lo vote",0.072,0.342,0.049,0.05,0.557,0.033,0,0.221
"P42","Nunca lo votaría",0.9,0.413,0.074,0.858,0.361,0.801,0.746,0.45
"P42","No sabe",0.018,0.049,0,0.068,0,0.036,0.254,0.225
"P43","Lo votaría",0.074,0.024,0.218,0.454,0.081,0.02,0.116,0.039
"P43","Puede que lo vote",0.431,0.051,0.055,0.283,0.056,0.204,0.095,0.17
"P43","Nunca lo votaría",0.446,0.888,0.727,0.263,0.863,0.676,0.534,0.68
"P43","No sabe",0.049,0.037,0,0,0,0.1,0.255,0.111
"P44","Lo votaría",0.035,0.027,0.065,0.135,0.771,0,0,0
"P44","Puede que lo vote",0.193,0.125,0.093,0.259,0,0.175,0.095,0.259
"P44","Nunca lo votaría",0.67,0.795,0.822,0.466,0.229,0.554,0.581,0.63
"P44","No sabe",0.102,0.053,0.02,0.14,0,0.271,0.324,0.111
"P52","Si",0.548,0.458,0.558,0.356,0.373,0.485,0.46,0.233
"P52","No",0.452,0.542,0.442,0.644,0.627,0.515,0.54,0.767
