"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.044,0.002,0.023,0.027,0.137,0.139,0.065,0.088
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.004,0.02,0.006,0.009,0.01,0.185,0
"P18","Otros",0.027,0.005,0.03,0,0.036,0.03,0,0.082
"P18","En blanco",0.016,0.018,0.011,0.072,0,0.012,0.265,0.061
"P18","No sabe",0.005,0.021,0.06,0,0,0.073,0.077,0.536
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.381,0.071,0.108,0.111,0.307,0.205,0.275,0.083
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.092,0.413,0.421,0.31,0.079,0.045,0.188,0.025
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.124,0.335,0.242,0.061,0.097,0.059,0,0.025
"P21","Ramiro Marra por la Libertad Avanza",0.046,0.126,0.065,0.272,0.138,0.032,0,0.069
"P21","Vanina Biasi por el Frente de Izquierda",0.179,0.003,0.046,0.014,0.21,0.062,0,0.139
"P21","Otros",0.087,0.023,0.019,0.084,0.114,0.333,0,0.046
"P21","En blanco",0.052,0.021,0.039,0.103,0.055,0.113,0.495,0.207
"P21","No sabe",0.039,0.008,0.06,0.045,0,0.151,0.042,0.406
"P25","Totalmente seguro",0.752,0.694,0.523,0.72,0.758,0.372,0.316,0.204
"P25","Bastante seguro",0.163,0.208,0.222,0.098,0.124,0.309,0,0.026
"P25","Algo seguro",0.044,0.061,0.174,0.115,0.074,0.203,0.11,0
"P25","Para nada seguro",0.041,0.037,0.081,0.067,0.044,0.116,0.574,0.77
"P26","Tiene Decidido que va a ir a votar",0.96,0.94,0.891,0.914,0.938,0.735,0.569,0.61
"P26","Tiene dudas sobre si va a ir a  votar",0.04,0.053,0.069,0.041,0.042,0.164,0.142,0.277
"P26","Tiene Decidido que no va a ir a votar",0,0.007,0.04,0.045,0.02,0.101,0.289,0.113
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.84,0.051,0.252,0.111,0.158,0.346,0.305,0
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.032,0.783,0.439,0.167,0.181,0.096,0.433,0.11
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.038,0.134,0.057,0.631,0.158,0.168,0,0
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.06,0,0.054,0.046,0.308,0.148,0,0
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0,0.035,0.022,0.062,0.101,0,0
"P27","Otros",0.019,0.011,0.078,0.008,0.105,0.097,0,0.224
"P27","En blanco",0,0.005,0.016,0,0.028,0,0.262,0.195
"P27","No sabe",0.009,0.016,0.069,0.015,0,0.044,0,0.471
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.83,0.045,0.175,0.115,0.177,0.352,0.351,0
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.049,0.633,0.546,0.14,0.202,0.111,0,0.118
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.048,0.189,0.108,0.684,0.196,0.161,0,0
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.031,0.002,0.032,0.016,0.26,0.18,0,0.044
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.016,0.009,0.024,0.016,0.078,0.012,0,0
"P28","Otros",0.007,0.021,0.065,0.008,0.066,0.122,0.053,0.064
"P28","En blanco",0.011,0.062,0.006,0.005,0,0.05,0.293,0.156
"P28","No sabe",0.008,0.039,0.044,0.016,0.021,0.012,0.303,0.618
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.868,0.028,0.194,0.115,0.225,0.351,0.309,0.28
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.087,0.849,0.451,0.131,0.177,0.048,0,0.09
"P29","Ramiro Marra por la Libertad Avanza",0.009,0.069,0.056,0.676,0.136,0.134,0,0
"P29","Vanina Biasi por el Frente de Izquierda",0.011,0,0.061,0,0.288,0.074,0,0
"P29","Otros",0.016,0.013,0.124,0.036,0.108,0.152,0.067,0
"P29","En blanco",0.004,0.028,0.033,0.036,0.066,0.113,0.248,0
"P29","No sabe",0.005,0.013,0.081,0.006,0,0.128,0.376,0.63
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.885,0.04,0.08,0.144,0.206,0.194,0.308,0.28
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.08,0.666,0.811,0.119,0.199,0.109,0.067,0.051
"P30","Ramiro Marra por la Libertad Avanza",0.004,0.155,0.01,0.706,0.156,0.068,0,0
"P30","Vanina Biasi por el Frente de Izquierda",0.011,0,0.01,0,0.307,0.066,0,0
"P30","Otros",0.012,0.03,0.044,0.013,0.066,0.25,0,0.051
"P30","En blanco",0.003,0.043,0.028,0.018,0.066,0.089,0.251,0.13
"P30","No sabe",0.005,0.066,0.017,0,0,0.224,0.374,0.488
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.836,0.124,0.311,0.145,0.535,0.527,0.197,0.261
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.091,0.84,0.567,0.502,0.254,0.183,0.393,0.161
"P33","En blanco",0.057,0.02,0.045,0.323,0.145,0.209,0.41,0
"P33","No sabe",0.016,0.016,0.077,0.03,0.066,0.081,0,0.578
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.061,0.849,0.537,0.362,0.386,0.33,0.566,0.198
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.092,0.131,0.151,0.525,0.109,0.202,0,0
"P34","En blanco",0.724,0.007,0.169,0.101,0.479,0.393,0.434,0.091
"P34","No sabe",0.123,0.013,0.143,0.012,0.026,0.075,0,0.711
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.894,0.046,0.246,0.184,0.505,0.373,0,0.176
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.073,0.742,0.647,0.202,0.325,0.209,0,0.131
"P35","En blanco",0.031,0.126,0.034,0.562,0.146,0.22,0.523,0.244
"P35","No sabe",0.002,0.086,0.073,0.052,0.024,0.198,0.477,0.449
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.18,0.669,0.581,0.221,0.395,0.24,0,0.183
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.079,0.231,0.191,0.608,0.095,0.221,0,0
"P36","En blanco",0.648,0.043,0.099,0.163,0.484,0.415,0.433,0.202
"P36","No sabe",0.093,0.057,0.129,0.008,0.026,0.124,0.567,0.615
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.923,0.142,0.332,0.178,0.476,0.599,0,0.082
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.034,0.45,0.259,0.691,0.152,0.111,0,0
"P37","En blanco",0.039,0.194,0.182,0.1,0.294,0.176,0.443,0.187
"P37","No sabe",0.004,0.214,0.227,0.031,0.078,0.114,0.557,0.731
"P38","Lo votaría",0.823,0.092,0.135,0.194,0.337,0.384,0,0.086
"P38","Puede que lo vote",0.139,0.143,0.305,0.054,0.345,0.226,0.135,0
"P38","Nunca lo votaría",0.03,0.744,0.455,0.694,0.287,0.3,0.754,0.475
"P38","No sabe",0.008,0.021,0.105,0.058,0.031,0.09,0.111,0.439
"P39","Lo votaría",0.512,0.033,0.08,0.146,0.348,0.258,0.11,0.086
"P39","Puede que lo vote",0.308,0.097,0.12,0.065,0.206,0.266,0,0.109
"P39","Nunca lo votaría",0.141,0.862,0.736,0.759,0.446,0.417,0.814,0.366
"P39","No sabe",0.039,0.008,0.064,0.03,0,0.059,0.076,0.439
"P40","Lo votaría",0.124,0.785,0.38,0.292,0.275,0.169,0.684,0.171
"P40","Puede que lo vote",0.064,0.111,0.152,0.322,0.16,0.248,0,0.086
"P40","Nunca lo votaría",0.774,0.099,0.434,0.355,0.565,0.524,0.316,0.302
"P40","No sabe",0.038,0.005,0.034,0.031,0,0.059,0,0.441
"P41","Lo votaría",0.043,0.592,0.45,0.203,0.208,0.069,0,0
"P41","Puede que lo vote",0.157,0.254,0.35,0.274,0.175,0.171,0.335,0.085
"P41","Nunca lo votaría",0.78,0.114,0.197,0.479,0.577,0.702,0.33,0.384
"P41","No sabe",0.02,0.04,0.003,0.044,0.04,0.058,0.335,0.531
"P42","Lo votaría",0.039,0.265,0.071,0.74,0.213,0,0,0
"P42","Puede que lo vote",0.033,0.289,0.299,0.12,0,0.113,0,0.245
"P42","Nunca lo votaría",0.918,0.399,0.574,0.109,0.787,0.7,1,0.384
"P42","No sabe",0.01,0.047,0.056,0.031,0,0.187,0,0.371
"P43","Lo votaría",0.074,0.048,0.039,0.286,0.304,0.077,0,0.085
"P43","Puede que lo vote",0.465,0.056,0.164,0.076,0.123,0.276,0.174,0
"P43","Nunca lo votaría",0.414,0.882,0.741,0.638,0.573,0.59,0.322,0.469
"P43","No sabe",0.047,0.014,0.056,0,0,0.057,0.504,0.446
"P44","Lo votaría",0.058,0.025,0.031,0.096,0,0.093,0,0
"P44","Puede que lo vote",0.182,0.146,0.244,0.095,0.042,0.069,0,0.085
"P44","Nunca lo votaría",0.653,0.805,0.617,0.777,0.781,0.781,0.496,0.468
"P44","No sabe",0.107,0.024,0.108,0.032,0.177,0.057,0.504,0.447
"P52","Si",0.557,0.502,0.47,0.493,0.338,0.364,0.284,0.105
"P52","No",0.443,0.498,0.53,0.507,0.662,0.636,0.716,0.895
