"var","categoria","Si","No"
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.236,0.18
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.253,0.262
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.206,0.214
"P21","Ramiro Marra por la Libertad Avanza",0.103,0.132
"P21","Vanina Biasi por el Frente de Izquierda",0.065,0.078
"P21","Otros",0.046,0.069
"P21","En blanco",0.045,0.041
"P21","No sabe",0.046,0.024
"P25","Totalmente seguro",0.688,0.705
"P25","Bastante seguro",0.186,0.161
"P25","Algo seguro",0.085,0.085
"P25","Para nada seguro",0.041,0.049
"P26","Tiene Decidido que va a ir a votar",0.918,0.893
"P26","Tiene dudas sobre si va a ir a  votar",0.066,0.058
"P26","Tiene Decidido que no va a ir a votar",0.016,0.049
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.394,0.32
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.339,0.395
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.17,0.132
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.035,0.063
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.012
"P27","Otros",0.038,0.04
"P27","En blanco",0.008,0.009
"P27","No sabe",0.009,0.029
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.356,0.327
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.349,0.353
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.203,0.15
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.05
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.029
"P28","Otros",0.026,0.025
"P28","En blanco",0.024,0.027
"P28","No sabe",0.008,0.039
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.356,0.304
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.4,0.418
"P29","Ramiro Marra por la Libertad Avanza",0.114,0.131
"P29","Vanina Biasi por el Frente de Izquierda",0.044,0.037
"P29","Otros",0.048,0.046
"P29","En blanco",0.028,0.02
"P29","No sabe",0.01,0.044
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.336,0.292
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.427,0.442
"P30","Ramiro Marra por la Libertad Avanza",0.141,0.139
"P30","Vanina Biasi por el Frente de Izquierda",0.017,0.041
"P30","Otros",0.035,0.019
"P30","En blanco",0.021,0.024
"P30","No sabe",0.023,0.043
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.413,0.379
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.449,0.49
"P33","En blanco",0.115,0.073
"P33","No sabe",0.023,0.058
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.431,0.429
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.168,0.212
"P34","En blanco",0.351,0.248
"P34","No sabe",0.05,0.111
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.41,0.334
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.4,0.433
"P35","En blanco",0.16,0.15
"P35","No sabe",0.03,0.083
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.415,0.382
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.222,0.243
"P36","En blanco",0.312,0.25
"P36","No sabe",0.051,0.125
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.46,0.421
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.303,0.303
"P37","En blanco",0.123,0.133
"P37","No sabe",0.114,0.143
"P38","Lo votaría",0.359,0.34
"P38","Puede que lo vote",0.161,0.168
"P38","Nunca lo votaría",0.437,0.454
"P38","No sabe",0.043,0.038
"P39","Lo votaría",0.247,0.196
"P39","Puede que lo vote",0.155,0.167
"P39","Nunca lo votaría",0.555,0.621
"P39","No sabe",0.043,0.016
"P40","Lo votaría",0.396,0.407
"P40","Puede que lo vote",0.151,0.115
"P40","Nunca lo votaría",0.427,0.451
"P40","No sabe",0.026,0.027
"P41","Lo votaría",0.3,0.31
"P41","Puede que lo vote",0.191,0.26
"P41","Nunca lo votaría",0.467,0.404
"P41","No sabe",0.042,0.026
"P42","Lo votaría",0.238,0.206
"P42","Puede que lo vote",0.155,0.195
"P42","Nunca lo votaría",0.583,0.553
"P42","No sabe",0.024,0.046
"P43","Lo votaría",0.122,0.067
"P43","Puede que lo vote",0.213,0.209
"P43","Nunca lo votaría",0.639,0.673
"P43","No sabe",0.026,0.051
"P44","Lo votaría",0.049,0.049
"P44","Puede que lo vote",0.138,0.172
"P44","Nunca lo votaría",0.75,0.69
"P44","No sabe",0.063,0.089
