"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P28","No sabe",0.02,0.031,0.037,0.024,0.039,0.028,0.046,0.197
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.778,0.089,0.18,0.159,0.574,0.567,0.343,0.329
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.061,0.689,0.599,0.383,0.049,0.128,0.064,0.149
"P29","Ramiro Marra por la Libertad Avanza",0.04,0.17,0.041,0.42,0.017,0.109,0.12,0.066
"P29","Vanina Biasi por el Frente de Izquierda",0.034,0.018,0.007,0,0.247,0.041,0,0.018
"P29","Otros",0.025,0.004,0.092,0.026,0.098,0.063,0.143,0.17
"P29","En blanco",0.042,0.004,0.039,0,0,0.092,0.172,0
"P29","No sabe",0.02,0.026,0.042,0.012,0.015,0,0.158,0.268
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.759,0.081,0.152,0.126,0.579,0.489,0.285,0.362
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.141,0.65,0.69,0.265,0.132,0.164,0.202,0.227
"P30","Ramiro Marra por la Libertad Avanza",0.021,0.15,0.065,0.584,0.017,0.046,0.141,0.072
"P30","Vanina Biasi por el Frente de Izquierda",0.031,0.005,0.007,0,0.181,0.042,0,0.02
"P30","Otros",0.025,0.025,0.044,0.008,0.069,0.064,0.068,0.102
"P30","En blanco",0.003,0.024,0.028,0,0.006,0.114,0.269,0
"P30","No sabe",0.02,0.065,0.014,0.017,0.016,0.081,0.035,0.217
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.867,0.157,0.276,0.212,0.727,0.633,0.387,0.312
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.062,0.753,0.614,0.558,0.163,0.256,0.339,0.255
"P33","En blanco",0.064,0.065,0.053,0.197,0.063,0.071,0.193,0.208
"P33","No sabe",0.007,0.025,0.057,0.033,0.047,0.04,0.081,0.225
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.201,0.735,0.616,0.351,0.151,0.25,0.268,0.224
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.158,0.163,0.479,0.044,0.165,0.172,0.084
"P34","En blanco",0.593,0.078,0.168,0.104,0.716,0.453,0.507,0.452
"P34","No sabe",0.151,0.029,0.053,0.066,0.089,0.132,0.053,0.24
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.787,0.126,0.242,0.156,0.813,0.611,0.294,0.341
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.148,0.677,0.632,0.419,0.088,0.07,0.219,0.22
"P35","En blanco",0.065,0.132,0.069,0.319,0.08,0.201,0.347,0.259
"P35","No sabe",0,0.065,0.057,0.106,0.019,0.118,0.14,0.18
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.231,0.608,0.603,0.314,0.22,0.171,0.13,0.314
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.072,0.28,0.137,0.518,0.07,0.158,0.143,0.217
"P36","En blanco",0.583,0.07,0.168,0.115,0.629,0.523,0.527,0.284
"P36","No sabe",0.114,0.042,0.092,0.053,0.081,0.148,0.2,0.185
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.819,0.187,0.299,0.23,0.842,0.661,0.338,0.55
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.05,0.385,0.325,0.672,0.04,0.142,0.221,0.215
"P37","En blanco",0.111,0.215,0.147,0.062,0.085,0.153,0.233,0.039
"P37","No sabe",0.02,0.213,0.229,0.036,0.033,0.044,0.208,0.196
"P38","Lo votaría",0.691,0.153,0.224,0.136,0.63,0.517,0.401,0.312
"P38","Puede que lo vote",0.206,0.171,0.134,0.244,0.176,0.166,0.102,0.183
"P38","Nunca lo votaría",0.058,0.658,0.578,0.578,0.095,0.302,0.434,0.418
"P38","No sabe",0.045,0.018,0.064,0.042,0.099,0.015,0.063,0.087
"P39","Lo votaría",0.471,0.061,0.094,0.101,0.595,0.3,0.197,0.19
"P39","Puede que lo vote",0.303,0.077,0.146,0.129,0.153,0.246,0.174,0.283
"P39","Nunca lo votaría",0.183,0.816,0.732,0.735,0.245,0.454,0.552,0.457
"P39","No sabe",0.043,0.046,0.028,0.035,0.007,0,0.077,0.07
"P40","Lo votaría",0.161,0.662,0.513,0.429,0.09,0.135,0.351,0.189
"P40","Puede que lo vote",0.09,0.125,0.137,0.216,0.205,0.078,0.138,0.14
"P40","Nunca lo votaría",0.73,0.167,0.325,0.325,0.705,0.787,0.468,0.599
"P40","No sabe",0.019,0.046,0.025,0.03,0,0,0.043,0.072
"P41","Lo votaría",0.158,0.538,0.482,0.185,0.024,0.038,0.195,0.169
"P41","Puede que lo vote",0.106,0.27,0.307,0.391,0.179,0.139,0.262,0.239
"P41","Nunca lo votaría",0.709,0.169,0.174,0.357,0.79,0.823,0.442,0.52
"P41","No sabe",0.027,0.023,0.037,0.067,0.007,0,0.101,0.072
"P42","Lo votaría",0.087,0.233,0.194,0.561,0.008,0.166,0.115,0.092
"P42","Puede que lo vote",0.025,0.271,0.244,0.28,0.052,0.058,0.044,0.209
"P42","Nunca lo votaría",0.888,0.46,0.499,0.112,0.94,0.747,0.663,0.598
"P42","No sabe",0,0.036,0.063,0.047,0,0.029,0.178,0.101
"P43","Lo votaría",0.128,0.072,0.052,0.17,0.25,0.019,0,0
"P43","Puede que lo vote",0.346,0.056,0.146,0.125,0.432,0.484,0.32,0.109
"P43","Nunca lo votaría",0.465,0.854,0.765,0.698,0.298,0.487,0.528,0.795
"P43","No sabe",0.061,0.018,0.037,0.007,0.02,0.01,0.152,0.096
"P44","Lo votaría",0.025,0.079,0.047,0.05,0,0,0.058,0.031
"P44","Puede que lo vote",0.118,0.131,0.154,0.178,0.297,0.235,0.161,0.263
"P44","Nunca lo votaría",0.723,0.722,0.758,0.704,0.639,0.668,0.619,0.634
"P44","No sabe",0.134,0.068,0.041,0.068,0.064,0.097,0.162,0.072
"P52","Si",0.56,0.484,0.482,0.429,0.448,0.393,0.516,0.652
"P52","No",0.44,0.516,0.518,0.571,0.552,0.607,0.484,0.348
