"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P16","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.593,0.116,0.156,0.274,0.181,0.1
"P16","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.094,0.552,0.182,0.06,0.132,0.197
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.095,0.198,0.608,0.102,0.017,0.02
"P16","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.019,0.034,0.018,0.498,0.149,0
"P16","En blanco",0.036,0.026,0,0,0.495,0.013
"P16","No sabe",0.163,0.074,0.036,0.066,0.026,0.67
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.692,0.069,0.129,0.047,0.067,0.013
"P22","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.138,0.577,0.2,0,0.036,0.134
"P22","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.106,0.175,0.629,0.069,0.118,0.006
"P22","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.014,0.028,0.032,0.686,0.041,0
"P22","En blanco",0.012,0.042,0.01,0,0.738,0.082
"P22","No sabe",0.038,0.109,0,0.198,0,0.765
"P25","Totalmente seguro",0.7,0.619,0.616,0.601,0.645,0.289
"P25","Bastante seguro",0.146,0.179,0.18,0.059,0.059,0.139
"P25","Algo seguro",0.121,0.113,0.17,0.031,0.04,0.13
"P25","Para nada seguro",0.033,0.089,0.034,0.309,0.256,0.442
"P26","Tiene Decidido que va a ir a votar",0.892,0.824,0.834,0.852,0.835,0.833
"P26","Tiene dudas sobre si va a ir a  votar",0.092,0.136,0.092,0.074,0.091,0.098
"P26","Tiene Decidido que no va a ir a votar",0.016,0.04,0.074,0.074,0.074,0.069
"P27","Si",0.958,0.967,0.94,1,1,1
"P27","No",0.042,0.033,0.06,0,0,0
